"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"45000","South Carolina","5","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",7412,8227,19163,13023,11357,11673,10457,23237,11392,13350,14810,16001,15087,15906,16743,23812,47108,94910,108307,107429,123229,155364,123938,117367,116887,129611,139220,148260,169640,189170,199279,209564,238091,253156,271802,284402,310118,341767,401054,471288,536679,669015,778782,876244,1043971,1318163,1813986,1927088,2013101,2209794,2549337,3102491,3584257,3935358,4196177,4424694,4794230,5058080,5199383,5548959,6422498,7116115,8158753,9176636,9834854,10687500,11429455,12303239,12887910,13547635,14374196,15451728,17238283,18722251,19671373,21273745,22881332,24747710,26355823,30399629,33574988,36324937,36741219,36916998,37955935,40217355,42762537,44246312
"45000","South Carolina","5","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",98814,114390,144525,111625,103446,106400,122479,128924,135665,155663,175788,184563,194929,222642,233412,249331,259473,282932,312328,366800,430038,479684,611596,722205,812445,969161,1226771,1687124,1789405,1895638,2052425,2365358,2904262,3352166,3700044,3940809,4078338,4414819,4658353,4834369,5175658,6005461,6711373,7803053,8829908,9506010,10364768,11025167,11836074,12468314,13026516,13727707,14673516,16372808,18014881,19060273,20787341,22262168,24179337,25649131,29578843,32696943,35378328,35679407,35944053,36999877,39181552,41611768,43018845
"45000","South Carolina","5","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5352,6228,8228,14863,18059,23854,28653,37589,43395,57805,69946,87603,97955,114015,132537,143107,151824,173562,193705,209149,244659,265614,319386,378841,429490,537355,621799,723965,837325,948482,1056374,1202541,1405746,1632852,1812651,2005842,2165618,2321261,2476953,2600271,2785033,3011195,3259650,3568347,3857816,4145349,4419740,4701204,4980067,5262731,5528699,5773820,6147954,6618639,7071707,7413521,7900803,8515525,9235003,9897797,10557322,11687041,12306303,12848295,13806505,14543176,15329684,16158387,16725378
"45000","South Carolina","5","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",3490,4133,5951,12361,14689,20218,24699,33370,38846,52920,64526,81338,91062,106974,125254,135307,143486,164771,184272,198972,232968,253285,305376,362343,411295,515182,596341,692895,802617,909420,1013687,1155525,1353954,1573851,1739697,1923627,2077208,2226659,2376383,2492562,2666658,2883104,3118570,3416575,3691657,3965658,4234448,4508313,4780113,5055149,5314445,5549314,5912958,6357847,6772509,7097883,7543781,8107481,8840222,9500285,10162272,11303575,11920376,12458451,13435137,14202247,14965631,15779177,16368711
"45000","South Carolina","5","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1862,2095,2277,2502,3370,3636,3954,4219,4549,4885,5420,6265,6893,7041,7283,7800,8338,8791,9433,10177,11691,12329,14010,16498,18195,22173,25458,31070,34708,39062,42687,47016,51792,59001,72954,82215,88410,94602,100570,107709,118375,128091,141080,151772,166159,179691,185292,192891,199954,207582,214254,224506,234996,260792,299198,315638,357022,408044,394781,397512,395050,383466,385927,389844,371368,340929,364053,379210,356667
"45000","South Carolina","5","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1426,1671,1776,1887,2613,2829,3166,3365,3610,3880,4301,4997,5654,5823,6069,6515,7013,7265,7748,8337,9569,9995,11347,13096,14276,17180,19023,22520,24920,27127,29100,32552,37303,42164,46840,49251,50355,52098,54028,56182,59276,62433,65507,69069,72025,73372,75242,76943,79024,81044,83164,84775,87541,90917,95533,99603,103708,107924,113903,119027,123920,131067,135608,137892,143425,147599,152717,156962,159088
"45000","South Carolina","5","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",423,398,473,600,742,787,772,837,923,989,1104,1255,1228,1207,1204,1275,1320,1521,1679,1833,2116,2328,2617,3255,3590,4276,5748,7836,9031,11126,12626,12725,12651,14870,24052,30485,35664,40085,43584,48190,54753,62090,71781,79100,90123,101708,105208,110560,114468,120484,124744,130511,140801,155464,192709,199101,233114,271061,243974,244501,238989,223094,219241,219508,195034,168493,169622,168711,170352
"45000","South Carolina","5","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",147,329,717,687,714,757,809,961,1739,1838,1967,2062,2479,2391,2419,2958,3337,4346,3568,3792,3603,4011,4611,4842,5388,6462,6054,6346,9220,6654,14411,10956,16934,20200,29059,36904,33984,32141,29305,31078,32444,32909,24837,41714,53537,27227
"45000","South Carolina","5","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",156,182,216,254,288,315,429,565,1797,2462,3518,5405,7487,8934,19408,43379,65322,73177,85863,84992,98003,121506,161236,217955,276931,320860,378551,448858,584059,703091,762482,849339,916845,1047003,1159418,1245590,1344305,1650542,2061995,2688534,3075584,3403411,3993706,4206004,4557197,4853140,5048967,5385064,5853656,6747985,7212969,7621803,8762922,9255504,10229911,10826194,11860949,12712758,13448101,13619717,13875465,14320529,15623640,16690716,17080937
"45000","South Carolina","5","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6438,30011,38240,44019,50595,44751,51999,63763,88652,112751,140952,168394,196731,236129,307917,388928,459193,521915,583344,630270,682767,742589,788053,948842,995429,1221141,1418428,1604021,1961836,2152175,2374794,2571732,2655442,2772544,3014280,3471393,3694398,3986685,4400017,4853560,5946434,6454977,7024611,7552937,7907629,8309547,8697106,9027704,9659009,10269387,10627976
