"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"30000","Montana","7","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",198579,212986,225775,224480,241112,250730,273812,298359,323811,342280,343406,393972,455155,488500,539867,629285,735455,840099,914501,1039367,1188004,1355909,1605802,1963151,2227040,2343112,2572775,2672309,2660485,2628837,2685006,2964586,3081325,3158585,3269458,3387571,3582306,3946776,4151110,4448353,4750691,4714993,5044889,5230084,5206323,5652768,5939770,6178091,7056216,7851149,8272392,7448605,7405403,8397759,9295779,9001499,9687153,10352730,10470687
"30000","Montana","7","SA40","91","...","  Personal dividend income",27911,30793,32922,32591,36267,36413,42314,51236,56673,59678,50981,51880,52929,55368,60195,70578,82132,87355,103812,120032,140276,162126,178206,203496,232377,231757,247537,259440,281830,296578,324098,399139,426935,475367,496600,545707,620721,668794,792661,885604,928663,930578,965961,1025226,1085414,1396959,1954676,2015441,2655691,3050581,3035478,2185225,2157646,2674920,3264810,2923452,3303909,3654357,3446689
"30000","Montana","7","SA40","92","...","  Personal interest income",100567,113052,124535,126993,136835,148333,163951,179043,197669,215107,226675,266145,318734,356730,393694,457925,548370,653851,714589,836775,954846,1101322,1315366,1603079,1815971,1951890,2163068,2256277,2268511,2230162,2249717,2448846,2520889,2514787,2544733,2542615,2588308,2883163,2964573,3106749,3313136,3252555,3528610,3553502,3447414,3538745,3210291,3372577,3671875,4102355,4311035,4143500,3836864,3895128,4098284,3964319,4115737,4384532,4552931
"30000","Montana","7","SA40","93","...","    Imputed interest receipts 1/",41016,45626,51462,57852,62003,67818,73431,77674,83568,88849,91877,114706,143136,163927,183433,205541,242620,313677,331141,374637,428862,448329,506662,565499,674952,845233,869421,987666,1037820,1082456,1095225,1148680,1199112,1269803,1368030,1448637,1493269,1650516,1686726,1813638,1834201,1867362,1979869,1953388,2029495,2137601,2128782,2078709,2159778,2320316,2519983,2619268,2588584,2613798,2672968,2712242,2758758,2958750,3095223
"30000","Montana","7","SA40","94","...","    Monetary interest receipts",59551,67426,73073,69141,74832,80515,90520,101369,114101,126258,134798,151439,175598,192803,210261,252384,305750,340174,383448,462138,525984,652993,808704,1037580,1141019,1106657,1293647,1268611,1230691,1147706,1154492,1300166,1321777,1244984,1176703,1093978,1095039,1232647,1277847,1293111,1478935,1385193,1548741,1600114,1417919,1401144,1081509,1293868,1512097,1782039,1791052,1524232,1248280,1281330,1425316,1252077,1356979,1425782,1457708
"30000","Montana","7","SA40","95","...","  Rental income of persons 2/",70101,69141,68318,64896,68010,65984,67547,68080,69469,67495,65750,75947,83492,76402,85978,100782,104953,98893,96100,82560,92882,92461,112230,156576,178692,159465,162170,156592,110144,102097,111191,116601,133501,168431,228125,299249,373277,394819,393876,456000,508892,531860,550318,651356,673495,717064,774803,790073,728650,698213,925879,1119880,1410893,1827711,1932685,2113728,2267507,2313841,2471067
"30000","Montana","7","SA40","96","...","    Imputed rent",28483,31366,33997,34867,36013,36422,36057,36354,37200,38251,36721,49091,53085,57080,58616,55595,56345,53406,47666,34984,39204,34969,33121,34692,22448,21248,15913,10761,2644,5790,22441,31195,46449,69017,98873,143813,181405,194523,225158,228848,263638,298176,334249,416911,443387,474899,507004,491223,420006,340254,463366,697456,893869,1178081,1200371,1341754,1339763,1442143,1562201
"30000","Montana","7","SA40","97","...","    Monetary rent",41618,37775,34321,30029,31997,29562,31490,31726,32269,29244,29029,26856,30407,19322,27362,45187,48608,45487,48434,47576,53678,57492,79109,121884,156244,138217,146257,145831,107500,96307,88750,85406,87052,99414,129252,155436,191872,200296,168718,227152,245254,233684,216069,234445,230108,242165,267799,298850,308644,357959,462513,422424,517024,649630,732314,771974,927744,871698,908866
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
