"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"13000","Georgia","5","SA45","10","...","Cash receipts from marketings (thousands of dollars)",1216856,1273815,1320172,1449314,2095207,2189689,2245523,2373052,2289548,2682227,3016832,2804297,3363931,3301339,3295455,3719413,3293738,3357345,3271948,3692785,4036897,3998785,4069206,4220245,4335452,4836355,5233976,5645591,5842749,5490231,5305715,5291556,5452584,4596431,5464996,6491892,6667998,6156297,7358670,7768345,7323571,7880609,8380629,9369799,10378979,10340228,9467661,8659127
"13000","Georgia","5","SA45","20","...","  Cash receipts: Livestock and products",818340,782984,768054,855094,1296054,1132612,1225463,1276127,1325551,1575532,1744877,1665891,1873132,1795279,1822630,1950197,1826621,1991144,1936703,2138001,2382290,2400426,2319991,2432733,2702940,2852201,2912996,3342216,3504198,3507852,3446345,3243612,3679667,3015438,3448696,4377363,4490488,4101878,4925689,5266002,4710108,4889498,5150452,5608336,6456583,7088399,6458179,5592757
"13000","Georgia","5","SA45","30","...","    Meat animals and other livestock",293727,292530,306351,371320,528456,379130,410118,413060,454113,573660,652271,545331,648530,642437,624660,547558,554633,554097,646625,617489,605353,673307,668987,619538,652582,628009,579259,510370,611564,467257,505078,616428,618279,494580,684249,856959,981468,955501,977258,954221,846618,820152,875715,884970,841061,1092135,1005523,781317
"13000","Georgia","5","SA45","31","...","      Cattle and calves",154774,156761,180323,222875,291793,125738,157857,196402,242673,310632,360532,229920,274806,294318,305481,242676,275356,263523,350741,353220,324242,330819,351307,360278,384761,391395,361458,288534,415198,347036,369295,437427,459898,366545,514401,628299,737539,731601,762332,705828,615666,605864,630377,636955,606851,855783,777256,546719
"13000","Georgia","5","SA45","32","...","      Hogs and pigs",136740,133595,123656,144325,229962,247489,245480,210264,204020,255288,284719,305181,352127,316454,284030,268848,244342,252265,264434,233646,248986,306624,284891,223842,231943,197303,182079,176782,160578,85795,98579,136268,115896,79892,108989,157672,175505,155660,147320,148904,116692,111887,119025,115707,99556,98601,94141,97520
"13000","Georgia","5","SA45","33","...","      Sheep and other livestock",2213,2174,2372,4120,6701,5903,6781,6394,7420,7740,7020,10230,21597,31665,35149,36034,34935,38309,31450,30623,32125,35864,32789,35418,35878,39311,35722,45054,35788,34426,37204,42733,42485,48143,60859,70988,68424,68240,67606,99489,114260,102401,126313,132308,134654,137751,134126,137078
"13000","Georgia","5","SA45","40","...","    Dairy products",73864,80206,80674,86842,96001,116508,115441,135196,134272,146512,171170,188440,202272,200880,200100,183960,181890,174445,163300,175890,196300,227379,199073,229860,227980,239673,223476,243191,220360,236550,229600,183180,225780,192720,192022,235536,221760,201024,281561,280687,202648,254656,317020,302878,336960,444312,357800,318850
"13000","Georgia","5","SA45","50","...","    Poultry and poultry products",450749,410248,381029,396932,671597,636974,699904,727871,737166,855360,921436,932120,1022330,951962,997870,1218679,1090098,1262602,1126778,1344622,1580637,1499740,1451931,1583335,1822378,1984519,2110261,2588655,2672274,2804045,2711667,2444004,2835608,2328138,2572425,3284868,3287260,2945353,3666870,4031094,3660842,3814690,3957717,4420488,5278562,5551952,5094856,4492590
"13000","Georgia","5","SA45","60","...","  Cash receipts: Crops",398516,490831,552118,594220,799153,1057077,1020060,1096925,963997,1106695,1271955,1138406,1490799,1506060,1472825,1769216,1467117,1366201,1335245,1554784,1654607,1598359,1749215,1787512,1632512,1984154,2320980,2303375,2338551,1982379,1859370,2047944,1772917,1580993,2016300,2114529,2177510,2054419,2432981,2502343,2613463,2991111,3230177,3761463,3922396,3251829,3009482,3066370
"13000","Georgia","5","SA45","70","...","    Total grains",179202,230310,279100,294510,410536,630594,594854,652328,505521,655130,856244,654621,496267,553936,489255,521655,374055,262882,202738,318703,332727,247921,215711,249910,219197,240135,208711,316733,227374,127487,97657,98949,95480,105645,144227,160469,103571,98372,286256,425829,395331,362025,366211,499168,607131,507017,305716,281159
