"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"92000","Mideast","2","SA45","10","...","Cash receipts from marketings (thousands of dollars)",2994940,3070260,3076550,3169426,4049700,4469517,4644095,5040051,5111065,5826770,6784651,7143470,7854661,7778368,7969072,8380936,8217287,8263814,8420994,8747528,9436693,9651691,9302724,9512917,9856785,9898723,9993655,10789762,10517071,10838651,10619875,10598026,11499619,10511171,10600778,12335348,12211744,11819110,14385187,15054423,12789378,14437016,16179756,16921383,17591078,19289271,17018649,15224848
"92000","Mideast","2","SA45","20","...","  Cash receipts: Livestock and products",2170652,2185448,2176093,2282467,2791978,2914026,3075044,3440165,3461423,3976515,4705955,5070521,5486311,5421369,5614697,5778968,5549387,5674045,5721992,5804060,6411705,6547513,6081233,6256593,6526245,6500438,6465656,7034904,6678180,7062927,6960553,6587503,7509124,6378947,6596190,7838020,7877035,7126934,9099235,9215277,7294505,8667701,10040346,10009479,10986320,13019489,11136011,9499529
"92000","Mideast","2","SA45","30","...","    Meat animals and other livestock",468068,472597,477820,549644,661364,601731,629092,699493,699567,909045,1196099,1215340,1245734,1169705,1193813,1238214,1165036,1166880,1441752,1405120,1496917,1638943,1631446,1522484,1862321,1705163,1595296,1524065,1459486,1323772,1371615,1499538,1564196,1407350,1438683,1587000,1723803,1701327,1627708,1536182,1406882,1600506,1937761,2119737,2082641,2532942,2245559,1872200
"92000","Mideast","2","SA45","31","...","      Cattle and calves",358038,366200,377246,422226,488272,431105,409959,464258,469765,633550,841173,864224,802630,762663,750327,756359,711863,711289,856910,862751,923098,1016239,1053410,990591,1230183,1100978,962759,799398,793530,786631,861008,914556,942205,832878,920995,989197,1093464,1117895,1026376,1028447,884856,978411,1206008,1407343,1328240,1718582,1525191,1203610
"92000","Mideast","2","SA45","32","...","      Hogs and pigs",84036,81550,75605,100411,140744,135731,179494,191205,168046,200611,212995,194366,276679,234126,261990,284087,240212,254787,309148,247046,261198,332352,278800,249783,296420,281594,239890,299740,329775,205125,171070,241098,280162,214888,282935,376200,383309,347481,344686,278427,260287,377102,441297,425916,462232,500298,384549,328577
"92000","Mideast","2","SA45","33","...","      Sheep and other livestock",25994,24847,24969,27007,32348,34895,39639,44030,61756,74884,141931,156750,166425,172916,181496,197768,212961,200804,275694,295323,312621,290352,299236,282110,335718,322591,392647,424927,336181,332016,339537,343884,341829,359584,234753,221603,247030,235951,256646,229308,261739,244993,290456,286478,292169,314062,335819,340013
"92000","Mideast","2","SA45","40","...","    Dairy products",1175800,1224762,1251398,1278180,1399188,1626851,1723105,1994790,2022266,2208945,2540584,2856764,3092393,3102351,3208526,3119523,3083379,3058233,3041079,3018416,3270910,3373042,2987459,3281046,3127998,3186472,3165359,3593592,3283843,3788986,3725610,3297212,3910451,3260324,3198220,3951699,3910490,3360452,4860241,4728458,3374027,4383939,5312029,4865872,5357943,6499579,4752433,4548667
"92000","Mideast","2","SA45","50","...","    Poultry and poultry products",526784,488089,446875,454643,731426,685444,722847,745882,739590,858525,969272,998417,1148184,1149313,1212358,1421231,1300972,1448932,1239161,1380524,1643878,1535528,1462328,1453063,1535926,1608803,1705001,1917247,1934851,1950169,1863328,1790753,2034477,1711273,1959287,2299321,2242742,2065155,2611286,2950637,2513596,2683256,2790556,3023870,3545736,3986968,4138019,3078662
"92000","Mideast","2","SA45","60","...","  Cash receipts: Crops",824288,884812,900457,886959,1257722,1555491,1569051,1599886,1649642,1850255,2078696,2072949,2368350,2356999,2354375,2601968,2667900,2589769,2699002,2943468,3024988,3104178,3221491,3256324,3330540,3398285,3527999,3754858,3838891,3775724,3659322,4010523,3990495,4132224,4004588,4497328,4334709,4692176,5285952,5839146,5494873,5769315,6139410,6911904,6604758,6269782,5882638,5725319
"92000","Mideast","2","SA45","70","...","    Total grains",164636,189592,180597,175588,365242,548621,500017,467538,418558,475089,663214,602418,706570,622639,556464,622255,663157,481623,422519,640346,597369,619949,599766,637047,651806,644678,789474,973879,826601,674832,588167,644497,660533,608328,673202,980404,751757,948942,1372043,1781345,1696907,1966344,2265774,2869137,2726061,2337968,1877854,1804365
"92000","Mideast","2","SA45","71","...","      Corn",108049,118615,104199,97668,205592,294065,298675,290066,242377,249556,386206,347781,407661,364760,270028,335006,396393,254215,208552,304839,248935,286089,273872,288103,309737,289283,405410,522646,389164,326080,292807,321522,345561,299611,335085,549476,392836,522635,797397,1051944,969553,1209595,1383440,1767889,1559141,1371780,1167794,1060347
"92000","Mideast","2","SA45","72","...","      Oats",5622,7294,9884,8057,16414,21331,18740,18128,14916,15665,16628,27162,24164,20824,14505,13710,17203,9106,14192,19321,19069,12504,10758,13560,8634,4035,9913,13052,11462,9735,8672,7360,7584,8524,10564,6537,9177,16609,10275,21861,13412,15272,10822,20200,15057,18147,10376,10271
"92000","Mideast","2","SA45","73","...","      Sorghum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,2163,1550,1322,1678,1076,781,855,542,222,0,0,0,0,0,0,0
"92000","Mideast","2","SA45","74","...","      Wheat",16803,26361,22135,24454,49357,93180,66224,46420,45290,31001,63139,71111,81278,68504,67881,76032,72678,60171,52885,87188,94865,75909,70073,92699,79417,93800,143253,152199,119326,80764,75497,71218,78980,106211,70814,79999,76360,103918,161900,208773,173587,127150,170023,237951,234092,219829,161407,150886
