"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"31000","Nebraska","4","SA45","10","...","Cash receipts from marketings (thousands of dollars)",2295020,2500677,2616827,3275921,4551546,4543685,4233076,4173542,3883395,5145564,6963241,7233271,6716344,6378849,6697369,7183114,6690362,6497142,7323124,8709551,9522802,8938187,9492128,8897926,9186822,8491909,9639757,9431374,9995598,9281981,9131374,9913321,10159521,10402714,12074330,12498311,12764971,13566443,16136841,17787840,17184980,18004377,23462613,25276224,24105142,25744446,24148729,22176288
"31000","Nebraska","4","SA45","20","...","  Cash receipts: Livestock and products",1746603,1793099,1957095,2409803,2914019,2655715,2517548,2542105,2593054,3507698,4783280,4449756,4135058,4639152,4449040,4601294,4260701,4282663,4943241,5441414,5751782,6248393,6149853,5937888,6141436,5666300,5426760,5613428,5830357,5530269,5958590,6657016,6978169,6817035,8011485,8523956,8846085,8980149,9631888,9425638,8187866,9220814,11148744,12240004,12596579,15525409,15020066,13088101
"31000","Nebraska","4","SA45","30","...","    Meat animals and other livestock",1653072,1697514,1861699,2308682,2782561,2519826,2378996,2387085,2443796,3350278,4599085,4247297,3911039,4427850,4226390,4402076,4058452,4073441,4732981,5239115,5516408,6003749,5927351,5712526,5905197,5438499,5189958,5326042,5561344,5253781,5686774,6391525,6687147,6561182,7696753,8184230,8563749,8694289,9201841,8955810,7848446,8830730,10692174,11786596,12115302,14944874,14465907,12712726
"31000","Nebraska","4","SA45","31","...","      Cattle and calves",1270867,1343548,1532720,1898440,2204405,1984468,1790738,1864959,1929831,2739263,3873838,3596835,3229022,3641647,3517688,3715315,3458265,3336137,3915088,4512419,4725366,5025059,4964527,4844371,4953216,4607681,4366173,4382030,4677901,4626321,5077446,5591186,5837360,5827271,6939314,7253356,7637659,7806904,8291499,7999494,6960256,7799700,9505308,10643162,10977764,13616747,13403990,11703565
"31000","Nebraska","4","SA45","32","...","      Hogs and pigs",367543,340502,316313,395314,558875,516661,571931,505480,497784,591338,706235,629318,660717,765694,685072,663021,577475,710239,769202,674555,737399,925848,912512,815702,899748,791921,785290,908406,854206,599609,581756,773095,822277,699010,718799,889239,886092,845135,865899,820866,723010,889632,1003548,917714,910739,1100808,835755,782752
"31000","Nebraska","4","SA45","33","...","      Sheep and other livestock",14662,13464,12666,14928,19281,18697,16327,16646,16181,19677,19012,21144,21300,20509,23630,23740,22712,27065,48691,52141,53643,52842,50312,52453,52233,38897,38495,35606,29237,27851,27572,27244,27510,34901,38640,41635,39998,42250,44443,135450,165180,141398,183318,225720,226799,227319,226162,226409
"31000","Nebraska","4","SA45","40","...","    Dairy products",68213,73218,76204,82325,95554,106707,109342,123375,118286,124979,146148,162687,183580,174230,184205,159300,164465,161745,161820,155610,172250,171610,144420,150570,136250,138240,133125,147600,133980,155530,150884,145314,168484,144250,145210,168156,164164,148338,200220,202986,159460,200680,248358,231084,242970,297000,231222,235248
"31000","Nebraska","4","SA45","50","...","    Poultry and poultry products",25318,22367,19192,18796,35904,29182,29210,31645,30972,32441,38047,39772,40439,37072,38445,39918,37784,47477,48440,46689,63124,73034,78082,74792,99989,89561,103677,139786,135033,120958,120932,120177,122538,111603,169522,171570,118172,137522,229827,266842,179960,189404,208212,222324,238307,283535,322937,140127
"31000","Nebraska","4","SA45","60","...","  Cash receipts: Crops",548417,707578,659732,866118,1637527,1887970,1715528,1631437,1290341,1637866,2179961,2783515,2581286,1739697,2248329,2581820,2429661,2214479,2379883,3268137,3771020,2689794,3342275,2960038,3045386,2825609,4212997,3817946,4165241,3751712,3172784,3256305,3181352,3585679,4062845,3974355,3918886,4586294,6504953,8362202,8997114,8783563,12313869,13036220,11508563,10219037,9128663,9088187
"31000","Nebraska","4","SA45","70","...","    Total grains",495630,643257,591050,784038,1509604,1710678,1535791,1484741,1146238,1494119,1997654,2504893,2408004,1591042,2102737,2414991,2291083,2065383,2227795,3047680,3512835,2430806,3115680,2747432,2805977,2572889,4005414,3562756,3855575,3483258,2931779,3039549,2899300,3293549,3756844,3675525,3652597,4257017,6143735,7862385,8510164,8280402,11741106,12322692,10757768,9599640,8553989,8545018
"31000","Nebraska","4","SA45","71","...","      Corn",294772,365352,323972,392162,807198,932549,876951,923836,685841,700609,1092885,1522058,1298221,647096,1149127,1481646,1406278,1128160,1232929,1871440,2306234,1550651,2117842,1824296,1792148,1506434,2621960,2393149,2392020,2127682,1888830,1882710,1734635,2041924,2159825,2371630,2072157,2482742,3826154,5283467,5091545,5493148,8182648,8458274,7235974,6092382,5742045,5414062
"31000","Nebraska","4","SA45","72","...","      Oats",2088,3434,5625,5130,8435,13919,19866,18656,12331,8840,11656,11009,14273,14448,12140,11475,13070,9175,13920,14940,7990,7827,7677,9643,5089,6289,4423,5159,4423,2197,2721,800,1998,2287,4384,1735,3486,3530,3341,5717,2744,2284,1574,1412,1277,4015,3287,2016
"31000","Nebraska","4","SA45","73","...","      Sorghum",70302,85167,64543,117011,167225,206445,141251,187500,141451,239218,215902,298053,222444,167709,194912,219822,215869,214782,262743,251359,286146,161170,214527,194325,189736,156471,211989,129738,195464,101378,75540,58227,57432,49748,52376,48548,45250,53014,63496,67551,58924,38560,41360,29608,31331,52679,54617,58190
