"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"49000","Utah","7","SA45","10","...","Cash receipts from marketings (thousands of dollars)",235284,255242,259469,285510,385423,357318,361998,400044,396178,502987,571130,574574,593734,581962,618074,635081,586745,605121,628220,778645,801983,799184,776411,805400,876410,865349,841552,888584,978913,999901,1002222,1087643,1198697,1158077,1241814,1372043,1430375,1268508,1408093,1494933,1126126,1363424,1667760,1766546,1913804,2349996,1943245,1613263
"49000","Utah","7","SA45","20","...","  Cash receipts: Livestock and products",193738,208218,213647,239053,307033,256076,268571,299638,300993,399832,443943,442688,460189,451825,477347,500603,448344,476792,493498,595371,611825,618522,595690,605251,647802,624318,601630,644018,710796,743023,757850,840261,945721,905246,973065,1077130,1123835,910596,976952,1024871,782243,1008868,1196259,1237500,1408793,1864207,1538850,1248611
"49000","Utah","7","SA45","30","...","    Meat animals and other livestock",126021,133719,139060,159988,193045,145713,150332,173475,175664,256237,284521,269855,268554,258690,281135,315056,247009,271212,302397,388475,393879,382278,377566,371895,405474,376158,350667,351912,441185,441224,461872,571351,619438,607356,678245,735334,794381,591388,522618,561342,465132,550225,642842,703030,836609,1165596,881132,736178
"49000","Utah","7","SA45","31","...","      Cattle and calves",92689,101976,112257,127227,149999,105438,109531,133484,131665,209478,221448,210708,207258,195634,227455,257323,190048,212536,242829,321719,326546,324968,327446,315869,347303,315250,286961,262688,335892,328786,352000,402827,443141,425772,471491,497886,540553,366175,304180,319550,251713,292390,336739,399930,581842,830420,662138,538141
"49000","Utah","7","SA45","32","...","      Hogs and pigs",4059,3869,3107,4743,6624,6279,8403,8240,9246,8054,6980,7803,8737,7068,5337,4460,3407,3634,3680,4479,4453,6034,5788,5200,6374,5327,6270,17779,40855,54110,61457,112891,127714,128797,153802,179514,189443,155197,154228,178137,164169,193499,219085,203206,223773,248748,161985,147591
"49000","Utah","7","SA45","33","...","      Sheep and other livestock",29273,27874,23696,28018,36422,33996,32398,31751,34753,38705,56093,51344,52559,55988,48343,53273,53554,55042,55888,62277,62880,51276,44332,50826,51797,55581,57436,71445,64438,58328,48415,55633,48583,52787,52952,57934,64385,70016,64210,63655,49250,64336,87018,99894,30994,86428,57009,50446
"49000","Utah","7","SA45","40","...","    Dairy products",41665,45594,47617,51447,60295,75000,77919,87756,87581,96265,110901,127544,144069,148720,150066,133620,137000,137220,134318,136397,148330,164763,148580,169532,165065,181930,181837,219476,195825,231154,222122,186032,236670,194110,194568,251514,243756,219964,324702,320551,214476,310068,401408,379984,413010,514527,375190,332960
"49000","Utah","7","SA45","50","...","    Poultry and poultry products",26052,28905,26970,27618,53693,35363,40320,38407,37748,47330,48521,45289,47566,44415,46146,51927,64335,68360,56783,70499,69616,71481,69544,63824,77263,66230,69126,72630,73786,70645,73856,82878,89613,103780,100252,90282,85698,99244,129632,142978,102635,148575,152009,154486,159174,184084,282528,179473
"49000","Utah","7","SA45","60","...","  Cash receipts: Crops",41546,47024,45822,46457,78390,101242,93427,100406,95185,103155,127187,131886,133545,130137,140727,134478,138401,128329,134722,183274,190158,180662,180721,200149,228608,241031,239922,244566,268117,256878,244372,247382,252976,252831,268749,294913,306540,357912,431141,470062,343883,354556,471501,529046,505011,485789,404395,364652
"49000","Utah","7","SA45","70","...","    Total grains",9621,13798,11470,14569,26511,38619,35023,25750,20458,27706,35603,43849,47110,45108,45073,43052,43448,38426,37298,47127,45618,37327,39098,42786,47012,49012,60714,69783,53468,46924,43831,36707,33529,28121,29348,34920,32933,39621,52359,66965,62688,67798,90296,104609,81913,72818,48825,43264
