"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"05000","Arkansas","5","SA4","10","...","Personal income (thousands of dollars)",560157,416278,381638,278409,283060,341705,386004,460151,481582,439122,479153,502002,676326,973768,1051339,1236417,1324089,1372264,1358169,1611219,1512797,1624744,1848530,1921979,1935830,1914544,2080765,2156658,2226162,2319693,2532765,2557904,2781764,2973098,3149260,3418008,3606460,4006747,4249157,4595196,5129597,5635770,6273038,7082421,8381299,9361505,10317199,11388677,12666674,14682928,16089892,17371177,19657239,20676166,21988073,24474975,26082631,27399821,28476005,30546100,32776869,34487482,36434402,39744696,41722523,44297617,47104707,50012919,52409055,55647128,57896065,61029036,64205009,65583321,69393101,73711023,77736622,82701324,88227922,92390681,90880167,92913782,99296630,106664517,106466207,112682792,116227802,118697988,122546185
"05000","Arkansas","5","SA4","11","...","  Nonfarm personal income 1/",392528,347794,284197,220431,211918,255175,272028,330293,331069,317710,348682,365676,471674,708762,810301,918691,1057181,995099,998176,1099007,1147439,1257852,1443631,1544411,1600088,1606627,1697598,1829991,1952573,2035971,2169670,2247143,2415387,2651173,2829082,3059645,3321165,3615368,3950469,4261044,4786947,5224074,5869592,6604399,7473089,8534578,9529844,10757335,11951276,13517454,15105829,17009939,18817123,20043101,21579019,23601359,25227432,26603967,27551252,29212905,31552466,33455502,35323200,38331314,40404113,42848180,45639756,48106715,50613211,54065248,56106495,59341157,62211618,64325815,66993394,70956369,75870035,81216048,86387526,90706343,89740859,92151852,98426129,105214183,103537566,110106405,114566506,117367821,120664625
"05000","Arkansas","5","SA4","12","...","  Farm income 2/",167629,68484,97441,57978,71142,86530,113976,129858,150513,121412,130471,136326,204652,265006,241038,317726,266908,377165,359993,512212,365358,366892,404899,377568,335742,307917,383167,326667,273589,283722,363095,310761,366377,321925,320178,358363,285295,391379,298688,334152,342650,411696,403446,478022,908210,826927,787355,631342,715398,1165474,984063,361238,840116,633065,409054,873616,855199,795854,924753,1333195,1224403,1031980,1111202,1413382,1318410,1449437,1464951,1906204,1795844,1581880,1789570,1687879,1993391,1257506,2399707,2754654,1866587,1485276,1840396,1684338,1139308,761930,870501,1450334,2928641,2576387,1661296,1330167,1881560
"05000","Arkansas","5","SA4","20","...","Population (persons) 3/",1852000,1859000,1848000,1836000,1854000,1878000,1890000,1892000,1903000,1928000,1948000,1955000,1966000,1983000,1839000,1771000,1758000,1805000,1835000,1825000,1844000,1908000,1901000,1838000,1780000,1734000,1725000,1704000,1733000,1726000,1756000,1789000,1806000,1853000,1875000,1897000,1894000,1899000,1901000,1902000,1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921737,2938640,2949208,2956780,2964800,2975626,2988231,3004279
"05000","Arkansas","5","SA4","30","...","Per capita personal income (dollars) 4/",302,224,207,152,153,182,204,243,253,228,246,257,344,491,572,698,753,760,740,883,820,852,972,1046,1088,1104,1206,1266,1285,1344,1442,1430,1540,1604,1680,1802,1904,2110,2235,2416,2681,2920,3181,3509,4072,4457,4780,5251,5739,6552,7091,7590,8572,9012,9536,10551,11208,11750,12157,13039,13969,14635,15288,16451,16986,17762,18579,19444,20149,21189,21832,22784,23854,24237,25467,26807,27952,29308,30972,32141,31372,31801,33790,36167,36007,38007,39060,39722,40791
"05000","Arkansas","5","SA4","35","...","  Earnings by place of work",478800,345393,310594,223110,232055,287866,331678,388134,426557,386078,419791,441598,612664,903340,981407,1155647,1217766,1184317,1155154,1395135,1286457,1349359,1600493,1672180,1663269,1618901,1768848,1814123,1859436,1924217,2118077,2120502,2290220,2439212,2580352,2806043,2913636,3274799,3431299,3782416,4129773,4451584,4923230,5619258,6700533,7316183,7749180,8647886,9710387,11397926,12335614,12668068,14057960,14295317,15244048,17314789,18309055,19348036,20539551,22277904,23500013,24824989,26390409,29027860,30490195,32578684,34356887,36240029,37949028,40482931,42761743,44907085,46886056,47778741,51044530,54275176,56252792,58446435,60682223,61334502,59950548,61124953,63447098,66895723,69430865,71398872,72170453,73821729,76363492
"05000","Arkansas","5","SA4","36","...","  Less: Contributions for government social insurance 5/",557,531,482,509,404,410,409,386,6425,7002,7672,7942,9798,17373,20248,23731,37103,41937,29475,27589,29957,29949,37582,41211,41123,45005,49357,53308,61003,65593,78678,91924,95181,109007,126531,136624,146904,191458,221414,251764,278076,296095,340037,404704,524375,608524,638331,744772,847290,987347,1133719,1219986,1422240,1497994,1638329,1868653,2005443,2140765,2251236,2506564,2674759,2965450,3149236,3409381,3618934,3908221,4109682,4251486,4460136,4733618,4962235,5195938,5349797,5513639,5715497,6000765,6353451,6819232,7099080,7392679,7392724,7619755,7119145,7259905,8262759,8606604,8880030,9020415,9332871
"05000","Arkansas","5","SA4","37","...","    Employee and self-employed contributions for government social insurance",436,425,407,388,344,350,334,356,2201,1955,2187,2399,2970,5430,9832,11729,12689,9492,9743,11185,11107,14312,17039,18467,19100,21409,23542,26743,30995,32405,38562,45688,46030,51980,60524,65943,69838,92832,113350,126631,138455,147866,168593,197254,253428,293346,309728,348680,394404,456221,525754,574503,674843,719365,776723,866068,964908,1041042,1111291,1253025,1372102,1512563,1617055,1749108,1850395,2006157,2103202,2171829,2290437,2413976,2547165,2661585,2766690,2875451,2970539,3127146,3347006,3625448,3798513,3962095,3959976,4054609,3384390,3433461,4402825,4601919,4765429,4921907,5105482
"05000","Arkansas","5","SA4","38","...","    Employer contributions for government social insurance",121,106,75,121,60,60,75,30,4224,5047,5485,5543,6828,11943,10416,12002,24414,32445,19732,16404,18850,15637,20543,22744,22023,23596,25815,26565,30008,33188,40116,46236,49151,57027,66007,70681,77066,98626,108064,125133,139621,148229,171444,207450,270947,315178,328603,396092,452886,531126,607965,645483,747397,778629,861606,1002585,1040535,1099723,1139945,1253539,1302657,1452887,1532181,1660273,1768539,1902064,2006480,2079657,2169699,2319642,2415070,2534353,2583107,2638188,2744958,2873619,3006445,3193784,3300567,3430584,3432748,3565146,3734755,3826444,3859934,4004685,4114601,4098508,4227389
"05000","Arkansas","5","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-225,-608,36,-302,241,1082,906,1556,2718,3837,-572,-1129,-1499,-1895,-2895,-3647,-4241,-5557,-4119,-4634,-6774,31637,23108,22000,21612,17865,11193,9069,-1008,-6963,-11499,-13479,-3517,-23085,-20496,-50251,-69352,-75322,-101014,-123586,-157488,-161260,-220071,-247591,-271412,-307700,-334488,-304267,-300644,-305288,-306499,-321852,-359616,-349205,-446319,-508492,-544152,-567142,-438913,-372261,-106456,-114921,-142553,-131411,-182872,-217336,-235773,-239303,-262020,-270076
