"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"93000","Great Lakes","3","SA4","10","...","Personal income (thousands of dollars)",20053465,17173520,14352146,10475420,9674550,11555837,13399556,15431064,17158641,15071818,16477855,17842503,22159995,27410505,33226763,35179181,35930647,38824914,42816348,47854434,46098189,51322613,58289006,61803406,67442685,66784592,72244835,77424089,80615393,80490362,85719800,89057472,91255939,96745163,101264358,108845257,118836426,129264268,135967661,148308674,161928782,170494196,183426586,200394486,223874628,243199998,262731562,288823117,320538980,355697068,391884653,424667539,463297006,484667635,510529363,563598206,598790765,631279472,663817850,711154163,765358368,808452883,828074860,889435929,929374734,985774043,1038939784,1096974637,1158529116,1232322421,1284847578,1370321856,1409803336,1426994929,1459125790,1515557416,1562011796,1645887046,1717580638,1774681948,1707107118,1750077094,1855242063,1932715487,1962255576,2044875262,2130088923,2176707324,2230467739
"93000","Great Lakes","3","SA4","11","...","  Nonfarm personal income 1/",18863377,16316293,13541947,10042631,9220590,11010034,12228979,14529335,15750446,14135522,15547521,16979156,20780027,25360357,30889241,33014350,33388997,35891990,39996365,44023278,43627256,48805814,55187334,58892831,64865601,64197457,70238887,75210501,78538633,78070408,83811488,87050183,88817614,94401469,98910115,106810841,116215412,126305122,133446268,145891923,159073811,167991539,180544682,197244920,218685341,238567799,256951453,284055743,315773575,351244961,386718774,421404977,459669200,481796329,510704853,559254132,593891788,626852522,658875389,707866675,758418347,802558871,824586640,883445489,924310970,979833010,1035730737,1090172267,1152070522,1226871272,1280431091,1365069912,1404305459,1423378321,1452994879,1505522140,1555302479,1639589295,1708757654,1763443476,1699645040,1741429869,1838472144,1921034964,1940510308,2031801140,2123032897,2169458566,2226054608
"93000","Great Lakes","3","SA4","12","...","  Farm income 2/",1190088,857227,810199,432789,453960,545803,1170577,901729,1408195,936296,930334,863347,1379968,2050148,2337522,2164831,2541650,2932924,2819983,3831156,2470933,2516799,3101672,2910575,2577084,2587135,2005948,2213588,2076760,2419954,1908312,2007289,2438325,2343694,2354243,2034416,2621014,2959146,2521393,2416751,2854971,2502657,2881904,3149566,5189287,4632199,5780109,4767374,4765405,4452107,5165879,3262562,3627806,2871306,-175490,4344074,4898977,4426950,4942461,3287488,6940021,5894012,3488220,5990440,5063764,5941033,3209047,6802370,6458594,5451149,4416487,5251944,5497877,3616608,6130911,10035276,6709317,6297751,8822984,11238472,7462078,8647225,16769919,11680523,21745268,13074122,7056026,7248758,4413131
"93000","Great Lakes","3","SA4","20","...","Population (persons) 3/",25187000,25332000,25426000,25535000,25632000,25694000,25824000,25960000,26096000,26243000,26456000,26725000,27042000,27158000,26478000,26511000,26379000,28425000,29153000,29832000,30324000,30530000,30883000,31498000,32166000,33063000,33779000,34404000,34967000,35578000,35928000,36290000,36616000,36927000,37357000,37868000,38405000,38951000,39347000,39645000,39904000,40319722,40622322,40824274,40946800,41036791,41105385,41186726,41353165,41510152,41610978,41693671,41647869,41492474,41366046,41393218,41417995,41455030,41589687,41720866,41872543,42091157,42495903,42902625,43274741,43589980,43923694,44239468,44493603,44727877,44969225,45216019,45401564,45550284,45707787,45844372,45949142,46071573,46187992,46275120,46355854,46437641,46502999,46568813,46661624,46735308,46756588,46798649,46885244
"93000","Great Lakes","3","SA4","30","...","Per capita personal income (dollars) 4/",796,678,564,410,377,450,519,594,658,574,623,668,819,1009,1255,1327,1362,1366,1469,1604,1520,1681,1887,1962,2097,2020,2139,2250,2305,2262,2386,2454,2492,2620,2711,2874,3094,3319,3456,3741,4058,4229,4515,4909,5467,5926,6392,7013,7751,8569,9418,10185,11124,11681,12342,13616,14457,15228,15961,17046,18278,19207,19486,20732,21476,22615,23653,24796,26038,27552,28572,30306,31052,31328,31923,33059,33994,35725,37187,38351,36826,37687,39895,41502,42053,43754,45557,46512,47573
"93000","Great Lakes","3","SA4","35","...","  Earnings by place of work",15768093,13375658,10973463,7994005,7639653,9416977,11042010,12503590,14626674,12780819,13861543,15079145,19119352,24161009,29994323,31809753,31894421,33606306,37068756,41763378,39831189,43995192,51296136,54487628,59149628,57908760,62736228,67086178,69480367,67935579,73121438,75850146,76470234,81372585,85315165,91726222,100135259,110585181,115362691,125717914,137972990,142407825,151881047,166710393,187620491,200328940,209653961,233488467,261647298,292387517,320769465,331540116,353627997,357064316,374141608,418462856,448158562,475270281,505658025,547063376,583745571,614746125,629170478,677812442,710285330,756031829,791398352,832487650,880415706,940470363,995749472,1057972481,1086039084,1103849144,1129799228,1175413848,1202342504,1250083276,1282305638,1300431832,1232110106,1259290009,1326143651,1379686733,1422791269,1467138142,1519602799,1561063512,1605562808
"93000","Great Lakes","3","SA4","36","...","  Less: Contributions for government social insurance 5/",13577,13338,12558,12738,11603,15198,19106,66858,392603,426819,438790,473761,610039,658944,782501,896641,960395,1079461,1026766,993989,1059215,1214077,1493372,1591317,1649895,1871555,2115727,2366879,2707590,2492273,3046012,3656635,3617986,4043709,4562420,4762816,4946905,6742403,7274026,7989293,9311388,9503175,10424212,12095358,15630524,17399800,17668699,20241954,22758332,26286274,29932237,30927698,35438743,36376870,38845049,44259971,48192425,51647010,54317960,60614448,64605490,68950461,72224951,76663048,81158164,87641581,92241911,95305482,99863961,104858104,110200040,114562258,116267169,117881304,121238091,127508467,132694871,138389302,142461786,145209745,138999156,141111337,132269966,137381881,157293693,162664303,168867625,173126036,180116092
"93000","Great Lakes","3","SA4","37","...","    Employee and self-employed contributions for government social insurance",11917,11884,11521,11083,10779,11374,11080,12203,96734,84452,93232,104192,133709,168818,237582,297252,306579,295395,336198,359045,353428,492777,600170,654352,672513,822755,934040,1033265,1184514,1092054,1300105,1549871,1542443,1658786,1918462,2006620,2135247,3078524,3513565,3917590,4484988,4603171,5036430,5696107,7320868,8193468,8382799,9320800,10356527,11804658,13608438,14319775,16606407,17147407,18009321,20068969,22522082,24312345,25870499,29032043,31526056,33604117,35384048,37359171,39531661,42831361,45362833,47118714,49799462,52543735,55485800,57926227,58987173,60376644,61591452,64224429,66881324,70420533,73149580,74961523,72004072,73044193,60114515,62013635,81585297,85250283,88909362,92013620,95756310
"93000","Great Lakes","3","SA4","38","...","    Employer contributions for government social insurance",1660,1454,1037,1655,824,3824,8026,54655,295869,342367,345558,369569,476330,490126,544919,599389,653816,784066,690568,634944,705787,721300,893202,936965,977382,1048800,1181687,1333614,1523076,1400219,1745907,2106764,2075543,2384923,2643958,2756196,2811658,3663879,3760461,4071703,4826400,4900004,5387782,6399251,8309656,9206332,9285900,10921154,12401805,14481616,16323799,16607923,18832336,19229463,20835728,24191002,25670343,27334665,28447461,31582405,33079434,35346344,36840903,39303877,41626503,44810220,46879078,48186768,50064499,52314369,54714240,56636031,57279996,57504660,59646639,63284038,65813547,67968769,69312206,70248222,66995084,68067144,72155451,75368246,75708396,77414020,79958263,81112416,84359782
"93000","Great Lakes","3","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-26085,-28368,-26453,-30622,-26820,-27796,-21464,-16903,-4807,10444,-112405,-126108,-123515,-111621,-116095,-114150,-121944,-133187,-145921,-134457,-143815,271950,243443,317300,366743,417995,512974,590954,722846,903684,1110245,1326154,1594541,1331928,1206750,1202063,1327601,1390497,1465879,1523154,1644556,1665689,1926714,1913165,2029549,2102123,2279468,2437963,2683144,2985906,3024564,3453256,3794669,4008059,2105583,1264644,2413200,2234627,3709121,5807260,6388616,5689283,5668223,5731262,6190323,6191995,6623730,7140588,7279810,7400624
"93000","Great Lakes","3","SA4","45","...","  Equals: Net earnings by place of residence",15754516,13362320,10960905,7981267,7628050,9401779,11022904,12436732,14234071,12354000,13422753,14605384,18509313,23502065,29211822,30913112,30934026,32526845,36041990,40743304,38743606,42754662,49772142,52869491,57471937,56015741,60603598,64714492,66783221,65330901,69949318,72069996,72740627,77212781,80638595,86841462,95055167,103696857,107954208,117584806,128933552,133148093,141774135,154981778,172407962,183442114,192576216,213969359,239792650,267211488,292163382,302206959,319521182,321894196,336498622,375530486,401356634,425089150,452863219,488093484,520805770,547722378,558858692,603178943,631229289,670669716,701594404,739865312,783537651,838636823,889002688,947204892,973779974,988073423,1009825781,1050318581,1071882260,1115403095,1145651112,1161610703,1098800233,1123846895,1199604947,1248495175,1271689571,1311097569,1357875762,1395217286,1432847340
"93000","Great Lakes","3","SA4","46","...","  Plus: Dividends, interest, and rent 7/",4021374,3531834,2873346,2107540,1662901,1773547,1937386,2342193,2511192,2226249,2525046,2669738,3091741,3305037,3476860,3616039,3802034,4279896,4618525,4995815,5309926,6137846,6415733,6666772,7514974,7872888,8511233,9299376,9850236,10100334,10827749,11730122,12385275,13378387,14282437,15529443,16846438,18038259,19004226,20311050,21661403,23798162,25550009,27440321,30528906,34825960,38124254,40605458,44977017,50043964,56256765,67857291,83072992,94660152,101261472,113535459,119180745,124256016,126771305,135146826,150241163,157672434,156949614,162260493,167832576,180740887,195689510,208927612,221906290,238146213,234185586,251887485,248093814,239328364,240921068,248067090,256637051,284931631,306490800,314045366,275659834,270260641,302419814,330633039,328684002,357878523,378283701,381079585,391902418
"93000","Great Lakes","3","SA4","47","...","  Plus: Personal current transfer receipts",277575,279366,517895,386613,383599,380511,439266,652139,413378,491569,530056,567381,558941,603403,538081,650030,1194587,2018173,2155833,2115315,2044657,2430105,2101131,2267143,2455774,2895963,3130004,3410221,3981936,5059127,4942733,5257354,6130037,6153995,6343326,6474352,6934821,7529152,9009227,10412818,11333827,13547941,16102442,17972387,20937760,24931924,32031092,34248300,35769313,38441616,43464506,54603289,60702832,68113287,72769269,74532261,78253386,81934306,84183326,87913853,94311435,103058071,112266554,123996493,130312869,134363440,141655870,148181713,153085175,155539385,161659304,171229479,187929548,199593142,208378941,217171745,233492485,245552320,265438726,299025879,332647051,355969558,353217302,353587273,361882003,375899170,393929460,400410453,405717981
"93000","Great Lakes","3","SA4","50","...","  Wages and salaries",12752588,11013194,9008568,6811729,6502446,7885670,8714666,10134865,11401109,10057631,11016263,12044615,14941854,18643946,23452541,25088196,24476561,25158524,28979342,32177004,31426052,34835346,40400574,43228974,47600079,46078242,50410710,53745118,55421265,53415769,58079444,60305963,60179982,64188363,67478494,72729462,79288938,87130592,91563845,100364399,110153871,114415436,121023793,132045169,147543086,158491426,162865875,181586318,202216366,226701768,248699119,258625084,276476954,279169308,291167001,320306474,342191409,361765204,383824585,414523466,436923594,460488159,472080790,500341166,523574181,557944634,589698081,619114237,658379296,703086091,742124523,782688148,791356051,798649033,815205134,847365841,872337369,906517166,939294422,949484540,894538281,909557082,949850030,989787305,1012058171,1054598066,1104145084,1131176425,1162127414
