"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"21000","Kentucky","5","SA4","10","...","Personal income (thousands of dollars)",1010390,844362,760629,557851,549617,630438,726291,810839,942921,828269,860935,919364,1142066,1547972,1928651,2035539,2121413,2304077,2439168,2827749,2689872,2943586,3460626,3680910,3868245,3819265,3997020,4225583,4435856,4642493,4878696,5033959,5359676,5687602,5979565,6237923,6765611,7396649,8001690,8737484,9702046,10517373,11444607,12654522,14211061,16007267,17446401,19488702,21868067,24357691,27351774,29770590,33114794,35287385,36629766,40882623,42685414,43905007,46333321,50389911,54151355,57482504,60643068,65371767,67907191,71377080,74798939,79385813,84293663,89291011,93068131,100491384,103880570,106192366,109033108,115700799,121353573,128434393,134438098,141421812,139458607,143617957,150669444,155996922,156589351,163278651,170266901,172713808,175463990
"21000","Kentucky","5","SA4","11","...","  Nonfarm personal income 1/",808326,732216,627340,485333,471133,538571,596729,690916,715062,686440,725748,785973,971945,1284021,1597034,1682088,1746489,1870747,2029313,2326787,2294834,2608083,3027958,3299983,3520132,3447404,3689580,3876267,4147102,4279824,4542730,4712121,4964247,5292973,5575987,5941945,6401272,7016941,7621613,8367681,9275660,10125684,11038573,12149333,13634344,15344834,16968067,18936891,21190854,23758818,26679377,29215612,32182148,34394103,36406036,39770533,41817914,43264923,45610410,49620256,53019687,56370809,59530468,64078178,66805461,70222609,74103995,78258766,83165009,88291035,92298556,99011359,102812309,105531590,108350871,114476323,119794699,127215755,133688515,141000997,138770356,143261203,149759333,155090833,154547324,162150614,169491323,172624687,175427417
"21000","Kentucky","5","SA4","12","...","  Farm income 2/",202064,112146,133289,72518,78484,91867,129562,119923,227859,141829,135187,133391,170121,263951,331617,353451,374924,433330,409855,500962,395038,335503,432668,380927,348113,371861,307440,349316,288754,362669,335966,321838,395429,394629,403578,295978,364339,379708,380077,369803,426386,391689,406034,505189,576717,662433,478334,551811,677213,598873,672397,554978,932646,893282,223730,1112090,867500,640084,722911,769655,1131668,1111695,1112600,1293589,1101730,1154471,694944,1127047,1128654,999976,769575,1480025,1068261,660776,682237,1224476,1558874,1218638,749583,420815,688251,356754,910111,906089,2042027,1128037,775578,89121,36573
"21000","Kentucky","5","SA4","20","...","Population (persons) 3/",2606000,2623000,2652000,2676000,2698000,2722000,2748000,2768000,2784000,2800000,2825000,2859000,2851000,2809000,2690000,2616000,2604000,2757000,2802000,2817000,2849000,2936000,2941000,2920000,2903000,2902000,2910000,2898000,2928000,2961000,2999000,3041000,3054000,3079000,3096000,3129000,3140000,3147000,3172000,3195000,3198000,3230587,3298262,3336106,3371573,3417039,3468755,3530443,3575001,3611382,3643655,3664221,3670395,3683449,3694469,3695459,3694816,3687805,3683330,3680002,3677318,3694048,3722328,3765469,3812206,3849088,3887427,3919535,3952747,3985390,4018053,4049021,4068132,4089875,4117170,4146101,4182742,4219239,4256672,4289878,4317074,4347948,4368505,4383673,4399121,4410415,4422057,4436113,4454189
"21000","Kentucky","5","SA4","30","...","Per capita personal income (dollars) 4/",388,322,287,208,204,232,264,293,339,296,305,322,401,551,717,778,815,836,871,1004,944,1003,1177,1261,1332,1316,1374,1458,1515,1568,1627,1655,1755,1847,1931,1994,2155,2350,2523,2735,3034,3256,3470,3793,4215,4685,5030,5520,6117,6745,7507,8125,9022,9580,9915,11063,11553,11905,12579,13693,14726,15561,16292,17361,17813,18544,19241,20254,21325,22405,23162,24819,25535,25965,26483,27906,29013,30440,31583,32966,32304,33031,34490,35586,35596,37021,38504,38934,39393
"21000","Kentucky","5","SA4","35","...","  Earnings by place of work",826510,671759,594303,423553,435270,510232,598012,656450,821701,708492,734792,790871,1008201,1397523,1777989,1882392,1931818,2004653,2113776,2388128,2245760,2421566,2956715,3169720,3288467,3184315,3333648,3529381,3669358,3778234,3980341,4066033,4239724,4578802,4855903,5039490,5491896,6095843,6597743,7241678,7934626,8465736,9197559,10234060,11564849,12890906,13615900,15398723,17459899,19580198,21876753,22789066,24885423,25701436,26307618,29878100,31141160,31894662,34226442,37630921,40121419,42426385,44324252,48326332,50450528,53184128,55010703,58100847,61788401,65463845,69505003,74398276,76611210,78776224,81858465,87325592,91816438,95466727,98200371,101235691,98171301,101296074,105336891,108609825,110382985,113309587,117468375,119705491,122067743
"21000","Kentucky","5","SA4","36","...","  Less: Contributions for government social insurance 5/",833,797,729,764,605,624,614,589,16356,16774,20977,21505,27314,33233,40698,46481,60813,79737,68070,60315,63519,71618,82876,92357,97206,105910,118876,125904,145399,142362,168762,184197,184651,208777,240402,245178,257745,338674,400195,445995,509229,547013,614611,713437,918858,1060043,1122078,1290588,1451425,1685793,1944370,2058845,2391613,2525652,2653414,3000058,3217940,3452793,3681713,4098338,4407170,4818327,5093474,5519863,5885555,6331031,6634681,6898290,7298839,7748334,8258002,8525179,8743239,9025246,9282949,9670706,10150257,10689791,11168333,11639750,11511827,11834087,10950520,11307892,12896964,13474206,14035108,14447108,14896504
"21000","Kentucky","5","SA4","37","...","    Employee and self-employed contributions for government social insurance",663,648,622,593,519,538,506,546,5960,5473,6549,7107,9502,11172,18375,19673,19513,18147,20332,22714,21624,29136,34775,38456,40506,46401,52373,54478,66177,65073,73220,82834,84184,92481,108976,113726,119594,163846,199112,220816,250655,270359,299984,343841,437748,504943,538641,601307,672806,772229,896327,962457,1128063,1199840,1246146,1379999,1526825,1651523,1783448,2003969,2201674,2396554,2547387,2736519,2899614,3133811,3314639,3455821,3670677,3877222,4105948,4299474,4465680,4606231,4760491,4980379,5259699,5598689,5879946,6134654,6057365,6158530,5083954,5212482,6727659,7031750,7294815,7579392,7818414
"21000","Kentucky","5","SA4","38","...","    Employer contributions for government social insurance",170,149,107,171,86,86,108,43,10396,11301,14428,14398,17812,22061,22323,26808,41300,61590,47738,37601,41895,42482,48101,53901,56700,59509,66503,71426,79222,77289,95542,101363,100467,116296,131426,131452,138151,174828,201083,225179,258574,276654,314627,369596,481110,555100,583437,689281,778619,913564,1048043,1096388,1263550,1325812,1407268,1620059,1691115,1801270,1898265,2094369,2205496,2421773,2546087,2783344,2985941,3197220,3320042,3442469,3628162,3871112,4152054,4225705,4277559,4419015,4522458,4690327,4890558,5091102,5288387,5505096,5454462,5675557,5866566,6095410,6169305,6442456,6740293,6867716,7078090
"21000","Kentucky","5","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",81704,84028,81551,82237,80030,94221,86717,87306,103065,97154,75685,89371,89491,81289,83911,83672,91112,96495,104422,79582,86467,164126,153101,96827,90835,45011,17661,11163,-17176,6405,29395,25688,57157,16312,10039,33118,2452,-4385,21582,4381,-6300,-41834,-34624,-42424,-262849,-253383,-336452,-337053,-319028,-318751,-191294,-275071,-296333,-574753,-942221,-1277576,-1390135,-1720555,-1837699,-1685923,-1691418,-1856595,-2116228,-2293319,-2329701,-1923005,-1840066,-1879778,-1729026,-1657524
