"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"11000","District of Columbia","2","SA50","10","...","Personal income (thousands of dollars)",1786172,1851892,1959271,2060768,2167693,2104071,2070126,2053501,2148789,2235140,2283800,2351421,2379382,2502266,2691249,2860578,3034510,3269109,3409074,3647808,3829372,3724835,4129474,4597223,4990553,5251389,5697134,6186537,6550200,7032458,7490915,7905250,8355120,8971160,9567530,9977198,10899046,11548191,12133514,12781025,14041999,14970581,15575579,16272212,17188128,17910334,18319858,18434325,19195399,20209086,21456211,22342023,24542346,25709919,26107920,26408223,28989462,30551489,32542965,34651082,36034466,35532577,37436702,40811859,42309871,43195599,46157065,49671007,51842801
"11000","District of Columbia","2","SA50","15","...","  Less: Personal current taxes",153394,161910,169100,219843,277316,236101,218264,226945,229257,247466,269979,309275,323386,309322,343195,343893,327187,337001,383010,392006,419622,495467,526131,532196,601039,648570,694675,732054,863832,871591,984551,1131394,1178308,1385489,1458160,1446807,1585700,1697709,1767782,1958560,2026817,2166970,2193203,2132704,2158197,2172879,2340759,2347303,2595113,2913506,3275337,3585229,4025713,4113905,3487423,3465046,3806249,4364795,4669734,5408151,5362378,4492101,4648754,5524700,5997550,6470473,6917071,7689849,7858141
"11000","District of Columbia","2","SA50","16","...","Equals: Disposable personal income",1632778,1689982,1790171,1840925,1890377,1867970,1851862,1826556,1919532,1987674,2013821,2042146,2055996,2192944,2348054,2516685,2707323,2932108,3026064,3255802,3409750,3229368,3603343,4065027,4389514,4602819,5002459,5454483,5686368,6160867,6506364,6773856,7176812,7585671,8109370,8530391,9313346,9850482,10365732,10822465,12015182,12803611,13382376,14139508,15029931,15737455,15979099,16087022,16600286,17295580,18180874,18756794,20516633,21596014,22620497,22943177,25183213,26186694,27873231,29242931,30672088,31040476,32787948,35287159,36312321,36725126,39239994,41981158,43984660
"11000","District of Columbia","2","SA50","20","...","Population (persons) 1/",840000,807000,806000,808000,805000,810000,791000,785000,759000,763000,757000,761000,765000,778000,788000,798000,798000,797000,791000,791000,778000,762000,755087,750641,743775,733674,720755,710308,696305,681768,670046,655616,638284,636893,634174,632433,633382,634549,638269,636930,630432,624168,605321,600870,597565,595301,589239,580517,572377,567736,565230,570213,572046,574504,573158,568502,567754,567136,570681,574404,580236,592228,605040,620336,635630,650114,660797,672736,684336
"11000","District of Columbia","2","SA50","30","...","Per capita personal income (dollars) 2/",2126,2295,2431,2550,2693,2598,2617,2616,2831,2929,3017,3090,3110,3216,3415,3585,3803,4102,4310,4612,4922,4888,5469,6124,6710,7158,7904,8710,9407,10315,11180,12058,13090,14086,15087,15776,17208,18199,19010,20067,22274,23985,25731,27081,28764,30086,31091,31755,33536,35596,37960,39182,42903,44752,45551,46452,51060,53870,57025,60325,62103,59998,61875,65790,66564,66443,69851,73834,75756
"11000","District of Columbia","2","SA50","50","...","Per capita disposable personal income (dollars) 3/",1944,2094,2221,2278,2348,2306,2341,2327,2529,2605,2660,2684,2688,2819,2980,3154,3393,3679,3826,4116,4383,4238,4772,5415,5902,6274,6941,7679,8166,9037,9710,10332,11244,11910,12787,13488,14704,15524,16240,16992,19059,20513,22108,23532,25152,26436,27118,27712,29002,30464,32165,32894,35865,37591,39466,40357,44356,46174,48842,50910,52861,52413,54191,56884,57128,56490,59383,62404,64273
"11000","District of Columbia","2","SA50","60","...","Personal current taxes",153394,161910,169100,219843,277316,236101,218264,226945,229257,247466,269979,309275,323386,309322,343195,343893,327187,337001,383010,392006,419622,495467,526131,532196,601039,648570,694675,732054,863832,871591,984551,1131394,1178308,1385489,1458160,1446807,1585700,1697709,1767782,1958560,2026817,2166970,2193203,2132704,2158197,2172879,2340759,2347303,2595113,2913506,3275337,3585229,4025713,4113905,3487423,3465046,3806249,4364795,4669734,5408151,5362378,4492101,4648754,5524700,5997550,6470473,6917071,7689849,7858141
"11000","District of Columbia","2","SA50","70","...","  Federal government 4/",148261,156297,163986,215467,272816,231537,212882,219683,216246,226999,245019,280033,291599,274275,302916,307763,287816,294035,319699,329805,351452,411074,423561,416874,463338,508306,528360,554088,650196,654921,765099,896993,942892,1057427,1119351,1080239,1180579,1255326,1305977,1426666,1386637,1532209,1533509,1485306,1495519,1559659,1678742,1653451,1875395,2110556,2364102,2577662,2920598,3013817,2542105,2471604,2589904,3006104,3439744,3961461,3993683,3409734,3494408,4195271,4447433,4818508,5228960,5930738,6000293
"11000","District of Columbia","2","SA50","80","...","    Income taxes (net of refunds) 4/",148261,156297,163986,215467,272816,231537,212882,219683,216246,226999,245019,280033,291599,274275,302916,307763,287816,294035,319699,329805,351452,411074,423561,416874,463338,508306,528360,554088,650196,654921,765099,896993,942892,1057427,1119351,1080239,1180579,1255326,1305977,1426666,1386637,1532209,1533509,1485306,1495519,1559659,1678742,1653451,1875395,2110556,2364102,2577662,2920598,3013817,2542105,2471604,2589904,3006104,3439744,3961461,3993683,3409734,3494408,4195271,4447433,4818508,5228960,5930738,6000293
"11000","District of Columbia","2","SA50","81","...","      Income taxes (gross) 4/",164703,175698,180695,232179,290911,254950,234552,242962,239576,249392,269494,307947,322194,306903,334680,342457,323196,322747,351597,370005,395733,453822,477842,478864,525804,599354,627868,684854,765652,779068,889983,1025701,1144300,1244512,1322980,1310776,1441291,1495931,1554568,1667266,1642277,1759796,1768850,1740769,1735282,1789289,1903094,1884778,2101592,2343354,2606385,2876685,3240895,3374891,2992787,2895059,3028781,3417664,3917534,4425573,4640871,4028462,4072110,4765944,5027264,5369641,5796048,6479472,6611112
