"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"12000","Florida","5","SA50","10","...","Personal income (thousands of dollars)",3185440,3315822,3785477,4287519,4850615,5407556,5696503,6514925,7551094,8355898,9080435,10006318,10479655,11106051,11986123,12880384,14111984,15452114,16977969,18785941,21611770,25165121,28474028,31975467,36785616,42791356,48155185,52615177,57334261,64182990,74169866,85170098,100174719,115826766,125266195,139241897,154951730,170340970,184230468,199396960,218709966,244145082,260093568,270301132,286472913,304269718,320445032,344347697,366382132,388030818,419558498,441185618,477315998,503630546,522698930,546581820,593212601,647093731,703750490,730814302,734691254,691355724,728063852,773315948,793103892,798885890,856491910,919957986,947207472
"12000","Florida","5","SA50","15","...","  Less: Personal current taxes",243103,220687,265029,388380,473246,513574,502942,581357,726718,806426,803300,918751,969474,1023023,1115775,1194892,1218744,1368962,1533517,1852459,2353232,2917056,3003048,3197351,4198625,4703300,5140797,4694354,5499705,6321844,7740572,9442277,11540237,13571318,15516414,14258006,14677340,17823189,19845649,21788652,23097067,25942536,26701286,26052914,27527182,29504584,31715206,34738165,40338906,45763843,50846133,53679676,59502629,60196887,52265287,47786658,55242438,69444765,75799801,78844553,73538264,53980052,58433614,69740367,73590617,82057354,90659766,102445069,105110360
"12000","Florida","5","SA50","16","...","Equals: Disposable personal income",2942337,3095135,3520448,3899139,4377369,4893982,5193561,5933568,6824376,7549472,8277135,9087567,9510181,10083028,10870348,11685492,12893240,14083152,15444452,16933482,19258538,22248065,25470980,28778116,32586991,38088056,43014388,47920823,51834556,57861146,66429294,75727821,88634482,102255448,109749781,124983891,140274390,152517781,164384819,177608308,195612899,218202546,233392282,244248218,258945731,274765134,288729826,309609532,326043226,342266975,368712365,387505942,417813369,443433659,470433643,498795162,537970163,577648966,627950689,651969749,661152990,637375672,669630238,703575581,719513275,716828536,765832144,817512917,842097112
"12000","Florida","5","SA50","20","...","Population (persons) 1/",2578000,2668000,2810000,2980000,3157000,3310000,3505000,3747000,4047000,4372000,4630000,4808000,5004000,5243000,5458000,5628000,5781000,5954000,6104000,6242000,6433000,6641000,6845353,7163026,7520324,7927099,8317034,8541660,8695356,8888958,9131554,9470585,9839835,10192775,10471405,10749849,11039925,11351120,11667503,11997282,12306400,12637718,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16047515,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18846461,19097369,19341327,19584927,19897747,20268567,20656589
"12000","Florida","5","SA50","30","...","Per capita personal income (dollars) 2/",1236,1243,1347,1439,1536,1634,1625,1739,1866,1911,1961,2081,2094,2118,2196,2289,2441,2595,2781,3010,3360,3789,4160,4464,4891,5398,5790,6160,6594,7221,8122,8993,10181,11364,11963,12953,14036,15007,15790,16620,17772,19319,19956,20217,20986,21847,22504,23686,24667,25551,27092,27995,29744,30790,31319,32144,34063,36268,38738,39788,39655,37065,38631,40493,41006,40791,43045,45388,45855
"12000","Florida","5","SA50","50","...","Per capita disposable personal income (dollars) 3/",1141,1160,1253,1308,1387,1479,1482,1584,1686,1727,1788,1890,1901,1923,1992,2076,2230,2365,2530,2713,2994,3350,3721,4018,4333,4805,5172,5610,5961,6509,7275,7996,9008,10032,10481,11627,12706,13436,14089,14804,15895,17266,17907,18269,18970,19729,20277,21297,21951,22538,23809,24589,26036,27110,28188,29334,30891,32376,34565,35495,35685,34171,35531,36841,37201,36601,38488,40334,40767
"12000","Florida","5","SA50","60","...","Personal current taxes",243103,220687,265029,388380,473246,513574,502942,581357,726718,806426,803300,918751,969474,1023023,1115775,1194892,1218744,1368962,1533517,1852459,2353232,2917056,3003048,3197351,4198625,4703300,5140797,4694354,5499705,6321844,7740572,9442277,11540237,13571318,15516414,14258006,14677340,17823189,19845649,21788652,23097067,25942536,26701286,26052914,27527182,29504584,31715206,34738165,40338906,45763843,50846133,53679676,59502629,60196887,52265287,47786658,55242438,69444765,75799801,78844553,73538264,53980052,58433614,69740367,73590617,82057354,90659766,102445069,105110360
"12000","Florida","5","SA50","70","...","  Federal government 4/",227967,203714,247193,369926,452835,491050,478357,553389,695313,770476,764234,867657,917426,970587,1059291,1135889,1145408,1293605,1462115,1779084,2274634,2808330,2873877,3048225,4031749,4515492,4946850,4499728,5267422,6083324,7506717,9194854,11278435,13290968,15221279,13940239,14342601,17413203,19417569,21296526,22574081,25355484,26065575,25344212,26712300,28649259,30853449,33850508,39461118,44836765,49809375,52593108,58407383,59170556,51136106,46547789,53984273,68057292,74423681,77307583,72128318,52536635,56955830,68238742,72144565,80618287,89164841,100904429,103506826
"12000","Florida","5","SA50","80","...","    Income taxes (net of refunds) 4/",227967,203714,247193,369926,452835,491050,478357,553389,695313,770476,764234,867657,917426,970587,1059291,1135889,1145408,1293605,1462115,1779084,2274634,2808330,2873877,3048225,4031749,4515492,4946850,4499728,5267422,6083324,7506717,9194854,11278435,13290968,15221279,13940239,14342601,17413203,19417569,21296526,22574081,25355484,26065575,25344212,26712300,28649259,30853449,33850508,39461118,44836765,49809375,52593108,58407383,59170556,51136106,46547789,53984273,68057292,74423681,77307583,72128318,52536635,56955830,68238742,72144565,80618287,89164841,100904429,103506826
"12000","Florida","5","SA50","81","...","      Income taxes (gross) 4/",250874,233145,269200,394507,483344,529684,522989,604754,752788,840411,846228,954426,1011923,1073139,1170476,1258100,1276800,1408645,1604750,1967951,2518390,3091580,3259990,3489350,4506329,5329077,5869388,5773760,6291969,7158681,8626089,10406480,12849605,15002910,17278715,16517023,17156731,20266634,22681142,24756478,26373264,29089827,29942521,29650064,30964741,32758794,34946155,38564737,44311900,50036722,55449702,59527297,65988849,67727207,61793214,57296752,65250951,79568634,87292389,91116520,91751148,71502665,73806406,85704173,90444780,96195683,105099719,117180191,121478819
"12000","Florida","5","SA50","82","...","      Less: Refunds",22907,29431,22007,24581,30509,38634,44632,51365,57475,69935,81994,86769,94497,102552,111185,122211,131392,115040,142635,188867,243756,283250,386113,441125,474580,813585,922538,1274032,1024547,1075357,1119372,1211626,1571170,1711942,2057436,2576784,2814130,2853431,3263573,3459952,3799183,3734343,3876946,4305852,4252441,4109535,4092706,4714229,4850782,5199957,5640327,6934189,7581466,8556651,10657108,10748963,11266678,11511342,12868708,13808937,19622830,18966030,16850576,17465431,18300215,15577396,15934878,16275762,17971993
"12000","Florida","5","SA50","120","...","  State governments",11298,12772,13469,13886,15516,17323,19023,21553,25092,29507,32328,38173,38530,39440,42387,43260,59190,62994,60390,63329,70173,79653,97278,113185,125728,147327,157553,160079,195706,201953,185499,193430,199840,212090,232199,247080,264578,309206,342029,366638,397413,441228,490987,521818,576920,608657,601602,624545,599592,637878,666185,688605,732828,721628,786078,860742,918821,936431,950450,932301,907354,1028089,1154595,1187030,1114649,1046233,1075909,1100073,1144476
"12000","Florida","5","SA50","130","...","    Income taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12000","Florida","5","SA50","150","...","    Motor vehicle licenses",8535,9455,10735,12736,14162,15844,17531,20007,23523,27907,30654,36299,36590,37376,40215,40531,55611,59097,55971,58889,65162,74226,91273,106565,119155,139223,148586,149321,186290,193442,176183,182612,186807,198868,218589,233660,247873,289981,322458,344052,377515,414383,460917,489711,551996,588649,584403,608442,583880,620192,649983,673363,717865,707344,772942,848594,905534,923215,936723,917271,889118,1010190,1133226,1163455,1093597,1027692,1052067,1071130,1114992
"12000","Florida","5","SA50","160","...","    Other taxes 5/",2763,3317,2734,1150,1354,1479,1492,1546,1569,1600,1674,1874,1940,2064,2172,2729,3579,3897,4419,4440,5011,5427,6005,6620,6573,8104,8967,10758,9416,8511,9316,10818,13033,13222,13610,13420,16705,19225,19571,22586,19898,26845,30070,32107,24924,20008,17199,16103,15712,17686,16202,15242,14963,14284,13136,12148,13287,13216,13727,15030,18236,17899,21369,23575,21052,18541,23842,28943,29484
"12000","Florida","5","SA50","180","...","  Local governments",885,904,820,740,739,718,781,1478,1594,2053,1465,3516,3696,3143,3986,6544,6275,5693,5919,6425,6469,7654,9764,10508,12526,11293,13590,15842,17072,17002,24649,27732,33249,38429,40589,42170,40422,36395,36099,43282,51783,56748,56671,53901,51362,54789,64807,64888,67806,72632,82112,84619,90738,91702,92630,104804,124567,136345,144974,363881,272988,245923,128721,133639,151998,177219,199688,210448,221730
"12000","Florida","5","SA50","190","...","    Income taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12000","Florida","5","SA50","200","...","    Motor vehicle licenses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1092,1713,2510,4821,4616,4236,5276,5303,5756,10533,11422,12876,12438,8886,8489,7413,2759,9112,16072,19625,21709,21812,16481,15060,15121,17000,15166,16121,16820,16879,16721,14262,11256,8655,8151,7888,7096,7702,7688,6543,1133,22,20,9,0,10,10,10
"12000","Florida","5","SA50","210","...","    Other taxes",885,904,820,740,739,718,781,1478,1594,2053,1465,3516,3696,3143,3986,6544,6275,5693,5919,6425,6469,6562,8051,7998,7705,6677,9354,10566,11769,11246,14116,16310,20373,25991,31703,33681,33009,33636,26987,27210,32158,35039,34859,37420,36302,39668,47807,49722,51685,55812,65233,67898,76476,80446,83975,96653,116679,129249,137272,356193,266445,244790,128699,133619,151989,177219,199678,210438,221720
"12000","Florida","5","SA50","230","...","  State and local personal property taxes",2953,3297,3547,3828,4156,4483,4781,4937,4719,4390,5273,9405,9822,9853,10111,9199,7871,6670,5093,3621,1956,21419,22129,25433,28622,29188,22804,18705,19505,19565,23707,26261,28713,29831,22347,28517,29739,64385,49952,82206,73790,89076,88053,132983,186600,191879,195348,198224,210390,216568,288461,313344,271680,213001,250473,273323,214777,314697,280696,240788,229604,169405,194468,180956,179405,215615,219328,230119,237328
"Note: See the included footnote file."
"SA50: Personal Current Taxes"
