"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"30000","Montana","7","SA50","10","...","Personal income (thousands of dollars)",888036,814937,994650,1092136,1115826,1134580,1127637,1230507,1293492,1356629,1413607,1388521,1446413,1449885,1696525,1687045,1722985,1852500,1986666,2025582,2122790,2353692,2608573,2791927,3235011,3747805,4073898,4490489,4815011,5207027,6105886,6559567,7210173,8185714,8627306,9090637,9613235,9761494,10152794,10434021,10714600,11815126,12429218,13256187,14106136,15256962,15671892,16533795,17308965,18044406,19278739,19763448,21071643,22053487,22725980,24262268,26159065,27982487,30304534,32610254,34611922,33768763,35125691,37698478,40027400,40074179,41676292,43844378,44772870
"30000","Montana","7","SA50","15","...","  Less: Personal current taxes",73152,62780,70156,99418,108396,111805,106455,108996,116142,131875,120452,144124,139065,147848,149653,158375,142586,163270,182444,192197,203117,282299,276358,263593,337844,403848,450672,458891,529262,603864,674636,807572,871967,962251,928297,942479,967821,980735,929033,1031018,1107535,1283931,1330251,1354826,1455417,1556124,1665081,1724568,1848385,1994103,2153527,2259133,2445376,2541745,2253891,2210562,2339238,2775999,3167179,3630038,3674264,2966603,3041713,3602609,3965043,4273055,4674669,4934259,4968815
"30000","Montana","7","SA50","16","...","Equals: Disposable personal income",814884,752157,924494,992718,1007430,1022775,1021182,1121511,1177350,1224754,1293155,1244397,1307348,1302037,1546872,1528670,1580399,1689230,1804222,1833385,1919673,2071393,2332215,2528334,2897167,3343957,3623226,4031598,4285749,4603163,5431250,5751995,6338206,7223463,7699009,8148158,8645414,8780759,9223761,9403003,9607065,10531195,11098967,11901361,12650719,13700838,14006811,14809227,15460580,16050303,17125212,17504315,18626267,19511742,20472089,22051706,23819827,25206488,27137355,28980216,30937658,30802160,32083978,34095869,36062357,35801124,37001623,38910119,39804055
"30000","Montana","7","SA50","20","...","Population (persons) 1/",542000,569000,593000,596000,602000,616000,624000,636000,656000,667000,666000,669000,679000,696000,698000,703000,706000,706000,707000,701000,700000,694000,697172,711037,719138,727389,737203,749208,758521,771354,784043,789167,788752,795325,803984,814029,820904,822320,813738,805064,800200,799634,800204,809680,825770,844761,861306,876553,886254,889865,892431,897507,903773,906961,911667,919630,930009,940102,952692,964706,976415,983982,990507,996866,1003522,1011921,1019931,1028317,1038656
"30000","Montana","7","SA50","30","...","Per capita personal income (dollars) 2/",1638,1432,1677,1832,1854,1842,1807,1935,1972,2034,2123,2076,2130,2083,2431,2400,2440,2624,2810,2890,3033,3391,3742,3927,4498,5152,5526,5994,6348,6751,7788,8312,9141,10292,10731,11167,11711,11871,12477,12960,13390,14776,15533,16372,17082,18061,18195,18862,19530,20278,21602,22020,23315,24316,24928,26383,28128,29765,31809,33803,35448,34318,35462,37817,39887,39602,40862,42637,43107
"30000","Montana","7","SA50","50","...","Per capita disposable personal income (dollars) 3/",1503,1322,1559,1666,1673,1660,1637,1763,1795,1836,1942,1860,1925,1871,2216,2174,2239,2393,2552,2615,2742,2985,3345,3556,4029,4597,4915,5381,5650,5968,6927,7289,8036,9082,9576,10010,10532,10678,11335,11680,12006,13170,13870,14699,15320,16219,16262,16895,17445,18037,19189,19503,20609,21513,22456,23979,25612,26813,28485,30040,31685,31304,32391,34203,35936,35379,36279,37839,38323
"30000","Montana","7","SA50","60","...","Personal current taxes",73152,62780,70156,99418,108396,111805,106455,108996,116142,131875,120452,144124,139065,147848,149653,158375,142586,163270,182444,192197,203117,282299,276358,263593,337844,403848,450672,458891,529262,603864,674636,807572,871967,962251,928297,942479,967821,980735,929033,1031018,1107535,1283931,1330251,1354826,1455417,1556124,1665081,1724568,1848385,1994103,2153527,2259133,2445376,2541745,2253891,2210562,2339238,2775999,3167179,3630038,3674264,2966603,3041713,3602609,3965043,4273055,4674669,4934259,4968815
"30000","Montana","7","SA50","70","...","  Federal government 4/",64729,53362,59509,86977,95811,99310,93262,93780,99477,114131,101996,122158,114144,120730,122027,132301,113716,131788,145540,152721,158152,231137,217963,196863,242022,302486,342881,340752,397360,454462,509889,607068,681964,761130,753693,744114,744476,749217,702700,762760,796854,946071,972283,1002039,1045088,1127691,1215627,1258546,1372343,1476652,1595311,1665121,1825676,1893455,1625800,1545737,1590853,1913862,2262305,2569357,2648745,2041667,2141678,2604716,2863574,3049590,3406099,3578096,3606460
"30000","Montana","7","SA50","80","...","    Income taxes (net of refunds) 4/",64729,53362,59509,86977,95811,99310,93262,93780,99477,114131,101996,122158,114144,120730,122027,132301,113716,131788,145540,152721,158152,231137,217963,196863,242022,302486,342881,340752,397360,454462,509889,607068,681964,761130,753693,744114,744476,749217,702700,762760,796854,946071,972283,1002039,1045088,1127691,1215627,1258546,1372343,1476652,1595311,1665121,1825676,1893455,1625800,1545737,1590853,1913862,2262305,2569357,2648745,2041667,2141678,2604716,2863574,3049590,3406099,3578096,3606460
"30000","Montana","7","SA50","81","...","      Income taxes (gross) 4/",71264,61799,65394,93040,103078,107624,102419,103986,109503,124421,114236,133968,127740,134238,136807,147667,130600,144907,162266,174826,183617,255811,255751,237802,280313,362331,417013,447749,492955,556208,614630,712003,828032,925243,952182,874336,955716,962392,884743,900208,959718,1072830,1142030,1181848,1223475,1294156,1389357,1461562,1588508,1705421,1843062,1978520,2151964,2248397,2056384,1979847,2039430,2355075,2729177,3065446,3343618,2729149,2851139,3130826,3455403,3641097,4004847,4184396,4259742
