"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"56000","Wyoming","7","SA50","10","...","Personal income (thousands of dollars)",438799,468827,515557,584586,578071,577930,563439,610922,655266,695732,705200,745157,781263,822130,850868,870801,897870,926790,950027,1016413,1084968,1211800,1340970,1489501,1674888,1955087,2287808,2592763,2866956,3346805,3998754,4673909,5451246,6230971,6552885,6481624,6760300,7066297,7021157,6754137,6890814,7550290,8161335,8564768,9072027,9580114,10022682,10491936,10954402,11730537,12471456,13351225,14317733,15176559,15708575,16746950,17805527,19656998,22583362,23918986,26505381,24381004,25656916,28092250,30434827,30717840,32887556,33010402,32270465
"56000","Wyoming","7","SA50","15","...","  Less: Personal current taxes",37031,32270,35075,54304,59272,58420,51194,55591,66440,67941,65811,73279,80841,80198,86648,97116,77523,81196,88972,101040,112027,137671,146196,153070,155685,206318,278145,279797,333559,390466,477281,624434,712980,848218,803966,706287,691568,723492,650337,657323,678400,787219,844560,860288,897325,974542,1029570,1070878,1334153,1476870,1590792,1724555,1958394,1960950,1617132,1535461,1617200,2079263,2765659,3051147,3161212,2008382,2341010,2645352,3367519,3420081,3593040,3518327,3261892
"56000","Wyoming","7","SA50","16","...","Equals: Disposable personal income",401768,436557,480482,530282,518799,519510,512245,555331,588826,627791,639389,671878,700422,741932,764220,773685,820347,845594,861055,915373,972941,1074129,1194774,1336431,1519203,1748769,2009663,2312966,2533397,2956339,3521473,4049475,4738266,5382753,5748919,5775337,6068732,6342805,6370820,6096814,6212414,6763071,7316775,7704480,8174702,8605572,8993112,9421058,9620249,10253667,10880664,11626670,12359339,13215609,14091443,15211489,16188327,17577735,19817703,20867839,23344169,22372622,23315906,25446898,27067308,27297759,29294516,29492075,29008573
"56000","Wyoming","7","SA50","20","...","Population (persons) 1/",269000,277000,290000,291000,293000,290000,293000,307000,312000,314000,315000,320000,331000,337000,333000,336000,339000,332000,323000,322000,324000,329000,333795,340023,346863,353353,364548,380477,395446,411530,430897,451850,474185,491712,506400,510344,504895,499696,495633,476966,465103,458373,453690,459260,466251,473081,480283,485160,488167,489451,490787,491780,494300,494657,500017,503453,509106,514157,522667,534876,546043,559851,564376,567602,576608,582341,583334,586102,584910
"56000","Wyoming","7","SA50","30","...","Per capita personal income (dollars) 2/",1631,1693,1778,2009,1973,1993,1923,1990,2100,2216,2239,2329,2360,2440,2555,2592,2649,2792,2941,3157,3349,3683,4017,4381,4829,5533,6276,6815,7250,8133,9280,10344,11496,12672,12940,12701,13390,14141,14166,14161,14816,16472,17989,18649,19457,20250,20868,21626,22440,23967,25411,27149,28966,30681,31416,33264,34974,38232,43208,44719,48541,43549,45461,49493,52783,52749,56379,56322,55172
"56000","Wyoming","7","SA50","50","...","Per capita disposable personal income (dollars) 3/",1494,1576,1657,1822,1771,1791,1748,1809,1887,1999,2030,2100,2116,2202,2295,2303,2420,2547,2666,2843,3003,3265,3579,3930,4380,4949,5513,6079,6406,7184,8172,8962,9992,10947,11353,11317,12020,12693,12854,12782,13357,14755,16127,16776,17533,18190,18725,19418,19707,20949,22170,23642,25004,26717,28182,30214,31798,34187,37916,39014,42752,39962,41313,44832,46942,46876,50219,50319,49595
"56000","Wyoming","7","SA50","60","...","Personal current taxes",37031,32270,35075,54304,59272,58420,51194,55591,66440,67941,65811,73279,80841,80198,86648,97116,77523,81196,88972,101040,112027,137671,146196,153070,155685,206318,278145,279797,333559,390466,477281,624434,712980,848218,803966,706287,691568,723492,650337,657323,678400,787219,844560,860288,897325,974542,1029570,1070878,1334153,1476870,1590792,1724555,1958394,1960950,1617132,1535461,1617200,2079263,2765659,3051147,3161212,2008382,2341010,2645352,3367519,3420081,3593040,3518327,3261892
"56000","Wyoming","7","SA50","70","...","  Federal government 4/",35543,30704,33172,51676,56193,55067,47800,51980,62877,64421,61817,68166,74824,73305,77865,88148,68617,71735,79691,87867,100629,124655,132131,138787,142270,188404,253527,254154,304540,360467,447800,592603,675856,804987,759538,660463,644242,676792,605252,612035,630779,735085,788925,814264,841625,921073,973735,1013675,1276806,1416895,1525805,1655492,1887136,1883737,1542182,1459489,1534462,1981486,2659979,2941432,3038459,1877740,2192418,2518784,3232324,3276566,3456667,3381568,3124004
"56000","Wyoming","7","SA50","80","...","    Income taxes (net of refunds) 4/",35543,30704,33172,51676,56193,55067,47800,51980,62877,64421,61817,68166,74824,73305,77865,88148,68617,71735,79691,87867,100629,124655,132131,138787,142270,188404,253527,254154,304540,360467,447800,592603,675856,804987,759538,660463,644242,676792,605252,612035,630779,735085,788925,814264,841625,921073,973735,1013675,1276806,1416895,1525805,1655492,1887136,1883737,1542182,1459489,1534462,1981486,2659979,2941432,3038459,1877740,2192418,2518784,3232324,3276566,3456667,3381568,3124004
"56000","Wyoming","7","SA50","81","...","      Income taxes (gross) 4/",38712,35283,36522,55040,60479,59934,52878,57207,68354,70822,68773,75275,82342,81726,86368,97131,78754,78814,87664,98246,112935,137499,149576,159358,164310,218571,291986,318616,359078,421437,520636,669693,796110,934899,911904,838935,817845,866547,778408,757282,749383,825888,903294,929945,958522,1032605,1089422,1147709,1417320,1568983,1687897,1861085,2099680,2119892,1831688,1749962,1835989,2275158,2976686,3286238,3572812,2406023,2672806,2950539,3729472,3817348,4013532,3908490,3731032
"56000","Wyoming","7","SA50","82","...","      Less: Refunds",3169,4579,3350,3364,4286,4867,5078,5227,5477,6401,6956,7109,7518,8421,8503,8983,10137,7079,7973,10379,12306,12844,17445,20571,22040,30167,38459,64462,54538,60970,72836,77090,120254,129912,152366,178472,173603,189755,173156,145247,118604,90803,114369,115681,116897,111532,115687,134034,140514,152088,162092,205593,212544,236155,289506,290473,301527,293672,316707,344806,534353,528283,480388,431755,497148,540782,556865,526922,607028
"56000","Wyoming","7","SA50","120","...","  State governments",802,803,1090,1757,2127,2328,2308,2450,2434,2420,2818,3025,3667,4404,5158,5505,5798,6624,6820,11044,9590,10217,11165,11286,10508,14790,21498,22369,25929,26914,26319,28259,33131,38703,39674,40804,42160,41713,40199,39335,41404,45211,46960,37313,45826,44003,43721,44461,44332,47028,48166,51173,53958,54102,54628,53010,57172,58641,64349,67076,73686,82026,82842,80825,84523,84793,82499,83381,82697
"56000","Wyoming","7","SA50","130","...","    Income taxes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56000","Wyoming","7","SA50","150","...","    Motor vehicle licenses",398,380,461,499,474,527,573,629,722,721,1040,1189,1613,2030,2510,2815,3180,3768,3886,6643,5485,6511,6837,7166,7324,9620,15035,13120,17302,20145,19992,20415,21767,24325,26273,26417,27157,27295,26223,26679,28216,31692,31763,29526,25483,23674,25153,27721,26882,27986,28530,30457,32105,30878,31250,30170,30708,31994,36848,36602,40535,43402,40842,40934,44863,46236,45318,46633,46766
