"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"19000","Iowa","4","SA5H 1/","10","...","Personal income (thousands of dollars)",1403345,1238381,982779,728339,629112,680162,1054113,980716,1281992,1123470,1179650,1252908,1501801,2021713,2386412,2302675,2520523,3054456,3040390,4123067,3508987,4037389,4310376,4574826,4405265,4762183,4535527,4812706,5341163
"19000","Iowa","4","SA5H 1/","20","...","Population (persons) 2/",2460000,2475000,2482000,2489000,2495000,2510000,2524000,2509000,2498000,2494000,2520000,2537000,2491000,2441000,2332000,2294000,2301000,2467000,2509000,2543000,2578000,2625000,2617000,2626000,2629000,2626000,2679000,2703000,2716000
"19000","Iowa","4","SA5H 1/","30","...","Per capita personal income (dollars) 3/",570,500,396,293,252,271,418,391,513,450,468,494,603,828,1023,1004,1095,1238,1212,1621,1361,1538,1647,1742,1676,1813,1693,1781,1967
"19000","Iowa","4","SA5H 1/","35","...","  Total earnings",1171090,1022009,779580,573065,503035,544187,912973,794300,1130331,971479,1005169,1068944,1308405,1795007,2150011,2053625,2199916,2630539,2601046,3545408,2871518,3378630,3645828,3860953,3664893,3960219,3722189,3964624,4442791
"19000","Iowa","4","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",953,912,842,857,706,711,700,708,14193,15572,18468,18613,22120,23618,29260,36358,42939,51337,50404,49892,55299,60473,62683,67417,68677,78764,89077,107638,126409
"19000","Iowa","4","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",791,771,741,697,626,632,601,669,4746,4451,4663,5178,5847,6906,10158,12529,13653,13930,16511,20433,20500,26717,31876,36365,36724,42238,47637,60973,70579
"19000","Iowa","4","SA5H 1/","38","...","    Employer contributions for government social insurance",162,141,101,160,80,79,99,39,9447,11121,13805,13435,16273,16712,19102,23829,29286,37407,33893,29459,34799,33756,30807,31052,31953,36526,41440,46665,55830
"19000","Iowa","4","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",20770,23735,25043,28856,31226,32906,33072,34191,35134,35306
"19000","Iowa","4","SA5H 1/","45","...","  Equals: Net earnings by place of residence",1170137,1021097,778738,572208,502329,543476,912273,793592,1116138,955907,986701,1050331,1286285,1771389,2120751,2017267,2156977,2579202,2550642,3516286,2839954,3343200,3612001,3824762,3629122,3914527,3667303,3892120,4351688
"19000","Iowa","4","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",207213,191991,156964,125201,100523,112266,114944,128945,132450,130404,151839,160199,172972,209559,225692,234712,273414,322296,341048,467384,477186,506585,536214,580332,596467,654126,649021,678370,701137
"19000","Iowa","4","SA5H 1/","47","...","  Plus: Personal current transfer receipts",25995,25293,47077,30930,26260,24420,26896,58179,33404,37159,41110,42378,42544,40765,39969,50696,90132,152958,148700,139397,191847,187604,162161,169732,179676,193530,219203,242216,288338
"19000","Iowa","4","SA5H 1/","50","...","  Wages and salaries",664982,629139,549948,429064,382700,433468,471686,523221,558427,552091,573763,598936,693704,811004,995464,1084775,1151802,1205220,1399659,1593827,1623844,1739980,1976995,2082457,2167475,2167479,2323379,2465892,2570488
"19000","Iowa","4","SA5H 1/","60","...","  Supplements to wages and salaries",8994,8856,8258,7290,7289,7904,8286,9098,18544,20216,23288,23868,28391,36184,50514,59129,70694,78279,78093,79275,90753,99168,113556,125321,132418,142010,157096,175027,199293
"19000","Iowa","4","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",8832,8715,8157,7130,7209,7825,8187,9059,9097,9095,9483,10433,12118,19472,31412,35300,41408,40872,44200,49816,55954,65412,82749,94269,100465,105484,115656,128362,143463
"19000","Iowa","4","SA5H 1/","62","...","    Employer contributions for government social insurance",162,141,101,160,80,79,99,39,9447,11121,13805,13435,16273,16712,19102,23829,29286,37407,33893,29459,34799,33756,30807,31052,31953,36526,41440,46665,55830
"19000","Iowa","4","SA5H 1/","70","...","  Proprietors' income 8/",497114,384014,221374,136711,113046,102815,433001,261981,553360,399172,408118,446140,586310,947819,1104033,909721,977420,1347040,1123294,1872306,1156921,1539482,1555277,1653175,1365000,1650730,1241714,1323705,1673010
"19000","Iowa","4","SA5H 1/","71","...","    Farm proprietors' income",329031,235722,106656,72501,54780,13602,324515,133791,417570,264684,260810,285402,378073,700781,812814,603461,647002,956928,747570,1437815,722025,1063900,1032022,1115881,819681,1087671,614709,662095,962465
"19000","Iowa","4","SA5H 1/","72","...","    Nonfarm proprietors' income",168083,148292,114718,64210,58266,89213,108486,128190,135790,134488,147308,160738,208237,247038,291219,306260,330418,390112,375724,434491,434896,475582,523255,537294,545319,563059,627005,661610,710545
