"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"38000","North Dakota","4","SA5H 1/","10","...","Personal income (thousands of dollars)",254003,210111,132282,120301,101681,123949,181305,158044,212174,182637,203680,225035,320413,383829,523707,544759,563907,615470,848130,849782,736672,861245,896131,822740,836885,860466,949758,990517,1018394
"38000","North Dakota","4","SA5H 1/","20","...","Population (persons) 2/",674000,682000,680000,676000,674000,672000,670000,664000,655000,647000,644000,640000,615000,583000,546000,534000,544000,570000,578000,580000,597000,619000,604000,608000,609000,611000,615000,613000,612000
"38000","North Dakota","4","SA5H 1/","30","...","Per capita personal income (dollars) 3/",377,308,195,178,151,184,271,238,324,282,316,352,521,658,959,1020,1037,1080,1467,1465,1234,1391,1484,1353,1374,1408,1544,1616,1664
"38000","North Dakota","4","SA5H 1/","35","...","  Total earnings",224467,181256,100312,97235,80108,100005,155267,125969,183688,157211,179126,197284,291038,356871,491992,506278,514023,547762,772977,728965,609915,718271,747138,692848,706354,716657,794790,823132,833106
"38000","North Dakota","4","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",264,252,239,243,201,200,192,188,2550,2792,2586,2546,2721,3038,3504,4053,5425,9660,9268,10339,12042,11363,13041,14306,14908,16749,17555,22317,25745
"38000","North Dakota","4","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",218,211,210,198,179,178,165,177,984,878,885,963,1105,1357,1750,2026,2239,2727,3329,3904,4151,5016,5845,6508,6725,7402,8030,11945,13708
"38000","North Dakota","4","SA5H 1/","38","...","    Employer contributions for government social insurance",46,41,29,45,22,22,27,11,1566,1914,1701,1583,1616,1681,1754,2027,3186,6933,5939,6435,7891,6347,7196,7798,8183,9347,9525,10372,12037
"38000","North Dakota","4","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-5931,-7401,-8127,-9139,-10398,-11468,-12876,-13174,-14276,-15776
"38000","North Dakota","4","SA5H 1/","45","...","  Equals: Net earnings by place of residence",224203,181004,100073,96992,79907,99805,155075,125781,181138,154419,176540,194738,288317,353833,488488,502225,508598,538102,763709,712695,590472,698781,724958,668144,679978,687032,764061,786539,791585
"38000","North Dakota","4","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",25855,25051,23120,17078,15999,14381,16862,17930,18311,16661,16984,21259,24359,22520,27478,32338,37528,46165,50968,104847,98991,115155,132813,115562,116458,130942,139148,154649,163878
"38000","North Dakota","4","SA5H 1/","47","...","  Plus: Personal current transfer receipts",3945,4056,9089,6231,5775,9763,9368,14333,12725,11557,10156,9038,7737,7476,7741,10196,17781,31203,33453,32240,47209,47309,38360,39034,40449,42492,46549,49329,62931
"38000","North Dakota","4","SA5H 1/","50","...","  Wages and salaries",137365,123754,101472,81907,74689,87235,95392,103513,108071,108334,109727,117407,130125,149624,183727,194583,200803,221863,259603,302046,320659,332370,359817,381532,398139,420328,417056,443237,467540
"38000","North Dakota","4","SA5H 1/","60","...","  Supplements to wages and salaries",2749,2711,2654,2378,2325,2706,2939,3298,4927,5140,4994,5251,5463,6432,8360,7880,10587,14800,14319,16400,18817,18439,21090,23294,24637,26953,27652,30215,34862
"38000","North Dakota","4","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",2703,2670,2625,2333,2303,2684,2912,3287,3361,3226,3293,3668,3847,4751,6606,5853,7401,7867,8380,9965,10926,12092,13894,15496,16454,17606,18127,19843,22825
"38000","North Dakota","4","SA5H 1/","62","...","    Employer contributions for government social insurance",46,41,29,45,22,22,27,11,1566,1914,1701,1583,1616,1681,1754,2027,3186,6933,5939,6435,7891,6347,7196,7798,8183,9347,9525,10372,12037
