"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"35000","New Mexico","6","SA5H 1/","10","...","Personal income (thousands of dollars)",170096,141963,124981,91817,94571,113613,139410,167613,182186,173283,186363,200314,240355,333466,427879,477776,514593,532477,597818,694463,761073,863456,1005790,1100666,1153274,1180734,1280660,1384269,1554872
"35000","New Mexico","6","SA5H 1/","20","...","Population (persons) 2/",420000,427000,436000,441000,449000,461000,475000,489000,503000,513000,523000,531000,505000,508000,533000,526000,530000,562000,582000,604000,644000,689000,717000,735000,756000,763000,785000,806000,847000
"35000","New Mexico","6","SA5H 1/","30","...","Per capita personal income (dollars) 3/",405,332,287,208,211,246,293,343,362,338,356,377,476,656,803,908,971,947,1027,1150,1182,1253,1403,1498,1525,1547,1631,1717,1836
"35000","New Mexico","6","SA5H 1/","35","...","  Total earnings",147722,118429,101613,73467,78012,95105,117456,139829,158920,149908,159766,172551,209144,293512,389950,440654,471420,467015,518035,601843,656847,726223,875120,959834,995667,1021527,1105374,1206634,1351648
"35000","New Mexico","6","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",237,234,221,224,188,188,187,187,2649,2861,3352,3498,4177,5735,9265,12059,18562,23140,19400,14348,16196,16681,19696,20348,21909,24498,28289,30622,37172
"35000","New Mexico","6","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",209,209,203,195,173,173,168,179,997,896,963,1079,1265,2231,5584,7533,8395,5060,5410,4696,4783,6498,7890,8828,9573,11020,12688,13988,17353
"35000","New Mexico","6","SA5H 1/","38","...","    Employer contributions for government social insurance",28,25,18,29,15,15,19,8,1652,1965,2389,2419,2912,3504,3681,4526,10167,18080,13990,9652,11413,10183,11806,11520,12336,13478,15601,16634,19819
"35000","New Mexico","6","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-2184,-4241,-3805,-8436,-10848,-12226,-16813,-19499,-22240,-24873
"35000","New Mexico","6","SA5H 1/","45","...","  Equals: Net earnings by place of residence",147485,118195,101392,73243,77824,94917,117269,139642,156271,147047,156414,169053,204967,287777,380685,428595,452858,443875,498635,585311,636410,705737,846988,928638,961532,980216,1057586,1153772,1289603
"35000","New Mexico","6","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",19839,20657,16518,13065,11748,12941,15903,19159,20602,20896,23427,24250,28504,38852,39863,39616,43598,53335,59381,69152,82221,98387,111035,122868,138705,140283,161234,165775,191693
"35000","New Mexico","6","SA5H 1/","47","...","  Plus: Personal current transfer receipts",2772,3111,7071,5509,4999,5755,6238,8812,5313,5340,6522,7011,6884,6837,7331,9565,18137,35267,39802,40000,42442,59332,47767,49160,53037,60235,61840,64722,73576
"35000","New Mexico","6","SA5H 1/","50","...","  Wages and salaries",88299,81841,70680,58401,57300,68365,76815,92332,103214,103273,105558,112383,131171,183959,262632,301994,329542,291385,323963,400447,432896,495204,587090,688688,747995,752468,830147,919780,1013520
"35000","New Mexico","6","SA5H 1/","60","...","  Supplements to wages and salaries",2101,2242,2230,2057,1942,2125,2655,2692,4540,4937,5591,6183,8162,17875,23112,24225,30609,36185,33441,33311,39652,48587,57944,71198,77474,79427,87255,93828,108388
"35000","New Mexico","6","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",2073,2217,2212,2028,1927,2110,2636,2684,2888,2972,3202,3764,5250,14371,19431,19699,20442,18105,19451,23659,28239,38404,46138,59678,65138,65949,71654,77194,88569
"35000","New Mexico","6","SA5H 1/","62","...","    Employer contributions for government social insurance",28,25,18,29,15,15,19,8,1652,1965,2389,2419,2912,3504,3681,4526,10167,18080,13990,9652,11413,10183,11806,11520,12336,13478,15601,16634,19819
