"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"96000","Southwest","6","SA5H 1/","10","...","Personal income (thousands of dollars)",4220004,3622249,3052655,2299464,2280515,2629769,3016183,3435118,3898083,3743868,3888234,4138225,5098743,7284350,9622620,10453677,10575170,10919458,12101243,13327418,14251967,15345864,17599756,19151462,19748339,20254040,21784217,23399734,25064432
"96000","Southwest","6","SA5H 1/","20","...","Population (persons) 2/",8984000,9106000,9175000,9222000,9281000,9333000,9418000,9489000,9540000,9604000,9700000,9780000,9858000,10036000,10341000,10061000,9968000,10510000,10751000,11009000,11086000,11450000,11823000,12110000,12168000,12287000,12682000,12962000,13324000
"96000","Southwest","6","SA5H 1/","30","...","Per capita personal income (dollars) 3/",470,398,333,249,246,282,320,362,409,390,401,423,517,726,931,1039,1061,1039,1126,1211,1286,1340,1489,1581,1623,1648,1718,1805,1881
"96000","Southwest","6","SA5H 1/","35","...","  Total earnings",3430159,2894532,2367208,1763744,1798395,2112076,2477048,2709278,3226379,3041785,3172174,3434479,4380763,6460295,8752458,9519632,9476045,9317258,10249834,11362386,12130189,12790319,15176719,16586804,16897629,17174299,18471829,19873761,21197568
"96000","Southwest","6","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",3605,3465,3174,3258,2631,2834,2637,2618,61481,69936,73490,76761,80742,119791,196638,235107,314024,365786,288896,244490,266814,277511,333384,373192,390445,457810,518497,578109,680580
"96000","Southwest","6","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",3006,2941,2800,2659,2332,2535,2264,2468,18723,18505,19262,21214,25724,45574,107564,129864,133970,89427,91311,91324,90489,126029,153223,172619,184512,219017,249512,278221,326639
"96000","Southwest","6","SA5H 1/","38","...","    Employer contributions for government social insurance",599,524,374,599,299,299,373,150,42758,51431,54228,55547,55018,74217,89074,105243,180054,276359,197585,153166,176325,151482,180161,200573,205933,238793,268985,299888,353941
"96000","Southwest","6","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-7246,-22060,-15450,-44985,-51907,-53229,-82098,-93013,-99261,-99821
"96000","Southwest","6","SA5H 1/","45","...","  Equals: Net earnings by place of residence",3426554,2891067,2364034,1760486,1795764,2109242,2474411,2706660,3164898,2971849,3098684,3357718,4300021,6340504,8555820,9284525,9162021,8951472,9960938,11110650,11841315,12497358,14798350,16161705,16453955,16634391,17860319,19196391,20417167
"96000","Southwest","6","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",736504,671159,553332,447847,404808,439422,457584,555023,628084,661539,668257,653961,659035,787829,912721,971331,1037026,1216244,1330611,1448811,1614689,1836796,1980994,2170525,2419018,2690692,2884908,3080701,3368485
