"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"26000","Michigan","3","SA5N 1/","10","...","Personal income (thousands of dollars)",269316721,283455635,302464029,307585685,307775244,314347960,323453268,329803615,337588867,346957762,354545792,336321819,347723348,369367635,382627062,388175044,404864143,427199321,439361467,450847081
"26000","Michigan","3","SA5N 1/","20","...","Population (persons) 2/",9847942,9897116,9952450,9991120,10015710,10041152,10055315,10051137,10036081,10001284,9946889,9901591,9876731,9876199,9886610,9899219,9914675,9918170,9933445,9962311
"26000","Michigan","3","SA5N 1/","30","...","Per capita personal income (dollars) 3/",27348,28640,30391,30786,30729,31306,32167,32813,33638,34691,35644,33966,35206,37400,38702,39213,40835,43072,44231,45255
"26000","Michigan","3","SA5N 1/","35","...","  Earnings by place of work",207913543,221508159,236868678,239185620,239838904,243115569,248753127,251835695,253949465,254885438,252425961,233345469,240614098,252613008,262695512,269405574,278430785,293009255,303542921,312930491
"26000","Michigan","3","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",24261433,25631302,26849431,26634050,26929175,27315035,28254484,29144093,29868595,30229735,30279414,28301474,28673829,26646229,27755013,32183062,33313857,34761224,35826826,37264933
"26000","Michigan","3","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",11990646,12752914,13336626,13380836,13666645,13824809,14286173,14799780,15266597,15541106,15677525,14784322,15016396,12367871,12814831,16865592,17631565,18473171,19203838,19980723
"26000","Michigan","3","SA5N 1/","38","...","    Employer contributions for government social insurance",12270787,12878388,13512805,13253214,13262530,13490226,13968311,14344313,14601998,14688629,14601889,13517152,13657433,14278358,14940182,15317470,15682292,16288053,16622988,17284210
"26000","Michigan","3","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",993502,1081193,1098968,1191367,1009334,647946,1127478,1067905,1445890,1666235,1752083,1509305,1580798,1731590,1903689,1924250,2081098,2075543,2232477,2309927
"26000","Michigan","3","SA5N 1/","45","...","  Equals: Net earnings by place of residence",184645612,196958050,211118215,213742937,213919063,216448480,221626121,223759507,225526760,226321938,223898630,206553300,213521067,227698369,236844188,239146762,247198026,260323574,269948572,277975485
"26000","Michigan","3","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",49424493,48726042,52302601,50364333,48815378,50601032,52507765,53592657,56039208,59407766,60888452,52309702,51528455,59075596,63531979,65609065,71052902,75354090,75892783,78035698
"26000","Michigan","3","SA5N 1/","47","...","  Plus: Personal current transfer receipts",35246616,37771543,39043213,43478415,45040803,47298448,49319382,52451451,56022899,61228058,69758710,77458817,82673826,82593670,82250895,83419217,86613215,91521657,93520112,94835898
"26000","Michigan","3","SA5N 1/","50","...","  Wages and salaries",156280307,165325888,174162418,171959344,172329724,175567690,179133746,182334908,183863921,186761034,185408259,170084980,172826424,182145241,189698282,195041662,204357402,214758816,222822763,229334532
"26000","Michigan","3","SA5N 1/","60","...","  Supplements to wages and salaries",35202155,37207464,40797244,41868946,42372309,43612327,46206867,47866849,48124494,48046593,47481561,45456507,46082834,46429033,46854428,46707885,47071883,50591205,53292830,55046077
"26000","Michigan","3","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",22931368,24329076,27284439,28615732,29109779,30122101,32238556,33522536,33522496,33357964,32879672,31939355,32425401,32150675,31914246,31390415,31389591,34303152,36669842,37761867
"26000","Michigan","3","SA5N 1/","62","...","    Employer contributions for government social insurance",12270787,12878388,13512805,13253214,13262530,13490226,13968311,14344313,14601998,14688629,14601889,13517152,13657433,14278358,14940182,15317470,15682292,16288053,16622988,17284210
"26000","Michigan","3","SA5N 1/","70","...","  Proprietors' income 8/",16431081,18974807,21909016,25357330,25136871,23935552,23412514,21633938,21961050,20077811,19536141,17803982,21704840,24038734,26142802,27656027,27001500,27659234,27427328,28549882
"26000","Michigan","3","SA5N 1/","71","...","    Farm proprietors' income",59467,290280,-6907,-29047,-27393,184857,554744,517166,601828,420952,822493,385342,952008,2208621,846024,1609476,661085,554745,-54383,-290020
"26000","Michigan","3","SA5N 1/","72","...","    Nonfarm proprietors' income",16371614,18684527,21915923,25386377,25164264,23750695,22857770,21116772,21359222,19656859,18713648,17418640,20752832,21830113,25296778,26046551,26340415,27104489,27481711,28839902
"26000","Michigan","3","SA5N 1/","81","111-112","  Farm earnings",630723,824180,610160,564117,600929,708292,1146043,1054461,1138210,1205413,1479997,1061029,1490437,2884013,1713021,2417820,1608616,1505537,1039612,843390
"26000","Michigan","3","SA5N 1/","82","...","  Nonfarm earnings",207282820,220683979,236258518,238621503,239237975,242407277,247607084,250781234,252811255,253680025,250945964,232284440,239123661,249728995,260982491,266987754,276822169,291503718,302503309,312087101
"26000","Michigan","3","SA5N 1/","90","113-814","    Private nonfarm earnings",179618393,191212613,204857863,205548303,204742584,206532756,210388758,212241257,213683699,213813210,209943582,190814023,196601218,208496176,220238888,226202617,236304076,248897204,258789905,267526467
"26000","Michigan","3","SA5N 1/","100","113-115","      Forestry, fishing, and related activities",217092,222925,256129,260341,243378,258202,292803,302775,310082,295535,275634,281088,317138,314231,356556,374014,440607,483065,516639,556251
"26000","Michigan","3","SA5N 1/","101","113","        Forestry and logging",89020,88846,101089,100570,97352,103416,128811,140849,133794,116985,91194,75831,75401,75403,84271,97577,125622,153454,166861,"(NA)"
"26000","Michigan","3","SA5N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",8368,7159,4962,986,-296,979,-689,-2911,-1176,3266,2959,4157,4493,4537,5335,6363,"(NA)"
"26000","Michigan","3","SA5N 1/","103","115","        Support activities for agriculture and forestry",122555,127887,148055,151403,138867,149824,163006,162222,175309,179239,187351,206433,238471,235869,268128,271944,310448,324276,343415,"(NA)"
"26000","Michigan","3","SA5N 1/","200","21","      Mining, quarrying, and oil and gas extraction",427083,439597,454350,470255,408492,454113,493451,621495,814562,755266,1293241,708563,1042499,1245952,1159679,1109630,1211153,1041115,801000,784382
"26000","Michigan","3","SA5N 1/","201","211","        Oil and gas extraction",57012,64801,67442,74264,67110,99317,112102,209613,376569,312720,808862,309064,620425,781943,673861,594771,669099,554190,373602,"(NA)"
"26000","Michigan","3","SA5N 1/","202","212","        Mining (except oil and gas)",290113,301142,309286,310998,266522,279019,288272,314989,323109,315426,342349,286857,327829,336891,327527,337861,348297,326128,294192,"(NA)"
"26000","Michigan","3","SA5N 1/","203","213","        Support activities for mining",79958,73654,77622,84993,74860,75777,93077,96893,114884,127120,142030,112642,94245,127118,158291,176998,193757,160797,133206,"(NA)"
"26000","Michigan","3","SA5N 1/","300","22","      Utilities",1448193,1578005,1634428,1963349,1955202,2059390,2085176,2135061,2407718,2555946,3306824,2796872,2852186,2701981,2723557,2792962,2925893,3077244,3345730,3379096
"26000","Michigan","3","SA5N 1/","400","23","      Construction",11240483,13010794,14689117,14733193,14738177,14511486,14937161,14715812,14096466,12698576,11190248,9688377,9793618,10149873,11773836,12595338,13957946,14976380,16214019,17463706
"26000","Michigan","3","SA5N 1/","401","236","        Construction of buildings",2854761,3308464,3799347,3923142,4099331,3998565,3924802,3617732,3243930,2768158,2238126,2082741,2138349,1974777,2803169,3225009,3646767,3902845,4289388,"(NA)"
"26000","Michigan","3","SA5N 1/","402","237","        Heavy and civil engineering construction",1082651,1261208,1512496,1458924,1399433,1311410,1410966,1424581,1335974,1179720,1042920,962046,1025884,1006936,1108315,1286844,1452679,1421633,1524338,"(NA)"
"26000","Michigan","3","SA5N 1/","403","238","        Specialty trade contractors",7303071,8441122,9377274,9351127,9239413,9201511,9601393,9673499,9516562,8750698,7909202,6643590,6629385,7168160,7862352,8083485,8858500,9651902,10400293,"(NA)"
"26000","Michigan","3","SA5N 1/","500","31-33","      Manufacturing",52333188,53351914,55819702,53491801,50566859,51433989,50965982,50220694,49167952,48295640,44836647,35632618,36528124,40751061,43824013,43911449,45272110,48039091,49141717,50471644
"26000","Michigan","3","SA5N 1/","510","321,327-339","        Durable goods manufacturing",43353664,44118798,46334894,42775590,41399292,41607096,41174629,40449686,39384936,38711517,35430468,27386027,27983304,31287064,33286131,33532323,34643495,36880820,37522333,38583279
"26000","Michigan","3","SA5N 1/","511","321","          Wood product manufacturing",545678,579054,592537,512925,488765,553437,579651,568213,541206,506036,508580,413087,416443,439959,480943,629570,736340,704048,675642,"(NA)"
"26000","Michigan","3","SA5N 1/","512","327","          Nonmetallic mineral product manufacturing",1072681,1178494,1237057,1164896,1154247,1152139,1068177,1065459,1012888,985938,911558,754125,768111,783745,685058,690566,732814,810467,856193,"(NA)"
"26000","Michigan","3","SA5N 1/","513","331","          Primary metal manufacturing",1924507,2030553,2018990,1887199,1815433,1751230,1926402,1936160,1915323,1870972,1860063,1240035,1444250,1710639,1813697,1767024,1810722,1913455,1854765,"(NA)"
"26000","Michigan","3","SA5N 1/","514","332","          Fabricated metal product manufacturing",4362644,4692240,4813854,4370804,4323425,4307470,4585703,4755117,4788026,4738924,4586468,3521365,3951841,4537984,5051148,5005228,5335987,5595342,5606792,"(NA)"
"26000","Michigan","3","SA5N 1/","515","333","          Machinery manufacturing",5849433,6080775,6193782,5477459,4996884,4953121,5199856,5467001,5443434,5240925,5141494,4342292,4364177,4890613,5410205,5642706,5844263,6161814,6248914,"(NA)"
"26000","Michigan","3","SA5N 1/","516","334","          Computer and electronic product manufacturing",1219471,1263304,1289812,1335525,1256180,1230338,1298155,1432157,1487126,1563805,1578760,1413361,1402719,1142792,1113217,940138,437003,170570,-62638,"(NA)"
"26000","Michigan","3","SA5N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",870382,954611,947255,975514,996993,1060482,1117952,1080312,1006788,954816,1029645,900284,1085862,1105956,1110391,1213920,1217711,1434767,1466975,"(NA)"
"26000","Michigan","3","SA5N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",23717894,23468358,25286587,23254049,22868015,23256625,22236155,20956357,19922031,19367048,16258594,11746350,11528074,13506268,14240781,13781565,14636211,15803200,16316284,"(NA)"
"26000","Michigan","3","SA5N 1/","519","3364-3369","          Other transportation equipment manufacturing",650929,649981,659503,646431,649867,678947,410026,404108,439622,509663,343534,299997,392052,516210,692769,904502,626710,741967,761465,"(NA)"
"26000","Michigan","3","SA5N 1/","521","337","          Furniture and related product manufacturing",1916232,1918957,1979504,1843037,1566333,1410221,1434278,1498689,1512314,1590526,1579215,1270779,1195294,1284004,1322771,1362083,1430038,1532466,1615162,"(NA)"
"26000","Michigan","3","SA5N 1/","522","339","          Miscellaneous manufacturing",1223813,1302471,1316013,1307751,1283150,1253086,1318274,1286113,1316178,1382864,1632557,1484352,1434481,1368894,1365151,1595021,1835696,2012724,2182779,"(NA)"
"26000","Michigan","3","SA5N 1/","530","311-316,322-326","        Nondurable goods manufacturing",8979524,9233116,9484808,10716211,9167567,9826893,9791353,9771008,9783016,9584123,9406179,8246591,8544820,9463997,10537882,10379126,10628615,11158271,11619384,11888365
"26000","Michigan","3","SA5N 1/","531","311","          Food manufacturing",1574142,1605135,1572087,1595284,1644564,1637687,1646889,1690281,1759854,1651507,1726252,1786052,1871880,1848071,1899654,1983307,2042926,2091034,2216494,"(NA)"
"26000","Michigan","3","SA5N 1/","532","312","          Beverage and tobacco product manufacturing",284716,303880,282232,270418,253409,251116,263101,272971,272202,282073,280385,287165,293432,345474,379687,399693,439747,422848,475843,"(NA)"
"26000","Michigan","3","SA5N 1/","533","313","          Textile mills",45432,46749,42800,37233,33037,30181,29471,30941,33985,34162,33347,23353,23411,27421,31687,30847,30023,30601,36219,"(NA)"
"26000","Michigan","3","SA5N 1/","534","314","          Textile product mills",89786,96365,108139,107357,119783,111678,105106,103162,112453,108810,94150,74860,83545,91609,107862,109811,114496,113827,115592,"(NA)"
"26000","Michigan","3","SA5N 1/","535","315","          Apparel manufacturing",48694,53070,39805,36263,38374,30387,33630,46046,50480,56261,58098,50890,48949,48986,63992,63190,67119,76141,107156,"(NA)"
"26000","Michigan","3","SA5N 1/","536","316","          Leather and allied product manufacturing",95007,116423,122071,149665,74796,84213,74827,70535,72417,63118,68837,50132,62031,63859,68088,58398,74597,132873,62343,"(NA)"
"26000","Michigan","3","SA5N 1/","537","322","          Paper manufacturing",1019884,1093524,1091553,1011877,953909,963058,944599,970474,927197,944541,897725,818760,825906,820759,837083,832892,846579,878065,938254,"(NA)"
"26000","Michigan","3","SA5N 1/","538","323","          Printing and related support activities",959963,985924,1014371,1017608,945163,942324,922755,939009,920745,940584,915804,781733,768530,773228,785351,788021,804872,826701,860990,"(NA)"
"26000","Michigan","3","SA5N 1/","539","324","          Petroleum and coal products manufacturing",809659,534372,668092,1650323,335388,563517,449532,494006,593718,517056,490460,185331,148248,540541,1194016,739068,396587,427546,434323,"(NA)"
"26000","Michigan","3","SA5N 1/","541","325","          Chemical manufacturing",2253795,2380648,2467164,2934571,2967430,3247214,3101157,2927506,2859768,2885415,2907661,2678365,2675700,2948963,3010801,3090640,3226676,3393312,3399786,"(NA)"
"26000","Michigan","3","SA5N 1/","542","326","          Plastics and rubber products manufacturing",1798446,2017026,2076494,1905612,1801714,1965518,2220286,2226077,2180197,2100596,1933460,1509950,1743188,1955086,2159661,2283259,2584993,2765323,2972384,"(NA)"
"26000","Michigan","3","SA5N 1/","600","42","      Wholesale trade",10240445,10760779,11631071,11868698,11659694,11719558,11866592,12298484,12724999,13082842,13324325,11982159,12479967,13574772,14278777,14577351,15403441,16028633,16504969,16983604
"26000","Michigan","3","SA5N 1/","700","44-45","      Retail trade",13988917,14929109,15656104,15189706,15433211,15593064,15596139,15565781,15454537,15392896,15163473,14554989,14668434,15285977,15517816,15833418,16438173,17338195,18082362,18599473
"26000","Michigan","3","SA5N 1/","701","441","        Motor vehicle and parts dealers",2891484,3113383,3143903,3267168,3409218,3357133,3195662,3160051,3049185,3006506,2898604,2590504,2802027,3051938,3193599,3344200,3645413,3822508,4059790,"(NA)"
"26000","Michigan","3","SA5N 1/","702","442","        Furniture and home furnishings stores",595220,652623,701365,642676,633859,637091,649147,625736,618746,577517,530540,454113,450028,469021,476851,489943,513848,562305,613484,"(NA)"
"26000","Michigan","3","SA5N 1/","703","443","        Electronics and appliance stores",694521,805503,830120,795682,732351,666887,676363,745192,771805,754431,739556,667722,641210,677939,674229,658319,680207,777464,815557,"(NA)"
"26000","Michigan","3","SA5N 1/","704","444","        Building material and garden equipment and supplies dealers",1370204,1499464,1574756,1548456,1561590,1590305,1666788,1661864,1626162,1569411,1515351,1428808,1456798,1532232,1571238,1633126,1650210,1741559,1806292,"(NA)"
"26000","Michigan","3","SA5N 1/","705","445","        Food and beverage stores",1991352,2110528,2204303,2101938,2157831,2173034,2097338,2117987,2067157,2035043,2046559,2048032,2059127,2078178,2126148,2127446,2172619,2280221,2415946,"(NA)"
"26000","Michigan","3","SA5N 1/","706","446","        Health and personal care stores",949708,903684,985470,1025448,1076882,1157495,1253899,1322751,1388587,1433274,1435222,1390322,1378195,1385983,1402420,1439298,1479921,1604835,1633031,"(NA)"
"26000","Michigan","3","SA5N 1/","707","447","        Gasoline stations",624812,653120,711395,645682,634194,660850,626251,623389,665817,674562,677451,630461,599013,590212,532242,545420,568712,620508,677301,"(NA)"
"26000","Michigan","3","SA5N 1/","708","448","        Clothing and clothing accessories stores",768157,832690,900816,842132,855713,875421,868000,875613,862192,877255,839081,767524,781027,771466,808609,799405,777591,808638,807921,"(NA)"
"26000","Michigan","3","SA5N 1/","709","451","        Sporting goods, hobby, musical instrument, and book stores",510952,534304,575617,541780,542240,523834,534894,510546,499185,497776,495077,480697,461051,494187,507056,516627,520478,539626,529040,"(NA)"
"26000","Michigan","3","SA5N 1/","711","452","        General merchandise stores",2343748,2545084,2683467,2522482,2581994,2626134,2728706,2644134,2699173,2758548,2806033,2929232,2813913,2888348,2800047,2799676,2856232,2915218,3012419,"(NA)"
"26000","Michigan","3","SA5N 1/","712","453","        Miscellaneous store retailers",893750,928438,961081,888984,867141,865541,839755,800337,758258,771022,724851,674675,723132,813669,887005,930147,954254,997232,985411,"(NA)"
"26000","Michigan","3","SA5N 1/","713","454","        Nonstore retailers",355009,350288,383811,367278,380198,459339,459336,478181,448270,437551,455148,492899,502913,532804,538372,549811,618688,668081,726170,"(NA)"
"26000","Michigan","3","SA5N 1/","800","48-49","      Transportation and warehousing",5858160,6224316,6452388,6742608,6686797,6803483,7195907,7197152,7112993,7365892,7066296,6384833,6476236,6817202,7206171,7426939,7904217,8376801,8819774,9279884
"26000","Michigan","3","SA5N 1/","801","481","        Air transportation",1106108,1232304,1215124,1283511,1330009,1383013,1350224,1278424,1074529,1204719,1165591,1025556,1145160,1296049,1280641,1336385,1334521,1370975,1554503,"(NA)"
"26000","Michigan","3","SA5N 1/","802","482","        Rail transportation",385401,412113,383188,373870,"(D)","(D)","(D)","(D)",338168,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",366362,386401,380289,"(NA)"
"26000","Michigan","3","SA5N 1/","803","483","        Water transportation",29067,28906,27672,28453,30296,32564,33750,34059,34037,33924,36170,34544,43606,51521,56764,61391,56585,54553,54835,"(NA)"
"26000","Michigan","3","SA5N 1/","804","484","        Truck transportation",2060554,2271232,2418492,2352185,2416292,2427161,2554026,2671106,2793315,2931354,2711634,2448943,2456973,2693444,2812322,2958644,3225962,3468299,3583279,"(NA)"
"26000","Michigan","3","SA5N 1/","805","485","        Transit and ground passenger transportation",122747,132974,137745,160979,167317,182524,219812,231969,242816,236252,232231,233428,242386,272160,285721,294035,329438,357434,384196,"(NA)"
"26000","Michigan","3","SA5N 1/","806","486","        Pipeline transportation",177173,183060,174470,377253,185485,192496,253549,240922,242731,270983,396740,364834,297414,115135,123397,128688,128315,137858,162072,"(NA)"
"26000","Michigan","3","SA5N 1/","807","487","        Scenic and sightseeing transportation",16140,13708,10954,10527,11908,14290,15577,17526,12706,16860,12915,13176,15654,15894,14957,15514,22175,30060,30522,"(NA)"
"26000","Michigan","3","SA5N 1/","808","488","        Support activities for transportation",753612,679598,773933,797048,797501,793970,873843,825925,876413,836142,752012,587169,608997,646393,752804,790704,909435,931808,971627,"(NA)"
"26000","Michigan","3","SA5N 1/","809","492","        Couriers and messengers",494688,530912,527077,574318,"(D)","(D)","(D)","(D)",612219,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",632146,695466,724407,"(NA)"
"26000","Michigan","3","SA5N 1/","811","493","        Warehousing and storage",712670,739509,783733,784464,826305,855617,907937,933925,886059,853200,768400,737081,739392,770711,889086,878958,899278,943947,974044,"(NA)"
"26000","Michigan","3","SA5N 1/","900","51","      Information",4099697,4487981,4473034,4819463,4794282,4789610,4976963,4767842,4818903,4717292,4645406,4617247,4427549,4457972,4506815,4774218,5098208,5189651,5256082,4942203
"26000","Michigan","3","SA5N 1/","901","511","        Publishing industries (except Internet)",1743068,2020390,1939153,2039589,2019643,1994703,1965259,1821081,1855496,1753662,1709206,1673574,1634125,1641332,1638792,1658779,1650979,1681203,1656216,"(NA)"
"26000","Michigan","3","SA5N 1/","902","512","        Motion picture and sound recording industries",262473,261783,241886,259148,252063,251491,242611,208958,208691,236808,223954,226622,234336,276994,254106,236747,304321,265476,277202,"(NA)"
"26000","Michigan","3","SA5N 1/","903","515","        Broadcasting (except Internet)",333443,325126,374943,416592,425080,447441,643951,653189,683760,539179,532276,517187,480011,449559,453166,518593,527871,529755,497832,"(NA)"
"26000","Michigan","3","SA5N 1/","904","516","        Internet publishing and broadcasting 9/","(T)",13559,18209,21687,22509,25397,29707,28102,27089,"(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)"
"26000","Michigan","3","SA5N 1/","905","517","        Telecommunications",1420003,1507378,1491635,1634749,1600996,1603452,1628534,1647006,1628723,1740393,1715036,1754549,1641492,1607165,1640774,1675844,1749862,1705462,1694650,"(NA)"
"26000","Michigan","3","SA5N 1/","906","518","        Data processing, hosting, and related services",297205,319949,368610,383150,402280,401426,409009,345210,342901,300991,293036,275343,271161,311557,332313,407300,526747,599463,632968,"(NA)"
"26000","Michigan","3","SA5N 1/","907","519","        Other information services 9/",33756,39796,38598,64548,71711,65700,57892,64296,72243,146259,171898,169972,166424,171365,187664,276955,338428,408292,497214,"(NA)"
"26000","Michigan","3","SA5N 1/","1000","52","      Finance and insurance",9352165,10313065,11321001,12534890,12439018,12978341,14027855,13935845,13741308,14641676,12906497,11722293,13399565,12385428,12577531,12676609,13056103,13700736,14522869,15132424
"26000","Michigan","3","SA5N 1/","1001","521","        Monetary Authorities-central bank",19304,21988,21310,22189,21121,20023,19171,17236,18021,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",13588,"(D)",20881,"(NA)"
"26000","Michigan","3","SA5N 1/","1002","522","        Credit intermediation and related activities",3801940,3907796,3816504,4599463,4894902,5276896,5334440,5733624,5592108,5651202,3843310,4785507,6492024,5477501,5593850,5418123,5470201,5904800,6444217,"(NA)"
"26000","Michigan","3","SA5N 1/","1003","523","        Securities, commodity contracts, and other financial investments and related activities",1540738,1830863,2240707,2549054,2427579,2180811,1919814,1720988,2035023,1658041,1436128,1785465,2095074,2178843,2036457,2028603,1992809,1981771,1968679,"(NA)"
