"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"42000","Pennsylvania","2","SA5N 1/","10","...","Personal income (thousands of dollars)",334828567,348998963,373211236,385683541,393464126,407904130,433338099,451274953,476162792,506357616,528853951,515485777,533929583,561012102,585851545,589491588,613658783,637183688,648694472,667117752
"42000","Pennsylvania","2","SA5N 1/","20","...","Population (persons) 2/",12245672,12263805,12284173,12298970,12331031,12374658,12410722,12449990,12510809,12563937,12612285,12666858,12711063,12742811,12768034,12778450,12790341,12791124,12787085,12805537
"42000","Pennsylvania","2","SA5N 1/","30","...","Per capita personal income (dollars) 3/",27343,28458,30381,31359,31908,32963,34916,36247,38060,40302,41932,40696,42005,44026,45884,46132,47978,49815,50730,52096
"42000","Pennsylvania","2","SA5N 1/","35","...","  Earnings by place of work",242192335,255798764,271977326,282567051,289409180,300604390,322387028,335193404,346494628,362445642,373800621,361871752,374572243,389677575,403680153,416165192,429722696,445443006,450479692,463950369
"42000","Pennsylvania","2","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",28147510,29401994,30864614,31934185,32818784,33614426,35334681,37130992,39010549,40572741,41806173,41282397,42354620,39485992,40359692,46682882,48301835,50213296,51303098,53403540
"42000","Pennsylvania","2","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",14002082,14768815,15483787,16110140,16687769,17077294,18092956,18902327,20008147,21031856,21755381,21557582,22062386,18164908,18477841,24139605,25033946,26021833,26731316,27820732
"42000","Pennsylvania","2","SA5N 1/","38","...","    Employer contributions for government social insurance",14145428,14633179,15380827,15824045,16131015,16537132,17241725,18228665,19002402,19540885,20050792,19724815,20292234,21321084,21881851,22543277,23267889,24191463,24571782,25582808
"42000","Pennsylvania","2","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",3278472,3565027,4065999,3961670,3664997,3888896,4804844,5917872,7237124,8492572,9418151,7756230,8417968,8365178,8832972,8807005,9670542,9481517,9647312,9895973
"42000","Pennsylvania","2","SA5N 1/","45","...","  Equals: Net earnings by place of residence",217323297,229961797,245178711,254594536,260255393,270878860,291857191,303980284,314721203,330365473,341412599,328345585,340635591,358556761,372153433,378289315,391091403,404711227,408823906,420442802
"42000","Pennsylvania","2","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",65276181,64458606,70118888,69203305,67593173,68754224,70669133,71184815,81493306,90589591,92287582,83496573,82282994,90830046,101860096,97611510,105310126,109987454,111265719,114512531
"42000","Pennsylvania","2","SA5N 1/","47","...","  Plus: Personal current transfer receipts",52229089,54578560,57913637,61885700,65615560,68271046,70811775,76109854,79948283,85402552,95153770,103643619,111010998,111625295,111838016,113590763,117257254,122485007,128604847,132162419
"42000","Pennsylvania","2","SA5N 1/","50","...","  Wages and salaries",175755250,184861731,195893879,201372357,204950151,210536131,220406488,228659646,240671105,253472297,260291028,254506876,259820810,270031901,280135639,285315366,296334620,308378815,312472037,320824219
"42000","Pennsylvania","2","SA5N 1/","60","...","  Supplements to wages and salaries",40271840,43121273,46591860,49859235,51771627,54532102,58367475,61700087,64810149,66347205,67708491,67291235,70286331,73264713,72672702,75903995,75965068,79177614,79169327,81146537
"42000","Pennsylvania","2","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",26126412,28488094,31211033,34035190,35640612,37994970,41125750,43471422,45807747,46806320,47657699,47566420,49994097,51943629,50790851,53360718,52697179,54986151,54597545,55563729
"42000","Pennsylvania","2","SA5N 1/","62","...","    Employer contributions for government social insurance",14145428,14633179,15380827,15824045,16131015,16537132,17241725,18228665,19002402,19540885,20050792,19724815,20292234,21321084,21881851,22543277,23267889,24191463,24571782,25582808
"42000","Pennsylvania","2","SA5N 1/","70","...","  Proprietors' income 8/",26165245,27815760,29491587,31335459,32687402,35536157,43613065,44833671,41013374,42626140,45801102,40073641,44465102,46380961,50871812,54945831,57423008,57886577,58838328,61979613
"42000","Pennsylvania","2","SA5N 1/","71","...","    Farm proprietors' income",421268,386311,612424,506024,26319,673906,964267,912428,569417,612620,579018,203512,612385,1166286,1167873,1372324,1665284,915348,-210508,25564
"42000","Pennsylvania","2","SA5N 1/","72","...","    Nonfarm proprietors' income",25743977,27429449,28879163,30829435,32661083,34862251,42648798,43921243,40443957,42013520,45222084,39870129,43852717,45214675,49703939,53573507,55757724,56971229,59048836,61954049
"42000","Pennsylvania","2","SA5N 1/","81","111-112","  Farm earnings",895573,818685,1105801,1011296,640203,1239726,1536105,1388993,1107523,1283996,1210123,786511,1181194,1655726,1834482,2034201,2338907,1512579,487096,749489
"42000","Pennsylvania","2","SA5N 1/","82","...","  Nonfarm earnings",241296762,254980079,270871525,281555755,288768977,299364664,320850923,333804411,345387105,361161646,372590498,361085241,373391049,388021849,401845671,414130991,427383789,443930427,449992596,463200880
