"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"04000","Arizona","6","SA5 1/","10","...","Personal income (thousands of dollars)",2358531,2599848,2833481,3086456,3322188,3493419,3746979,3977948,4336766,4719704,5413703,6309880,7180112,8206023,9404333,10860099,12242125,13161612,14661840,16480188,19438384,22885921,26363186,30118690,31884829,35029874,39699293,44054015,48294793,52226134,56265019,60486975,63383028,66575466,70987974,76430689,83859970,91282721,98948614,107437212,117552632,124514127,135372547,141148475
"04000","Arizona","6","SA5 1/","20","...","Population (persons) 2/",1193000,1261000,1321000,1407000,1471000,1521000,1556000,1584000,1614000,1646000,1682000,1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477
"04000","Arizona","6","SA5 1/","30","...","Per capita personal income (dollars) 3/",1977,2062,2145,2194,2258,2297,2408,2511,2687,2867,3219,3633,4000,4328,4681,5110,5504,5757,6244,6789,7720,8674,9629,10718,11033,11799,12943,13838,14598,15195,15916,16699,17204,17573,18129,18800,19755,20594,21572,22680,24072,24785,26232,26766
"04000","Arizona","6","SA5 1/","35","...","  Earnings by place of work",1949735,2144062,2336748,2509085,2709745,2842462,3034854,3195281,3555000,3837989,4363210,4990182,5571941,6355561,7349331,8531224,9479740,9703502,10912032,12405572,14720263,17483444,19617010,21796864,22595522,24708093,28286570,31530854,34664186,37552224,40778969,42261670,44403367,47204398,50737594,54753529,60105583,65434192,71598971,77888983,86383467,92652182,101421670,105608604
"04000","Arizona","6","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",78926,95286,117518,124697,138950,161757,167392,173989,232424,265776,312633,322189,361663,429885,524531,695027,790974,816242,916127,1061005,1291612,1605806,1821692,2191449,2314955,2580146,3017915,3434650,3804831,4074939,4563387,4873437,5269145,5627105,6016356,6488135,7169201,7483234,8373481,8976283,9784924,10486179,11417314,11946096
"04000","Arizona","6","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",29581,36905,46937,51081,55319,66228,69637,72161,100478,115490,135505,160396,179606,211186,254323,338400,386803,397925,438502,508175,612880,766742,875159,1062507,1131780,1248454,1437611,1682200,1865863,2009321,2263993,2445147,2627103,2814046,3004587,3250387,3608675,3959686,4249807,4590947,5028861,5430306,5905053,6151764
"04000","Arizona","6","SA5 1/","38","...","    Employer contributions for government social insurance",49345,58381,70581,73616,83631,95529,97755,101828,131946,150286,177128,161793,182057,218699,270208,356627,404171,418317,477625,552830,678732,839064,946533,1128942,1183175,1331692,1580304,1752450,1938968,2065618,2299394,2428290,2642042,2813059,3011769,3237748,3560526,3523548,4123674,4385336,4756063,5055873,5512261,5794332
"04000","Arizona","6","SA5 1/","42","...","  Plus: Adjustment for residence 5/",-2164,-2362,-2428,-2254,-1783,-467,-7,748,201,177,2492,-26103,-29564,-28854,-32032,-30690,-40729,-47002,-47390,-56568,-69852,-71656,-80546,-15653,-8571,2296,5500,18517,38833,65321,107550,165612,226495,222450,249676,266458,277635,295373,325679,361208,409613,470075,529067,581224
"04000","Arizona","6","SA5 1/","45","...","  Equals: Net earnings by place of residence",1868645,2046414,2216802,2382134,2569012,2680238,2867455,3022040,3322777,3572390,4053069,4641890,5180714,5896822,6792768,7805507,8648037,8840258,9948515,11287999,13358799,15805982,17714772,19589762,20271996,22130243,25274155,28114721,30898188,33542606,36323132,37553845,39360717,41799743,44970914,48531852,53214017,58246331,63551169,69273908,77008156,82636078,90533423,94243732
"04000","Arizona","6","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",354933,400500,450618,510417,541366,582269,629944,673719,709060,770171,925209,1176096,1407352,1599470,1795590,2071412,2406125,2661128,2885313,3264617,3907088,4607564,5672521,7033292,7711133,8628355,9847155,10971243,11946206,12729687,13406115,15353082,15619312,15392465,15332657,16373858,18339522,19919671,21428050,23585839,25414441,25762440,27811236,27589592
"04000","Arizona","6","SA5 1/","47","...","  Plus: Personal current transfer receipts",134953,152934,166061,193905,211810,230912,249580,282189,304929,377143,435425,491894,592046,709731,815975,983180,1187963,1660226,1828012,1927572,2172497,2472375,2975893,3495636,3901700,4271276,4577983,4968051,5450399,5953841,6535772,7580048,8402999,9383258,10684403,11524979,12306431,13116719,13969395,14577465,15130035,16115609,17027888,19315151
"04000","Arizona","6","SA5 1/","50","...","  Wages and salaries",1470881,1626140,1798738,1925003,2082247,2201386,2344084,2474558,2770229,2956800,3330036,3863152,4351301,4934857,5694159,6628614,7274621,7482455,8260652,9417097,11198622,13363534,15072724,16924481,17591417,19180334,21793197,24365477,26738095,28839334,30948514,32442342,34117763,35414927,37592188,40176494,44288999,48586786,53177988,58055584,64289238,69372454,76583262,79484246
"04000","Arizona","6","SA5 1/","60","...","  Supplements to wages and salaries",151486,168853,187122,203690,221570,249321,269326,289057,342410,389175,452441,485971,564680,685598,832240,975189,1100212,1229257,1375295,1614061,1918163,2316108,2650626,3018562,3202314,3584537,4070464,4620568,5189301,5548104,6058201,6649550,7217789,7752145,8676702,9390564,10221571,10457983,11402214,12016611,13040016,13767431,14862534,15919889
"04000","Arizona","6","SA5 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",102141,110472,116541,130074,137939,153792,171571,187229,210464,238889,275313,324178,382623,466899,562032,618562,696041,810940,897670,1061231,1239431,1477044,1704093,1889620,2019139,2252845,2490160,2868118,3250333,3482486,3758807,4221260,4575747,4939086,5664933,6152816,6661045,6934435,7278540,7631275,8283953,8711558,9350273,10125557
"04000","Arizona","6","SA5 1/","62","...","    Employer contributions for government social insurance",49345,58381,70581,73616,83631,95529,97755,101828,131946,150286,177128,161793,182057,218699,270208,356627,404171,418317,477625,552830,678732,839064,946533,1128942,1183175,1331692,1580304,1752450,1938968,2065618,2299394,2428290,2642042,2813059,3011769,3237748,3560526,3523548,4123674,4385336,4756063,5055873,5512261,5794332
"04000","Arizona","6","SA5 1/","70","...","  Proprietors' income 8/",327368,349069,350888,380392,405928,391755,421444,431666,442361,492014,580733,641059,655960,735106,822932,927421,1104907,991790,1276085,1374414,1603478,1803802,1893660,1853821,1801791,1943222,2422909,2544809,2736790,3164786,3772254,3169778,3067815,4037326,4468704,5186471,5595013,6389423,7018769,7816788,9054213,9512297,9975874,10204469
"04000","Arizona","6","SA5 1/","71","...","    Farm proprietors' income",61743,61697,63484,77413,85341,60429,72357,67508,54937,76993,115550,117161,97264,118732,118221,149122,283469,117431,227228,151533,162427,231668,304912,249610,217214,153342,351891,312319,301877,458983,576561,506236,441781,555487,500032,586531,310702,534572,453200,402906,538480,513356,438701,373110
"04000","Arizona","6","SA5 1/","72","...","    Nonfarm proprietors' income",265625,287372,287404,302979,320587,331326,349087,364158,387424,415021,465183,523898,558696,616374,704711,778299,821438,874359,1048857,1222881,1441051,1572134,1588748,1604211,1584577,1789880,2071018,2232490,2434913,2705803,3195693,2663542,2626034,3481839,3968672,4599940,5284311,5854851,6565569,7413882,8515733,8998941,9537173,9831359
"04000","Arizona","6","SA5 1/","81","[01-02]","  Farm earnings",130348,124130,128443,135182,137615,112960,130366,128365,121419,149081,192268,203468,180063,200944,205314,239676,383812,217464,329525,266734,317771,399068,476696,414093,396016,327520,526394,491997,471883,633841,759959,690350,642099,738571,672525,789009,576952,824240,737074,740162,871599,848459,807392,747273
