"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"19000","Iowa","4","SA5 1/","10","...","Personal income (thousands of dollars)",5459654,5595327,5737092,6076593,6336079,6739001,7059945,7827196,8528539,8691232,9362662,10412467,11123890,11667961,13068180,15673043,16254203,18218475,19334083,21324601,24592047,26337510,27990985,31667179,32599503,33319878,37002288,38315345,39614354,41467308,42750976,46532603,49067459,50202706,53914617,54137967,59005529,61476185,67006658,70118131,73443712,75382397,80584533,82906560
"19000","Iowa","4","SA5 1/","20","...","Population (persons) 2/",2708000,2729000,2756000,2756000,2750000,2747000,2746000,2742000,2762000,2793000,2803000,2805000,2828534,2851828,2860506,2864031,2867941,2881425,2903770,2914308,2919008,2916803,2914018,2907985,2888190,2870547,2858615,2829684,2791969,2767006,2768393,2770590,2781018,2797613,2818401,2836972,2850746,2867373,2880000,2891119,2902872,2917634,2929067,2931997
"19000","Iowa","4","SA5 1/","30","...","Per capita personal income (dollars) 3/",2016,2050,2082,2205,2304,2453,2571,2855,3088,3112,3340,3712,3933,4091,4568,5472,5668,6323,6658,7317,8425,9030,9606,10890,11287,11608,12944,13541,14189,14986,15443,16795,17644,17945,19130,19083,20698,21440,23266,24253,25300,25837,27512,28276
"19000","Iowa","4","SA5 1/","35","...","  Earnings by place of work",4481822,4543134,4646061,4881204,5093522,5433644,5671849,6327597,6996936,7120429,7523662,8368150,8771664,9078008,10274332,12575633,12741998,13974818,14802257,16357906,19148584,20288960,20503246,22587163,21775198,21856828,25008207,25961471,27122421,29289640,30508659,33293920,35195732,35948555,39179632,39167544,43659015,44647133,48713733,51036961,53483555,55677049,59303986,60744110
"19000","Iowa","4","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",134646,165725,186209,188777,203353,232562,246656,260555,352310,417835,457160,543298,567172,626417,718592,929734,1091845,1166984,1322128,1459056,1671285,1955256,2057575,2315087,2343751,2426156,2683744,2810188,2966217,3173560,3526621,3765211,4079130,4285341,4529039,4773034,5142013,5400158,5382059,5907577,6288685,6557227,6804823,6966785
"19000","Iowa","4","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",73971,90615,102160,104336,111091,125571,134549,143912,191570,237279,254012,285634,297183,326738,368064,468896,550942,593246,646772,696005,787066,934776,995902,1122748,1150864,1173205,1269538,1381860,1477055,1615539,1806841,1968491,2129951,2243206,2348623,2458880,2648207,2801750,2688152,3070278,3252553,3388408,3514556,3625573
"19000","Iowa","4","SA5 1/","38","...","    Employer contributions for government social insurance",60675,75110,84049,84441,92262,106991,112107,116643,160740,180556,203148,257664,269989,299679,350528,460838,540903,573738,675356,763051,884219,1020480,1061673,1192339,1192887,1252951,1414206,1428328,1489162,1558021,1719780,1796720,1949179,2042135,2180416,2314154,2493806,2598408,2693907,2837299,3036132,3168819,3290267,3341212
"19000","Iowa","4","SA5 1/","42","...","  Plus: Adjustment for residence 5/",28703,31099,35260,38042,41192,43300,47019,50479,54737,59087,63107,89597,96807,97109,103382,97754,91239,107405,100063,74006,73083,81317,100423,126593,199409,212938,241382,278665,274157,268041,310907,321514,319389,373477,411378,401263,423003,484175,529424,604169,695212,796258,881450,924974
"19000","Iowa","4","SA5 1/","45","...","  Equals: Net earnings by place of residence",4375879,4408508,4495112,4730469,4931361,5244382,5472212,6117521,6699363,6761681,7129609,7914449,8301299,8548700,9659122,11743653,11741392,12915239,13580192,14972856,17550382,18415021,18546094,20398669,19630856,19643610,22565845,23429948,24430361,26384121,27292945,29850223,31435991,32036691,35061971,34795773,38940005,39731150,43861098,45733553,47890082,49916080,53380613,54702299
"19000","Iowa","4","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",752879,824796,857336,922403,960739,1030754,1108990,1187861,1263155,1254762,1450647,1642496,1830551,1992596,2193119,2525136,2886597,3286286,3534916,4006724,4457835,5027339,6032717,7386206,8542641,8933145,9577669,9729301,9832666,9617622,9744352,10581143,11001157,11038980,11154514,11284233,11690014,12921181,13877086,14854214,15784387,15333307,16351452,16458581
"19000","Iowa","4","SA5 1/","47","...","  Plus: Personal current transfer receipts",330896,362023,384644,423721,443979,463865,478743,521814,566021,674789,782406,855522,992040,1126665,1215939,1404254,1626214,2016950,2218975,2345021,2583830,2895150,3412174,3882304,4426006,4743123,4858774,5156096,5351327,5465565,5713679,6101237,6630311,7127035,7698132,8057961,8375510,8823854,9268474,9530364,9769243,10133010,10852468,11745680
"19000","Iowa","4","SA5 1/","50","...","  Wages and salaries",2619589,2880150,2979992,3054475,3194925,3376308,3592621,3849420,4305929,4617027,5012767,5426127,5810313,6190952,6665111,7506549,8492277,9205332,10317832,11500140,12744003,14225917,15152533,16054582,16032159,16454974,17519579,18023689,18534206,19860378,21474043,22884506,24392378,25416669,26992530,28214788,30046150,31725736,33381038,35497938,38197432,40182058,41958028,42987825
"19000","Iowa","4","SA5 1/","60","...","  Supplements to wages and salaries",205357,234074,249991,262959,280169,306004,331516,357668,431423,477601,530510,620322,677813,764400,881913,1023391,1190756,1379642,1583724,1848082,2095613,2400327,2596586,2843343,2922521,3127803,3361222,3522307,3760184,4041800,4387657,4835901,5283698,5649375,6307097,6701241,7164693,7244816,7412313,7656840,8373074,8782876,9604214,10104743
"19000","Iowa","4","SA5 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",144682,158964,165942,178518,187907,199013,219409,241025,270683,297045,327362,362658,407824,464721,531385,562553,649853,805904,908368,1085031,1211394,1379847,1534913,1651004,1729634,1874852,1947016,2093979,2271022,2483779,2667877,3039181,3334519,3607240,4126681,4387087,4670887,4646408,4718406,4819541,5336942,5614057,6313947,6763531
"19000","Iowa","4","SA5 1/","62","...","    Employer contributions for government social insurance",60675,75110,84049,84441,92262,106991,112107,116643,160740,180556,203148,257664,269989,299679,350528,460838,540903,573738,675356,763051,884219,1020480,1061673,1192339,1192887,1252951,1414206,1428328,1489162,1558021,1719780,1796720,1949179,2042135,2180416,2314154,2493806,2598408,2693907,2837299,3036132,3168819,3290267,3341212
"19000","Iowa","4","SA5 1/","70","...","  Proprietors' income 8/",1656876,1428910,1416078,1563770,1618428,1751332,1747712,2120509,2259584,2025801,1980385,2321701,2283538,2122656,2727308,4045693,3058965,3389844,2900701,3009684,4308968,3662716,2754127,3689238,2820518,2274051,4127406,4415475,4828031,5387462,4646959,5573513,5519656,4882511,5880005,4251515,6448172,5676581,7920382,7882183,6913049,6712115,7741744,7651542
"19000","Iowa","4","SA5 1/","71","...","    Farm proprietors' income",944199,671831,660057,777644,794314,911265,834046,1158120,1245476,986611,926867,1142343,1108803,895276,1369937,2580571,1549514,1778370,973031,950086,2176150,1285106,417608,1343352,503414,-285666,1181212,1477541,1877182,2215298,1383169,2125414,2197410,1495011,2406024,569934,2555691,1515676,3439829,3086566,1796673,1248369,2108863,1881041
"19000","Iowa","4","SA5 1/","72","...","    Nonfarm proprietors' income",712677,757079,756021,786126,824114,840067,913666,962389,1014108,1039190,1053518,1179358,1174735,1227380,1357371,1465122,1509451,1611474,1927670,2059598,2132818,2377610,2336519,2345886,2317104,2559717,2946194,2937934,2950849,3172164,3263790,3448099,3322246,3387500,3473981,3681581,3892481,4160905,4480553,4795617,5116376,5463746,5632881,5770501
"19000","Iowa","4","SA5 1/","81","[01-02]","  Farm earnings",1012442,744256,731878,852019,883344,1000875,921149,1247474,1346285,1080479,1020523,1238187,1215294,1012383,1484650,2731649,1720623,1969625,1227056,1225948,2440566,1575022,717340,1639002,815898,6206,1462619,1752428,2128006,2459195,1646351,2399862,2503894,1780430,2700208,888619,2861280,1817531,3724479,3396594,2162299,1602742,2463403,2273057
"19000","Iowa","4","SA5 1/","82","...","  Nonfarm earnings",3469380,3798878,3914183,4029185,4210178,4432769,4750700,5080123,5650651,6039950,6503139,7129963,7556370,8065625,8789682,9843984,11021375,12005193,13575201,15131958,16708018,18713938,19785906,20948161,20959300,21850622,23545588,24209043,24994415,26830445,28862308,30894058,32691838,34168125,36479424,38278925,40797735,42829602,44989254,47640367,51321256,54074307,56840583,58471053
"19000","Iowa","4","SA5 1/","90","...","    Private nonfarm earnings",2990788,3295656,3379877,3446548,3583886,3769022,4038006,4313389,4806651,5137454,5498675,6011815,6297648,6657919,7271683,8220249,9262757,9987527,11342143,12694277,14084689,15891678,16690274,17598330,17382615,18062325,19573054,19966794,20581700,22162706,23827756,25535320,26947479,28066119,30000521,31533669,33761383,35514243,37376194,39766249,43063531,45357243,47593633,48686950
"19000","Iowa","4","SA5 1/","100","[07-08]","      Agricultural services, forestry, and fishing",27951,30557,35702,40917,50602,49619,59202,65484,70531,72982,84785,98686,92331,106115,109219,113329,129541,133508,148806,101863,116269,147666,164777,186252,229497,252646,280680,257038,218384,309121,302379,287955,321844,326708,349339,343126,323421,308363,339476,351465,369500,401638,405217,405570
"19000","Iowa","4","SA5 1/","110","07","        Agricultural services",27271,29921,35122,40356,49944,49008,58519,64782,69723,71992,83971,98034,91328,105144,108158,111956,127917,132076,146679,100462,114545,145657,162081,184148,228895,247961,272707,250278,209909,304498,298225,285518,319936,324538,347402,340979,319485,305505,337055,348155,363503,395311,399011,"(NA)"
"19000","Iowa","4","SA5 1/","120","...","        Forestry and fishing",680,636,580,561,658,611,683,702,808,990,814,652,1003,971,1061,1373,1624,1432,2127,1401,1724,2009,2696,2104,602,4685,7973,6760,8475,4623,4154,2437,1908,2170,1937,2147,3936,2858,2421,3310,5997,6327,6206,"(NA)"
