"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"94000","Plains","4","SA5 1/","10","...","Personal income (thousands of dollars)",30919759,31713485,33311880,34562139,36881285,38368451,40010825,43914576,47248033,49574383,54070627,59311900,64275230,69188659,76424313,89095624,94313977,103657295,110974509,122639443,138811749,153093961,165390974,187050037,199322863,208977926,232623767,245605209,257212342,270883959,284015168,306273833,324425760,335764517,360319451,372338378,397332114,416502560,448190038,471141232,502075417,522532705,559567086,579316979
"94000","Plains","4","SA5 1/","20","...","Population (persons) 2/",14994000,15195000,15424000,15570000,15657000,15715000,15787000,15819000,15888000,15942000,16047000,16202000,16349829,16474813,16562762,16628032,16671561,16742551,16863608,16949656,17028437,17097176,17207567,17264245,17291648,17325258,17382070,17401690,17392728,17427930,17533255,17595235,17697550,17843335,18026179,18209613,18380746,18549556,18705269,18851351,18988053,19130836,19275412,19374967
"94000","Plains","4","SA5 1/","30","...","Per capita personal income (dollars) 3/",2062,2087,2160,2220,2356,2442,2534,2776,2974,3110,3370,3661,3931,4200,4614,5358,5657,6191,6581,7236,8152,8954,9612,10835,11527,12062,13383,14114,14788,15543,16199,17407,18332,18817,19989,20447,21617,22454,23961,24992,26442,27314,29030,29900
"94000","Plains","4","SA5 1/","35","...","  Earnings by place of work",25404394,25916508,27269672,28108775,30123663,31309647,32528294,35793666,39086440,40921341,44434762,48997727,52195534,55742422,61937149,73060889,75647992,81161053,87187387,96732121,110736560,121993637,126181572,139491956,142879492,149228633,169072116,179403413,189144720,202962612,214451267,229975004,244124497,251361384,271924626,280246865,301339717,313169890,338763102,356022787,380941538,401826263,428995220,443436787
"94000","Plains","4","SA5 1/","36","...","  Less: Contributions for government social insurance 4/",826417,1000101,1156822,1211580,1317461,1493330,1554670,1632237,2197295,2550888,2839372,3160199,3337698,3692602,4221298,5395962,6185253,6595073,7512563,8271434,9609919,11215200,12037063,13885459,14669622,15668480,17707237,19108046,20468764,21690472,24079488,25697615,27917150,29419927,31221766,32830511,35226664,37055078,38590667,41153792,43754885,46125281,48641954,50180329
"94000","Plains","4","SA5 1/","37","...","    Employee and self-employed contributions for government social insurance",420059,502989,589196,620775,650823,740975,782913,825090,1109878,1354732,1486551,1640287,1731860,1903791,2137644,2723408,3120460,3335425,3677984,3962483,4572307,5372728,5846944,6783499,7220085,7608957,8429487,9402669,10141635,10898132,12190788,13232938,14328206,15158615,16020358,16826922,18095011,19112393,19800477,21245859,22548321,23838300,25077967,25946949
"94000","Plains","4","SA5 1/","38","...","    Employer contributions for government social insurance",406358,497112,567626,590805,666638,752355,771757,807147,1087417,1196156,1352821,1519912,1605838,1788811,2083654,2672554,3064793,3259648,3834579,4308951,5037612,5842472,6190119,7101960,7449537,8059523,9277750,9705377,10327129,10792340,11888700,12464677,13588944,14261312,15201408,16003589,17131653,17942685,18790190,19907933,21206564,22286981,23563987,24233380
"94000","Plains","4","SA5 1/","42","...","  Plus: Adjustment for residence 5/",7345,7822,7608,5929,6931,3565,4626,3567,-179,-5099,-14114,-396222,-341352,-338979,-343247,-379456,-415001,-411323,-502937,-634994,-787836,-953769,-1103744,-1304406,-1300547,-1384896,-1549954,-1666092,-1789489,-1897992,-2059977,-2139415,-2414608,-2433419,-2550201,-2646352,-2807421,-3040169,-3302703,-3693413,-3932871,-4240341,-4541046,-4646883
"94000","Plains","4","SA5 1/","45","...","  Equals: Net earnings by place of residence",24585322,24924229,26120458,26903124,28813133,29819882,30978250,34164996,36888966,38365354,41581276,45441306,48516484,51710841,57372604,67285471,69047738,74154657,79171887,87825693,100338805,109824668,113040765,124302091,126909323,132175257,149814925,158629275,166886467,179374148,188311802,202137974,213792739,219508038,238152659,244770002,263305632,273074643,296869732,311175582,333253782,351460641,375812220,388609575
"94000","Plains","4","SA5 1/","46","...","  Plus: Dividends, interest, and rent 6/",4377628,4692120,4973502,5194850,5508570,5852599,6244170,6728459,7096220,7315105,7984477,8930332,9966882,10825022,11799262,13360083,15416161,17380481,18608956,20871076,23295659,26273631,32029447,39590720,46616648,49058080,53902686,56366687,58236190,58497957,61044540,66532276,69978390,71464504,73637295,76084576,80248890,86391176,91626287,98351923,105255929,104560602,112585463,112439903
