"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"24000","Maryland","2","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",99349025,106306856,114804673,121259966,126483799,132563601,141944771,150158080,158136345,165259700,169511041,169711262,174129471,181184678,185621761,187638094,194142745,202545923,208653062,214068921
"24000","Maryland","2","SA6N","5","...","  Wages and salaries",81897458,87495848,94526490,99865656,103680831,108081808,115076553,121419853,128342603,134295949,137404419,136308201,139342923,144427836,148882952,150139967,155212261,162388550,167235251,171380577
"24000","Maryland","2","SA6N","6","...","  Supplements to wages and salaries",17451567,18811008,20278183,21394310,22802968,24481793,26868218,28738227,29793742,30963751,32106622,33403061,34786548,36756842,36738809,37498127,38930484,40157373,41417811,42688344
"24000","Maryland","2","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",11589690,12629064,13653585,14266476,15364050,16682294,18330387,19824480,20323630,21169299,21963089,23297400,24079515,25509031,25120036,26032424,27308968,27910685,28938380,29753608
"24000","Maryland","2","SA6N","8","...","    Employer contributions for government social insurance",5861877,6181944,6624598,7127834,7438918,7799499,8537831,8913747,9470112,9794452,10143533,10105661,10707033,11247811,11618773,11465703,11621516,12246688,12479431,12934736
"24000","Maryland","2","SA6N","9","...","Average compensation per job (dollars) 3/",40292,42063,44466,46713,48320,50549,53627,56080,58269,60476,62251,64147,66335,68357,69126,69420,71140,73142,74368,"(NA)"
"24000","Maryland","2","SA6N","81","111-112","  Farm compensation",124737,115588,136027,142292,176680,158843,157148,127963,143211,171096,162666,153998,146775,125283,180270,178906,191577,159584,186135,193116
"24000","Maryland","2","SA6N","82","...","  Nonfarm compensation",99224288,106191268,114668646,121117674,126307119,132404758,141787623,150030117,157993134,165088604,169348375,169557264,173982696,181059395,185441491,187459188,193951168,202386339,208466927,213875805
"24000","Maryland","2","SA6N","90","113-814","    Private nonfarm compensation",74100649,80037805,86795977,91486996,94074687,98225806,105019663,110986080,116472272,121469789,123792410,121918801,123672753,128756412,133127352,134626478,139910038,146275397,151224357,154870743
"24000","Maryland","2","SA6N","100","113-115","      Forestry, fishing, and related activities",47038,50446,55963,53352,57014,63907,74086,75974,79898,70550,71590,74226,76054,72461,73586,74041,79468,86235,90654,95860
"24000","Maryland","2","SA6N","101","113","        Forestry and logging",13719,12422,11690,10284,10962,11006,13948,16824,17460,10582,9588,8065,7631,8615,9452,9039,9882,10140,10325,"(NA)"
"24000","Maryland","2","SA6N","102","114","        Fishing, hunting and trapping",6143,7895,8935,6116,7155,8299,9889,9046,7037,7114,4980,5115,5196,4968,4399,3443,3794,4116,4671,"(NA)"
"24000","Maryland","2","SA6N","103","115","        Support activities for agriculture and forestry",27176,30129,35338,36952,38897,44602,50249,50104,55401,52854,57022,61046,63227,58878,59735,61559,65792,71979,75658,"(NA)"
"24000","Maryland","2","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",68803,70181,74228,96499,80376,83473,92383,105654,111552,103987,106271,97992,99730,104637,113873,98294,96183,98122,97827,97556
"24000","Maryland","2","SA6N","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)","(D)",162,172,180,173,"(D)","(D)","(D)","(D)",500,"(D)","(D)",2122,"(NA)"
"24000","Maryland","2","SA6N","202","212","        Mining (except oil and gas)",64796,64993,67700,74995,69728,72450,80950,86955,86960,79925,80181,69257,65799,60992,64294,53038,51823,54910,57847,"(NA)"
"24000","Maryland","2","SA6N","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)",18537,24420,23882,25917,"(D)","(D)","(D)","(D)",44756,"(D)","(D)",37858,"(NA)"
"24000","Maryland","2","SA6N","300","22","      Utilities",789926,840357,864833,994471,951185,1009548,1088450,1164394,1207610,1334785,1404005,1326776,1405941,1522009,1554614,1492921,1505598,1542463,1649896,1612881
"24000","Maryland","2","SA6N","400","23","      Construction",6264469,7039491,7755895,8280303,8452911,8894037,9763850,10469793,11148164,11657264,11517772,10252657,9733015,9926348,10051839,10262786,10946384,11591550,12464268,12744618
"24000","Maryland","2","SA6N","401","236","        Construction of buildings",1538114,1743765,1897658,2027297,2192327,2376035,2655126,2859955,3033250,3032650,2878766,2407749,2289814,2310192,2338774,2345293,2570344,2741203,3083781,"(NA)"
"24000","Maryland","2","SA6N","402","237","        Heavy and civil engineering construction",752348,808462,855737,849006,825817,893402,950699,1010786,1050170,1125004,1143444,1074854,990104,1022226,1028874,1086657,1229891,1382981,1617657,"(NA)"
"24000","Maryland","2","SA6N","403","238","        Specialty trade contractors",3974007,4487264,5002500,5404000,5434767,5624600,6158025,6599052,7064744,7499610,7495562,6770054,6453097,6593930,6684191,6830836,7146149,7467366,7762830,"(NA)"
