"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"39000","Ohio","3","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",208833848,218730263,228860796,234065735,237567317,245186828,255894320,263100820,273813359,281633912,284228385,270507896,275615156,287338460,299032135,307186745,318700152,330450763,336785562,347189914
"39000","Ohio","3","SA6N","5","...","  Wages and salaries",170532031,178845011,187374685,190021284,192247457,197097617,205029425,210428781,218062958,224980743,226708681,215444735,218721328,228418124,239295918,244494111,255151476,265214325,270998829,279373191
"39000","Ohio","3","SA6N","6","...","  Supplements to wages and salaries",38301817,39885252,41486111,44044451,45319860,48089211,50864895,52672039,55750401,56653169,57519704,55063161,56893828,58920336,59736217,62692634,63548676,65236438,65786733,67816723
"39000","Ohio","3","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",25197002,26256450,27965374,30115617,31661238,33587123,35226850,36816950,39296718,39949909,40274878,38196947,40017504,41108064,41335420,44832810,45460300,46561423,46775701,47970489
"39000","Ohio","3","SA6N","8","...","    Employer contributions for government social insurance",13104815,13628802,13520737,13928834,13658622,14502088,15638045,15855089,16453683,16703260,17244826,16866214,16876324,17812272,18400797,17859824,18088376,18675015,19011032,19846234
"39000","Ohio","3","SA6N","9","...","Average compensation per job (dollars) 3/",36962,38198,39582,40996,42260,43991,45831,47081,48898,50318,51445,51694,53321,54953,56214,57192,58529,59816,60256,"(NA)"
"39000","Ohio","3","SA6N","81","111-112","  Farm compensation",359340,345540,331997,368870,331054,392527,436642,389238,380251,541435,450145,469344,381750,462844,627803,576328,517706,670206,774893,804476
"39000","Ohio","3","SA6N","82","...","  Nonfarm compensation",208474508,218384723,228528799,233696865,237236263,244794301,255457678,262711582,273433108,281092477,283778240,270038552,275233406,286875616,298404332,306610417,318182446,329780557,336010669,346385438
"39000","Ohio","3","SA6N","90","113-814","    Private nonfarm compensation",175801623,184109826,192293738,195098597,196537148,201962478,210393215,216546119,226151812,232223438,233426474,218773932,221384883,233222541,244150050,252718457,263564792,273636067,278308502,286657150
"39000","Ohio","3","SA6N","100","113-115","      Forestry, fishing, and related activities",79252,83558,84589,84922,91819,96939,116049,108061,122354,126476,130478,143655,147964,154730,172781,181706,198820,209309,217730,231785
"39000","Ohio","3","SA6N","101","113","        Forestry and logging",19441,18685,18439,17159,18440,18704,24024,16997,18481,18345,15024,14030,14851,14449,15434,15450,16459,16776,13213,"(NA)"
"39000","Ohio","3","SA6N","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",689,870,983,1110,861,864,1020,774,929,1106,1159,1240,1279,1517,1512,1602,"(NA)"
"39000","Ohio","3","SA6N","103","115","        Support activities for agriculture and forestry",58184,63145,64347,67074,72509,77252,90915,90203,103009,107111,114680,128696,132007,139122,156107,164977,180844,191021,202915,"(NA)"
"39000","Ohio","3","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",653868,667552,649826,743196,661296,663434,710081,731194,809914,824662,882116,878672,887387,976868,1097506,974645,1232142,1167237,949333,973746
"39000","Ohio","3","SA6N","201","211","        Oil and gas extraction",142607,164769,156562,193807,193583,204827,216658,223827,276791,279715,281329,283813,310282,355391,405408,175139,216004,189799,167931,"(NA)"
"39000","Ohio","3","SA6N","202","212","        Mining (except oil and gas)",443779,438575,424085,462670,369194,355549,369215,379104,380734,375883,404890,407024,403925,421593,442367,444184,464988,446850,389471,"(NA)"
"39000","Ohio","3","SA6N","203","213","        Support activities for mining",67482,64208,69179,86719,98519,103058,124208,128263,152389,169064,195897,187835,173180,199884,249731,355322,551150,530588,391931,"(NA)"
"39000","Ohio","3","SA6N","300","22","      Utilities",1552116,1567086,1609490,2001374,1937438,1941288,1894431,2001077,2242206,2295649,2493169,2434405,2335976,2375254,2269323,2375651,2365206,2549001,2626292,2665328
"39000","Ohio","3","SA6N","400","23","      Construction",9952599,11017976,11558774,11293456,11276518,11333416,11766396,11927634,12228175,12530637,12264412,10870595,10172144,10907742,11553941,12212383,13352768,14039718,14602514,16195372
"39000","Ohio","3","SA6N","401","236","        Construction of buildings",2393941,2661616,2729862,2719284,2827237,2838466,2956803,3037082,3073450,3053794,3077375,2560873,2384259,2582738,2628001,2782041,2976542,3095460,3268262,"(NA)"
"39000","Ohio","3","SA6N","402","237","        Heavy and civil engineering construction",1349575,1457684,1526731,1477045,1395623,1431725,1470122,1537977,1609429,1660746,1663861,1782528,1521924,1631260,1733479,2145008,2432711,2520506,2450717,"(NA)"
"39000","Ohio","3","SA6N","403","238","        Specialty trade contractors",6209083,6898676,7302181,7097127,7053658,7063225,7339471,7352575,7545296,7816097,7523176,6527194,6265961,6693744,7192461,7285334,7943515,8423752,8883535,"(NA)"
"39000","Ohio","3","SA6N","500","31-33","      Manufacturing",51364818,51972258,53128602,50924518,49161271,49397008,50201203,50499029,51609785,51510711,49813732,42235672,42965125,45802739,47204219,48108001,50341557,51912924,51935437,52678151
"39000","Ohio","3","SA6N","510","321,327-339","        Durable goods manufacturing",37798077,37857523,38744577,36711892,34899592,34922238,35671063,35842000,36767342,36555714,35102691,28685752,28975334,31217508,32401137,32975828,34576125,35647112,35451999,35664358
"39000","Ohio","3","SA6N","511","321","          Wood product manufacturing",685642,735383,752829,742001,692041,702477,720091,694320,702769,688102,628483,494368,494554,500625,514882,541900,587722,624034,662419,"(NA)"
"39000","Ohio","3","SA6N","512","327","          Nonmetallic mineral product manufacturing",1912078,1995217,2104887,2038945,2012645,1929507,1900905,1903929,1954136,1915009,1807345,1533595,1627554,1663982,1724789,1761562,1815577,1771677,1909343,"(NA)"
"39000","Ohio","3","SA6N","513","331","          Primary metal manufacturing",4777121,4730641,4642664,4296196,3840556,3801215,3864364,3917925,4073756,4028833,3769216,2679541,2776738,3064607,3014723,3080551,3204748,3160265,3072624,"(NA)"
"39000","Ohio","3","SA6N","514","332","          Fabricated metal product manufacturing",6293821,6399904,6638129,6194824,5937749,6012351,6362686,6499241,6773757,6999266,7055892,5886295,5930871,6524886,6841810,6682495,6909521,6980217,6619790,"(NA)"
"39000","Ohio","3","SA6N","515","333","          Machinery manufacturing",5646967,5566979,5655562,5325815,4792892,4787632,4985406,5205796,5446522,5434546,5452676,4565933,4650788,5225324,5545819,5719037,6017346,6177749,6050840,"(NA)"
"39000","Ohio","3","SA6N","516","334","          Computer and electronic product manufacturing",1990747,2063626,2206763,2153839,1779815,1581658,1566847,1570834,1581581,1760766,1912887,1632971,1614473,1655397,1640588,1637180,1615860,1797495,1770205,"(NA)"
"39000","Ohio","3","SA6N","517","335","          Electrical equipment, appliance, and component manufacturing",2127077,2224685,2290839,2243990,2251548,2284658,2251812,2244308,2239989,2314565,2226090,2004427,2009604,2142855,2231478,2280498,2324633,2394143,2293609,"(NA)"
"39000","Ohio","3","SA6N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",10708885,10331982,10534996,9617102,9690964,9928065,9885977,9669230,9713431,9018563,7845390,5707419,5906310,6400135,6712571,7036328,7716159,8146500,8264482,"(NA)"
"39000","Ohio","3","SA6N","519","3364-3369","          Other transportation equipment manufacturing",1517581,1543046,1560675,1653109,1538730,1545238,1728270,1683223,1843801,1973325,2008287,2028329,1895507,1935943,1996094,2033508,2126212,2280908,2482771,"(NA)"
"39000","Ohio","3","SA6N","521","337","          Furniture and related product manufacturing",867567,919957,950259,939310,921019,937145,958815,954557,946026,995886,955518,788397,736797,716588,721866,747152,785596,809332,850255,"(NA)"
"39000","Ohio","3","SA6N","522","339","          Miscellaneous manufacturing",1270591,1346103,1406974,1506761,1441633,1412292,1445890,1498637,1491574,1426853,1440907,1364477,1332138,1387166,1456517,1455617,1472751,1504792,1475661,"(NA)"
"39000","Ohio","3","SA6N","530","311-316,322-326","        Nondurable goods manufacturing",13566741,14114735,14384025,14212626,14261679,14474770,14530140,14657029,14842443,14954997,14711041,13549920,13989791,14585231,14803082,15132173,15765432,16265812,16483438,17013793
"39000","Ohio","3","SA6N","531","311","          Food manufacturing",2195079,2356869,2423988,2562829,2675708,2746157,2733438,2777122,2843575,2952569,2955317,3009868,3104893,3166219,3350219,3480433,3651302,3662591,3747348,"(NA)"
"39000","Ohio","3","SA6N","532","312","          Beverage and tobacco product manufacturing",346988,370814,358990,364574,425710,442802,456134,460145,465629,485356,503407,475329,481822,484526,465553,489525,498560,540131,563597,"(NA)"
"39000","Ohio","3","SA6N","533","313","          Textile mills",168968,170494,167536,150634,161860,169798,167800,159094,156694,152984,138863,120728,117580,132689,142306,154001,151864,141976,128041,"(NA)"
"39000","Ohio","3","SA6N","534","314","          Textile product mills",171545,175391,183274,172612,171423,170244,167105,169494,165246,176159,164303,127557,126335,124047,124230,123060,131007,134367,120065,"(NA)"
"39000","Ohio","3","SA6N","535","315","          Apparel manufacturing",101768,99343,99091,88563,106137,123853,112113,109706,112734,101503,102942,88057,79793,73941,71275,72248,82886,77165,78265,"(NA)"
"39000","Ohio","3","SA6N","536","316","          Leather and allied product manufacturing",37789,37570,34850,37156,30220,31511,28049,22018,21348,21526,20443,17354,17304,17651,19229,20251,21858,23504,46867,"(NA)"
