"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"96000","Southwest","6","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",496709228,528440718,576479367,603033235,610495832,630296993,666684540,714315717,779554414,834269952,868559765,844150221,866463567,911225717,965920822,1001145650,1060885687,1109451047,1125502971,1163692887
"96000","Southwest","6","SA6N","5","...","  Wages and salaries",413345338,440229257,480035685,499767920,502611865,514825653,545105432,584630724,640313408,688499692,718133493,691731678,707070348,747297413,793463193,821723863,873427430,910612948,923233397,954342230
"96000","Southwest","6","SA6N","6","...","  Supplements to wages and salaries",83363890,88211461,96443682,103265315,107883967,115471340,121579108,129684993,139241006,145770260,150426272,152418543,159393219,163928304,172457629,179421787,187458257,198838099,202269574,209350657
"96000","Southwest","6","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",54639688,57950505,63829278,68896921,72950989,78285553,82303110,87998040,94891678,98753615,101910636,104724284,109552126,110876507,116292869,121300933,126627882,135298342,137301896,141161701
"96000","Southwest","6","SA6N","8","...","    Employer contributions for government social insurance",28724202,30260956,32614404,34368394,34932978,37185787,39275998,41686953,44349328,47016645,48515636,47694259,49841093,53051797,56164760,58120854,60830375,63539757,64967678,68188956
"96000","Southwest","6","SA6N","9","...","Average compensation per job (dollars) 3/",35925,37409,39680,41160,41866,43308,45075,46971,49474,51605,53047,53380,55149,56916,58803,59531,61483,62927,63138,"(NA)"
"96000","Southwest","6","SA6N","81","111-112","  Farm compensation",1484958,1609244,1621423,1762733,1495905,1652619,1874431,2109440,1884367,2368958,2556048,2452224,2297918,2526980,2785672,2636555,2902179,2842749,2777654,2887428
"96000","Southwest","6","SA6N","82","...","  Nonfarm compensation",495224270,526831474,574857944,601270502,608999927,628644374,664810109,712206277,777670047,831900994,866003717,841697997,864165649,908698737,963135150,998509095,1057983508,1106608298,1122725317,1160805459
"96000","Southwest","6","SA6N","90","113-814","    Private nonfarm compensation",403119912,429272418,470239278,489257423,488146709,499925835,529901555,570211874,627190476,672437748,697025057,665051131,679788027,723078323,775274559,807945934,862085101,901355870,911325337,943763702
"96000","Southwest","6","SA6N","100","113-115","      Forestry, fishing, and related activities",1146208,1201370,1259806,1054218,1108767,1116227,1273743,1298352,1419909,1405177,1394083,1476877,1524770,1564305,1655876,1643692,1815484,1943217,2046182,2199960
"96000","Southwest","6","SA6N","101","113","        Forestry and logging",139439,138424,141575,122744,127114,113300,"(D)",127949,127227,124381,126918,118487,117076,114134,121723,112277,124004,126324,122185,"(NA)"
"96000","Southwest","6","SA6N","102","114","        Fishing, hunting and trapping",12278,13579,15805,48892,46842,43153,"(D)",48753,54933,52248,48260,53657,52454,54968,61803,61106,70967,72253,66843,"(NA)"
"96000","Southwest","6","SA6N","103","115","        Support activities for agriculture and forestry",994491,1049367,1102426,882582,934811,959774,1099266,1121650,1237749,1228548,1218905,1304733,1355240,1395203,1472350,1470309,1620513,1744640,1857154,"(NA)"
"96000","Southwest","6","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",14595880,14674170,15624477,17260415,16109702,16979218,19174906,22787724,28356999,31638219,37435067,32616074,34366363,40944631,47114855,50049026,55233330,50570241,41838964,41373303
"96000","Southwest","6","SA6N","201","211","        Oil and gas extraction",8310883,8431654,9241869,9884789,9428395,"(D)","(D)",12386880,15248016,16186277,19527320,"(D)",19290817,21593329,24637267,25783319,27758374,27722393,24739976,"(NA)"
"96000","Southwest","6","SA6N","202","212","        Mining (except oil and gas)",1519654,1463430,1383048,1440158,1329246,1364942,1473827,1511037,1723890,1930766,2279571,1901939,1926164,2122594,2425238,2508982,2587088,2601740,2513373,"(NA)"
"96000","Southwest","6","SA6N","203","213","        Support activities for mining",4765343,4779086,4999560,5935468,5352061,"(D)","(D)",8889807,11385093,13521176,15628176,"(D)",13149382,17228708,20052350,21756725,24887868,20246108,14585615,"(NA)"
"96000","Southwest","6","SA6N","300","22","      Utilities",4583209,5109949,5914438,7225748,7213204,6545837,6814994,6971074,7654735,8646702,8772825,8942639,9082110,9325709,9610797,9887047,10489823,10518033,10912963,11452339
"96000","Southwest","6","SA6N","400","23","      Construction",29357583,32490946,36164819,37342545,37040760,37638452,39024622,43570139,50225897,54062847,56245979,48584864,46038012,46959908,51216951,55202349,60729193,65070343,67739499,69721323
"96000","Southwest","6","SA6N","401","236","        Construction of buildings",8425813,9069868,10013995,10646177,10825084,10850511,11048788,12353934,14344000,14969946,15443908,13349320,12527107,12672757,13165993,14139682,15801474,17597198,18383842,"(NA)"
"96000","Southwest","6","SA6N","402","237","        Heavy and civil engineering construction",5263369,5902973,6582851,6915969,6900438,6864337,7135223,8175834,9558000,10840354,11823343,10016128,9641245,10177990,11818053,12784390,13821898,14284467,14691793,"(NA)"
"96000","Southwest","6","SA6N","403","238","        Specialty trade contractors",15668401,17518105,19567973,19780399,19315238,19923604,20840611,23040371,26323897,28252547,28978728,25219416,23869660,24109161,26232905,28278277,31105821,33188678,34663864,"(NA)"
"96000","Southwest","6","SA6N","500","31-33","      Manufacturing",71603814,72483829,78267066,79698224,75200305,75222985,77961440,82402798,89252410,92884723,92668674,84471186,85278924,90659730,96679634,98142067,102871480,104630115,101579289,104332866
"96000","Southwest","6","SA6N","510","321,327-339","        Durable goods manufacturing",48960007,49509059,54241022,54640270,50975220,50497067,52949268,56279431,61958072,64611995,64752168,57972401,58062875,62841629,67364830,68274992,71702021,71972865,69057046,70681483
"96000","Southwest","6","SA6N","511","321","          Wood product manufacturing",1541143,1635366,1631864,1592942,1536238,1489249,1603084,1789250,1859163,1759859,1574788,1232055,1148354,1150844,1240539,1227840,1355065,1436617,1532692,"(NA)"
"96000","Southwest","6","SA6N","512","327","          Nonmetallic mineral product manufacturing",2356099,2554280,2811267,2801360,3019119,2929987,3047520,3315953,3544655,3683364,3504242,2794360,2637918,2621044,2751505,2969831,3324887,3452794,3618161,"(NA)"
"96000","Southwest","6","SA6N","513","331","          Primary metal manufacturing",1873977,1810528,1904841,1934621,1810652,1769700,1910396,1989436,2224928,2373270,2401394,1799408,1824527,1997762,2172110,2218462,2279721,2185571,1977742,"(NA)"
"96000","Southwest","6","SA6N","514","332","          Fabricated metal product manufacturing",6955851,6997904,7501736,7693212,7295403,6952751,7267684,8100152,9287722,10182842,10888569,9336272,9091897,10161128,11637267,11877794,12936922,12365572,11095291,"(NA)"
"96000","Southwest","6","SA6N","515","333","          Machinery manufacturing",5417845,5529401,6284730,6653372,6408834,6439601,6921950,7574499,8669282,9932780,10161600,9315913,9562858,10998311,12620940,12809940,13878642,13430552,11402620,"(NA)"
"96000","Southwest","6","SA6N","516","334","          Computer and electronic product manufacturing",18120398,18192926,20516749,19778183,16783659,15915275,16494469,17198900,18693559,18342451,17797538,16141755,16431996,17926091,17976020,17622851,18001787,18467650,18298963,"(NA)"
"96000","Southwest","6","SA6N","517","335","          Electrical equipment, appliance, and component manufacturing",1199991,1262529,1440235,1458603,1318964,1335211,1407723,1479591,1640109,1827550,1868033,1741129,1794019,1910071,2007629,2072136,2232478,2285362,2218377,"(NA)"
"96000","Southwest","6","SA6N","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",2619934,2400975,2605834,"(D)",2639548,2649968,2654818,2718053,3047487,2936727,2780429,2342754,2380973,"(D)",2857244,"(D)","(D)",3435453,3443864,"(NA)"
"96000","Southwest","6","SA6N","519","3364-3369","          Other transportation equipment manufacturing",5499986,5577628,5836652,"(D)",6352446,7036840,7594671,7863019,8505406,9068596,9407313,9321538,9334589,"(D)",9876481,"(D)","(D)",10100278,10427452,"(NA)"
"96000","Southwest","6","SA6N","521","337","          Furniture and related product manufacturing",1313833,1441196,1521169,1504616,1473166,1506142,1581244,1661897,1808140,1764816,1660293,1351791,1246540,1233455,1299804,1332794,1379870,1492315,1568003,"(NA)"
"96000","Southwest","6","SA6N","522","339","          Miscellaneous manufacturing",2060950,2106326,2185945,2299682,2337191,2472343,2465709,2588681,2677621,2739740,2707969,2595426,2609204,2779274,2925291,3089974,3234472,3320701,3473881,"(NA)"
"96000","Southwest","6","SA6N","530","311-316,322-326","        Nondurable goods manufacturing",22643807,22974770,24026044,25057954,24225085,24725918,25012172,26123367,27294338,28272728,27916506,26498785,27216049,27818101,29314804,29867075,31169459,32657250,32522243,33651383
"96000","Southwest","6","SA6N","531","311","          Food manufacturing",4193995,4300421,4598294,4668717,4830261,5024692,5131939,5305804,5367969,5246516,5193738,5350391,5525401,5430144,5550981,5752445,6079532,6229042,6488607,"(NA)"
"96000","Southwest","6","SA6N","532","312","          Beverage and tobacco product manufacturing",838544,902598,933792,966876,942649,984558,958889,997166,1079427,1162656,1227916,1186836,1221267,1204639,1236423,1265346,1353204,1461017,1537305,"(NA)"
"96000","Southwest","6","SA6N","533","313","          Textile mills",150618,150517,163640,157000,154369,159335,164860,141779,144114,159682,163422,134034,140454,153267,160872,168141,172783,158336,118844,"(NA)"
"96000","Southwest","6","SA6N","534","314","          Textile product mills",328866,341350,354213,312753,292403,296882,307193,321347,337828,364072,322020,278971,254336,259333,266645,282242,305710,301962,299288,"(NA)"
"96000","Southwest","6","SA6N","535","315","          Apparel manufacturing",1219488,1050084,991411,798400,696170,529926,413357,345775,309498,278194,255541,225330,228690,237227,248158,256728,266753,284155,302122,"(NA)"
"96000","Southwest","6","SA6N","536","316","          Leather and allied product manufacturing",212549,220677,219729,185763,175704,194299,162643,169950,175226,187504,185182,177606,186361,188836,210079,222729,223278,229814,223423,"(NA)"
"96000","Southwest","6","SA6N","537","322","          Paper manufacturing",1679668,1749361,1798182,1776064,1731542,1733661,1704481,1685355,1643132,1694638,1640671,1518538,1555756,1604689,1627159,1568214,1631034,1650105,1694289,"(NA)"
"96000","Southwest","6","SA6N","538","323","          Printing and related support activities",2380312,2393864,2475708,2478724,2303239,2229945,2218921,2252134,2267429,2294704,2228163,1933346,1879772,1854120,1851106,1848330,1895757,1952704,1908940,"(NA)"
"96000","Southwest","6","SA6N","539","324","          Petroleum and coal products manufacturing",2305175,2358729,2488340,3069869,2835943,3138404,3307898,3563127,4262533,4453214,4424799,4351610,4315868,4532157,4979719,5103384,4812533,5205387,5050858,"(NA)"
"96000","Southwest","6","SA6N","541","325","          Chemical manufacturing",6574715,6600574,6950703,7517988,7232897,7383989,7589499,8126169,8392358,9179657,9065401,8520414,9010312,9333986,10015430,10228831,11114143,11866348,11562658,"(NA)"
"96000","Southwest","6","SA6N","542","326","          Plastics and rubber products manufacturing",2759877,2906595,3052032,3125800,3029908,3050227,3052492,3214761,3314824,3251891,3209653,2821709,2897832,3019703,3168232,3170685,3314732,3318380,3335909,"(NA)"
"96000","Southwest","6","SA6N","600","42","      Wholesale trade",31110256,33802164,36792933,37938773,36810461,37357127,39803482,42936520,47007415,51128377,52638789,49195347,50743587,54771401,59440076,61086605,63770277,66257031,65990724,67590586
"96000","Southwest","6","SA6N","700","44-45","      Retail trade",39324929,42068839,45268966,45144093,46255000,47426793,48737953,51745921,54434888,56469708,56448729,54145265,54863877,57542640,59752336,61692930,65046081,68492764,70324593,71548776
"96000","Southwest","6","SA6N","701","441","        Motor vehicle and parts dealers",8149161,8812140,9532453,10024777,10201333,10435707,10552622,11055430,11676067,12183826,11518216,9926508,10416596,11325334,12511731,13394066,14294352,15161316,15574237,"(NA)"
