"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"48000","Texas","6","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",348390645,371586290,405962517,424053811,426443355,438344572,461078836,492278156,536459189,577468537,604506173,591393147,610934238,644856841,688188946,715974541,764402009,802682379,812923187,840124506
"48000","Texas","6","SA6N","5","...","  Wages and salaries",291035692,310514965,339022925,352372323,351923795,358084160,377446298,403668832,441697637,479127525,503645005,487554120,501828526,533189953,569239796,591293101,633376659,662100635,670658530,693064794
"48000","Texas","6","SA6N","6","...","  Supplements to wages and salaries",57354953,61071325,66939592,71681488,74519560,80260412,83632538,88609324,94761552,98341012,100861168,103839027,109105712,111666888,118949150,124681440,131025350,140581744,142264657,147059712
"48000","Texas","6","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",37744592,40320331,44575100,48203148,50888899,54824919,56982454,60443205,65026237,66730604,68163419,71346246,74704826,75003789,79942554,84197986,88133016,95655822,96252874,98741735
"48000","Texas","6","SA6N","8","...","    Employer contributions for government social insurance",19610361,20750994,22364492,23478340,23630661,25435493,26650084,28166119,29735315,31610408,32697749,32492781,34400886,36663099,39006596,40483454,42892334,44925922,46011783,48317977
"48000","Texas","6","SA6N","9","...","Average compensation per job (dollars) 3/",37170,38815,41211,42706,43217,44640,46426,48396,50967,53181,54468,54694,56616,58397,60539,61348,63547,65180,65259,"(NA)"
"48000","Texas","6","SA6N","81","111-112","  Farm compensation",785468,884212,851930,956720,684283,884065,982316,1159167,976267,1265951,1419570,1349185,1292307,1511525,1586134,1414286,1686323,1884723,1655016,1720613
"48000","Texas","6","SA6N","82","...","  Nonfarm compensation",347605177,370702078,405110587,423097091,425759072,437460507,460096520,491118989,535482922,576202586,603086603,590043962,609641931,643345316,686602812,714560255,762715686,800797656,811268171,838403893
"48000","Texas","6","SA6N","90","113-814","    Private nonfarm compensation",288089198,307493216,337152509,350744353,347500304,354004565,373175920,400218057,438897737,473820947,494289249,474928144,488364217,521296146,562779741,588535914,632199836,662701836,668273294,691259589
"48000","Texas","6","SA6N","100","113-115","      Forestry, fishing, and related activities",765823,813699,863643,649446,686382,688512,777862,810785,857777,843826,870093,930344,969951,992178,1066753,1053319,1154774,1230174,1283735,1407955
"48000","Texas","6","SA6N","101","113","        Forestry and logging",116009,115648,116732,106136,107397,95374,104770,109518,109576,108109,110309,102693,99468,97124,103264,95229,102277,102255,98850,"(NA)"
"48000","Texas","6","SA6N","102","114","        Fishing, hunting and trapping",10978,12386,14588,48176,46366,42715,51519,48247,54333,51503,47784,53029,51706,54180,60962,60273,70007,69310,64035,"(NA)"
"48000","Texas","6","SA6N","103","115","        Support activities for agriculture and forestry",638836,685665,732323,495134,532619,550423,621573,653020,693868,684214,712000,774622,818777,840874,902527,897817,982490,1058609,1120850,"(NA)"
"48000","Texas","6","SA6N","200","21","      Mining, quarrying, and oil and gas extraction",11570893,11820073,12685763,13861345,13016770,13586673,15344885,18315792,21979916,25050942,29589349,26292556,27530413,32519172,37514528,39902111,44580045,40540689,33777909,32576302
"48000","Texas","6","SA6N","201","211","        Oil and gas extraction",7084207,7291356,8069761,8549126,8163423,8318917,9361707,10596392,12364217,13614982,16508508,15808731,16329476,18078893,20542095,21454649,23332787,22955806,20781354,"(NA)"
"48000","Texas","6","SA6N","202","212","        Mining (except oil and gas)",480173,493241,502324,530772,508285,555362,585189,547112,603264,630481,694849,637463,646091,647243,755398,768686,893966,929062,950350,"(NA)"
"48000","Texas","6","SA6N","203","213","        Support activities for mining",4006513,4035476,4113678,4781447,4345062,4712394,5397989,7172288,9012435,10805479,12385992,9846362,10554846,13793036,16217035,17678776,20353292,16655821,12046205,"(NA)"
"48000","Texas","6","SA6N","300","22","      Utilities",3133587,3563053,4278561,5135181,5049678,4450235,4631981,4623301,5029792,5692851,5649521,5714913,5888014,6014710,6222382,6362693,6559643,6812187,7086286,7628155
"48000","Texas","6","SA6N","400","23","      Construction",20313585,22454161,25091966,25691544,25526638,25634931,25902802,28236352,32603318,36376878,39458584,35584929,34045236,34867308,38303630,41282799,46250552,50026956,51940489,52881577
"48000","Texas","6","SA6N","401","236","        Construction of buildings",6377033,6786173,7478535,7892078,8046481,7980755,7900468,8604535,9987474,10703093,11377365,10272286,9712037,9898360,10358638,11194900,12781970,14355495,14824870,"(NA)"
"48000","Texas","6","SA6N","402","237","        Heavy and civil engineering construction",3634767,4082847,4540970,4713922,4622775,4709806,4928442,5586251,6673280,7890012,8888742,7678944,7405133,7924605,9366354,9922691,10939050,11465520,11889559,"(NA)"
"48000","Texas","6","SA6N","403","238","        Specialty trade contractors",10301785,11585141,13072461,13085544,12857382,12944370,13073892,14045566,15942564,17783773,19192477,17633699,16928066,17044343,18578638,20165208,22529532,24205941,25226060,"(NA)"
"48000","Texas","6","SA6N","500","31-33","      Manufacturing",52585997,53237893,57114600,58515348,55137175,55213162,57174124,60906598,66088288,69074890,68759640,62956607,63694166,67723389,72356674,73610560,77332629,78779516,76121411,78435110
