"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"53000","Washington","8","SA6N","1","...","Compensation of employees (thousands of dollars) 1/",114868886,125188558,133069177,134320692,135747474,140241682,147691980,156058979,167184174,180330358,187393469,182805057,186565133,193681425,204389727,212152329,224550316,235742642,250106978,264672967
"53000","Washington","8","SA6N","5","...","  Wages and salaries",93722306,103080733,109279037,109689454,110416725,113070544,118020292,124542645,134850708,145238170,150162581,146352093,147985400,154979490,164187779,170690069,181723231,191879026,203612887,215490853
"53000","Washington","8","SA6N","6","...","  Supplements to wages and salaries",21146580,22107825,23790140,24631238,25330749,27171138,29671688,31516334,32333466,35092188,37230888,36452964,38579733,38701935,40201948,41462260,42827085,43863616,46494091,49182114
"53000","Washington","8","SA6N","7","...","    Employer contributions for employee pension and insurance funds 2/",12269948,12953431,13783669,14801181,15363365,16686549,18422547,19608100,19966357,22251354,24283391,23546362,25090308,24542120,25640621,26282506,26850627,27084117,29174038,30727715
"53000","Washington","8","SA6N","8","...","    Employer contributions for government social insurance",8876632,9154394,10006471,9830057,9967384,10484589,11249141,11908234,12367109,12840834,12947497,12906602,13489425,14159815,14561327,15179754,15976458,16779499,17320053,18454399
"53000","Washington","8","SA6N","9","...","Average compensation per job (dollars) 3/",41178,43858,45717,46286,47367,48755,50636,52256,54331,57252,58819,59973,62192,63864,65264,66317,68367,70059,72444,"(NA)"
"53000","Washington","8","SA6N","81","111-112","  Farm compensation",1020186,1153911,1174769,1173142,1092365,1150359,1126966,1318536,1246748,1228682,1579474,1550467,1449646,1361854,1808311,1806557,1812300,1840310,2069466,2146624
"53000","Washington","8","SA6N","82","...","  Nonfarm compensation",113848700,124034647,131894408,133147550,134655109,139091323,146565014,154740443,165937426,179101676,185813995,181254590,185115487,192319571,202581416,210345772,222738016,233902332,248037512,262526343
"53000","Washington","8","SA6N","90","113-814","    Private nonfarm compensation",90995882,99962160,106289946,105976617,105620768,108149974,113798701,120129018,129643219,140337595,144182329,137909962,140545376,147598034,156797788,163936233,174974709,184455794,196374661,208532973
"53000","Washington","8","SA6N","100","113-115","      Forestry, fishing, and related activities",806279,875593,866901,838374,893911,915984,1025378,1037507,1120891,1129842,1151934,1146363,1165456,1240668,1375521,1368856,1434022,1467189,1518352,1584232
"53000","Washington","8","SA6N","101","113","        Forestry and logging",330903,367071,346920,331810,350515,337015,369280,349656,338385,341438,331092,272283,285292,293605,321241,322209,332198,331669,339740,"(NA)"
"53000","Washington","8","SA6N","102","114","        Fishing, hunting and trapping",144829,176460,155374,145918,162352,178626,186702,210557,218205,218330,235368,189617,201941,227966,231833,195362,171508,167132,165517,"(NA)"
"53000","Washington","8","SA6N","103","115","        Support activities for agriculture and forestry",330547,332062,364607,360646,381044,400343,469396,477294,564301,570074,585474,684463,678223,719097,822447,851285,930316,968388,1013095,"(NA)"
