"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"06000","California","8","SA6","1","...","Compensation of employees (thousands of dollars) 1/",27397430,30478478,32412683,34263298,37249646,40139666,43079959,45935311,50975208,54611498,60085514,65705316,69626299,73290743,80602888,88722651,97587119,106037826,117587041,132509807,152040415,173515153,193820123,215743341,229400586,247308401,274911150,300208787,324543619,353797000,384694086,414647113,445500035,454472004,472187958,477229433,489673472,508567155,535626886,574718731,625499321,682081744,768185454,787953303
"06000","California","8","SA6","5","...","  Wages and salaries",24851833,27551841,29171380,30773118,33264159,35677973,38277228,40756511,44920054,48147502,52831009,57931868,61258951,64012638,69888132,76906601,84377932,90887662,100699011,112641527,129104377,146995290,164081481,182104622,192877486,206480887,229161263,249824188,269320910,294010672,319101860,341962088,366832688,371863838,381841463,384081757,395288745,415033441,440424657,475281712,517592617,565624705,638455163,648050300
"06000","California","8","SA6","6","...","  Supplements to wages and salaries",2545597,2926637,3241303,3490180,3985487,4461693,4802731,5178800,6055154,6463996,7254505,7773448,8367348,9278105,10714756,11816050,13209187,15150164,16888030,19868280,22936038,26519863,29738642,33638719,36523100,40827514,45749887,50384599,55222709,59786328,65592226,72685025,78667347,82608166,90346495,93147676,94384727,93533714,95202229,99437019,107906704,116457039,129730291,139903003
"06000","California","8","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",1944344,2112110,2268740,2452349,2620320,2913607,3220103,3570097,4013820,4286042,4801710,5392319,5891562,6561199,7504322,7757685,8639474,10291382,11178233,13301114,15085280,17223176,19504210,21590981,23619050,26455022,28839508,32130582,35543389,38652492,41971632,47531366,51877887,55090182,61822492,64329063,64685885,63259550,63978847,65964003,71924711,77574068,86814078,94323767
"06000","California","8","SA6","8","...","    Employer contributions for government social insurance",601253,814527,972563,1037831,1365167,1548086,1582628,1608703,2041334,2177954,2452795,2381129,2475786,2716906,3210434,4058365,4569713,4858782,5709797,6567166,7850758,9296687,10234432,12047738,12904050,14372492,16910379,18254017,19679320,21133836,23620594,25153659,26789460,27517984,28524003,28818613,29698842,30274164,31223382,33473016,35981993,38882971,42916213,45579236
"06000","California","8","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",8318,8821,9339,9952,10427,11173,12066,12946,13937,14924,16161,17734,19454,21016,22301,23519,24859,26145,27475,28837,30247,31863,33410,35461,36171,36828,37455,38521,40429,42415,44934,49173,50153
"06000","California","8","SA6","81","[01-02]","  Farm compensation",513657,551800,571113,589173,565857,550023,550991,594004,636220,608543,688213,758173,797502,817576,866711,983722,1231517,1411538,1582856,1618195,1535764,1702367,1784590,1743871,2031041,1974513,2037259,2096008,1986609,2032143,2312956,2532910,3020567,3033321,2908343,3161663,3221226,3682570,4058055,4206446,4497958,5217764,5291526,5254128
"06000","California","8","SA6","82","...","  Nonfarm compensation",26883773,29926678,31841570,33674125,36683789,39589643,42528968,45341307,50338988,54002955,59397301,64947143,68828797,72473167,79736177,87738929,96355602,104626288,116004185,130891612,150504651,171812786,192035533,213999470,227369545,245333888,272873891,298112779,322557010,351764857,382381130,412114203,442479468,451438683,469279615,474067770,486452246,504884585,531568831,570512285,621001363,676863980,762893928,782699175
"06000","California","8","SA6","90","...","    Private nonfarm compensation",20627319,23277957,24603765,25940346,28367562,30514116,32747510,34651366,38220177,40711119,44620356,48674175,50746073,52771089,58205360,65011948,71543389,76896609,86432979,99223542,116386506,135216425,152038595,169784749,180165201,195261548,218936994,238962267,259093893,283866683,309486281,332573938,355479218,358024434,369571275,373940137,383541485,399870875,424799518,459210381,503354070,551660467,626293625,632971437
"06000","California","8","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",88767,97751,104045,120964,140767,153939,175899,198416,225209,234159,266365,319760,366311,406733,455044,518830,609356,655954,764835,835165,1072908,1283560,1551478,1588341,1657152,1789495,2015213,2246886,2460619,2737016,3040453,3377160,3796271,3683537,3874101,3911815,4016806,4050300,4288123,4582567,4921536,5538191,5835238,6239656
