"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"08000","Colorado","7","SA6","1","...","Compensation of employees (thousands of dollars) 1/",2419386,2615451,2848948,3091067,3259997,3450125,3661498,3845020,4245961,4618486,5152919,5794705,6480137,7334961,8407700,9653278,10649040,11629452,12988229,14618653,17007556,19785633,22595537,26040622,28613658,30152157,32922872,34912320,36154679,37252096,39300300,41798925,44931727,48228587,52580235,56690467,60677456,64838945,69709379,75920858,83852615,91845578,103510460,107338030
"08000","Colorado","7","SA6","5","...","  Wages and salaries",2204298,2384302,2592133,2803771,2945587,3101613,3283046,3447632,3783710,4113180,4574824,5140971,5730841,6444366,7340808,8429982,9276232,10050053,11219253,12575772,14636512,17002454,19406993,22305631,24423662,25552000,27848600,29406259,30316014,31234885,32821289,34644459,37121757,39638625,42725158,45976104,49345518,53161778,57442452,62753633,69857397,76636393,86411500,89129887
"08000","Colorado","7","SA6","6","...","  Supplements to wages and salaries",215088,231149,256815,287296,314410,348512,378452,397388,462251,505306,578095,653734,749296,890595,1066892,1223296,1372808,1579399,1768976,2042881,2371044,2783179,3188544,3734991,4189996,4600157,5074272,5506061,5838665,6017211,6479011,7154466,7809970,8589962,9855077,10714363,11331938,11677167,12266927,13167225,13995218,15209185,17098960,18208143
"08000","Colorado","7","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",163919,174413,188533,207463,225024,245370,270820,291175,325276,360608,412542,461567,535725,638365,754971,814158,910777,1083788,1185929,1377587,1569594,1814679,2090838,2393130,2692028,2964331,3195398,3526064,3773426,3908191,4170267,4687870,5106166,5628620,6628655,7150118,7497986,7622029,7950822,8523323,9374451,10201323,11532323,12348859
"08000","Colorado","7","SA6","8","...","    Employer contributions for government social insurance",51169,56736,68282,79833,89386,103142,107632,106213,136975,144698,165553,192167,213571,252230,311921,409138,462031,495611,583047,665294,801450,968500,1097706,1341861,1497968,1635826,1878874,1979997,2065239,2109020,2308744,2466596,2703804,2961342,3226422,3564245,3833952,4055138,4316105,4643902,4620767,5007862,5566637,5859284
"08000","Colorado","7","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6936,7533,8213,8782,9302,10016,10902,11714,12555,13604,14925,16566,18410,19908,20858,21699,22707,23632,24351,25261,26111,27394,29010,30592,31590,32362,33351,34671,36283,38592,40860,44392,45734
"08000","Colorado","7","SA6","81","[01-02]","  Farm compensation",46807,47816,50820,54868,51971,47547,41189,39922,48864,65746,61159,72593,74703,68990,73228,93943,99133,98320,102268,114483,146978,158188,162481,156938,162907,156744,154625,156270,145998,147043,163312,174203,200808,192230,190211,220952,284030,301946,292800,348733,343406,356197,395231,407443
"08000","Colorado","7","SA6","82","...","  Nonfarm compensation",2372579,2567635,2798128,3036199,3208026,3402578,3620309,3805098,4197097,4552740,5091760,5722112,6405434,7265971,8334472,9559335,10549907,11531132,12885961,14504170,16860578,19627445,22433056,25883684,28450751,29995413,32768247,34756050,36008681,37105053,39136988,41624722,44730919,48036357,52390024,56469515,60393426,64536999,69416579,75572125,83509209,91489381,103115229,106930587
"08000","Colorado","7","SA6","90","...","    Private nonfarm compensation",1742661,1909315,2081840,2265951,2353690,2474670,2607360,2726489,2999363,3216775,3580945,4056269,4521579,5129902,5950392,6917843,7651776,8275384,9341708,10720270,12764272,15137609,17468067,20333060,22474268,23592776,25899138,27350515,28151143,28801739,30356907,32364707,34838406,37336281,40655025,44199973,47613402,51297890,55754560,61264482,68610080,75643945,86195917,88701054
"08000","Colorado","7","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",3510,4642,5430,6375,7276,7735,6863,8565,10517,10587,12353,13552,15641,18991,21884,25376,29007,29694,33928,39708,56075,70179,85851,88138,101551,117046,135712,152741,167971,174603,179823,184131,200670,209617,233652,257901,286697,303745,332227,365354,405674,491556,548873,640938
"08000","Colorado","7","SA6","110","07","        Agricultural services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",116430,135070,152094,167336,173647,178732,183230,199705,208562,232967,256791,285534,302073,330608,363801,404259,489934,546194,"(NA)"
"08000","Colorado","7","SA6","120","...","        Forestry and fishing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",616,642,647,635,956,1091,901,965,1055,685,1110,1163,1672,1619,1553,1415,1622,2679,"(NA)"
"08000","Colorado","7","SA6","121","08","          Forestry","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",616,642,647,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",851,1250,1277,1209,"(D)",1294,2317,"(NA)"
"08000","Colorado","7","SA6","122","...","          Fishing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(L)",0,0,0,0,"(L)",0,0,0,0,0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",312,422,342,344,"(D)",328,362,"(NA)"
"08000","Colorado","7","SA6","200","B","      Mining",88918,93998,101031,99865,89538,90153,94799,99239,111534,118573,127477,142205,160817,166063,176209,201421,248116,351367,406362,514540,675363,823376,1137444,1516390,1657705,1474944,1515908,1454887,1215319,1015743,1030965,1017537,1037077,1019979,949033,974401,944486,928261,925536,981449,998774,1081408,1021742,1345413
"08000","Colorado","7","SA6","210","10","        Metal mining",31171,34197,39313,42585,33675,35700,38581,39635,45742,49843,49237,51515,59309,60179,59432,63362,86132,117973,134101,171347,213641,259123,339946,398606,323361,221513,230651,179290,167438,"(D)","(D)",199832,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",214301,233665,325558,208412,"(NA)"
