"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"16000","Idaho","7","SA6","1","...","Compensation of employees (thousands of dollars) 1/",740994,789932,822915,878332,945889,964701,1023256,1121390,1189287,1246233,1350737,1490512,1634886,1783923,2027084,2303275,2635242,3007545,3462812,3921291,4456156,4961008,5316973,5799809,5866587,6259823,6744389,7113938,7229735,7532500,8200101,8926715,9879948,10647351,11709596,12680957,13841939,14735693,15383022,16265927,17332266,18608275,20532727,21031752
"16000","Idaho","7","SA6","5","...","  Wages and salaries",681829,723509,750619,796841,856706,869886,924177,1012971,1071215,1116743,1201633,1320708,1440640,1556675,1749463,1980130,2261040,2564467,2950054,3325581,3767300,4185009,4473971,4857421,4892534,5182475,5561836,5847881,5908275,6151576,6685163,7231106,7959014,8540741,9305334,10032170,10990012,11777423,12353382,13152525,14010223,15090399,16650453,16997504
"16000","Idaho","7","SA6","6","...","  Supplements to wages and salaries",59165,66423,72296,81491,89183,94815,99079,108419,118072,129490,149104,169804,194246,227248,277621,323145,374202,443078,512758,595710,688856,775999,843002,942388,974053,1077348,1182553,1266057,1321460,1380924,1514938,1695609,1920934,2106610,2404262,2648787,2851927,2958270,3029640,3113402,3322043,3517876,3882274,4034248
"16000","Idaho","7","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",39575,43232,45423,50271,53595,56757,60927,66323,68672,74925,86439,102454,121402,144403,177881,192931,221249,272688,307008,359916,409911,456329,502174,549141,576644,642356,687805,751552,798326,844731,914055,1045155,1168022,1289946,1508289,1656968,1759730,1789340,1838121,1888612,2020526,2162097,2406112,2543105
"16000","Idaho","7","SA6","8","...","    Employer contributions for government social insurance",19590,23191,26873,31220,35588,38058,38152,42096,49400,54565,62665,67350,72844,82845,99740,130214,152953,170390,205750,235794,278945,319670,340828,393247,397409,434992,494748,514505,523134,536193,600883,650454,752912,816664,895973,991819,1092197,1168930,1191519,1224790,1301517,1355779,1476162,1491143
"16000","Idaho","7","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",6084,6456,6866,7464,7998,8708,9648,10381,11349,12088,13225,14468,15862,16705,17409,18275,19344,19699,20175,21087,21979,23262,24328,25662,26615,27738,28559,28994,29842,30694,32049,33983,34435
"16000","Idaho","7","SA6","81","[01-02]","  Farm compensation",41590,42398,46866,52176,56815,63896,70152,74843,78764,71225,66693,66912,72005,67992,76562,84634,105583,117264,157970,162949,134415,148442,155941,155753,174116,165426,164192,163526,151420,151935,172184,186884,218594,213463,216024,243873,307571,321854,303768,353758,352739,357081,397933,407335
"16000","Idaho","7","SA6","82","...","  Nonfarm compensation",699404,747534,776049,826156,889074,900805,953104,1046547,1110523,1175008,1284044,1423600,1562881,1715931,1950522,2218641,2529659,2890281,3304842,3758342,4321741,4812566,5161032,5644056,5692471,6094397,6580197,6950412,7078315,7380565,8027917,8739831,9661354,10433888,11493572,12437084,13534368,14413839,15079254,15912169,16979527,18251194,20134794,20624417
"16000","Idaho","7","SA6","90","...","    Private nonfarm compensation",533733,573497,589933,629150,678242,673197,709363,792176,843636,888725,967344,1070058,1154716,1250465,1423323,1643264,1878970,2131559,2479281,2846490,3312701,3708523,3963923,4330235,4297120,4613532,5007159,5258260,5325798,5546292,6046298,6606290,7327588,7871559,8649076,9445900,10371702,11101616,11600884,12270511,13127314,14133509,15755605,15971229
"16000","Idaho","7","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",1254,1750,1876,2305,2705,3326,4046,5270,5582,7553,7321,8614,10076,11415,12877,14858,17163,17804,20905,23192,28536,33083,38275,40494,44357,52169,56892,67391,72264,81920,94886,100982,113209,127470,132981,141326,149555,150699,159039,170376,"(D)",186029,195284,210922
"16000","Idaho","7","SA6","110","07","        Agricultural services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",116293,125547,135809,138073,146527,158614,"(D)",174043,182939,"(NA)"
"16000","Idaho","7","SA6","120","...","        Forestry and fishing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",16688,15779,13746,12626,12512,11762,13550,11986,12345,"(NA)"
"16000","Idaho","7","SA6","121","08","          Forestry","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",15302,14287,12994,11653,11555,"(D)",12247,10776,11219,"(NA)"
"16000","Idaho","7","SA6","122","...","          Fishing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",1417,1386,1492,752,973,957,"(D)",1303,1210,1126,"(NA)"
"16000","Idaho","7","SA6","200","B","      Mining",22915,22182,16612,21978,21396,21820,23245,24732,28103,28008,30134,33874,35085,34924,33957,36218,45445,53495,52922,60764,80735,98141,125935,163189,126317,136887,146766,135823,99572,90749,120855,138568,151496,126586,111250,97874,110503,126501,145146,152658,"(D)",149107,153825,134131
"16000","Idaho","7","SA6","210","10","        Metal mining",21375,20559,15189,20017,19693,20073,21102,20978,22528,23092,24617,27798,29115,28945,26919,28201,35550,42357,39672,46389,57563,70783,89099,120177,94260,101341,109196,100614,74683,"(D)","(D)",106299,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",100584,107077,98727,100043,"(NA)"
"16000","Idaho","7","SA6","220","12","        Coal mining",0,0,0,0,0,0,0,0,"(L)","(L)",0,0,0,0,0,0,0,0,"(L)",0,0,0,0,0,0,0,0,0,0,"(D)","(D)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(L)","(L)","(D)","(D)","(NA)"
"16000","Idaho","7","SA6","230","13","        Oil and gas extraction",159,135,143,"(L)",0,90,89,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",413,302,221,826,1528,2629,1782,3370,5766,4688,2925,2226,1875,1487,"(D)","(D)",227,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",1005,"(D)","(D)","(D)","(NA)"
"16000","Idaho","7","SA6","240","14","        Nonmetallic minerals, except fuels",1381,1488,1280,1956,1703,1657,2054,3743,5566,4907,5512,6070,5961,5968,7021,7604,9593,10917,12422,12847,20543,25576,33466,37246,27369,32621,35344,33334,23402,26542,32188,32041,34840,36374,40108,43878,44745,40481,46937,51066,50585,48943,51458,"(NA)"
"16000","Idaho","7","SA6","300","C","      Construction",65997,58368,59458,74144,91242,60590,67689,92292,85628,83533,84947,98264,111856,117250,139583,165668,199644,235930,269200,310389,343477,364488,366921,408757,367238,362115,402887,421955,410206,382839,408527,461645,583944,636056,740171,826886,956826,1015717,1028939,1084301,1113777,1232053,1346076,1461109
"16000","Idaho","7","SA6","310","15","        General building contractors",22725,21225,20284,21039,31203,21458,22203,31505,24937,23351,21638,24692,27468,29458,35862,41284,47260,44892,56442,73110,93261,93905,84164,75579,58210,63452,69161,69785,74300,62991,75572,86600,126459,124790,144368,156308,193950,211866,225568,227327,237580,262957,283445,"(NA)"
"16000","Idaho","7","SA6","320","16","        Heavy construction contractors",27419,18876,19801,32224,35431,19275,23876,35343,33965,34984,34903,42302,46568,47009,57332,65483,81450,106958,117474,128179,128466,130718,148840,212994,199834,192900,209019,207681,189774,173770,163451,182822,218949,240772,267552,295109,294595,252989,237278,248401,257805,278694,304538,"(NA)"
"16000","Idaho","7","SA6","330","17","        Special trade contractors",15853,18267,19373,20881,24608,19857,21610,25444,26726,25198,28406,31270,37820,40783,46389,58901,70934,84080,95284,109100,121750,139865,133917,120184,109194,105763,124707,144489,146132,146078,169504,192223,238536,270494,328251,375469,468281,550862,566093,608573,618392,690402,758093,"(NA)"
"16000","Idaho","7","SA6","400","D","      Manufacturing",139360,160604,163643,170401,180191,189919,184114,202278,223858,238321,272597,305879,324041,352734,405155,469614,521892,577365,693796,792320,913453,1010089,1030345,1115177,1067818,1175937,1321005,1379170,1372345,1466627,1631489,1786521,1925780,2038761,2232411,2495306,2775512,2876258,2905918,3034294,3161807,3462274,4061539,3571481
"16000","Idaho","7","SA6","410","...","        Durable goods manufacturing",76144,88523,83499,84096,87574,93977,100769,113271,124301,132661,155664,178317,184458,207136,238818,280067,300986,329360,411897,476938,562537,617792,606122,650120,564866,645224,702271,710680,695500,761767,881464,1001488,1066317,1107337,1255701,1470243,1724459,1922064,1929213,1989573,2098995,2374176,2941130,2434777
"16000","Idaho","7","SA6","413","24","          Lumber and wood products",58507,67789,65160,61304,63874,69130,73054,78722,84279,87870,104232,117284,120636,137435,154066,178715,189457,215401,266504,312665,357930,385217,351040,364122,304873,363163,380365,371045,364451,381518,413066,456787,452409,426657,479584,514471,554343,536281,543777,540416,531125,544637,535656,"(NA)"
