"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"24000","Maryland","2","SA6","1","...","Compensation of employees (thousands of dollars) 1/",4610043,4888976,5158566,5452955,5888537,6305758,6839961,7408809,8361558,8898841,9884709,11120218,12175189,13269557,14608524,16241420,17784180,18844301,20608793,22400838,24989194,27618080,30309866,33444011,35258321,38322515,42440276,46481160,50572704,55251649,60642933,65159400,69307165,70591665,73540407,76202362,79910186,83064499,86675675,92744795,99349025,106306856,114804673,121259966
"24000","Maryland","2","SA6","5","...","  Wages and salaries",4150453,4377743,4600134,4843867,5222036,5583585,6057006,6592876,7400688,7871942,8756652,9784500,10671181,11497549,12596572,13987002,15278854,16044903,17498686,18916059,21081495,23212875,25403113,27901916,29282985,31684650,35087860,38360504,41700857,45872882,50342066,53867340,57163330,58023493,59907295,62036658,65140754,68006196,71333678,76414142,81897458,87495848,94526490,99865656
"24000","Maryland","2","SA6","6","...","  Supplements to wages and salaries",459590,511233,558432,609088,666501,722173,782955,815933,960870,1026899,1128057,1335718,1504008,1772008,2011952,2254418,2505326,2799398,3110107,3484779,3907699,4405205,4906753,5542095,5975336,6637865,7352416,8120656,8871847,9378767,10300867,11292060,12143835,12568172,13633112,14165704,14769432,15058303,15341997,16330653,17451567,18811008,20278183,21394310
"24000","Maryland","2","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",355208,369984,387551,420838,449670,492643,547804,586534,677563,726038,803460,950557,1084322,1297156,1454819,1547322,1706311,1951067,2143705,2424678,2685961,3008541,3389871,3771717,4097433,4508302,4867343,5389466,5871147,6127650,6634128,7396539,7925338,8233962,9108228,9481594,9831972,9978796,10113396,10780281,11589690,12629064,13653585,14266476
"24000","Maryland","2","SA6","8","...","    Employer contributions for government social insurance",104382,141249,170881,188250,216831,229530,235151,229399,283307,300861,324597,385161,419686,474852,557133,707096,799015,848331,966402,1060101,1221738,1396664,1516882,1770378,1877903,2129563,2485073,2731190,3000700,3251117,3666739,3895521,4218497,4334210,4524884,4684110,4937460,5079507,5228601,5550372,5861877,6181944,6624598,7127834
"24000","Maryland","2","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7375,7975,8585,9201,9879,10692,11510,12461,13125,13944,14982,16431,17970,19229,20260,21488,22668,23870,25080,26648,28037,29638,31288,32821,33725,34810,35663,36838,38419,40292,42063,44466,46713
"24000","Maryland","2","SA6","81","[01-02]","  Farm compensation",31422,31780,35132,32863,35523,36145,35930,38117,34896,33097,30954,32827,34357,33602,32447,41969,50751,54051,67093,72276,70316,76776,79571,77436,83123,79444,79229,78917,73208,72729,81191,87172,101882,99775,96766,104937,102949,114627,117364,123622,124737,115588,136027,142292
"24000","Maryland","2","SA6","82","...","  Nonfarm compensation",4578621,4857196,5123434,5420092,5853014,6269613,6804031,7370692,8326662,8865744,9853755,11087391,12140832,13235955,14576077,16199451,17733429,18790250,20541700,22328562,24918878,27541304,30230295,33366575,35175198,38243071,42361047,46402243,50499496,55178920,60561742,65072228,69205283,70491890,73443641,76097425,79807237,82949872,86558311,92621173,99224288,106191268,114668646,121117674
"24000","Maryland","2","SA6","90","...","    Private nonfarm compensation",3264164,3499156,3697752,3857656,4175110,4434573,4782162,5178766,5776789,6208698,6808189,7558199,8205335,8803907,9713434,10867300,11949388,12592383,13782824,15172685,17188657,19235929,21147548,23323759,24481177,26933202,30229290,33409284,36844708,40842984,45080170,48277117,51032823,51151220,53451448,55397229,58233420,60525922,63543120,68749460,74100649,80037805,86795977,91486996
"24000","Maryland","2","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",10141,10338,10897,10875,10280,10694,14331,16346,17968,19765,22168,25165,29369,32853,35100,40853,43907,46623,51120,52034,70670,81617,95375,93924,104383,121225,144946,171820,201145,240507,267972,296791,318775,313823,316444,332864,353933,353596,374953,391933,423130,490911,553408,611579
