"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"27000","Minnesota","4","SA6","1","...","Compensation of employees (thousands of dollars) 1/",4252617,4605790,4905017,5114201,5530556,5778022,6160530,6684850,7408036,8071967,8974917,10086649,10853186,11599636,12552956,13999735,15469957,16811431,18660361,20735887,23690332,27079410,29636822,32233599,33817021,36050253,40298156,43342573,46121231,49644976,53673117,57346365,61265596,64058987,69270912,72434712,76637550,81054893,86366054,91979522,100256974,106850165,115681875,120034239
"27000","Minnesota","4","SA6","5","...","  Wages and salaries",3940267,4247604,4511999,4696491,5067566,5279923,5629478,6105234,6704613,7298972,8091285,9067461,9729445,10347890,11108257,12353047,13604640,14611435,16153251,17815674,20262790,23094081,25242310,27375247,28642782,30379708,33945098,36347352,38431996,41379028,44787853,47507357,50605647,52654909,56548098,58939585,62381824,66386876,71264795,76379989,83033201,88595038,95704176,98980854
"27000","Minnesota","4","SA6","6","...","  Supplements to wages and salaries",312350,358186,393018,417710,462990,498099,531052,579616,703423,772995,883632,1019188,1123741,1251746,1444699,1646688,1865317,2199996,2507110,2920213,3427542,3985329,4394512,4858352,5174239,5670545,6353058,6995221,7689235,8265948,8885264,9839008,10659949,11404078,12722814,13495127,14255726,14668017,15101259,15599533,17223773,18255127,19977699,21053385
"27000","Minnesota","4","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",223840,244653,262062,284335,304428,323405,354846,390860,434217,474355,543148,630103,714839,799190,920874,968758,1094281,1386062,1551401,1846564,2150968,2478918,2773225,2992767,3198885,3506564,3807191,4297676,4766937,5167850,5449640,6226422,6779136,7317837,8334937,8890772,9334928,9502336,9646595,9812924,11002413,11652682,12886239,13738286
"27000","Minnesota","4","SA6","8","...","    Employer contributions for government social insurance",88510,113533,130956,133375,158562,174694,176206,188756,269206,298640,340484,389085,408902,452556,523825,677930,771036,813934,955709,1073649,1276574,1506411,1621287,1865585,1975354,2163981,2545867,2697545,2922298,3098098,3435624,3612586,3880813,4086241,4387877,4604355,4920798,5165681,5454664,5786609,6221360,6602445,7091460,7315099
"27000","Minnesota","4","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7237,7737,8264,8543,9038,9709,10567,11426,12253,13268,14542,15889,17433,18812,19916,21066,22066,23173,24093,25269,26332,27558,28701,30442,31106,31959,32799,34286,35764,37950,39517,41968,43514
"27000","Minnesota","4","SA6","81","[01-02]","  Farm compensation",51129,55896,58620,61456,74553,75961,77057,82906,68419,67299,74444,72872,78306,88680,89287,121032,147125,184021,208663,201229,202565,222352,232406,227729,250902,237299,234071,235731,217258,213818,250912,281971,344832,350880,370740,382618,389067,393734,417065,458537,512914,488701,576375,566547
"27000","Minnesota","4","SA6","82","...","  Nonfarm compensation",4201488,4549894,4846397,5052745,5456003,5702061,6083473,6601944,7339617,8004668,8900473,10013777,10774880,11510956,12463669,13878703,15322832,16627410,18451698,20534658,23487767,26857058,29404416,32005870,33566119,35812954,40064085,43106842,45903973,49431158,53422205,57064394,60920764,63708107,68900172,72052094,76248483,80661159,85948989,91520985,99744060,106361464,115105500,119467692
"27000","Minnesota","4","SA6","90","...","    Private nonfarm compensation",3512172,3813967,4060770,4197295,4553384,4731794,5031938,5482741,6111424,6655366,7375789,8281460,8802884,9268422,9971854,11189885,12399698,13356321,14962165,16774354,19388842,22404741,24484710,26618286,27771075,29685234,33366584,35852200,38199624,41213012,44564995,47590867,50547768,52697340,57045740,59718758,63277464,67185057,71902276,77098653,84652553,90505978,98142734,101709554
"27000","Minnesota","4","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",10084,8651,9043,10037,10688,11496,12646,13766,15591,17023,19051,21334,22829,26780,26029,33440,39901,39920,47008,57366,75863,88511,102671,101605,107848,113419,128954,141567,154749,170415,179765,193232,213812,220237,229258,236174,247588,251682,265724,278752,"(D)",358491,380588,414123
"27000","Minnesota","4","SA6","110","07","        Agricultural services",10001,8574,8988,9979,10641,11448,12603,13727,15559,16996,18996,21268,22716,26641,25892,33327,39577,39539,46507,56849,75161,87669,101750,100488,106312,111601,126748,139389,152009,167015,176316,188753,208145,215183,222746,229606,242156,247179,260687,273625,"(D)",353405,374834,"(NA)"
"27000","Minnesota","4","SA6","120","...","        Forestry and fishing",83,77,55,58,"(L)","(L)","(L)","(L)","(L)","(L)",55,66,113,139,137,113,324,381,501,517,702,842,921,1117,1536,1818,2206,2178,2740,3400,3449,4479,5667,5054,6512,6568,5432,4503,5037,5127,"(D)",5086,5754,"(NA)"
"27000","Minnesota","4","SA6","121","08","          Forestry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,117,201,204,423,565,681,829,1267,1557,1895,1761,2288,2836,2832,3610,4336,3528,4121,4136,4249,3175,3639,4041,"(D)",4016,4474,"(NA)"
"27000","Minnesota","4","SA6","122","...","          Fishing",83,77,55,58,"(L)","(L)","(L)","(L)","(L)","(L)",55,66,113,139,137,113,243,264,300,313,279,277,240,288,269,261,311,417,452,564,617,869,1331,1526,2391,2432,1183,1328,1398,1086,937,1070,1280,"(NA)"
"27000","Minnesota","4","SA6","200","B","      Mining",106314,100625,131627,111006,111709,103377,108262,117344,126730,125214,139024,143949,152350,155958,163874,184662,204741,252906,287569,259210,399271,476682,473519,539876,370601,302141,344870,317824,263806,257470,306561,349710,392564,392998,393032,381240,419032,448473,472389,489274,"(D)",528575,566684,529642
"27000","Minnesota","4","SA6","210","10","        Metal mining",98687,92473,122403,101666,101028,92042,95878,103969,113132,110856,123232,129467,138515,140608,147371,167177,185799,230128,258375,226603,362175,431279,427290,490617,315319,240856,275213,246514,191597,186689,"(D)","(D)","(D)","(D)","(D)",309763,"(D)","(D)","(D)","(D)",426118,432536,471234,"(NA)"
"27000","Minnesota","4","SA6","220","12","        Coal mining","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,0,0,"(D)","(D)","(D)",0,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",0,"(NA)"
"27000","Minnesota","4","SA6","230","13","        Oil and gas extraction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"27000","Minnesota","4","SA6","240","14","        Nonmetallic minerals, except fuels",7303,7701,8609,8626,9807,10387,11308,12136,12986,13727,15004,13791,13199,14672,15696,16833,18152,22099,25072,27465,32104,39176,38167,38722,40791,46854,54045,"(D)","(D)","(D)","(D)","(D)",69496,"(D)",67358,69387,81500,86290,91146,97770,118568,93936,"(D)","(NA)"
