"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"00000","United States"," ","SA6","1","...","Compensation of employees (thousands of dollars) 1/",262554036,283992275,298215000,307386000,328904000,347010000,372143000,401023000,443633000,475155000,523285000,577644000,616768000,659681000,726287000,808128000,883664000,943545000,1044521000,1161702000,1313295000,1473582000,1617206000,1784781000,1882428000,2001577000,2204207000,2375012000,2530896000,2710161000,2934678000,3127199000,3326612000,3434301000,3658836000,3810790000,4002331000,4195922000,4415565000,4708180000,5071243000,5406593000,5851957000,6039502000
"00000","United States"," ","SA6","5","...","  Wages and salaries",239451426,258198893,270156000,277777000,296368000,311743000,334294000,359922000,395507000,423437000,465671000,512186000,545441000,579284000,633484000,703743000,767390000,810075000,894943000,988970000,1115885000,1248272000,1366990000,1503905000,1579008000,1668739000,1835609000,1972752000,2093721000,2246552000,2428973000,2572279000,2729857000,2801967000,2956907000,3072485000,3231494000,3413758000,3612299000,3872714000,4177471000,4456769000,4823765000,4950126000
"00000","United States"," ","SA6","6","...","  Supplements to wages and salaries",23102610,25793382,28059000,29609000,32536000,35267000,37849000,41101000,48126000,51718000,57614000,65458000,71327000,80397000,92803000,104385000,116274000,133470000,149578000,172732000,197410000,225310000,250216000,280876000,303420000,332838000,368598000,402260000,437175000,463609000,505705000,554920000,596755000,632334000,701929000,738305000,770837000,782164000,803266000,835466000,893772000,949824000,1028192000,1089376000
"00000","United States"," ","SA6","7","...","    Employer contributions for employee pension and insurance funds 2/",16754344,17935391,18851000,20042000,21400000,22916000,25281000,28076000,31379000,33831000,37814000,42871000,47660000,54108000,61798000,64757000,71733000,86913000,95352000,111824000,126097000,142960000,161535000,177584000,194013000,213359000,230028000,255020000,279828000,297900000,321651000,361824000,391000000,418007000,474106000,499171000,517192000,518505000,528923000,546344000,587016000,626971000,683466000,731928000
"00000","United States"," ","SA6","8","...","    Employer contributions for government social insurance",6348266,7857991,9208000,9567000,11136000,12351000,12568000,13025000,16747000,17887000,19800000,22587000,23667000,26289000,31005000,39628000,44541000,46557000,54226000,60908000,71313000,82350000,88681000,103292000,109407000,119479000,138570000,147240000,157347000,165709000,184054000,193096000,205755000,214327000,227823000,239134000,253645000,263659000,274343000,289122000,306756000,322853000,344726000,357448000
"00000","United States"," ","SA6","9","...","Average compensation per job (dollars) 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7338,7828,8370,8967,9546,10265,11152,12011,12913,13923,15128,16562,18148,19438,20500,21593,22702,23763,24773,26089,27164,28544,29841,31633,32372,33196,33999,35125,36588,38442,40118,42526,43978
"00000","United States"," ","SA6","81","[01-02]","  Farm compensation",2924150,3010800,3092000,3224000,3316000,3410000,3452000,3553000,3620000,3624000,3767000,4023000,4215000,4212000,4349000,5127000,5991000,6482000,7345000,7794000,8173000,8899000,9198000,8955000,10014000,9660000,9747000,9904000,9297000,9420000,10612000,11481000,13467000,13248000,13035000,14190000,14434000,15484000,16028000,17143000,18211000,18906000,19718000,20831000
"00000","United States"," ","SA6","82","...","  Nonfarm compensation",259629886,280981475,295123000,304162000,325588000,343600000,368691000,397470000,440013000,471531000,519518000,573621000,612553000,655469000,721938000,803001000,877673000,937063000,1037176000,1153908000,1305122000,1464683000,1608008000,1775826000,1872414000,1991917000,2194460000,2365108000,2521599000,2700741000,2924066000,3115718000,3313145000,3421053000,3645801000,3796600000,3987897000,4180438000,4399537000,4691037000,5053032000,5387687000,5832239000,6018671000
"00000","United States"," ","SA6","90","...","    Private nonfarm compensation",209923235,229051321,239939000,244919000,262359000,275950000,295767000,319044000,352317000,375251000,411668000,453974000,478597000,506197000,558139000,626019000,684986000,723747000,809139000,908716000,1037784000,1175148000,1289944000,1425928000,1495968000,1591211000,1764041000,1899259000,2027857000,2177581000,2361062000,2507803000,2655783000,2722192000,2896636000,3022069000,3183692000,3351759000,3547332000,3806811000,4129200000,4411081000,4792327000,4912221000
"00000","United States"," ","SA6","100","[07-08]","      Agricultural services, forestry, and fishing",570725,575932,601000,664000,740000,791000,874000,975000,1065000,1147000,1275000,1449000,1614000,1799000,1985000,2325000,2598000,2771000,3225000,3551000,4641000,5459000,6308000,6387000,6799000,7451000,8474000,9561000,10681000,11904000,13107000,14105000,15489000,15888000,16534000,17165000,18106000,18738000,19857000,21161000,22871000,26034000,27624000,30122000
"00000","United States"," ","SA6","110","07","        Agricultural services",400129,422208,475000,524000,589000,644000,729000,809000,904000,992000,1118000,1273000,1426000,1599000,1755000,2050000,2310000,2434000,2811000,3148000,4135000,4874000,5670000,5712000,6170000,6811000,7813000,8886000,9932000,11079000,12169000,13109000,14380000,14740000,15359000,16056000,16949000,17541000,18667000,19957000,21695000,24718000,26236000,"(NA)"
"00000","United States"," ","SA6","120","...","        Forestry and fishing",170596,153724,126000,140000,151000,147000,145000,166000,161000,155000,157000,176000,188000,200000,230000,275000,288000,337000,414000,403000,506000,585000,638000,675000,629000,640000,661000,675000,749000,825000,938000,996000,1109000,1148000,1175000,1109000,1157000,1197000,1190000,1204000,1176000,1316000,1388000,"(NA)"
"00000","United States"," ","SA6","121","08","          Forestry",41015,32014,35000,36000,39000,40000,40000,41000,41000,43000,45000,53000,57000,61000,66000,72000,82000,97000,108000,125000,152000,189000,232000,265000,262000,262000,295000,305000,315000,330000,373000,414000,458000,467000,509000,530000,570000,611000,656000,677000,689000,771000,851000,"(NA)"
"00000","United States"," ","SA6","122","...","          Fishing",129581,121710,91000,104000,112000,107000,105000,125000,120000,112000,112000,123000,131000,139000,164000,203000,206000,240000,306000,278000,354000,396000,406000,410000,367000,378000,366000,370000,434000,495000,565000,582000,651000,681000,666000,579000,587000,586000,534000,527000,487000,545000,537000,"(NA)"
"00000","United States"," ","SA6","200","B","      Mining",4330469,4426849,4441000,4368000,4426000,4460000,4650000,4857000,5136000,5305000,5546000,6144000,6651000,6901000,7619000,8426000,10232000,12746000,14343000,16630000,19858000,23754000,28837000,35950000,37980000,33930000,35835000,35390000,31316000,29958000,30457000,30749000,32756000,33226000,32767000,32497000,32954000,32757000,33948000,36332000,37122000,35445000,37540000,40645000
"00000","United States"," ","SA6","210","10","        Metal mining",563591,552054,653000,637000,620000,610000,651000,686000,741000,701000,775000,894000,990000,987000,1051000,1162000,1395000,1570000,1720000,1873000,2180000,2630000,2945000,3472000,2666000,2177000,2106000,1818000,1671000,1847000,2262000,2610000,2863000,2856000,2877000,2837000,2923000,3167000,3509000,3580000,3712000,3802000,3641000,"(NA)"
"00000","United States"," ","SA6","220","12","        Coal mining",1231929,1202902,1149000,1024000,1020000,1050000,1095000,1148000,1209000,1280000,1268000,1445000,1721000,1820000,2180000,2366000,2899000,4121000,4710000,5348000,5935000,7173000,7845000,8301000,9085000,7724000,8216000,7864000,7802000,7694000,6849000,6861000,7280000,6941000,6749000,6276000,6514000,6321000,6330000,6528000,6302000,5973000,5696000,"(NA)"
"00000","United States"," ","SA6","230","13","        Oil and gas extraction",1907111,2002400,1959000,2013000,2060000,2061000,2131000,2175000,2278000,2395000,2531000,2765000,2842000,2939000,3162000,3531000,4415000,5451000,6179000,7469000,9492000,11380000,15287000,21281000,23396000,21142000,22363000,22402000,18426000,16731000,17339000,17159000,18413000,19456000,19036000,19168000,18954000,18416000,18941000,20732000,21231000,19725000,22141000,"(NA)"
"00000","United States"," ","SA6","240","14","        Nonmetallic minerals, except fuels",627838,669493,680000,694000,726000,739000,773000,848000,908000,929000,972000,1040000,1098000,1155000,1226000,1367000,1523000,1604000,1734000,1940000,2251000,2571000,2760000,2896000,2833000,2887000,3150000,3306000,3417000,3686000,4007000,4119000,4200000,3973000,4105000,4216000,4563000,4853000,5168000,5492000,5877000,5945000,6062000,"(NA)"
"00000","United States"," ","SA6","300","C","      Construction",15082299,16493455,16976000,17436000,18665000,19946000,21766000,23818000,26336000,27469000,30684000,34620000,36824000,39886000,43421000,49237000,52534000,52390000,57218000,64068000,75129000,86679000,90772000,94383000,93343000,97550000,111349000,123455000,134737000,143817000,156870000,165086000,171060000,160196000,161321000,167354000,182561000,192622000,207875000,226450000,249435000,275446000,304208000,319522000
"00000","United States"," ","SA6","310","15","        General building contractors",4598384,5012625,5028000,5063000,5330000,5720000,6306000,6963000,7742000,7958000,8880000,10089000,10643000,11391000,12665000,14697000,15596000,13865000,15080000,16814000,20287000,22847000,23141000,23248000,22579000,24119000,28664000,32244000,35560000,38642000,42735000,43219000,44357000,40223000,39734000,41041000,44590000,46219000,49808000,54052000,59483000,65898000,72604000,"(NA)"
"00000","United States"," ","SA6","320","16","        Heavy construction contractors",3382182,3703105,3805000,3976000,4196000,4372000,4760000,5224000,5908000,6132000,6729000,7399000,7968000,8645000,9036000,9956000,11135000,13051000,14497000,15579000,18031000,21040000,22373000,23850000,23769000,22909000,23640000,24510000,25133000,25690000,26107000,28257000,29444000,28756000,29937000,30050000,31777000,33080000,34610000,36489000,39886000,42428000,45612000,"(NA)"
"00000","United States"," ","SA6","330","17","        Special trade contractors",7101733,7777725,8143000,8397000,9139000,9854000,10700000,11631000,12686000,13379000,15075000,17132000,18213000,19850000,21720000,24584000,25803000,25474000,27641000,31675000,36811000,42792000,45258000,47285000,46995000,50522000,59045000,66701000,74044000,79485000,88028000,93610000,97259000,91217000,91650000,96263000,106194000,113323000,123457000,135909000,150066000,167120000,185992000,"(NA)"
"00000","United States"," ","SA6","400","D","      Manufacturing",86595292,95925407,99420000,99625000,107880000,112454000,119914000,129456000,144532000,151457000,164931000,179104000,179882000,183273000,201437000,226554000,245127000,248416000,280107000,317438000,356351000,399884000,427407000,467861000,469319000,489149000,540833000,569230000,588593000,611967000,654172000,680404000,696684000,704394000,737786000,756567000,786766000,807089000,828723000,872155000,912165000,948934000,1005405000,978813000
