"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"93000","Great Lakes","3","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",703086091,742124523,782688148,791356051,798649033,815205134,847365841,872337369,906517166,939294422,949484540,894538281,909557082,949850030,989787305,1012058171,1054598066,1104145084,1131176425,1162127414
"93000","Great Lakes","3","SA7N 1/","81","111-112","  Farm wages and salaries",1974213,1823273,1968373,2003073,2029179,2075498,2335973,2115192,2013300,2703488,2552509,2509164,2188113,2463126,2893773,2810437,3005202,3052442,3490691,3618018
"93000","Great Lakes","3","SA7N 1/","82","...","  Nonfarm wages and salaries",701111878,740301250,780719775,789352978,796619854,813129636,845029868,870222177,904503866,936590934,946932031,892029117,907368969,947386904,986893532,1009247734,1051592864,1101092642,1127685734,1158509396
"93000","Great Lakes","3","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",604755199,639713427,674168450,678284587,679590571,692055589,720212228,741994477,773116395,801151032,806487519,747966413,762075945,802856261,841295914,863037790,903635002,950001625,974478423,1001839077
"93000","Great Lakes","3","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",429553,437114,451654,482316,473013,489707,520306,536604,546910,582130,617783,627102,658441,679297,730289,771887,902637,953675,1021326,1093283
"93000","Great Lakes","3","SA7N 1/","101","113","        Forestry and logging",103051,103271,105174,"(D)",106432,106597,112721,114640,111457,107688,105893,95791,103577,"(D)","(D)","(D)",114175,"(D)","(D)","(NA)"
"93000","Great Lakes","3","SA7N 1/","102","114","        Fishing, hunting and trapping",11537,12585,13283,"(D)",10791,9100,8884,8663,8928,9424,9638,10010,11640,"(D)","(D)","(D)",10198,"(D)","(D)","(NA)"
"93000","Great Lakes","3","SA7N 1/","103","115","        Support activities for agriculture and forestry",314965,321258,333197,364719,355790,374010,398701,413301,426525,465018,502252,521301,543224,566066,612870,652575,778264,814198,875643,"(NA)"
"93000","Great Lakes","3","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",1845899,1854200,1811886,1878249,1803448,1774386,1870711,1986121,2121711,2200380,2252062,2134486,2277527,2451024,2651765,2593881,2980434,2786056,2386611,2416808
"93000","Great Lakes","3","SA7N 1/","201","211","        Oil and gas extraction",179583,197629,189121,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"93000","Great Lakes","3","SA7N 1/","202","212","        Mining (except oil and gas)",1497046,1499878,1451735,1472173,1394770,1366955,1410932,1490551,1546006,1559759,1545235,1471350,1589077,1671365,1738106,1760096,1888589,1816098,1628821,"(NA)"
"93000","Great Lakes","3","SA7N 1/","203","213","        Support activities for mining",169270,156693,171030,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"93000","Great Lakes","3","SA7N 1/","300","22","      Utilities",6253557,6493168,6765556,6878755,6745937,6615373,6678344,6992167,7274041,7611032,8077457,8131012,7999553,8295657,8518642,8626258,8902560,9289944,9295068,9389540
"93000","Great Lakes","3","SA7N 1/","400","23","      Construction",35449634,38727486,41833527,43069999,43210501,43195788,44236182,45386222,47173522,48075381,47528836,40298925,37940685,39423661,40731755,42294331,45499531,49200422,51874795,54769950
"93000","Great Lakes","3","SA7N 1/","401","236","        Construction of buildings",8191380,8952964,9629790,9987263,10279139,10355645,10669317,11039081,11308826,11257490,11002903,9096752,8820656,8915664,8828161,9081007,9848796,10546001,11319420,"(NA)"
"93000","Great Lakes","3","SA7N 1/","402","237","        Heavy and civil engineering construction",4561778,4959924,5429460,5517030,5437310,5545822,5630219,5900849,6316180,6727315,7053182,6612698,5865015,6139233,6436863,6994457,7611605,8268644,8200764,"(NA)"
"93000","Great Lakes","3","SA7N 1/","403","238","        Specialty trade contractors",22696476,24814598,26774277,27565706,27494052,27294321,27936646,28446292,29548516,30090576,29472751,24589475,23255014,24368764,25466731,26218867,28039130,30385777,32354611,"(NA)"
"93000","Great Lakes","3","SA7N 1/","500","31-33","      Manufacturing",167998700,173806755,177550624,167466210,162134748,161972698,164926377,165597556,168607208,169373535,164477711,139599810,144460353,154817292,162050951,164125300,172032552,178887586,179957654,183976426
"93000","Great Lakes","3","SA7N 1/","510","321,327-339","        Durable goods manufacturing",122334364,126503336,129264977,120117845,114898496,114613849,116861750,117342440,119794690,119846245,115003531,93484867,96675063,105870617,111585065,112231860,117435087,121459256,121756724,124278417
"93000","Great Lakes","3","SA7N 1/","511","321","          Wood product manufacturing",2686975,2869673,2905025,2748103,2692909,2711580,2806664,2826712,2802553,2660129,2419727,1902704,1835709,1887221,1958369,2068040,2256535,2439446,2535885,"(NA)"
