"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"94000","Plains","4","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",278627435,295033309,313938351,323892371,330151581,339201484,356062752,369353233,388762364,410366145,426206972,411255402,418291793,433919886,456094090,468810249,490618039,512293062,522621273,534246628
"94000","Plains","4","SA7N 1/","81","111-112","  Farm wages and salaries",1888846,1769849,1934352,2085742,2015550,2104305,2179048,2010389,1959637,2725911,2624437,2631483,2480556,2510211,3335131,2788892,3153328,2910370,3131312,3245519
"94000","Plains","4","SA7N 1/","82","...","  Nonfarm wages and salaries",276738589,293263460,312003999,321806629,328136031,337097179,353883704,367342844,386802727,407640234,423582535,408623919,415811237,431409675,452758959,466021357,487464711,509382692,519489961,531001109
"94000","Plains","4","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",232103384,246623783,262545148,270149187,273738457,280498100,295166744,306668603,323305797,341120650,353428408,335956138,342642431,358062049,378825736,390915975,410619197,430408395,438545317,448507016
"94000","Plains","4","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",353055,376948,405953,411425,426254,486474,514093,538062,556009,592818,663399,703551,770855,809379,892876,958161,980470,1029657,1090433,1148110
"94000","Plains","4","SA7N 1/","101","113","        Forestry and logging",40573,45476,44525,34808,35531,36123,38971,40031,38898,38557,38313,37467,40087,43955,42749,41686,44894,"(D)",52259,"(NA)"
"94000","Plains","4","SA7N 1/","102","114","        Fishing, hunting and trapping",12478,14030,15956,2074,2332,2470,2757,2919,3367,3996,4183,3338,3711,3678,4395,4519,5261,"(D)",5900,"(NA)"
"94000","Plains","4","SA7N 1/","103","115","        Support activities for agriculture and forestry",300004,317442,345472,374543,388391,447881,472365,495112,513744,550265,620903,662746,727057,761746,845732,911956,930315,973282,1032274,"(NA)"
"94000","Plains","4","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",1124625,1086054,1127679,1121733,1044156,1109393,1225950,1436350,1496912,1653644,1962313,1619082,2073810,2920667,3881293,4104829,4732608,3794671,2743453,3086866
"94000","Plains","4","SA7N 1/","201","211","        Oil and gas extraction",140419,120727,137576,133498,"(D)",128332,128391,140302,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",548902,504677,"(NA)"
"94000","Plains","4","SA7N 1/","202","212","        Mining (except oil and gas)",844375,835850,839876,804212,"(D)",791025,848811,977273,888572,919240,998659,838813,946760,1076832,1147372,"(D)","(D)",1214794,1137896,"(NA)"
"94000","Plains","4","SA7N 1/","203","213","        Support activities for mining",139831,129477,150227,184023,165066,190036,248748,318775,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2030975,1100880,"(NA)"
"94000","Plains","4","SA7N 1/","300","22","      Utilities",2521909,2619411,2710095,2973451,3146900,2903143,3105359,3111909,3228325,3473383,3707631,3732435,3784201,3982599,3982210,4076153,4223398,4206269,4225672,4252988
"94000","Plains","4","SA7N 1/","400","23","      Construction",14618611,16482179,17607167,18458982,18691802,19067992,19998007,20755836,21979777,22882171,23154691,20555395,19093400,19613599,21246830,22784978,25112768,27185345,28456874,27994455
"94000","Plains","4","SA7N 1/","401","236","        Construction of buildings",3479938,3909781,4157704,4308048,"(D)",4463536,4720520,4948978,5254980,5560327,5537571,4589498,4226218,4285202,4527946,4877787,5482386,5938951,6220653,"(NA)"
"94000","Plains","4","SA7N 1/","402","237","        Heavy and civil engineering construction",2461403,2729513,2794252,2895812,"(D)",2980261,3112510,3237107,3400266,3579046,3778697,3799006,3539398,3669912,4126437,4380631,4872365,5129611,5225206,"(NA)"
"94000","Plains","4","SA7N 1/","403","238","        Specialty trade contractors",8677270,9842885,10655211,11255122,11379894,11624195,12164977,12569751,13324531,13742798,13838423,12166891,11327784,11658485,12592447,13526560,14758017,16116783,17011015,"(NA)"
"94000","Plains","4","SA7N 1/","500","31-33","      Manufacturing",49115719,50754010,52717999,51939329,50998483,51155420,53720144,55086536,57426755,58867601,59648249,53273647,53730637,56217574,58383136,59805880,62296478,64622884,64892956,66381569
"94000","Plains","4","SA7N 1/","510","321,327-339","        Durable goods manufacturing",31859590,32809540,34304551,33443998,32423075,32544245,34759358,35919036,37793235,38613563,38369723,33463291,33670944,35785118,37195872,38372060,40098421,41355100,40860673,41321269
"94000","Plains","4","SA7N 1/","511","321","          Wood product manufacturing",1309148,1419961,1514145,1508279,1537103,1604209,1713606,1816751,1823017,1746589,1571540,1295395,1267150,"(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"94000","Plains","4","SA7N 1/","512","327","          Nonmetallic mineral product manufacturing",1333753,1414032,1499995,1474335,1480533,1468536,1557896,1605777,1664897,1664345,1622661,1430271,1411309,1451856,1539587,1550575,1635256,1816413,1888092,"(NA)"
"94000","Plains","4","SA7N 1/","513","331","          Primary metal manufacturing",1261239,1316401,1325859,"(D)","(D)","(D)","(D)",1354285,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"94000","Plains","4","SA7N 1/","514","332","          Fabricated metal product manufacturing",4738988,4800176,5012172,4805885,4623286,4609461,4912694,5129381,5422317,5751081,5884017,5093426,5160272,5497820,5918744,6163008,6268130,6345486,6351453,"(NA)"
"94000","Plains","4","SA7N 1/","515","333","          Machinery manufacturing",6141052,6077649,6408333,6113460,5712460,5725855,6127113,6432628,6787009,7127450,7425598,6390150,6641035,7378011,7890774,8000301,8311254,8386046,8096559,"(NA)"
"94000","Plains","4","SA7N 1/","516","334","          Computer and electronic product manufacturing",5135053,5317850,5641312,5346052,5143226,5232024,5509640,5691763,5992692,6118171,6182727,5695594,5798814,6079606,6231339,6384536,6691477,6968664,6860162,"(NA)"
"94000","Plains","4","SA7N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",1644381,1765256,1893639,1841520,1692108,1668948,1702506,1709148,1780429,1791526,1751672,1503925,1478913,1602105,1625471,1640145,1680334,1694811,1711509,"(NA)"
"94000","Plains","4","SA7N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",3278375,3594120,3816129,"(D)","(D)","(D)","(D)",3777213,"(D)","(D)","(D)",2567425,"(D)",2727992,2697781,"(D)",3163833,3544015,3522112,"(NA)"
"94000","Plains","4","SA7N 1/","519","3364-3369","          Other transportation equipment manufacturing",3873302,3864848,3750861,4013936,3944253,"(D)","(D)",4356085,4930967,4950578,4988473,"(D)","(D)",4566933,4668855,5116127,5245185,5182050,4986902,"(NA)"
"94000","Plains","4","SA7N 1/","521","337","          Furniture and related product manufacturing",1317065,1414963,1529896,1515436,1514979,1548945,1645173,1707700,1748502,1734046,1616371,1266182,1238730,1183424,1243863,1280919,"(D)","(D)","(D)","(NA)"
"94000","Plains","4","SA7N 1/","522","339","          Miscellaneous manufacturing",1827234,1824284,1912210,1988288,1990376,2141782,2419992,2338305,2424708,2573335,2624454,2572188,2634798,2640594,2605172,2660280,2792976,2940060,"(D)","(NA)"
