"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"00000","United States"," ","SA7N 1/","50","...","Wages and salaries by place of work (thousands of dollars)",4177471000,4456769000,4823765000,4950126000,4992932000,5133958000,5417439000,5688826000,6051676000,6391231000,6528825000,6244497000,6368897000,6623278000,6921522000,7108581000,7469209000,7852755000,8079770000,8344886178
"00000","United States"," ","SA7N 1/","81","111-112","  Farm wages and salaries",15883000,16169000,16970000,17919000,17911000,17574000,18954000,19022000,18764000,21140000,21777000,21806000,20753000,19888000,24065000,24373000,24758000,23927000,25854000,26797009
"00000","United States"," ","SA7N 1/","82","...","  Nonfarm wages and salaries",4161588000,4440600000,4806795000,4932207000,4975021000,5116384000,5398485000,5669804000,6032912000,6370091000,6507048000,6222691000,6348144000,6603390000,6897457000,7084208000,7444451000,7828828000,8053916000,8318089169
"00000","United States"," ","SA7N 1/","90","113-814","    Private nonfarm wages and salaries",3469473000,3716124000,4036467000,4120428000,4112698000,4215210000,4459362000,4692227000,5012443000,5295743000,5377831000,5063520000,5174098000,5426885000,5717164000,5894030000,6225646000,6571042000,6765470000,6996749394
"00000","United States"," ","SA7N 1/","100","113-115","      Forestry, fishing, and related activities",9080000,9544000,9881000,10039000,10180000,10572000,11001000,11627000,12145000,12714000,13152000,12716000,13725000,14120000,15031000,15959000,16892000,18149000,19386000,20205255
"00000","United States"," ","SA7N 1/","101","113","        Forestry and logging",2443000,2472000,2450000,2360000,2356000,2337000,2420000,2488000,2499000,2504000,2440000,2127000,2313000,2307000,2403000,2491000,2613000,2763000,2755000,"(NA)"
"00000","United States"," ","SA7N 1/","102","114","        Fishing, hunting and trapping",479000,554000,564000,499000,499000,513000,527000,567000,571000,574000,584000,543000,613000,678000,689000,638000,614000,632000,664000,"(NA)"
"00000","United States"," ","SA7N 1/","103","115","        Support activities for agriculture and forestry",6158000,6518000,6867000,7180000,7325000,7722000,8054000,8572000,9075000,9636000,10128000,10046000,10799000,11135000,11939000,12830000,13665000,14754000,15967000,"(NA)"
"00000","United States"," ","SA7N 1/","200","21","      Mining, quarrying, and oil and gas extraction",29471000,28591000,29639000,32281000,30666000,31198000,34667000,40258000,47897000,53796000,62687000,54960000,58979000,69392000,76904000,79555000,86839000,78161000,63188000,62606507
"00000","United States"," ","SA7N 1/","201","211","        Oil and gas extraction",10235000,10111000,10863000,11639000,11218000,11411000,12934000,14552000,17390000,19035000,23216000,21679000,23231000,26126000,29240000,30430000,33008000,32594000,28429000,"(NA)"
"00000","United States"," ","SA7N 1/","202","212","        Mining (except oil and gas)",11169000,10964000,10584000,10817000,10436000,10292000,11013000,11988000,12924000,13478000,14389000,13302000,13923000,15301000,15609000,15335000,15344000,14850000,13472000,"(NA)"
