"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"11000","District of Columbia","2","SA25N 1/","10","...","Total employment (number of jobs)",698417,711538,735305,741781,757967,753817,763780,769802,779728,791013,797840,800070,809918,828003,834838,848651,861314,874389,889431
"11000","District of Columbia","2","SA25N 1/","20","...","  Wage and salary employment",652232,664926,684236,688978,704084,698723,705133,708394,715513,720920,724819,723857,732179,744088,749686,759102,767949,777160,789137
"11000","District of Columbia","2","SA25N 1/","40","...","  Proprietors employment",46185,46612,51069,52803,53883,55094,58647,61408,64215,70093,73021,76213,77739,83915,85152,89549,93365,97229,100294
"11000","District of Columbia","2","SA25N 1/","50","...","    Farm proprietors employment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",46185,46612,51069,52803,53883,55094,58647,61408,64215,70093,73021,76213,77739,83915,85152,89549,93365,97229,100294
"11000","District of Columbia","2","SA25N 1/","70","111-112","  Farm employment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","District of Columbia","2","SA25N 1/","80","...","  Nonfarm employment",698417,711538,735305,741781,757967,753817,763780,769802,779728,791013,797840,800070,809918,828003,834838,848651,861314,874389,889431
"11000","District of Columbia","2","SA25N 1/","90","113-814","    Private nonfarm employment",449525,466245,494562,496623,503854,503613,515036,522692,532556,547197,552554,548264,547559,566719,578425,595703,609559,625411,638402
"11000","District of Columbia","2","SA25N 1/","100","113-115","      Forestry, fishing, and related activities","(T)","(T)","(T)","(D)","(D)",53,46,56,56,62,63,84,65,72,73,85,69,71,70
"11000","District of Columbia","2","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)","(L)","(L)",10,"(L)",10,"(L)","(L)","(L)","(L)","(L)",18,"(L)",14,15
"11000","District of Columbia","2","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",11,15,10,12,16,13,11,10,15,"(L)","(L)",12,15,15,19,18
"11000","District of Columbia","2","SA25N 1/","103","115","        Support activities for agriculture and forestry","(T)","(T)","(T)",40,45,38,29,30,36,41,47,61,54,59,52,52,45,38,37
"11000","District of Columbia","2","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",269,257,"(T)","(D)","(D)",240,202,"(D)",229,239,341,323,458,325,462,451,419,464,465
"11000","District of Columbia","2","SA25N 1/","201","211","        Oil and gas extraction",239,230,"(T)",274,220,"(D)","(D)","(D)",214,212,307,307,427,292,387,410,378,419,420
"11000","District of Columbia","2","SA25N 1/","202","212","        Mining (except oil and gas)","(T)","(T)","(T)",31,"(D)","(L)","(L)","(L)","(L)","(L)",22,"(L)",16,20,51,23,23,24,24
"11000","District of Columbia","2","SA25N 1/","203","213","        Support activities for mining",0,"(T)","(T)","(D)","(D)","(D)","(D)","(D)",10,18,12,12,15,13,24,18,18,21,21
"11000","District of Columbia","2","SA25N 1/","300","22","      Utilities",1857,2278,2759,"(D)","(D)",2615,2543,2627,2491,2435,2390,2503,1891,1884,1918,1986,2015,2151,2173
"11000","District of Columbia","2","SA25N 1/","400","23","      Construction",10877,11441,13225,13570,14545,15399,14969,"(D)",15289,15499,15733,14474,13392,14899,16487,17195,17428,17600,18353
"11000","District of Columbia","2","SA25N 1/","401","236","        Construction of buildings",3442,3888,4511,4426,5132,5344,5209,5370,5357,4870,4660,4247,4291,4449,4707,4826,4670,4961,4949
"11000","District of Columbia","2","SA25N 1/","402","237","        Heavy and civil engineering construction",2180,2208,2462,2342,2492,2305,2028,"(D)",1919,2034,2329,2329,2426,2676,2803,2769,3013,2939,3220
"11000","District of Columbia","2","SA25N 1/","403","238","        Specialty trade contractors",5255,5345,6252,6802,6921,7750,7732,8101,8013,8595,8744,7898,6675,7774,8977,9600,9745,9700,10184
"11000","District of Columbia","2","SA25N 1/","500","31-33","      Manufacturing",3891,3963,3946,3763,"(D)",2951,2809,2481,2165,2150,2032,1942,1730,1629,1580,1782,1775,1836,1975
