"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"27000","Minnesota","4","SA25N 1/","10","...","Total employment (number of jobs)",3188625,3256317,3331601,3347333,3338900,3349199,3394299,3452282,3500704,3546917,3534849,3436257,3411458,3472928,3507068,3558037,3608037,3667571,3719410
"27000","Minnesota","4","SA25N 1/","20","...","  Wage and salary employment",2641823,2703900,2756409,2758536,2740683,2734987,2758166,2795386,2827078,2843408,2831328,2728923,2710413,2751062,2791399,2834955,2875955,2925540,2961350
"27000","Minnesota","4","SA25N 1/","40","...","  Proprietors employment",546802,552417,575192,588797,598217,614212,636133,656896,673626,703509,703521,707334,701045,721866,715669,723082,732082,742031,758060
"27000","Minnesota","4","SA25N 1/","50","...","    Farm proprietors employment",83116,82602,81715,83353,75070,71653,69640,69381,67701,68339,67632,66734,66043,65319,63981,64809,64498,64374,64076
"27000","Minnesota","4","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",463686,469815,493477,505444,523147,542559,566493,587515,605925,635170,635889,640600,635002,656547,651688,658273,667584,677657,693984
"27000","Minnesota","4","SA25N 1/","70","111-112","  Farm employment",100402,101797,100675,101381,92186,90484,87110,86994,83325,83616,81178,85833,85343,82191,81572,80611,78748,81890,79706
"27000","Minnesota","4","SA25N 1/","80","...","  Nonfarm employment",3088223,3154520,3230926,3245952,3246714,3258715,3307189,3365288,3417379,3463301,3453671,3350424,3326115,3390737,3425496,3477426,3529289,3585681,3639704
"27000","Minnesota","4","SA25N 1/","90","113-814","    Private nonfarm employment",2692770,2754713,2824262,2837766,2836366,2850449,2898240,2949951,2997590,3043799,3033617,2931968,2905162,2975555,3008690,3059868,3109742,3163822,3214075
"27000","Minnesota","4","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",13014,12572,11542,11141,12100,11003,11831,12094,12066,12629,13184,13169,13181,13358,13634,13811,14466,13876,13683
"27000","Minnesota","4","SA25N 1/","101","113","        Forestry and logging",3042,3140,2831,2801,2720,2432,2620,2794,2679,2532,2560,2310,2073,2272,2587,2560,2412,2685,2802
"27000","Minnesota","4","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",990,1262,1012,1229,1241,1311,1257,1229,1161,1136,1077,1128,1208,1192,1104,1035
"27000","Minnesota","4","SA25N 1/","103","115","        Support activities for agriculture and forestry",8605,8176,7491,7350,8118,7559,7982,8059,8076,8840,9395,9698,9972,10009,9919,10043,10862,10087,9846
"27000","Minnesota","4","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",9183,8921,8711,7684,7063,7137,6920,6882,7333,7911,9095,7945,9731,9613,12139,11865,11568,11765,10971
"27000","Minnesota","4","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",4164,4168
"27000","Minnesota","4","SA25N 1/","202","212","        Mining (except oil and gas)",8018,7750,7623,6443,5985,5713,5632,5480,5556,5991,6161,5016,5968,6475,7701,7231,7347,7295,6535
"27000","Minnesota","4","SA25N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",306,268
"27000","Minnesota","4","SA25N 1/","300","22","      Utilities",13148,13266,13023,12851,12407,12255,12239,12295,12399,12711,13363,13405,13379,13402,13258,13562,13437,13487,13350
"27000","Minnesota","4","SA25N 1/","400","23","      Construction",156995,168543,176725,181678,183424,188678,195799,200536,197981,192507,180921,157638,146783,150380,154541,160641,167623,173600,173892
