"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"31000","Nebraska","4","SA25N 1/","10","...","Total employment (number of jobs)",1138917,1155804,1173123,1175117,1166461,1170043,1181665,1193818,1209914,1233468,1240423,1227789,1220903,1234118,1252082,1267389,1284258,1304567,1315711
"31000","Nebraska","4","SA25N 1/","20","...","  Wage and salary employment",918664,936047,949159,951508,946121,949413,956632,964162,974788,988504,994004,974385,967772,972146,989737,1001155,1014791,1031919,1038471
"31000","Nebraska","4","SA25N 1/","40","...","  Proprietors employment",220253,219757,223964,223609,220340,220630,225033,229656,235126,244964,246419,253404,253131,261972,262345,266234,269467,272648,277240
"31000","Nebraska","4","SA25N 1/","50","...","    Farm proprietors employment",54347,54158,53515,49442,44096,41715,40622,40270,39165,39010,39564,40013,41220,41738,41844,41883,41485,41203,40926
"31000","Nebraska","4","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",165906,165599,170449,174167,176244,178915,184411,189386,195961,205954,206855,213391,211911,220234,220501,224351,227982,231445,236314
"31000","Nebraska","4","SA25N 1/","70","111-112","  Farm employment",68107,68731,66442,63255,56973,55345,53299,52039,50314,49847,49893,51610,54212,55432,53960,54176,53653,57291,55411
"31000","Nebraska","4","SA25N 1/","80","...","  Nonfarm employment",1070810,1087073,1106681,1111862,1109488,1114698,1128366,1141779,1159600,1183621,1190530,1176179,1166691,1178686,1198122,1213213,1230605,1247276,1260300
"31000","Nebraska","4","SA25N 1/","90","113-814","    Private nonfarm employment",909605,926541,944108,947924,941225,944955,957599,970955,987205,1011880,1017183,999939,989546,1004229,1024651,1039910,1056610,1072619,1084146
"31000","Nebraska","4","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",8149,7629,7047,6771,7072,6499,7014,7295,7331,8503,8910,9778,10043,10560,10708,11249,11771,10394,10506
"31000","Nebraska","4","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)",149,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",181,197
"31000","Nebraska","4","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)",219,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",258,242
"31000","Nebraska","4","SA25N 1/","103","115","        Support activities for agriculture and forestry",7329,6848,6256,6393,6616,6131,6579,6842,6873,8069,8482,9378,9670,10165,10273,10813,11318,9955,10067
"31000","Nebraska","4","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",2287,2269,2148,2201,2059,2368,2237,2213,2270,2032,2592,2468,2834,2543,3560,3647,3672,3655,3578
"31000","Nebraska","4","SA25N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)",915,795,955,839,835,930,951,1476,1414,1707,1360,2002,2261,2137,2208,2208
"31000","Nebraska","4","SA25N 1/","202","212","        Mining (except oil and gas)",1107,1157,1121,1141,1098,1210,1194,1177,1135,830,868,840,893,936,1172,1080,1157,1141,1119
