"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"32000","Nevada","8","SA25N 1/","10","...","Total employment (number of jobs)",1131177,1189297,1254368,1285328,1300033,1354143,1443035,1536115,1607282,1647542,1624695,1518839,1479328,1503565,1520064,1562016,1611452,1666484,1714063
"32000","Nevada","8","SA25N 1/","20","...","  Wage and salary employment",958129,1012236,1054843,1081449,1085540,1123833,1192015,1261888,1319652,1333933,1306748,1190979,1155166,1162730,1180454,1208421,1252239,1293780,1332225
"32000","Nevada","8","SA25N 1/","40","...","  Proprietors employment",173048,177061,199525,203879,214493,230310,251020,274227,287630,313609,317947,327860,324162,340835,339610,353595,359213,372704,381838
"32000","Nevada","8","SA25N 1/","50","...","    Farm proprietors employment",2888,2874,2902,2942,2912,2776,2710,2699,2641,2732,2867,3026,3254,3387,3567,3607,3652,3678,3500
"32000","Nevada","8","SA25N 1/","60","...","    Nonfarm proprietors employment 2/",170160,174187,196623,200937,211581,227534,248310,271528,284989,310877,315080,324834,320908,337448,336043,349988,355561,369026,378338
"32000","Nevada","8","SA25N 1/","70","111-112","  Farm employment",5279,5249,5287,5303,4810,5107,4943,4931,4907,4717,4949,5035,5354,5367,5673,5855,5761,5727,5664
"32000","Nevada","8","SA25N 1/","80","...","  Nonfarm employment",1125898,1184048,1249081,1280025,1295223,1349036,1438092,1531184,1602375,1642825,1619746,1513804,1473974,1498198,1514391,1556161,1605691,1660757,1708399
"32000","Nevada","8","SA25N 1/","90","113-814","    Private nonfarm employment",1002467,1057205,1118543,1144503,1153590,1202775,1287266,1375245,1440435,1473877,1445137,1342485,1304879,1331660,1349083,1389506,1437646,1491655,1536496
"32000","Nevada","8","SA25N 1/","100","113-115","      Forestry, fishing, and related activities",1722,1699,1589,1413,1603,1410,1510,1451,1470,1622,1653,1643,1588,1693,1699,1677,1766,1668,1614
"32000","Nevada","8","SA25N 1/","101","113","        Forestry and logging","(T)","(T)","(T)","(D)","(D)",65,74,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"32000","Nevada","8","SA25N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(D)","(D)",266,320,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"32000","Nevada","8","SA25N 1/","103","115","        Support activities for agriculture and forestry",1324,1287,1199,1086,1215,1079,1116,1033,1063,1218,1251,1261,1220,1315,1315,1280,1352,1280,1244
"32000","Nevada","8","SA25N 1/","200","21","      Mining, quarrying, and oil and gas extraction",14808,13692,12674,12060,11155,11629,12281,12995,13968,15384,16488,15543,17023,18022,22133,21397,20078,19966,19510
"32000","Nevada","8","SA25N 1/","201","211","        Oil and gas extraction",915,928,905,1023,974,1212,1078,1221,1367,1435,2175,2228,2750,2198,2850,3312,3052,3102,3106
"32000","Nevada","8","SA25N 1/","202","212","        Mining (except oil and gas)",12996,11779,10721,10179,9126,9064,9724,10237,11046,11906,12156,11509,12093,13144,15743,15341,14601,14391,14124
"32000","Nevada","8","SA25N 1/","203","213","        Support activities for mining",897,985,1048,858,1055,1353,1479,1537,1555,2043,2157,1806,2180,2680,3540,2744,2425,2473,2280
"32000","Nevada","8","SA25N 1/","300","22","      Utilities",4681,4741,4725,4600,5130,5167,5258,4785,4774,4724,4845,4763,4535,4343,4222,4175,4098,4272,4444
"32000","Nevada","8","SA25N 1/","400","23","      Construction",103027,105301,104385,107342,108684,118239,137471,156424,164863,155640,137048,100079,75891,68602,68070,73126,79890,86650,92220
"32000","Nevada","8","SA25N 1/","401","236","        Construction of buildings",19864,20329,19953,20804,20607,21797,25460,28460,30269,29815,26396,18417,13763,12538,12901,13761,14986,15538,16501
"32000","Nevada","8","SA25N 1/","402","237","        Heavy and civil engineering construction",12254,13280,13377,13381,13896,13067,14078,16960,16976,15334,12229,10207,9741,8838,7900,7727,8056,8449,8932
"32000","Nevada","8","SA25N 1/","403","238","        Specialty trade contractors",70909,71692,71055,73157,74181,83375,97933,111004,117618,110491,98423,71455,52387,47226,47269,51638,56848,62663,66787
"32000","Nevada","8","SA25N 1/","500","31-33","      Manufacturing",42789,43686,45261,46319,45961,46771,49155,51596,54152,54382,52067,44480,41663,42563,43631,45762,46742,47747,49395
"32000","Nevada","8","SA25N 1/","510","321,327-339","        Durable goods manufacturing",28346,28846,29892,31052,31059,31975,33771,35478,37108,36916,35372,29335,27040,27358,27653,28637,28679,29446,30413
"32000","Nevada","8","SA25N 1/","511","321","          Wood product manufacturing",1512,1604,1728,1941,1959,2209,2483,2579,2340,1959,1675,1186,"(D)","(D)","(D)",1143,1175,1196,1232
"32000","Nevada","8","SA25N 1/","512","327","          Nonmetallic mineral product manufacturing",3284,3474,3887,4154,4343,4488,4880,5390,5984,5807,4785,3410,2899,2694,2682,2850,2867,3166,3382
"32000","Nevada","8","SA25N 1/","513","331","          Primary metal manufacturing",1480,1380,1235,1175,1053,966,1021,1209,1311,1334,1361,1192,1151,1383,1471,1433,1494,1483,1290
"32000","Nevada","8","SA25N 1/","514","332","          Fabricated metal product manufacturing",4916,5082,5328,5404,4824,4863,5314,5532,6190,6416,6740,5326,4796,4934,5063,5255,5619,5853,6140
"32000","Nevada","8","SA25N 1/","515","333","          Machinery manufacturing",1934,1844,1757,1723,1672,1693,1703,1725,1761,1794,1745,1682,1580,1728,1868,1944,1926,2010,2042
"32000","Nevada","8","SA25N 1/","516","334","          Computer and electronic product manufacturing",3871,3884,3972,4065,3748,3482,3317,3146,3261,3356,3405,3143,3082,3255,3299,3106,3130,3261,3398
"32000","Nevada","8","SA25N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",839,753,877,836,920,874,839,866,895,927,866,744,654,691,747,955,953,1058,1435
"32000","Nevada","8","SA25N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",1017,1052,1093,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",742
"32000","Nevada","8","SA25N 1/","519","3364-3369","          Other transportation equipment manufacturing",608,565,541,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",920,872,765,"(D)","(D)","(D)",702
"32000","Nevada","8","SA25N 1/","521","337","          Furniture and related product manufacturing",2208,2477,2568,2743,2848,3054,3246,3510,3625,2990,2373,1650,1446,1409,1287,1428,1487,1668,1802
"32000","Nevada","8","SA25N 1/","522","339","          Miscellaneous manufacturing",6677,6731,6906,7186,7919,8513,9004,9434,9785,10258,10357,9294,8796,8709,8736,9100,8546,8257,8248
"32000","Nevada","8","SA25N 1/","530","311-316,322-326","        Nondurable goods manufacturing",14443,14840,15369,15267,14902,14796,15384,16118,17044,17466,16695,15145,14623,15205,15978,17125,18063,18301,18982
"32000","Nevada","8","SA25N 1/","531","311","          Food manufacturing",3841,3762,3782,3806,3696,3894,3928,4265,4618,5083,5014,4802,4686,4948,5378,5761,6272,6352,6562
"32000","Nevada","8","SA25N 1/","532","312","          Beverage and tobacco product manufacturing","(T)","(T)","(T)",327,349,346,376,358,352,353,323,327,297,316,368,387,356,589,607
"32000","Nevada","8","SA25N 1/","533","313","          Textile mills","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"32000","Nevada","8","SA25N 1/","534","314","          Textile product mills",498,557,539,522,573,549,517,436,408,618,555,477,495,517,557,557,629,630,717
"32000","Nevada","8","SA25N 1/","535","315","          Apparel manufacturing",331,351,347,421,351,333,363,431,557,313,271,335,296,262,328,397,423,434,405
"32000","Nevada","8","SA25N 1/","536","316","          Leather and allied product manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"32000","Nevada","8","SA25N 1/","537","322","          Paper manufacturing",456,490,579,567,565,574,529,585,677,694,715,715,716,752,784,826,887,844,868
"32000","Nevada","8","SA25N 1/","538","323","          Printing and related support activities",3841,3859,4075,3990,3853,3802,3796,3926,3952,4008,3778,3416,3543,3468,3621,3911,4100,3758,3998
"32000","Nevada","8","SA25N 1/","539","324","          Petroleum and coal products manufacturing","(T)","(T)","(T)",165,157,147,319,348,360,226,207,198,203,222,224,250,260,235,244
"32000","Nevada","8","SA25N 1/","541","325","          Chemical manufacturing",1472,1585,1581,1475,1385,1308,1354,1408,1453,1497,1480,1318,1336,1456,1458,1785,1944,2012,2100
"32000","Nevada","8","SA25N 1/","542","326","          Plastics and rubber products manufacturing",3495,3687,3933,3759,3730,3584,3919,4061,4353,4367,4023,3292,2800,2936,2956,2971,2900,3130,3364
"32000","Nevada","8","SA25N 1/","600","42","      Wholesale trade",34153,35523,37450,38128,38342,37837,39453,41881,43824,44319,43669,39823,37510,37659,37424,38028,41737,42723,43932
"32000","Nevada","8","SA25N 1/","700","44-45","      Retail trade",120347,124475,132257,136163,138641,144751,150982,158543,165031,168796,166160,155730,152546,155435,158537,163362,169147,173611,175386
"32000","Nevada","8","SA25N 1/","701","441","        Motor vehicle and parts dealers",14357,15168,15898,16550,16918,17136,18338,19064,19461,19640,17815,14681,13915,14250,14995,16074,16850,17701,18208
"32000","Nevada","8","SA25N 1/","702","442","        Furniture and home furnishings stores",3978,4350,4643,4862,5651,6015,6238,6836,7014,6198,5130,4059,3767,3740,3685,3816,4130,4394,4761
"32000","Nevada","8","SA25N 1/","703","443","        Electronics and appliance stores",3390,3715,3868,3795,3639,3938,4415,4766,4783,4980,5332,4959,4877,5098,5062,4786,4931,4987,5087
"32000","Nevada","8","SA25N 1/","704","444","        Building material and garden equipment and supplies dealers",7062,7542,8076,8145,8603,8861,9794,10319,10626,9976,9090,8019,7813,7791,7852,8263,8469,8659,8956
"32000","Nevada","8","SA25N 1/","705","445","        Food and beverage stores",17973,18382,18922,19249,19120,19448,19927,20366,22014,22625,23015,22353,21630,21251,21600,22072,23032,24130,24135
"32000","Nevada","8","SA25N 1/","706","446","        Health and personal care stores",6000,6644,7230,7602,7867,8107,8553,8652,9298,9299,9144,8593,8427,8655,9055,9620,10063,10709,11180
"32000","Nevada","8","SA25N 1/","707","447","        Gasoline stations",8252,8516,8543,8671,8551,8897,8777,8705,8943,8886,8526,8178,7949,7652,7843,8042,8258,8701,8909
"32000","Nevada","8","SA25N 1/","708","448","        Clothing and clothing accessories stores",10954,11513,11942,12363,12499,14150,16133,17526,18652,20356,20782,20047,20781,21464,22317,22566,23019,23452,22792
