"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"17000","Illinois","3","SA25 1/","10","...","Total employment (number of jobs)",5179110,5143772,5104451,5155439,5350502,5441434,5341907,5457695,5586832,5747599,5803277,5675371,5663887,5562767,5520248,5717923,5780043,5891733,6031396,6187499,6293665,6390424,6369012,6351074,6440520,6610811,6772862,6874745,6980621,7138425,7218622,7358181,7309668
"17000","Illinois","3","SA25 1/","20","...","  Wage and salary employment",4577612,4533942,4481992,4516466,4688102,4769673,4661669,4754799,4874417,5031333,5081308,4938847,4918080,4781907,4735109,4927732,4971832,5057399,5184806,5308542,5424192,5481375,5450843,5437577,5536048,5667603,5796017,5870528,5959420,6082793,6152804,6243126,6189405
"17000","Illinois","3","SA25 1/","40","...","  Proprietors employment",601498,609830,622459,638973,662400,671761,680238,702896,712415,716266,721969,736524,745807,780860,785139,790191,808211,834334,846590,878957,869473,909049,918169,913497,904472,943208,976845,1004217,1021201,1055632,1065818,1115055,1120263
"17000","Illinois","3","SA25 1/","50","...","    Farm proprietors employment",124348,123829,123449,123405,122832,121774,119703,118166,117606,116349,114361,113419,113489,110557,112741,106811,103320,99780,95846,93798,92637,88801,87265,86413,85699,83606,83317,81055,81141,81469,80809,80224,76657
"17000","Illinois","3","SA25 1/","60","...","    Nonfarm proprietors employment 2/",477150,486001,499010,515568,539568,549987,560535,584730,594809,599917,607608,623105,632318,670303,672398,683380,704891,734554,750744,785159,776836,820248,830904,827084,818773,859602,893528,923162,940060,974163,985009,1034831,1043606
"17000","Illinois","3","SA25 1/","70","[01-02]","  Farm employment",150220,149116,147824,148043,149699,150416,154525,157053,157617,151349,154352,146386,144352,139635,144181,135100,132047,132451,126463,118757,115910,111007,108317,105887,106130,102812,101330,98980,100743,98814,99993,100588,96985
"17000","Illinois","3","SA25 1/","80","...","  Nonfarm employment",5028890,4994656,4956627,5007396,5200803,5291018,5187382,5300642,5429215,5596250,5648925,5528985,5519535,5423132,5376067,5582823,5647996,5759282,5904933,6068742,6177755,6279417,6260695,6245187,6334390,6507999,6671532,6775765,6879878,7039611,7118629,7257593,7212683
"17000","Illinois","3","SA25 1/","90","...","    Private nonfarm employment",4309181,4258564,4218739,4266911,4452077,4530865,4394692,4505574,4641383,4802527,4839140,4729762,4727179,4638898,4598587,4800153,4858216,4953821,5095452,5253648,5354519,5435923,5420459,5405283,5495403,5663899,5814196,5914684,6015954,6169024,6236533,6362843,6312335
"17000","Illinois","3","SA25 1/","100","[07-08]","      Agricultural services, forestry, and fishing",13814,14489,14930,15729,16564,16656,16817,17234,18097,21103,22874,23453,22777,23908,26160,28498,29786,31576,37978,37755,40267,43293,45091,43969,47598,49288,50653,52351,55135,56612,59493,60676,62293
"17000","Illinois","3","SA25 1/","110","07","        Agricultural services",13327,13892,14327,15082,15893,15937,15948,16245,17122,20136,21953,22455,21468,22471,24891,27104,28326,29879,36704,36374,39159,42155,44035,43033,46517,48102,49423,51112,53827,54951,57543,58500,"(NA)"
