"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001"
"46000","South Dakota","4","SA25 1/","10","...","Total employment (number of jobs)",303105,304839,306132,309069,322850,326414,326343,335977,342003,354884,359364,352638,347563,344304,352537,362378,364778,366030,381298,387779,395870,409374,420472,431189,442481,464396,472046,479226,484646,491295,500563,511743,511627
"46000","South Dakota","4","SA25 1/","20","...","  Wage and salary employment",211351,214827,217348,221361,231559,237162,238474,246959,251492,263252,268574,261353,256849,252503,256397,266425,268565,269210,277194,286843,294992,307729,315367,326313,337126,348115,358567,364921,371238,377080,387630,394801,396009
"46000","South Dakota","4","SA25 1/","40","...","  Proprietors employment",91754,90012,88784,87708,91291,89252,87869,89018,90511,91632,90790,91285,90714,91801,96140,95953,96213,96820,104104,100936,100878,101645,105105,104876,105355,116281,113479,114305,113408,114215,112933,116942,115618
"46000","South Dakota","4","SA25 1/","50","...","    Farm proprietors employment",48463,47520,46566,45407,44952,44362,43737,42516,41637,40530,39610,39197,38729,38347,40262,39790,39211,38208,37137,36301,36612,36466,36318,36405,35626,34714,33612,32646,32714,33386,33197,33310,32652
"46000","South Dakota","4","SA25 1/","60","...","    Nonfarm proprietors employment 2/",43291,42492,42218,42301,46339,44890,44132,46502,48874,51102,51180,52088,51985,53454,55878,56163,57002,58612,66967,64635,64266,65179,68787,68471,69729,81567,79867,81659,80694,80829,79736,83632,82966
"46000","South Dakota","4","SA25 1/","70","[01-02]","  Farm employment",61399,60650,58083,57049,58386,58683,57051,53773,51896,50530,50607,47189,46611,45841,48377,47084,46672,43823,43642,43087,42621,41912,41588,41403,40825,39056,37925,37946,37838,38451,38539,38031,37677
"46000","South Dakota","4","SA25 1/","80","...","  Nonfarm employment",241706,244189,248049,252020,264464,267731,269292,282204,290107,304354,308757,305449,300952,298463,304160,315294,318106,322207,337656,344692,353249,367462,378884,389786,401656,425340,434121,441280,446808,452844,462024,473712,473950
"46000","South Dakota","4","SA25 1/","90","...","    Private nonfarm employment",177573,177406,181041,183635,196649,200634,202062,214156,223328,235895,240782,237502,235919,233299,238862,248983,250793,254491,268466,274409,282229,294613,304944,313583,324033,347351,356939,365851,371526,376854,385212,395745,394945
"46000","South Dakota","4","SA25 1/","100","[07-08]","      Agricultural services, forestry, and fishing",3035,3041,3160,3288,3479,3487,2396,2275,2458,2796,2758,2902,2799,2852,3082,3427,3562,3585,4651,4309,4047,4244,4552,4418,4858,5854,5446,5653,6067,6526,7102,6942,6689
"46000","South Dakota","4","SA25 1/","110","07","        Agricultural services",2976,2960,3078,3112,3257,3262,2139,1982,2182,2532,2488,2599,2504,2497,2751,3079,3208,3144,4371,4068,3893,4082,4394,4265,4687,5604,5228,5397,5802,6190,6703,6533,"(NA)"
"46000","South Dakota","4","SA25 1/","120","...","        Forestry and fishing",59,81,82,176,222,225,257,293,276,264,270,303,295,355,331,348,354,441,280,241,154,162,158,153,171,250,218,256,265,336,399,409,"(NA)"
"46000","South Dakota","4","SA25 1/","121","08","          Forestry",37,53,64,115,126,146,162,147,149,154,153,175,182,215,209,204,212,276,84,100,81,67,64,93,60,94,106,126,128,"(D)","(D)",146,"(NA)"
"46000","South Dakota","4","SA25 1/","122","...","          Fishing",22,28,18,61,96,79,95,146,127,110,117,128,113,140,122,144,142,165,196,141,73,95,94,60,111,156,112,130,137,"(D)","(D)",263,"(NA)"
"46000","South Dakota","4","SA25 1/","200","B","      Mining",2955,2869,2770,2685,2732,2784,2687,2649,2765,2938,3128,3189,3283,3146,3160,3221,2984,3076,3386,3393,3256,3237,3188,3396,3064,3052,2939,2775,2676,2040,1599,1547,1540
"46000","South Dakota","4","SA25 1/","210","10","        Metal mining",1928,1849,1911,1716,1626,1665,1765,1643,1628,1651,1747,1803,1835,1710,1708,1692,1518,1681,1828,1914,1885,1817,1785,"(D)",1714,1569,1529,1508,1359,868,603,575,"(NA)"
"46000","South Dakota","4","SA25 1/","220","12","        Coal mining","(L)","(L)",10,10,26,18,21,21,"(L)",13,16,15,15,16,14,25,22,23,"(D)","(D)","(L)","(L)",10,12,"(D)","(D)","(L)","(L)","(L)","(D)","(D)","(D)","(NA)"
"46000","South Dakota","4","SA25 1/","230","13","        Oil and gas extraction",376,410,289,251,310,286,135,153,234,283,290,384,461,481,478,526,507,449,"(D)","(D)",590,579,629,574,"(D)","(D)",558,435,487,"(D)","(D)","(D)","(NA)"
"46000","South Dakota","4","SA25 1/","240","14","        Nonmetallic minerals, except fuels",646,603,560,708,770,815,766,832,894,991,1075,987,972,939,960,978,937,923,"(D)",868,774,833,764,"(D)",803,831,850,829,828,816,635,643,"(NA)"
"46000","South Dakota","4","SA25 1/","300","C","      Construction",12399,12010,12624,13330,15468,15948,15573,17016,18568,20270,19415,16719,15665,14289,14830,15866,15667,16164,16719,16201,16918,18245,18709,20288,20719,22498,22640,23404,24350,25422,26189,27196,27920
"46000","South Dakota","4","SA25 1/","310","15","        General building contractors",3207,3080,3305,3550,4358,4533,4395,4953,5560,6360,6277,4968,4364,3926,4149,4693,4306,4558,3928,3875,4208,4508,4545,4788,5128,5585,5415,5622,5845,6416,6592,6873,"(NA)"
"46000","South Dakota","4","SA25 1/","320","16","        Heavy construction contractors",2536,2573,2810,2814,2986,2949,2577,2821,2986,2948,2665,2561,2766,2134,2199,2429,2540,2422,2683,2558,2646,2702,2715,2843,3340,3240,3410,3163,3317,3285,3788,4192,"(NA)"
"46000","South Dakota","4","SA25 1/","330","17","        Special trade contractors",6656,6357,6509,6966,8124,8466,8601,9242,10022,10962,10473,9190,8535,8229,8482,8744,8821,9184,10108,9768,10064,11035,11449,12657,12251,13673,13815,14619,15188,15721,15809,16131,"(NA)"
"46000","South Dakota","4","SA25 1/","400","D","      Manufacturing",17108,16826,17698,19288,20696,21347,20414,22786,24183,25808,28439,27305,27084,25858,27064,30443,28788,29676,30695,32824,33713,35827,36465,38500,40917,45443,48124,49525,51211,51339,51808,51672,48315
"46000","South Dakota","4","SA25 1/","410","...","        Durable goods manufacturing",6083,6355,7050,8597,9177,9548,8891,10260,11229,12747,15039,14259,14067,13069,14059,17098,15860,16289,17310,18777,19326,20968,21409,23382,25925,29459,31459,32898,34537,35430,35550,35179,32234
"46000","South Dakota","4","SA25 1/","413","24","          Lumber and wood products",754,838,833,1065,1278,1348,1534,1753,2034,2166,2032,1676,1516,1419,1681,1876,1979,2195,2349,2464,2619,2733,2780,2825,2903,3124,3257,3355,3417,3447,3477,3620,"(NA)"
