"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"19000","Iowa","4","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",1500525,1521119,1534288,1522064,1508207,1501099,1523691,1547859,1571356,1583442,1590653,1547457,1537132,1553036,1571483,1593351,1608169,1627194,1635851
"19000","Iowa","4","SA27N 1/","70","111-112","  Farm wage and salary employment",16044,13412,14868,15215,15311,14798,15011,17579,15986,15683,18084,16235,18657,18154,15984,19258,14834,19160,18686
"19000","Iowa","4","SA27N 1/","80","...","  Nonfarm wage and salary employment",1484481,1507707,1519420,1506849,1492896,1486301,1508680,1530280,1555370,1567759,1572569,1531222,1518475,1534882,1555499,1574093,1593335,1608034,1617165
"19000","Iowa","4","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",1235831,1256777,1263164,1250104,1235357,1227859,1248602,1270291,1293513,1304258,1306347,1261085,1249767,1266721,1288057,1306874,1325640,1340489,1347394
"19000","Iowa","4","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",4179,4398,4392,4398,4103,4442,4896,5113,5287,5425,5756,6324,7158,7147,7852,8555,7654,7550,7537
"19000","Iowa","4","SA27N 1/","101","113","        Forestry and logging",79,72,105,43,36,32,27,30,32,32,31,24,22,26,"(D)",37,35,37,32
"19000","Iowa","4","SA27N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(D)","(L)",17,21,21
"19000","Iowa","4","SA27N 1/","103","115","        Support activities for agriculture and forestry",3978,4193,4151,4349,4062,4403,4864,5077,5250,5389,5721,6296,7132,7117,7813,8510,7602,7492,7484
"19000","Iowa","4","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",2096,2141,1990,1996,1925,1869,2052,2092,2147,2118,2148,2181,2132,2173,2198,2228,2166,2218,2119
"19000","Iowa","4","SA27N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19000","Iowa","4","SA27N 1/","202","212","        Mining (except oil and gas)",2016,2060,1891,1986,"(D)",1858,2042,2077,2133,2107,2112,2150,2100,2144,2174,2193,2123,2162,2070
"19000","Iowa","4","SA27N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)",11,10,15,14,11,36,31,32,29,24,35,43,56,49
"19000","Iowa","4","SA27N 1/","300","22","      Utilities",8766,8652,8662,8332,8746,7662,7507,6941,6895,6997,7103,7008,6783,6606,6499,6456,6483,6577,6468
