"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"46000","South Dakota","4","SA27N 1/","20","...","Wage and salary employment by place of work (number of jobs)",377080,387630,394801,396009,395633,396645,402736,408345,416058,424369,431366,423601,423507,427833,435383,438456,444865,447782,451683
"46000","South Dakota","4","SA27N 1/","70","111-112","  Farm wage and salary employment",5065,5342,4721,5025,4667,3587,4806,5271,4740,5356,5446,4580,4943,5557,6845,6298,6367,4908,4622
"46000","South Dakota","4","SA27N 1/","80","...","  Nonfarm wage and salary employment",372015,382288,390080,390984,390966,393058,397930,403074,411318,419013,425920,419021,418564,422276,428538,432158,438498,442874,447061
"46000","South Dakota","4","SA27N 1/","90","113-814","    Private nonfarm wage and salary employment",296025,305476,312113,311979,311331,312816,317163,322775,330897,338515,343929,334632,332795,337194,344515,348091,354058,358697,361812
"46000","South Dakota","4","SA27N 1/","100","113-115","      Forestry, fishing, and related activities",2076,2005,1829,1436,1276,1316,1366,1459,1572,1653,1786,1962,2098,2269,2397,2471,2432,2448,2455
"46000","South Dakota","4","SA27N 1/","101","113","        Forestry and logging",133,179,140,121,119,124,129,134,141,145,139,131,120,121,116,114,123,126,128
"46000","South Dakota","4","SA27N 1/","102","114","        Fishing, hunting and trapping","(T)","(T)","(T)",13,13,13,18,23,28,28,32,30,27,24,23,26,24,16,16
"46000","South Dakota","4","SA27N 1/","103","115","        Support activities for agriculture and forestry",1840,1731,1603,1302,1144,1179,1219,1302,1403,1480,1615,1801,1951,2124,2258,2331,2285,2306,2311
"46000","South Dakota","4","SA27N 1/","200","21","      Mining, quarrying, and oil and gas extraction",1656,1069,950,1084,869,825,760,790,789,848,932,836,818,833,850,846,816,837,849
"46000","South Dakota","4","SA27N 1/","201","211","        Oil and gas extraction","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",30,32,31,31,32,33,33,"(D)",33,34,32
"46000","South Dakota","4","SA27N 1/","202","212","        Mining (except oil and gas)",1585,998,880,1020,806,763,698,718,731,770,834,775,758,766,775,"(D)","(D)",778,799
"46000","South Dakota","4","SA27N 1/","203","213","        Support activities for mining","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)",28,46,67,30,28,34,42,53,"(D)",25,18
"46000","South Dakota","4","SA27N 1/","300","22","      Utilities",2151,2073,2048,2025,2058,2038,2040,2134,2233,2229,2073,2112,2091,2071,1969,1950,1967,1997,2019
"46000","South Dakota","4","SA27N 1/","400","23","      Construction",16804,17778,18856,19148,19348,20179,20855,21831,22673,23049,23155,21839,20828,20785,20749,21090,21861,22830,23447
"46000","South Dakota","4","SA27N 1/","401","236","        Construction of buildings",4943,5008,5192,5323,5481,5845,5923,6166,6226,6356,6290,5885,5376,5309,5263,5402,5660,5872,6020
"46000","South Dakota","4","SA27N 1/","402","237","        Heavy and civil engineering construction",2917,3400,3436,3411,3299,3246,3333,3275,3598,3550,3651,3732,3503,3550,3390,3419,3480,3566,4069
"46000","South Dakota","4","SA27N 1/","403","238","        Specialty trade contractors",8944,9370,10228,10414,10568,11088,11599,12390,12849,13143,13214,12222,11949,11926,12096,12269,12721,13392,13358
"46000","South Dakota","4","SA27N 1/","500","31-33","      Manufacturing",41651,41975,42668,41029,38489,37782,38946,39911,41424,42100,42784,37808,37011,39268,41233,41574,42468,42641,42233
"46000","South Dakota","4","SA27N 1/","510","321,327-339","        Durable goods manufacturing",28330,28696,29265,27800,25853,25252,26227,27121,28324,28875,29330,24785,24021,25887,27217,27515,28508,28528,27593
"46000","South Dakota","4","SA27N 1/","511","321","          Wood product manufacturing",2267,2436,2564,2239,2375,2351,2500,2477,2372,2301,2198,1961,1870,1983,2052,2091,2106,2159,2138
"46000","South Dakota","4","SA27N 1/","512","327","          Nonmetallic mineral product manufacturing",1204,1312,1338,1401,1445,1479,1501,1576,1626,1609,1618,1481,1489,1529,1501,1547,1537,1630,1608
"46000","South Dakota","4","SA27N 1/","513","331","          Primary metal manufacturing",499,487,464,657,726,690,694,680,674,655,596,490,480,556,643,701,731,784,748
"46000","South Dakota","4","SA27N 1/","514","332","          Fabricated metal product manufacturing",3332,3613,3717,3219,3174,3174,3440,3691,3802,3766,4010,3361,3444,3715,4233,4469,4391,4044,3830
"46000","South Dakota","4","SA27N 1/","515","333","          Machinery manufacturing",4814,4795,4792,5016,4649,4509,4866,5306,5803,6004,6473,5238,5379,6194,6479,6358,6859,6999,6656
"46000","South Dakota","4","SA27N 1/","516","334","          Computer and electronic product manufacturing",6363,6218,6460,5693,4536,4181,3804,3377,3292,3161,3149,2441,2142,2275,2261,2240,2240,1925,1817
"46000","South Dakota","4","SA27N 1/","517","335","          Electrical equipment, appliance, and component manufacturing",1289,1108,997,786,438,394,400,420,395,419,420,392,368,377,421,443,430,452,458
"46000","South Dakota","4","SA27N 1/","518","3361-3363","          Motor vehicles, bodies and trailers, and parts manufacturing",2062,2159,2176,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"46000","South Dakota","4","SA27N 1/","519","3364-3369","          Other transportation equipment manufacturing","(T)","(T)","(T)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"46000","South Dakota","4","SA27N 1/","521","337","          Furniture and related product manufacturing",1652,1767,1771,1941,1943,2100,2449,2552,2633,2714,2638,2146,1922,2011,2105,2247,2432,2508,2521
"46000","South Dakota","4","SA27N 1/","522","339","          Miscellaneous manufacturing",4780,4737,4926,4804,4630,4524,4598,4898,5289,5610,5608,5076,4701,4767,4771,4675,4801,4841,4881
"46000","South Dakota","4","SA27N 1/","530","311-316,322-326","        Nondurable goods manufacturing",13321,13279,13403,13229,12636,12530,12719,12790,13100,13225,13454,13023,12990,13381,14016,14059,13960,14113,14640
