"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"34000","New Jersey","2","SA30","10","...","Personal income (thousands of dollars)",14637128,15732487,16588483,17445946,18768447,19691067,21119425,22697538,24589406,26497914,29093537,32545792,35351558,38133439,41444820,45038421,48927606,52917200,57361858,62757064,69680133,77342831,86955685,97057434,104844478,113452401,125654526,134893648,144359457,155776344,171093247,183704780,192503740,196000492,210737946,217231771,224967367,239340164,253236997,269821158,287666867,301576276,332255755,344672849,353295773,363070991,379117636,392400318,418875514,438838772,455850397,442746079,451895490,473742591,490610937,494040279,514382313,538220307,549835795
"34000","New Jersey","2","SA30","45","...","Net earnings by place of residence",11923858,12868879,13486361,14060647,15024179,15634935,16673617,17884905,19394577,20758957,22633634,25565772,27325639,29014553,31459720,34001638,36320568,38189265,41606927,45753778,51189531,56687027,62392840,67770613,72153885,78149811,86158891,93100762,100513847,109896796,120880013,126883681,132577032,133570670,144156754,149745822,155302978,163480234,173214350,185694286,199321511,212022624,234413185,243352826,250886706,259172700,270851682,280325872,294570161,304321161,312736195,300836067,307086821,320181112,331640868,334728430,347456816,362139241,369825997
"34000","New Jersey","2","SA30","50","...","Personal current transfer receipts",846560,854762,896042,1024069,1078550,1159197,1204893,1285495,1385254,1642438,1963954,2212497,2689256,3276771,3663237,4131429,4847487,6337577,6853192,7228808,7688683,8550210,9781457,10980385,12034753,12991979,13547479,14199274,14867496,15359553,16355079,17526799,19331290,22248686,25763848,26922275,27303279,29170442,30102256,30864914,31714878,33039275,35261621,39190314,42373188,42856533,43443173,45731189,49668144,52017954,58745574,65257717,70688578,71490852,70253007,70908450,73703211,76433818,79080242
"34000","New Jersey","2","SA30","60","...","  Income maintenance benefits 1/",50682,53565,60239,69940,71305,80444,88701,97328,107496,137152,167275,239006,324372,441459,444702,497499,606112,736127,830793,859469,867468,956403,1151620,1201906,1166989,1191825,1192544,1208791,1216086,1179072,1235844,1296457,1431352,1634414,1886559,2008795,2117898,2267357,2265759,2237938,2259977,2205815,2157954,2299864,2489398,2707895,2896339,3332012,3654313,4017995,4555400,5364343,6120123,6618901,6622617,6722301,6828843,6879351,6819651
"34000","New Jersey","2","SA30","70","...","  Unemployment insurance compensation",210553,144100,138775,181332,159482,168782,156901,128558,108360,122740,151799,169268,253952,395344,455108,348435,507875,1125902,1074990,944113,799522,788786,879892,812989,953988,921545,696681,687116,592004,550174,586243,719055,1027855,1596054,2558400,2066593,1361732,1279175,1460576,1152480,1090217,1109759,1144064,1575957,2866674,2680703,1975644,1772304,1732937,1887808,2855211,6868971,7625500,6270922,5269656,4078328,2241242,1998290,1913825
"34000","New Jersey","2","SA30","80","...","  Retirement and other",585325,657097,697028,772797,847763,909971,959291,1059609,1169398,1382546,1644880,1804223,2110932,2439968,2763427,3285495,3733500,4475548,4947409,5425226,6021693,6805021,7749945,8965490,9913776,10878609,11658254,12303367,13059406,13630307,14532992,15511287,16872083,19018218,21318889,22846887,23823649,25623910,26375921,27474496,28364684,29723701,31959603,35314493,37017116,37467935,38571190,40626873,44280894,46112151,51334963,53024403,56942955,58601029,58360734,60107821,64633126,67556177,70346766
"34000","New Jersey","2","SA30","90","...","Dividends, interest, and rent",1866710,2008846,2206080,2361230,2665718,2896935,3240915,3527138,3809575,4096519,4495949,4767523,5336663,5842115,6321863,6905354,7759551,8390358,8901739,9774478,10801919,12105594,14781388,18306436,20655840,22310611,25948156,27593612,28978114,30519995,33858155,39294300,40595418,40181136,40817344,40563674,42361110,46689488,49920391,53261958,56630478,56514377,62580949,62129709,60035879,61041758,64822781,66343257,74637209,82499657,84368628,76652295,74120091,82070627,88717062,88403399,93222286,99647248,100929556
"34000","New Jersey","2","SA30","91","...","  Personal dividend income",488844,518425,555633,580940,660384,721919,820210,893990,906693,929674,1108712,1130499,1142588,1183948,1276168,1380466,1493285,1507002,1762910,2000638,2208140,2447044,2826442,3336069,3462524,3710563,4129686,4275716,4673886,4900273,5494328,6544471,6826862,7038681,7226455,7653698,8549471,9356112,11245617,12842316,13106068,12844774,14484586,13784944,14842473,15583041,20405971,19003387,23114775,26436834,26055318,17708934,16958153,21044198,25324260,24687651,28793820,30711298,28944150
"34000","New Jersey","2","SA30","92","...","  Personal interest income",885358,957387,1068205,1158816,1334183,1479091,1700539,1878579,2108581,2329512,2548901,2873870,3408907,3809129,4190011,4688434,5488182,6179972,6514359,7328326,8170567,9278326,11526986,14444445,16730027,18040072,21244599,22724936,23931597,25272563,27745980,32209999,33019657,31969553,31424663,29262846,29373588,32460706,33049033,34684188,37069152,36744485,41173111,40712321,37088239,36105428,34191629,38257106,43959216,49742288,49061020,46354528,41582522,42383281,43416751,42528346,42866807,45508748,46927244
"34000","New Jersey","2","SA30","93","...","    Imputed interest receipts 2/",419746,464650,517302,576967,626811,664276,747313,813406,900335,1006040,1124845,1252319,1535881,1747562,1936295,2087099,2416103,2985316,3075106,3369840,3770431,3927216,4663485,5380978,6487280,8115129,8885068,10216618,11259133,12496184,13453803,14724603,15329385,15707986,16472854,16367212,16572399,18149935,18274312,19646379,19721527,20215179,21963421,21362314,21161391,21255474,21907485,22211495,23982784,25994591,27124768,27963508,26921895,27085570,26947961,27633866,27261231,29201170,30254541
"34000","New Jersey","2","SA30","94","...","    Monetary interest receipts",465612,492737,550903,581849,707372,814815,953226,1065173,1208246,1323472,1424056,1621551,1873026,2061567,2253716,2601335,3072079,3194656,3439253,3958486,4400136,5351110,6863501,9063467,10242747,9924943,12359531,12508318,12672464,12776379,14292177,17485396,17690272,16261567,14951809,12895634,12801189,14310771,14774721,15037809,17347625,16529306,19209690,19350007,15926848,14849954,12284144,16045611,19976432,23747697,21936252,18391020,14660627,15297711,16468790,14894480,15605576,16307578,16672703
"34000","New Jersey","2","SA30","95","...","  Rental income of persons",492508,533034,582242,621474,671151,695925,720166,754569,794301,837333,838336,763154,785168,849038,855684,836454,778084,703384,624470,445514,423212,380224,427960,525922,463289,559976,573871,592960,372631,347159,617847,539830,748899,1172902,2166226,3647130,4438051,4872670,5625741,5735454,6455258,6925118,6923252,7632444,8105167,9353289,10225181,9082764,7563218,6320535,9252290,12588833,15579416,18643148,19976051,21187402,21561659,23427202,25058162
