"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"41000","Oregon","8","SA30","10","...","Personal income (thousands of dollars)",3708019,4010125,4144666,4304791,4574045,4821579,5191584,5642532,6082646,6451616,7026745,7782223,8471104,9309592,10432253,11749236,13322232,14784118,16683442,18666901,21417553,24223707,26825715,28976957,29703264,31521314,34216272,35892259,37856822,39855476,43415873,47825276,51672272,54360166,58159238,62320110,66792632,71913581,77571848,82428855,87222632,90890592,98075500,100335404,101591994,105823776,112209856,117144304,127457878,133476862,140004731,134859864,136986770,144632521,152489633,155147986,165816558,178432319,185839645
"41000","Oregon","8","SA30","45","...","Net earnings by place of residence",2909122,3160929,3248549,3320763,3536038,3731786,4038918,4409915,4759899,4964015,5399685,5902711,6279232,6847758,7735949,8655792,9632578,10407904,11898333,13336387,15346769,17261072,18486309,18990359,18731636,19765106,21558179,22679650,24152086,25809534,28422298,30798663,33547413,35252090,37936395,40607145,43586666,46184278,50006612,53758298,57082009,60157934,65184928,65841965,66536861,69333578,73962232,77237172,82868978,85797886,87304516,81943611,82440874,86982771,92483389,93811087,98986663,106537279,112421354
"41000","Oregon","8","SA30","50","...","Personal current transfer receipts",282900,285941,303899,351725,359364,370782,384078,414414,447347,532906,600471,662089,804656,932144,1022445,1212637,1495834,1900900,2071138,2239172,2444249,2740257,3256127,3767308,4246664,4563646,4713201,4931211,5020003,5197155,5531122,6083369,6614836,7325104,8150520,8704088,9036453,10011044,10652010,10962813,11398703,12406190,13049374,14791435,15772642,16257919,16681390,17752477,18958458,20437347,23746833,27102867,29301464,29733996,29724919,30821227,33592645,35774774,36635563
"41000","Oregon","8","SA30","60","...","  Income maintenance benefits 1/",30670,30652,29893,32735,32642,32611,31144,33642,34968,39197,38039,48848,72703,85097,92163,105779,157018,204017,227127,249353,273570,280045,344673,360279,365626,387021,372595,388410,411051,410462,442572,501249,552565,649689,743993,789884,837083,916028,928064,976975,946097,1064318,986410,1132897,1275314,1404132,1515697,1716071,1832888,1931089,2227122,2756909,3111162,3181104,3216864,3236448,3230231,3295474,3185877
"41000","Oregon","8","SA30","70","...","  Unemployment insurance compensation",48394,28474,31572,49456,33113,27371,27816,24621,22641,32228,27497,31131,56770,78976,75901,62711,107736,221044,185906,153627,105577,124346,246981,300423,430708,400486,266454,290651,204245,244469,215512,222651,280203,423278,598148,626625,436278,414183,433416,402080,436028,453435,414847,667258,1242144,1304889,722955,568513,514142,562130,988897,2619467,2573533,2000021,1514451,1104582,607014,552812,510129
"41000","Oregon","8","SA30","80","...","  Retirement and other",203836,226815,242434,269534,293609,310800,325118,356151,389738,461481,534935,582110,675183,768071,854381,1044147,1231080,1475839,1658105,1836192,2065102,2335866,2664473,3106606,3450330,3776139,4074152,4252150,4404707,4542224,4873038,5359469,5782068,6252137,6808379,7287579,7763092,8680833,9290530,9583758,10016578,10888437,11648117,12991280,13255184,13548898,14442738,15467893,16611428,17944128,20530814,21726491,23616769,24552871,24993604,26480197,29755400,31926488,32939557
"41000","Oregon","8","SA30","90","...","Dividends, interest, and rent",515997,563255,592218,632303,678643,719011,768588,818203,875400,954695,1026589,1217423,1387216,1529690,1673859,1880807,2193820,2475314,2713971,3091342,3626535,4222378,5083279,6219290,6724964,7192562,7944892,8281398,8684733,8848787,9462453,10943244,11510023,11782972,12072323,13008877,14169513,15718259,16913226,17707744,18741920,18326468,19841198,19702004,19282491,20232279,21566234,22154655,25630442,27241629,28953382,25813386,25244432,27915754,30281325,30515672,33237250,36120266,36782728
"41000","Oregon","8","SA30","91","...","  Personal dividend income",88436,93091,88052,97718,108937,117190,129152,140602,150763,168328,161859,173942,179240,189499,207943,245736,287314,297860,359999,422547,500265,584110,653462,752449,739250,796656,905890,947361,1068904,1179361,1386712,1777435,1924159,2088661,2227952,2540451,3007990,3394392,4075735,4347546,4286867,3880745,4190767,3856650,4216876,4873111,6715268,6802995,8740735,9544115,9558215,6357310,6132841,7513201,9033718,8826753,10518332,11495141,10905323
"41000","Oregon","8","SA30","92","...","  Personal interest income",275318,310215,339095,363489,393583,421569,455689,486759,525518,580998,662463,810851,955382,1064211,1172636,1340862,1597292,1884572,2078599,2445920,2874782,3386555,4141627,5116159,5637597,6013578,6671454,6930366,7249365,7313604,7668708,8750837,9084160,9018446,8933815,9170803,9500255,10446407,10630262,11115298,11956171,11746580,12783646,12662484,11773624,11910535,11242574,11961441,13814131,14888837,15539970,14371927,13375756,13486994,14049621,13909932,14410576,15133723,15746580
"41000","Oregon","8","SA30","93","...","    Imputed interest receipts 2/",96300,109777,120885,135246,148015,161993,181723,199609,218889,245224,273487,337082,412872,473072,531525,586468,695031,896542,959985,1096483,1286621,1371064,1594170,1805374,2105285,2613775,2718088,3073495,3355581,3593133,3755558,4091886,4327945,4555256,4823857,5175591,5398475,5919062,5998855,6443735,6522694,6638990,7025275,6846279,6878731,7123775,7318112,7180436,7792096,8132571,8860614,8970228,8879253,8896673,8999710,9305635,9429213,10038429,10536985
"41000","Oregon","8","SA30","94","...","    Monetary interest receipts",179018,200438,218210,228243,245568,259576,273966,287150,306629,335774,388976,473769,542510,591139,641111,754394,902261,988030,1118614,1349437,1588161,2015491,2547457,3310785,3532312,3399803,3953366,3856871,3893784,3720471,3913150,4658951,4756215,4463190,4109958,3995212,4101780,4527345,4631407,4671563,5433477,5107590,5758371,5816205,4894893,4786760,3924462,4781005,6022035,6756266,6679356,5401699,4496503,4590321,5049911,4604297,4981363,5095294,5209595
"41000","Oregon","8","SA30","95","...","  Rental income of persons",152243,159949,165071,171096,176123,180252,183747,190842,199119,205369,202267,232630,252594,275980,293280,294209,309214,292882,275373,222875,251488,251713,288190,350682,348117,382328,367548,403671,366464,355822,407033,414972,501704,675865,910556,1297623,1661268,1877460,2207229,2244900,2498882,2699143,2866785,3182870,3291991,3448633,3608392,3390219,3075576,2808677,3855197,5084149,5735835,6915559,7197986,7778987,8308342,9491402,10130825
"41000","Oregon","8","SA30","96","...","    Imputed rent",97707,106345,114258,120934,128717,133253,134704,138198,143798,148983,145804,173395,186808,201343,203146,193051,196100,182978,159661,100088,109191,91089,88391,92539,46226,39876,16303,-7282,-44943,-36268,28208,48284,94452,178583,327376,585793,808774,911523,1119703,1173514,1404496,1611120,1761810,2044929,2193316,2335390,2507049,2231656,1897567,1483724,2217581,3256299,3795103,4596684,4797370,5278208,5633363,6383710,6896483
