"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"49000","Utah","7","SA30","10","...","Personal income (thousands of dollars)",1655441,1776931,1899579,2033512,2210158,2298741,2418137,2561213,2726199,2878418,3091756,3382733,3766826,4218585,4712891,5240231,5862782,6542102,7392847,8357884,9600731,10849284,12172076,13724644,14915627,15955618,17598302,18879636,19816954,20741022,22051776,23700811,25737076,27623517,29924984,32312390,35050599,38230275,41619496,45005385,48123980,50652670,54178312,56628923,58314909,60553026,64580222,70680942,78678689,85634720,90362956,86110566,87931071,94918680,101508754,104664413,110863745,118724635,124871199
"49000","Utah","7","SA30","45","...","Net earnings by place of residence",1340554,1434777,1518144,1624621,1775262,1844967,1919508,2024044,2153482,2268435,2442283,2661344,2922946,3236123,3610911,4012040,4452252,4899795,5600127,6375250,7326283,8246939,9091276,10053549,10658371,11303129,12531641,13377762,13996756,14631912,15623227,16676222,18184804,19551376,21316010,23035414,24975780,26951765,29307177,31898445,34268231,36534780,38751876,40430914,41300539,42768451,46082034,49694821,55722136,59812528,61519557,58453154,59168673,63743650,68486002,70574403,74470120,79385778,84411746
"49000","Utah","7","SA30","50","...","Personal current transfer receipts",95009,100591,105147,116902,122429,131805,140703,152210,161789,190939,219865,247898,298520,352444,401870,471648,537738,673443,732210,788392,877703,999315,1178898,1380526,1586879,1729353,1782471,1935538,2094037,2244015,2344186,2588185,2840137,3137117,3480132,3774600,3889388,4218982,4466516,4643875,4847280,5118936,5499207,6026659,6591930,7027894,7436028,8093843,8817767,9594463,11225405,12413639,13770749,14250372,14154878,14639265,15090618,15985726,16745522
"49000","Utah","7","SA30","60","...","  Income maintenance benefits 1/",14437,15299,15526,14560,13898,14314,15216,15637,16223,18743,20104,23956,32167,38595,45340,47096,49318,59397,68860,71333,74791,80148,110987,123236,131188,149764,148655,157112,173199,185595,212812,241436,262326,297604,351546,385193,406764,445151,463955,487613,493440,512891,516701,464220,532314,625723,700401,813334,839563,1083990,1202144,1627586,1842180,1919858,1934136,1884372,1775807,1767072,1763047
"49000","Utah","7","SA30","70","...","  Unemployment insurance compensation",12559,10515,10576,14052,11449,13117,15051,14548,10536,12239,13032,12774,17107,23841,27600,24159,31583,65390,58154,48121,40075,47418,73765,83872,151512,151100,78783,90880,107549,104433,72506,62984,65138,83532,125789,115333,80757,70339,77730,82061,94673,103822,119001,182407,315953,288704,175366,128683,101801,107677,225878,694252,769537,519538,375491,282586,194010,176936,180650
"49000","Utah","7","SA30","80","...","  Retirement and other",68013,74777,79045,88290,97082,104374,110436,122025,135030,159957,186729,211168,249246,290008,328930,400393,456837,548656,605196,668938,762837,871749,994146,1173418,1304179,1428489,1555033,1687546,1813289,1953987,2058868,2283765,2512673,2755981,3002797,3274074,3401867,3703492,3924831,4074201,4259167,4502223,4863505,5380032,5743663,6113467,6560261,7151826,7876403,8402796,9797383,10091801,11159032,11810976,11845251,12472307,13120801,14041718,14801825
"49000","Utah","7","SA30","90","...","Dividends, interest, and rent",219878,241563,276288,291989,312467,321969,357926,384959,410928,419044,429608,473491,545360,630018,700110,756543,872792,968864,1060510,1194242,1396745,1603030,1901902,2290569,2670377,2923136,3284190,3566336,3726161,3865095,4084363,4436404,4712135,4935024,5128842,5502376,6185431,7059528,7845803,8463065,9008469,8998954,9927229,10171350,10422440,10756681,11062160,12892278,14138786,16227729,17617994,15243773,14991649,16924658,18867874,19450745,21303007,23353131,23713931
"49000","Utah","7","SA30","91","...","  Personal dividend income",30614,36088,42507,45386,46310,49201,59311,67102,72147,67111,60526,63145,66865,72116,80655,95459,111878,120569,150531,181591,212290,245508,268950,307238,317018,357516,383880,443450,490012,526287,630498,778986,877299,962035,1083087,1224188,1469785,1688435,2133187,2248248,2266853,2166361,2581026,2669491,3058836,3183827,3830725,4475332,5412037,6563146,6552570,4593205,4487967,5507619,6599662,6473108,7579101,8494274,8079595
"49000","Utah","7","SA30","92","...","  Personal interest income",113538,124798,144659,157374,171850,178863,204720,222307,241299,252150,271594,301964,362211,424593,464801,524600,617355,716723,790776,923599,1092449,1268625,1527911,1857599,2232179,2427212,2760394,2983225,3130042,3243259,3339635,3545113,3699807,3784643,3760644,3778030,4038357,4586553,4763370,5210383,5571375,5531817,5988048,6032363,5875201,6001761,5644771,6961125,7405040,8465311,9192248,8154676,7446984,7700098,8190324,8461485,8726593,9521664,9919521
"49000","Utah","7","SA30","93","...","    Imputed interest receipts 2/",60866,67824,75264,83431,90524,96127,105858,113434,124216,137879,148724,168317,207774,254721,279115,304328,352095,427574,464222,531132,629732,681319,790777,902187,1076549,1297585,1402072,1594713,1735321,1863339,1916683,2005870,2123803,2271376,2383659,2488453,2657430,2976633,3061181,3375240,3446948,3521573,3710309,3709432,3857327,4016226,4069695,4520077,4614435,5051768,5636583,5489980,5343169,5481209,5662874,6013007,6077114,6639998,6975079
