"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"55000","Wisconsin","3","SA30","10","...","Personal income (thousands of dollars)",7998093,8663702,8954993,9244954,9768533,10104244,10888858,11792611,12895782,13616395,14889700,16412939,17608648,18906602,20672925,23063852,25336188,27780259,30473081,34051662,38047473,42628337,47052952,51320993,54102808,56952258,62644454,66041717,69705474,73574026,78143063,85276226,90143238,93632279,101190913,106442538,113017540,118778601,125662960,133284392,142917963,149267176,159511065,167125085,171731780,175771213,183318375,189528086,201536159,210810973,219283413,215498897,219627970,232664321,243576466,245382484,255074816,265094105,270225982
"55000","Wisconsin","3","SA30","45","...","Net earnings by place of residence",6426746,6997978,7174820,7321148,7766100,7987822,8639420,9332856,10230781,10651940,11541139,12637169,13301168,14107455,15439245,17194019,18524893,19827823,21955092,24810779,27797459,30981534,32882095,34486320,35275594,36647301,40744846,42896357,45661737,49165091,52588387,56891810,60209529,62553854,68224341,72043735,76804217,79982886,84561454,90079538,96840816,102880068,109452690,115005335,118999600,122118107,127797573,131479527,137329128,142146263,145485708,140173377,141883337,151981127,158217079,159796369,165048960,170574908,174945222
"55000","Wisconsin","3","SA30","50","...","Personal current transfer receipts",509738,523791,557456,646113,658198,695195,724252,779055,862491,1062716,1237401,1359090,1598877,1869925,2079229,2364978,2811183,3527660,3822606,4053530,4474912,5133592,6256970,7114936,7936440,8527264,8731701,9275057,9568248,9784036,10135892,10941748,11735324,12735189,13801658,14380476,14830254,15721856,16283305,16818279,17246968,17954158,19294160,21528639,23157020,23853444,24554861,26311277,27921371,30239489,33889410,39186726,42037181,40679412,41476970,42461726,44217050,45958164,46307101
"55000","Wisconsin","3","SA30","60","...","  Income maintenance benefits 1/",53008,44151,44356,47646,47107,47193,48411,47469,49258,57208,72243,93633,117962,157970,205734,214655,278266,350896,407929,459864,483931,535058,699370,781024,821930,940399,1002281,1065149,1111822,1084885,1081660,1081824,1136497,1260367,1413967,1470567,1470549,1525055,1418755,1440319,1339917,1407128,1496022,1638593,1747545,1976031,2125917,2308396,2438968,2675851,2830904,3360492,3765407,3882057,3906118,4060041,4070946,3897723,3677853
"55000","Wisconsin","3","SA30","70","...","  Unemployment insurance compensation",80421,47908,52688,88595,55217,53525,51825,39155,35751,45041,46286,44423,90474,134453,129812,93728,131349,337812,291678,212097,202058,254972,554386,550526,793877,750799,437216,453482,390478,348769,290889,320463,367900,527038,598803,562147,433846,452042,503079,477891,459576,467542,526643,814730,1179161,1180206,897138,818463,811516,907231,1220546,2936238,2879678,2072537,1591737,1235306,683203,566097,473138
"55000","Wisconsin","3","SA30","80","...","  Retirement and other",376309,431732,460412,509872,555874,594477,624016,692431,777482,960467,1118872,1221034,1390441,1577502,1743683,2056595,2401568,2838952,3122999,3381569,3788923,4343562,5003214,5783386,6320633,6836066,7292204,7756426,8065948,8350382,8763343,9539461,10230927,10947784,11788888,12347762,12925859,13744759,14361471,14900069,15447475,16079488,17271495,19075316,20230314,20697207,21531806,23184418,24670887,26656407,29837960,32889996,35392096,34724818,35979115,37166379,39462901,41494344,42156110
"55000","Wisconsin","3","SA30","90","...","Dividends, interest, and rent",1061609,1141933,1222717,1277693,1344235,1421227,1525186,1680700,1802510,1901739,2111160,2416680,2708603,2929222,3154451,3504855,4000112,4424776,4695383,5187353,5775102,6513211,7913887,9719737,10890774,11777693,13167907,13870303,14475489,14624899,15418784,17442668,18198385,18343236,19164914,20018327,21383069,23073859,24818201,26386575,28830179,28432950,30764215,30591111,29575160,29799662,30965941,31737282,36285660,38425221,39908295,36138794,35707452,40003782,43882417,43124389,45808806,48561033,48973659
"55000","Wisconsin","3","SA30","91","...","  Personal dividend income",231738,249982,271663,280601,296357,303507,334675,377815,397072,414505,437704,456993,458684,472303,506156,565531,630981,627522,730516,829919,949393,1080944,1190125,1357553,1469533,1560734,1709843,1815257,2040662,2231974,2595440,3173481,3436443,3744588,4001011,4374677,5160608,5688872,6605592,7331729,7877969,7413989,8000325,7656116,8286843,8616223,10788373,10663578,13281619,14380511,14253672,10369026,10354265,12878088,15488184,15145811,17469119,18661534,17660837
"55000","Wisconsin","3","SA30","92","...","  Personal interest income",500255,545274,592390,626871,669745,718651,790592,895900,985987,1069974,1262388,1538920,1789637,1970131,2151974,2443540,2893278,3345287,3553833,4053754,4486738,5101450,6335340,7903947,8952157,9736181,10958212,11538496,11989668,11962350,12322858,13766533,14176812,13838688,14057179,14000940,14134590,15057412,15556090,16316911,17867046,17685107,19356768,19109224,17351426,17007585,15759799,16955639,19452434,20930509,21321232,20061798,18317218,18623149,19253699,18298617,18292453,19026822,19686146
"55000","Wisconsin","3","SA30","93","...","    Imputed interest receipts 2/",192612,212590,237709,259824,276799,295964,330071,361852,404331,447839,487343,591651,708814,796449,882859,961970,1132125,1464617,1511559,1673292,1864572,1926010,2291262,2626919,3225391,4100675,4324806,4949011,5391504,5726358,5885950,6282500,6592422,6833638,7363238,7714348,7874266,8416875,8584253,9243630,9471205,9703473,10318003,10028589,9939599,10054510,10155824,9975356,10726346,11159736,12030913,12382115,12068510,12160231,12201925,12204700,11965981,12617665,13131681
