"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"22000","Louisiana","5","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",11774,12220,29168,18973,16932,16911,16100,36858,19639,22975,25942,29883,34275,31550,30993,39749,75264,154112,158636,180818,300182,305710,259845,250260,237120,250165,278898,296163,336519,377716,410855,435962,485932,504236,535146,554247,598190,641811,752408,850366,961429,1154013,1318384,1450362,1685918,1975103,2440255,2698031,2902719,3156992,3592413,4292296,4790272,5525259,6285186,6544403,7048064,7737181,7834376,8220907,8990798,9905412,11324783,12995318,14307328,15824239,16004807,16292196,16587404,16813016,17250857,17688327,20283418,21362859,21422363,23650727,27709356,25570607,26608413,30313943,32122799,34494656,34983164,35583214,36768805,37087913,41015053,43058210
"22000","Louisiana","5","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",169052,285628,287289,239223,230482,222293,239973,264576,277743,315661,357924,389188,413676,463969,479525,504161,517749,557782,599857,703107,791355,878699,1073500,1238046,1360434,1582042,1850070,2267183,2509434,2742189,2942983,3341859,4020992,4472516,5200989,5932702,6071610,6534704,7202892,7359266,7746211,8471921,9412364,10896946,12580249,13916450,15442785,15529976,15748077,16104440,16219722,16521429,16819169,19326668,20585890,20754286,23122543,27043848,25007684,25910525,29508000,31261625,33367968,33803434,34607507,35831976,36084498,39912723,41896422
"22000","Louisiana","5","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",7663,9390,12563,22369,27034,34894,41771,54710,63177,80433,93095,115791,130929,154072,182019,197840,210802,242158,271385,295318,349598,380897,460172,542366,612173,761161,870010,1000730,1144180,1280005,1405361,1563382,1811585,2117751,2319289,2472287,2686893,2893964,3086645,3226172,3336919,3576446,3827817,4137395,4418545,4664018,4891148,5093808,5291184,5497608,5647870,5774300,6062880,6405716,6758278,6982075,7306808,7581881,7818319,8293829,8707915,9526080,9898262,10224336,10882144,11352749,11820171,12319729,12659008
"22000","Louisiana","5","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",5028,6170,9080,18745,22163,29812,35970,48414,56309,72620,84674,106144,119659,142103,169184,184504,197151,227719,256107,278500,330413,360189,436393,514416,581712,724474,829446,952700,1091681,1224516,1345043,1496506,1737181,2034574,2228365,2378601,2591419,2791385,2977655,3112631,3213796,3446331,3689855,3991906,4264164,4502646,4723726,4926532,5120307,5326304,5487959,5625816,5913369,6251209,6590736,6810978,7128877,7388133,7624761,8092756,8501517,9312191,9647835,9946819,10588327,11049138,11504089,11996486,12342820
"22000","Louisiana","5","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2635,3220,3483,3624,4871,5082,5801,6296,6868,7813,8421,9647,11270,11969,12835,13336,13651,14439,15278,16818,19185,20708,23779,27950,30461,36687,40564,48030,52499,55489,60318,66876,74404,83177,90924,93686,95474,102579,108990,113541,123123,130115,137962,145489,154381,161372,167422,167276,170877,171304,159911,148484,149511,154507,167542,171097,177931,193748,193558,201073,206398,213889,250427,277517,293817,303611,316082,323243,316188
"22000","Louisiana","5","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2477,3021,3223,3373,4556,4714,5436,5922,6455,7379,7937,9167,10820,11515,12337,12810,13134,13910,14687,16139,18446,19849,22712,26633,28856,34475,37714,44103,47773,50618,53109,57292,64422,71779,77993,81130,81434,83787,86622,89200,92925,97263,101655,105562,108338,110164,112178,113575,114185,115488,116627,116114,116666,118880,123493,125847,127789,129604,132506,137112,140674,148532,150502,152875,159078,162908,166649,170106,171862
"22000","Louisiana","5","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",117,118,174,205,267,306,317,326,369,396,443,439,405,410,452,478,495,506,566,655,719,840,1031,1240,1432,1795,2473,3532,4273,4421,6651,8640,9038,10474,11929,11399,12858,17525,20765,22388,27259,30931,34088,37882,43290,48012,52292,50727,53041,52944,40135,27423,30377,33610,38971,37922,39870,45844,43579,48206,51511,52629,86500,111374,121833,131317,133479,132568,134028
"22000","Louisiana","5","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(L)",81,86,"(L)","(L)",62,"(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",77,173,417,377,395,453,450,558,944,944,924,1002,1157,1182,1267,1603,1953,2939,1921,2219,2045,2753,3196,2952,2974,3651,2872,3149,4947,2468,2017,5078,7328,10272,18300,17473,15755,14213,12728,13425,13268,12906,9386,15954,20569,10298
"22000","Louisiana","5","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",666,898,1042,1298,1552,1710,2604,3619,4025,11743,21135,24381,28701,31272,38250,82791,111320,130319,144094,161746,180404,229119,278337,366392,431764,495568,603645,726054,917619,980569,1254400,1426043,1571469,1778238,1989843,2202418,2492142,2893489,3502580,4479030,5332100,6423672,7777253,7459979,7375846,7527812,7367009,7433009,7411461,9201079,9524782,9345231,11175724,10969682,11894533,12922134,13932687,15066946,15422422,15608579,16434054,17254352,16667709,19475108,20526585
"22000","Louisiana","5","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",9878,46049,60228,73392,85091,92955,100786,124486,145418,182018,217868,264731,319894,378441,474819,576065,662464,748023,840526,968953,1115075,1283437,1436557,1667359,1928557,2157783,2457207,2745305,3249606,3636330,3988526,4188944,4040050,3980024,4095654,4329845,4591421,4817582,5514214,5877398,6652580,7149517,7643406,8170847,8473618,8821724,9186924,9417946,9793895,10302664,10666041
"22000","Louisiana","5","SA35","2220","...","      Public assistance medical care benefits 2/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",666,898,1042,1298,1552,1710,2604,3619,4025,11743,21135,24381,28701,31272,28372,33548,46512,51056,51984,60650,70448,94491,122239,172895,203811,219716,270926,333024,426579,385234,566881,647775,697567,771806,830212,869412,995815,1163619,1503373,2246319,2799496,3614825,4473826,3769471,3327561,3279341,3264404,3385925,3241938,4784606,4836927,4400486,5517106,4929432,5066955,5588016,6091980,6676567,6712303,6539149,6991220,7621144,6649806,8939292,9639158
"22000","Louisiana","5","SA35","2221","...","        Medicaid 3/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",51286,59922,69724,93669,121402,171778,203303,219111,270116,332170,424388,383813,565271,645969,695566,769711,827579,866235,993058,1163619,1503373,2246319,2799496,3614825,4473826,3769471,3327561,3269546,3262796,3385803,3241931,4784576,4836927,4396018,5508312,4920464,5057384,5576980,6078341,6641527,6680649,6508041,6962065,7594236,6622520,8882941,9573658
