"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"39000","Ohio","3","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",77035,77564,137399,104558,100556,105160,131472,178337,113732,117263,142226,150278,145341,147565,141298,172400,298988,534239,531372,664869,600302,700289,584797,632988,682972,829496,883859,945846,1126480,1445548,1367755,1511796,1760336,1730958,1781807,1788593,1893428,2038491,2378513,2689598,2900308,3395479,4013592,4438190,5165588,6202762,7932555,8501862,8929549,9594430,10953110,13810983,15347450,17810249,19045328,19649092,20944245,22184556,23051742,24232814,25830539,28739578,30988091,34034025,35388804,36744040,38774117,40209435,41423256,42182473,43521062,46267091,50465640,53832216,56419071,58967204,62413318,65817389,70031881,78977281,85998010,90739580,93253425,91452398,93363671,97811070,101775700,104011572
"39000","Ohio","3","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",625279,563898,651480,517954,572058,620423,784572,816660,862780,1033004,1363449,1277425,1421241,1668554,1626393,1658283,1641537,1734495,1878820,2198854,2472452,2652775,3154241,3779371,4179500,4868472,5848119,7449725,7986097,8496708,9024040,10296025,13113370,14542794,17004535,18179509,18489117,19687298,20876544,21868165,23030559,24501549,27463125,29880390,32961833,34379353,35761462,37554640,38813826,40187019,40665996,41661088,44048979,48022642,51853664,54723081,57633553,60741139,64311626,68194028,76880894,83783842,88375094,90622590,89066615,91039166,95319929,99044151,101136313
"39000","Ohio","3","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",81497,93967,118895,183758,214449,272941,320626,403398,451501,552226,625406,724007,785914,880037,976920,1025136,1060551,1166182,1257168,1320930,1499272,1599908,1858402,2165624,2409801,2992735,3382757,3799975,4332465,4759278,5128485,5790276,6720141,7654020,8550590,9137131,9726937,10359329,10991058,11488967,12156833,12744935,13649607,14697160,15672963,16406235,16876740,17477373,17983693,18490901,18866808,19244316,20020047,21057527,22045818,22663325,23398389,24352557,25445391,26661214,27545064,29834719,30821494,31187399,32541377,33471227,34737471,36003443,36487174
"39000","Ohio","3","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",37826,45164,64185,123480,142340,191451,231380,308773,348339,441810,506064,597164,645046,723792,810840,856231,890548,992202,1074404,1129066,1288840,1373123,1618047,1876263,2073849,2569475,2932997,3307120,3714596,4107948,4462055,5012571,5769543,6728788,7469750,7982142,8486560,8973890,9460265,9793872,10292549,10859410,11621805,12494577,13230188,13905798,14460671,15159678,15655079,16207125,16622690,16974347,17740905,18607341,19375495,19877185,20626922,21569755,22656142,23788988,24817070,27071194,27910885,28632800,30333117,31530341,32681384,33860854,34537466
"39000","Ohio","3","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",43671,48803,54710,60278,72109,81490,89246,94625,103162,110416,119342,126843,140868,156245,166080,168905,170003,173980,182764,191864,210432,226785,240355,289361,335952,423260,449760,492855,617869,651330,666430,777705,950598,925232,1080840,1154989,1240377,1385439,1530793,1695095,1864284,1885525,2027802,2202583,2442775,2500437,2416069,2317695,2328614,2283776,2244118,2269969,2279142,2450186,2670323,2786140,2771467,2782802,2789249,2872226,2727994,2763525,2910609,2554599,2208260,1940886,2056087,2142589,1949708
"39000","Ohio","3","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",16822,19352,20743,21283,29879,31697,35688,38129,42267,46021,48064,53757,60782,63381,65828,67386,68893,70846,74275,80203,89404,92616,103927,117021,125167,147753,160403,187200,203135,215544,226226,243890,271806,300588,327745,341857,350045,359823,364211,373568,384904,398807,412499,428577,444114,447161,453333,455901,457209,478422,456788,454463,455477,459501,470901,473229,474888,477961,489161,498387,504460,531025,518318,523859,538170,541978,544999,546369,544155
"39000","Ohio","3","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",26745,29246,33749,38884,42129,49663,53457,56392,60790,64297,71183,72999,80000,92777,100163,101429,101065,103092,108449,111621,120989,134131,134196,159149,186550,217059,233223,248871,356077,377485,376252,426823,570025,516716,647345,702215,781544,900160,1037343,1187784,1328735,1358088,1484373,1646336,1857695,1917500,1828447,1726395,1718447,1682317,1665662,1672529,1725851,1901158,1995898,2038673,2008025,1972863,2001267,2110048,2002366,2011099,2108809,1751455,1396805,1196915,1187572,1183825,1193045
"39000","Ohio","3","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",104,205,218,111,101,130,101,104,105,98,95,87,86,87,89,90,"(L)","(L)","(L)","(L)","(L)","(L)",2232,13191,24235,58448,56134,56784,58657,58301,63952,106992,108767,107928,105750,110917,108788,125456,129239,133743,150645,128630,130930,127670,140966,135776,134289,135399,152958,123037,121668,142977,97814,89527,203524,274238,288554,331978,298821,263791,221168,221401,283482,279285,273285,201993,323516,412395,212508
"39000","Ohio","3","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",11670,12592,15108,17188,18906,20603,25572,32085,32215,37114,42523,45082,44814,49588,107582,292598,372135,410862,445354,512180,585583,706851,872408,1096200,1307550,1556671,1791922,2095160,2539874,3135938,3814038,4356427,4846414,5310372,5819602,6378377,6745449,7249569,8979551,9468168,10847284,11574638,12652791,13806288,14571354,15201714,15421390,15756487,17126749,19175044,20818051,22639578,24838533,26423040,28402126,30333097,32095234,35015756,35697651,38980519,39104009,40952317,44848624,47153869,48741633
"39000","Ohio","3","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",46153,215152,265345,299617,327823,362266,398751,455844,565149,695960,819112,1006144,1136154,1342821,1632425,1987872,2364081,2690452,3001530,3239510,3505435,3808356,4037165,4191149,5349642,5198114,5803936,6252470,6927797,7624302,8102890,8595745,8623582,8688385,9152193,10123628,10759213,11588073,12791477,13915439,16222401,17293593,18641882,20003067,20701914,21847239,22547586,23214750,24107272,25264473,26146287
