"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"50000","Vermont","1","SA35","1000","...","Personal current transfer receipts (thousands of dollars)",4417,4260,6703,5081,4399,3922,4020,7789,4856,5450,5548,5841,5696,5506,6093,7939,13649,22181,22682,22299,25836,29283,25420,27670,29628,34548,38574,39253,45872,52396,55322,59409,67059,69571,74458,77432,81091,86934,107204,125986,144168,171554,204864,230253,262239,315183,401211,432265,442278,467445,530356,628553,724890,806765,864293,889858,928583,956662,971231,1025372,1121449,1250727,1378519,1559523,1628503,1724731,1869719,1932044,2033848,2117081,2263965,2437210,2672518,2854486,2989265,3122560,3403330,3784334,4179038,4662857,5059846,5346698,5400226,5531821,5801543,6055135,6343423,6448556
"50000","Vermont","1","SA35","2000","...","  Current transfer receipts of individuals from governments","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",20709,23926,26955,23025,25710,27772,33315,36748,36850,42873,49373,52237,56132,63940,66303,70310,71988,75489,81424,100244,117810,133388,160618,194937,219090,249298,299582,379680,408977,422486,441098,499559,595423,686403,767848,822058,832910,866462,891496,911746,964106,1052940,1184307,1320923,1503796,1575924,1673253,1805558,1858296,1968337,2036541,2164693,2318155,2542326,2748723,2898504,3051133,3313715,3703604,4080625,4550728,4941503,5220267,5259501,5404305,5677369,5922332,6198137,6296067
"50000","Vermont","1","SA35","2100","...","    Retirement and disability insurance benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2374,2843,3780,6295,7504,9774,11745,15324,17293,21802,24921,28771,30952,34618,38691,40674,42177,46495,50430,53632,61720,65945,77899,90070,100230,123858,140938,160865,180043,200175,218426,246664,283663,328488,367704,389222,401981,423709,444565,459636,490528,518328,559142,602998,644572,684955,721408,757264,791744,832315,865516,891986,937080,992388,1044007,1089679,1140548,1209357,1297808,1382913,1462011,1604319,1672836,1736507,1858081,1948416,2037505,2127313,2182835
"50000","Vermont","1","SA35","2110","...","      Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",1570,1932,2803,5315,6143,8428,10215,13666,15529,19854,22801,26463,28394,31900,35760,37624,39027,43340,47115,50063,57767,61903,73281,85003,94837,117528,134102,152896,171417,191059,208891,236574,272662,316248,354290,375438,388073,409631,430288,444895,475120,502186,542271,585388,626285,666332,701067,738375,772501,813509,846529,872825,918757,973419,1023279,1068172,1117847,1185230,1273891,1358893,1438019,1580628,1647729,1710734,1831818,1922965,2009604,2098134,2156674
"50000","Vermont","1","SA35","2120","...","      Excluding Social Security benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",804,911,977,980,1361,1346,1530,1658,1764,1948,2120,2308,2558,2718,2931,3050,3150,3155,3315,3569,3953,4042,4618,5067,5393,6330,6836,7969,8626,9116,9535,10090,11001,12240,13414,13784,13908,14078,14277,14741,15408,16142,16871,17610,18287,18623,20341,18889,19243,18806,18987,19161,18323,18969,20728,21507,22701,24127,23917,24020,23992,23691,25107,25773,26263,25451,27901,29179,26161
"50000","Vermont","1","SA35","2121","...","        Railroad retirement and disability benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",780,881,931,935,1311,1291,1474,1592,1696,1873,2033,2221,2484,2642,2852,2966,3066,3071,3221,3466,3838,3898,4426,4832,5111,5993,6469,7525,8090,8507,8916,9638,10627,11543,12360,12773,12769,12894,13085,13198,13657,13969,14516,14904,15234,15041,15080,14935,14926,14832,14599,14265,13942,13864,13882,13611,13334,13172,13298,13393,13387,14062,13485,13681,13982,14073,14193,14152,14118
"50000","Vermont","1","SA35","2122","...","        Workers' compensation","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(L)","(L)","(L)","(L)","(L)","(L)",50,59,60,68,80,80,68,70,73,78,81,82,91,100,112,140,179,216,251,287,300,355,446,522,524,272,218,570,923,877,989,1044,1022,1363,1470,1977,2142,2497,2782,3009,4585,3030,3077,3028,3234,3094,3415,4132,4574,4659,5177,5676,5625,6128,6505,5943,7921,8329,8521,8593,8928,8838,8960
"50000","Vermont","1","SA35","2123","...","        Other government retirement and disability insurance benefits 1/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)","(L)",50,67,89,90,87,95,180,156,127,131,134,150,140,170,180,281,196,213,209,271,573,676,924,1240,946,1154,1802,966,973,2272,3237,4190,5279,4994,4499,4100,3686,3701,3763,3760,2785,4780,6189,3083
"50000","Vermont","1","SA35","2200","...","    Medical benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",0,0,0,0,0,0,0,0,833,1321,2003,2511,3128,3407,6601,17729,22775,29114,33378,38631,43759,52124,61570,72813,82696,90410,98431,114063,129913,157598,181261,202490,216911,226273,235407,247443,262909,300707,344651,409692,478508,512134,582729,668295,697497,748670,782045,867370,965109,1094307,1175407,1267441,1381274,1537306,1810547,1980671,2054583,2231141,2325778,2412324,2534947,2704273,2831592,3002412,3037794
"50000","Vermont","1","SA35","2210","...","      Medicare benefits","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",2428,11320,13875,17616,19727,21160,21971,25058,31797,36744,43253,48196,51455,60576,69277,86460,102272,116257,129859,134612,139662,145242,147139,165992,177663,201353,226388,249938,280693,316378,339256,361745,364691,381896,420197,474434,495084,520574,566730,617763,794309,867005,933472,1001981,1047464,1101389,1144873,1181698,1248604,1329420,1375449
