"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"92000","Mideast","2","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",12906826,13862598,14910012,15688119,17158252,18519469,20287884,21939453,23233014,24643929,26602109,28157322,30571643,32637572,34737070,37837943,42468280,45416458,48138986,53112299,58734603,65715400,78739168,96002011,109952625,117042025,134421660,143374312,149637441,154611224,170131214,194396758,201675276,202345055,202985535,205664790,214426618,232806061,245882002,261597622,275910476,276145637,299562623,296252418,283136271,290398841,307513882,335399886,379099587,425102542,429689569,382915305,379140631,421057359,470664132,475032118,503288511,530603356,536890788
"92000","Mideast","2","SA40","91","...","  Personal dividend income",4038442,4324537,4533062,4612117,4954023,5355083,5926865,6508124,6500552,6658064,7389264,7457914,7215155,7172272,7433430,8008578,8636816,8271503,9642682,10897430,11974766,13226858,14760670,16989275,18315063,18727629,20527971,21545521,23144313,23772205,26766091,32562605,34238625,35720129,36827661,38951233,43502368,46950943,54738230,61352548,62528064,60469152,68311708,65191815,69688334,73471144,94920202,95060864,120890714,139978464,137989187,92634738,90641819,111020045,135561617,129545727,151784860,161188079,151596170
"92000","Mideast","2","SA40","92","...","  Personal interest income",6277693,6763388,7405793,7945789,8910226,9705565,10843197,11807922,12987528,14076501,15353267,17165465,19808315,21756810,23548929,26108904,30245633,33787034,35502911,39986253,44618357,50510587,61702155,76268113,89095244,95274986,110700679,118446601,124100537,128626974,140114295,158835817,163330996,160825954,156118617,151144185,151949227,165025510,167149400,175880095,185905773,186242371,201629859,198423887,178858408,177992888,170592971,201916112,225354233,256810644,249507124,231922822,218650308,225524072,243180573,246911875,247562864,258189946,266404626
"92000","Mideast","2","SA40","93","...","    Imputed interest receipts 1/",3068971,3376453,3669507,3931547,4181697,4317394,4766197,5062863,5486719,5941465,6541310,7562146,9066338,10251292,11246316,12081536,13842560,16917343,17323618,19009956,21313875,22157647,25856719,29508942,35219251,43520177,47154166,54192061,59411845,64938834,69507772,75133005,78454173,81320761,84278150,86140086,87424394,94478503,94939044,102258105,101960772,105459746,111115236,107895575,105884733,108090379,112149038,119511058,126359533,137730585,141823073,143712211,144164328,147035288,152533228,161145220,158959811,167889349,174073593
"92000","Mideast","2","SA40","94","...","    Monetary interest receipts",3208722,3386935,3736286,4014242,4728529,5388171,6077000,6745059,7500809,8135036,8811957,9603319,10741977,11505518,12302613,14027368,16403073,16869691,18179293,20976297,23304482,28352940,35845436,46759171,53875993,51754809,63546513,64254540,64688692,63688140,70606523,83702812,84876823,79505193,71840467,65004099,64524833,70547007,72210356,73621990,83945001,80782625,90514623,90528312,72973675,69902509,58443933,82405054,98994700,119080059,107684051,88210611,74485980,78488784,90647345,85766655,88603053,90300597,92331033
"92000","Mideast","2","SA40","95","...","  Rental income of persons 2/",2590691,2774673,2971157,3130213,3294003,3458821,3517822,3623407,3744934,3909364,3859578,3533943,3548173,3708490,3754711,3720461,3585831,3357921,2993393,2228616,2141480,1977955,2276343,2744623,2542318,3039410,3193010,3382190,2392591,2212045,3250828,2998336,4105655,5798972,10039257,15569372,18975023,20829608,23994372,24364979,27476639,29434114,29621056,32636716,34589529,38934809,42000709,38422910,32854640,28313434,42193258,58357745,69848504,84513242,91921942,98574516,103940787,111225331,118889992
"92000","Mideast","2","SA40","96","...","    Imputed rent",2029708,2224433,2408219,2537805,2698294,2779180,2795559,2851509,2950005,3047842,2963366,2593226,2526801,2658596,2570148,2404140,2422393,2231567,1876707,1000321,950455,698602,690804,700887,142904,-31236,-502234,-1147714,-2328503,-2557982,-1396741,-1560393,-1093231,-82086,2773515,7170440,10105161,11207487,13605375,13913259,16718870,19045080,19630120,21941600,24077928,27861127,30885440,26877432,20983400,14808810,25750798,40282285,50416774,62091735,68418925,74256565,77367805,81539756,88003857
"92000","Mideast","2","SA40","97","...","    Monetary rent",560983,550240,562938,592408,595709,679641,722263,771898,794929,861522,896212,940717,1021372,1049894,1184563,1316321,1163438,1126354,1116686,1228295,1191025,1279353,1585539,2043736,2399414,3070646,3695244,4529904,4721094,4770027,4647569,4558729,5198886,5881058,7265742,8398932,8869862,9622121,10388997,10451720,10757769,10389034,9990936,10695116,10511601,11073682,11115269,11545478,11871240,13504624,16442460,18075460,19431730,22421507,23503017,24317951,26572982,29685575,30886135
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
