"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"31000","Nebraska","4","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",468329,503770,535810,556177,587840,641750,673375,720077,748419,747329,765641,896592,1014585,1090945,1212718,1382808,1570979,1775377,1888985,2117190,2347450,2633123,3193223,3919320,4712022,4894884,5285383,5407548,5502542,5452682,5717577,6214316,6478786,6729888,6933530,7131659,7497453,8258758,8717028,9249482,10009867,10092757,10940547,10781659,10809423,11177388,10988315,11261359,12287079,13898423,14781250,13083379,13078298,14308772,16366330,15236988,16635572,17598349,17728898
"31000","Nebraska","4","SA40","91","...","  Personal dividend income",60117,69613,73545,77607,77946,88080,93855,104594,106173,110125,97804,104913,108768,115096,126082,149359,174954,185740,217258,247286,278088,313088,354490,413476,496542,470959,481226,522640,576779,646399,778894,952289,1017522,1103861,1222280,1323800,1534301,1709252,1944034,2152888,2376427,2461157,2728048,2636320,2775211,3082829,3762092,3860928,4590347,5462547,5832228,4314382,4383272,5047906,6339916,5540565,6518783,6853351,6477708
"31000","Nebraska","4","SA40","92","...","  Personal interest income",184624,209266,236496,254227,270292,313554,353704,393212,405250,428549,468889,568978,674963,741494,806459,937368,1120981,1335813,1441483,1671043,1864899,2115795,2610364,3240997,3955205,4191735,4572355,4649340,4771008,4661457,4771147,5092486,5260766,5388002,5359738,5330995,5348178,5888119,6037752,6306551,6756288,6684009,7244308,7068175,6938407,6957507,6033740,6262734,6713108,7544991,7731283,7250558,6751704,6825082,7311465,6776535,7100228,7268240,7542114
"31000","Nebraska","4","SA40","93","...","    Imputed interest receipts 1/",88589,99537,109770,122066,131174,140511,152916,159246,164223,178278,194547,248450,310060,346334,380101,424200,497965,644753,674554,759002,853775,884350,1028548,1167682,1424185,1773927,1814437,2033239,2182816,2278089,2324113,2411319,2531218,2716133,2863635,2992653,3036740,3332714,3390356,3642682,3676459,3758408,3958786,3808745,4005460,4129981,3948813,3807171,3888324,4175978,4466169,4589970,4553001,4575544,4747666,4658752,4756753,4947388,5169322
"31000","Nebraska","4","SA40","94","...","    Monetary interest receipts",96035,109729,126726,132161,139118,173043,200788,233966,241027,250271,274342,320528,364903,395160,426358,513168,623016,691060,766929,912041,1011124,1231445,1581816,2073315,2531020,2417808,2757918,2616101,2588192,2383368,2447034,2681167,2729548,2671869,2496103,2338342,2311438,2555405,2647396,2663869,3079829,2925601,3285522,3259430,2932947,2827526,2084927,2455563,2824784,3369013,3265114,2660588,2198703,2249538,2563799,2117783,2343475,2320852,2372792
"31000","Nebraska","4","SA40","95","...","  Rental income of persons 2/",223588,224891,225769,224343,239602,240116,225816,222271,236996,208655,198948,222701,230854,234355,280177,296081,275044,253824,230244,198861,204463,204240,228369,264847,260275,232190,231802,235568,154755,144826,167536,169541,200498,238025,351512,476864,614974,661387,735242,790043,877152,947591,968191,1077164,1095805,1137052,1192483,1137697,983624,890885,1217739,1518439,1943322,2435784,2714949,2919888,3016561,3476758,3709076
"31000","Nebraska","4","SA40","96","...","    Imputed rent",58223,63462,68311,71121,74654,76244,76127,77197,79421,82066,79078,99491,104293,109889,110866,105588,107345,101179,91937,63173,61294,54608,55306,54730,30255,20294,5694,-10304,-32455,-29901,-1263,6155,23121,45582,96245,189135,264267,298071,365451,374009,447636,510070,549705,642031,672295,722641,752600,681572,526262,388406,609385,893079,1183952,1500976,1717844,1841554,1846187,2147779,2323356
"31000","Nebraska","4","SA40","97","...","    Monetary rent",165365,161429,157458,153222,164948,163872,149689,145074,157575,126589,119870,123210,126561,124466,169311,190493,167699,152645,138307,135688,143169,149632,173063,210117,230020,211896,226108,245872,187210,174727,168799,163386,177377,192443,255267,287729,350707,363316,369791,416034,429516,437521,418486,435133,423510,414411,439883,456125,457362,502479,608354,625360,759370,934808,997105,1078334,1170374,1328979,1385720
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
