"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"33000","New Hampshire","1","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",175866,188663,205356,217002,241858,258208,285655,311599,338321,362137,397926,451900,502449,554427,612167,675045,766311,836784,920535,1052254,1190236,1346640,1645443,2034114,2426303,2550177,2967834,3251495,3614662,3907262,4352847,4973813,4970014,4892871,4789937,4938036,5220624,5710205,6099187,6433639,6942085,6850525,7672716,7711435,7522171,7544661,8051643,8197825,9286539,10162498,10352287,9619469,9384224,11044308,12826773,12900962,12405372,12727177,12954759
"33000","New Hampshire","1","SA40","91","...","  Personal dividend income",42747,44522,49711,49517,55009,56758,68577,74643,78846,78375,101118,102586,108286,116777,130745,140859,151551,149496,183187,215292,246675,281908,312866,357904,457373,432034,490746,499270,547096,583915,643713,792093,785394,851357,908947,980041,1114058,1201145,1346972,1485537,1488060,1414404,1634234,1461780,1519409,1507026,2195204,2018475,2507514,2794410,2753011,1744169,1597525,2324244,2825955,2675805,3335381,3507847,3317806
"33000","New Hampshire","1","SA40","92","...","  Personal interest income",99640,109735,115713,123045,138009,152085,165158,181794,200736,221408,233039,275862,327365,363586,398208,456315,541881,618041,673315,785618,889411,1010837,1262793,1585514,1872372,2022035,2383486,2641477,2965366,3223639,3570658,4046138,4031503,3843710,3565661,3442782,3524238,3885053,4009960,4209268,4638739,4577657,5173316,5264069,4927124,4809131,4569505,5008477,5800220,6516986,6410332,6332612,5860814,6401020,7408909,7558844,6296911,6189367,6392576
"33000","New Hampshire","1","SA40","93","...","    Imputed interest receipts 1/",41490,47858,52654,58427,63960,67777,74644,79402,83288,92702,104185,129501,160472,182580,202670,224151,262631,324520,345120,392990,451053,474588,559578,643277,768906,952873,1048243,1232810,1419319,1612837,1752466,1888915,1916460,1928663,1939367,1976878,2036291,2226014,2279923,2455144,2545504,2601018,2857359,2858865,2877911,2881282,2977733,2986962,3238669,3499669,3660143,3876772,3994915,4287841,4727170,4778308,4048259,4079533,4234903
"33000","New Hampshire","1","SA40","94","...","    Monetary interest receipts",58150,61877,63059,64618,74049,84308,90514,102392,117448,128706,128854,146361,166893,181006,195538,232164,279250,293521,328195,392628,438358,536249,703215,942237,1103466,1069162,1335243,1408667,1546047,1610802,1818192,2157223,2115043,1915047,1626294,1465904,1487947,1659039,1730037,1754124,2093235,1976639,2315957,2405204,2049213,1927849,1591772,2021515,2561551,3017317,2750189,2455840,1865899,2113179,2681739,2780536,2248652,2109834,2157673
"33000","New Hampshire","1","SA40","95","...","  Rental income of persons 2/",33479,34406,39932,44440,48840,49365,51920,55162,58739,62354,63769,73452,66798,74064,83214,77871,72879,69247,64033,51344,54150,53895,69784,90696,96558,96108,93602,110748,102200,99708,138476,135582,153117,197804,315329,515213,582328,624007,742255,738834,815286,858464,865166,985586,1075638,1228504,1286934,1170873,978805,851102,1188944,1542688,1925885,2319044,2591909,2666313,2773080,3029963,3244377
"33000","New Hampshire","1","SA40","96","...","    Imputed rent",25837,28399,30777,33285,36185,38089,39074,40604,42713,44461,44232,53385,48697,52421,51837,49311,50168,46843,40173,23281,24474,19924,19074,21837,8116,4849,-6957,-23181,-54668,-61342,-27523,-30423,-13475,21316,104690,223400,298428,321175,382065,387221,458253,517228,535319,618837,712765,863336,906889,779963,589388,426660,679462,1022136,1319186,1611304,1836420,1893080,1939964,2076760,2241663
"33000","New Hampshire","1","SA40","97","...","    Monetary rent",7642,6007,9155,11155,12655,11276,12846,14558,16026,17893,19537,20067,18101,21643,31377,28560,22711,22404,23860,28063,29676,33971,50710,68859,88442,91259,100559,133929,156868,161050,165999,166005,166592,176488,210639,291813,283900,302832,360190,351613,357033,341236,329847,366749,362873,365168,380045,390910,389417,424442,509482,520552,606699,707740,755489,773233,833116,953203,1002714
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
