"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"50000","Vermont","1","SA40","90","...","Dividends, interest, and rent (thousands of dollars)",88202,95339,102626,114900,123683,129489,145097,163619,186262,207822,227467,240434,271373,301107,334119,365262,406517,439160,472090,529936,596883,680224,831087,1026974,1185058,1236402,1435231,1519747,1637401,1729439,1937773,2295841,2346808,2331249,2356200,2398320,2558607,2820832,2961668,3135043,3419264,3469232,3685828,3777586,3632970,3802902,4103415,3850868,4522999,4925576,5154724,4612263,4420520,5079841,5420207,5534423,5969043,6319673,6375403
"50000","Vermont","1","SA40","91","...","  Personal dividend income",26663,29270,31659,34045,34315,38165,45071,52309,57523,64180,74708,65881,69933,75701,85074,87426,90046,86383,103699,119493,140166,162659,177730,201072,239232,241359,273080,269292,287644,304207,344615,427546,432778,450158,454328,492082,552351,601848,699414,826344,872228,890391,962414,932737,926713,1053417,1448657,1181101,1508746,1696250,1788491,1235018,1046669,1394407,1626594,1650971,1973300,2178147,2045675
"50000","Vermont","1","SA40","92","...","  Personal interest income",44667,48063,51071,57551,63580,65042,73007,83241,99384,112785,122012,140747,167270,187844,208218,234906,275480,312653,332126,380213,425914,486206,615087,775758,891476,939134,1103610,1191219,1292272,1369918,1522426,1793477,1826459,1770420,1732140,1690153,1743013,1938386,1942430,1981619,2190254,2207610,2346805,2414031,2261607,2286551,2130888,2194050,2633682,2886001,2890863,2714069,2511609,2637732,2677873,2715565,2806732,2828225,2929871
"50000","Vermont","1","SA40","93","...","    Imputed interest receipts 1/",18534,20520,21609,23303,25314,26651,29047,32034,36607,40658,45802,57229,70072,80878,91362,99628,115842,145648,150454,167515,189376,197445,235867,272960,331853,411892,448672,524286,590753,658839,719857,802090,830827,855455,897225,927306,959067,1060428,1058648,1119016,1156588,1205476,1255611,1263720,1282416,1335198,1363270,1298089,1453525,1534595,1620978,1666019,1646802,1703720,1688245,1785905,1805276,1852374,1931101
"50000","Vermont","1","SA40","94","...","    Monetary interest receipts",26133,27543,29462,34248,38266,38391,43960,51207,62777,72127,76210,83518,97198,106966,116856,135278,159638,167005,181672,212698,236538,288761,379220,502798,559623,527242,654938,666933,701519,711079,802569,991387,995632,914965,834915,762847,783946,877958,883782,862603,1033666,1002134,1091194,1150311,979191,951353,767618,895961,1180157,1351406,1269885,1048050,864807,934012,989628,929660,1001456,975851,998770
"50000","Vermont","1","SA40","95","...","  Rental income of persons 2/",16872,18006,19896,23304,25788,26282,27019,28069,29355,30857,30747,33806,34170,37562,40827,42930,40991,40124,36265,30230,30803,31359,38270,50144,54350,55909,58541,59236,57485,55314,70732,74818,87571,110671,169732,216085,263243,280598,319824,327080,356782,371231,376609,430818,444650,462934,523870,475717,380571,343325,475370,663176,862242,1047702,1115740,1167887,1189011,1313301,1399857
"50000","Vermont","1","SA40","96","...","    Imputed rent",13744,14940,16047,17593,19172,20330,21001,21979,23250,24543,24308,28317,27507,29931,30347,28876,28934,26864,23038,14757,15727,13644,12730,13884,7305,6332,1465,-4124,-14649,-15723,-2686,-1612,6712,21441,50435,90974,117301,123929,145045,146750,171669,192835,204276,250601,268884,298325,330619,280711,222447,162717,258913,406125,548816,685800,745260,789558,780586,854266,921996
"50000","Vermont","1","SA40","97","...","    Monetary rent",3128,3066,3849,5711,6616,5952,6018,6090,6105,6314,6439,5489,6663,7631,10480,14054,12057,13260,13227,15473,15076,17715,25540,36260,47045,49577,57076,63360,72134,71037,73418,76430,80859,89230,119297,125111,145942,156669,174779,180330,185113,178396,172333,180217,175766,164609,193251,195006,158124,180608,216457,257051,313426,361902,370480,378329,408425,459035,477861
"Note: See the included footnote file."
"SA40: Property Income"
"Last updated: September 26, 2017-- new estimates for 2016; revised estimates for 2014-2015."
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Income Division"
