"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"05000","Arkansas","5","SA45","10","...","Cash receipts from marketings (thousands of dollars)",1151518,1284102,1284846,1435383,2192073,2195533,2204783,2428563,2375831,2993366,3234400,3124990,3430777,3105932,3015557,3524838,3193661,3202621,3716854,3818954,4482335,4438740,4388202,4621485,4886015,5218625,5283030,5961779,5856198,5475784,5288171,5151020,5214061,4731868,5625252,6837898,6799227,6352225,7725496,8773006,7936571,8365427,8655610,10030123,10957516,10940185,9580714,8675437
"05000","Arkansas","5","SA45","20","...","  Cash receipts: Livestock and products",583728,613191,637796,740618,1083947,903479,1071444,1114721,1236363,1501650,1658474,1579201,1722827,1656487,1612604,1999095,1932407,2142640,2245440,2527142,2875961,2900784,2863409,2830400,3049133,3260120,3127756,3435770,3509240,3430387,3562449,3453832,3725162,3150841,3454332,4461197,4524871,3964729,4530662,4891465,4363905,4783200,4793320,4977541,5653088,6235107,5720117,5087755
"05000","Arkansas","5","SA45","30","...","    Meat animals and other livestock",186131,225242,224419,276710,371393,239071,330186,314834,413381,544342,596743,494526,569874,558861,461849,530143,488466,497850,675544,814787,874929,946043,913525,715589,744425,753985,695204,652912,808549,684049,756452,907553,907090,840186,871182,1085474,1216563,1113869,1161903,1106233,1006080,1149850,1215853,1173682,1129113,1391144,1314599,971526
"05000","Arkansas","5","SA45","31","...","      Cattle and calves",159680,199709,200145,243099,310521,191015,272142,239904,352296,438351,477360,371141,415477,405852,322023,373321,325345,331933,485146,631582,665290,681214,684860,485881,469700,483018,412765,343342,501625,436613,506232,618433,590420,564086,648261,824879,917360,846854,870261,788659,712724,864752,898158,909068,826159,1127899,1078124,747225
"05000","Arkansas","5","SA45","32","...","      Hogs and pigs",23444,22723,21425,26248,52651,38183,47306,61200,49261,77237,91142,95255,121735,121437,107909,119677,123464,124101,138459,116258,141775,200068,168147,149365,197800,192288,191508,204861,198540,143756,131596,174536,196615,158613,104026,136826,166223,132695,150879,150684,129171,134893,153215,125670,164095,130192,105486,93198
"05000","Arkansas","5","SA45","33","...","      Sheep and other livestock",3007,2810,2849,7363,8221,9873,10738,13730,11824,28754,28241,28130,32662,31572,31917,37145,39657,41816,51939,66947,67864,64761,60518,80343,76925,78679,90931,104709,108384,103680,118624,114584,120055,117487,118895,123769,132980,134320,140763,166890,164185,150205,164480,138944,138859,133053,130989,131103
"05000","Arkansas","5","SA45","40","...","    Dairy products",37623,38329,40734,43629,49246,58562,58674,68288,69779,75863,87922,95445,109620,114768,118512,110476,113160,97980,102098,104805,112274,118200,98410,106057,101592,101748,98256,105600,90045,82212,77000,64192,67459,50820,46018,51345,44660,34250,41944,36616,21842,25821,29187,24104,21424,23970,16109,12782
"05000","Arkansas","5","SA45","50","...","    Poultry and poultry products",359974,349620,372643,420279,663308,605846,682584,731599,753203,881445,973809,989230,1043333,982858,1032243,1358476,1330781,1546810,1467798,1607550,1888758,1836541,1851474,2008754,2203116,2404387,2334296,2677258,2610646,2664126,2728997,2482087,2750613,2259835,2537132,3324378,3263648,2816610,3326815,3748616,3335983,3607529,3548280,3779755,4502551,4819993,4389409,4103447
"05000","Arkansas","5","SA45","60","...","  Cash receipts: Crops",567790,670911,647050,694765,1108126,1292054,1133339,1313842,1139468,1491716,1575926,1545789,1707950,1449445,1402953,1525743,1261254,1059981,1471414,1291812,1606374,1537956,1524793,1791085,1836882,1958505,2155274,2526009,2346958,2045397,1725722,1697188,1488899,1581027,2170920,2376701,2274356,2387496,3194834,3881541,3572666,3582227,3862290,5052582,5304428,4705078,3860597,3587682
"05000","Arkansas","5","SA45","70","...","    Total grains",411197,493483,407608,451232,853673,1120803,796604,1001015,856765,1215034,1308582,1318492,1486537,1270314,1174265,1275675,1116527,843750,1010510,1018307,1144197,1026187,1129233,1199832,1300039,1291969,1418030,1825368,1737440,1396048,1261265,1134233,1012548,1122851,1413721,1736338,1499842,1636531,2222979,3177189,2976019,2868680,3041681,4153717,4562442,3962874,3348156,3045499
"05000","Arkansas","5","SA45","71","...","      Corn",688,827,644,585,688,1061,1411,1947,1453,617,1777,787,2000,1781,3060,5702,10339,11469,12501,11606,14503,15552,15305,18707,21317,20340,27163,60194,64825,48981,32666,33973,47341,66939,98179,113624,71293,61897,201880,325267,252359,223537,316871,589931,733612,604768,322586,350804
"05000","Arkansas","5","SA45","72","...","      Oats",2746,3422,2102,4580,3241,3143,2735,5596,3555,3659,2900,2660,3349,3342,4438,2763,1375,1524,1576,5906,6219,3440,1757,1922,1898,1949,988,1468,868,572,660,0,0,0,0,0,0,0,0,0,848,1422,2158,2301,1713,2072,1150,818
"05000","Arkansas","5","SA45","73","...","      Sorghum",8019,9750,7866,9549,9857,12923,15432,14218,19047,16875,16416,15146,29850,22602,42486,86955,104861,57883,48938,54096,54183,37554,39047,65037,30649,36700,40210,45353,28642,12841,16977,16524,27646,43821,35944,12101,8860,12163,66621,63067,19479,12750,32464,62219,67992,71093,188728,26000
"05000","Arkansas","5","SA45","74","...","      Wheat",7401,11538,10548,14627,15430,29232,36740,66344,36352,36252,54589,110636,221251,176550,150698,195564,61755,81558,85454,176070,195788,135511,73556,127623,112541,128399,169957,288627,141781,115405,119887,138205,117760,109073,96242,108168,31452,62516,128456,323605,88185,36618,139700,247799,285246,180576,102445,60934
