"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"06000","California","8","SA4","10","...","Personal income (thousands of dollars)",5494405,5078934,4387152,3440813,3276354,3665944,4108634,4924301,5233067,5190461,5364362,5949822,7522670,10347944,13704031,14967541,15588877,16607451,17104898,18180455,18503349,20678634,24007508,26676487,28602210,29480656,32405734,35466051,38114338,40102616,43838806,46333262,49147467,52938918,56604947,61292036,65445747,71123305,76481751,83786947,92173937,99440680,106005497,116355563,127636686,142322040,157355533,174492789,193587811,220523113,250027116,283852405,318833657,340836724,368675480,409989187,443346410,476271961,513636748,558066083,601183746,643954932,665001713,701387002,718212128,740997699,779582479,828822422,881903762,957671894,1020864222,1124844038,1160964629,1182174837,1242098548,1335871248,1415940822,1524919622,1583851546,1616530437,1560649328,1617134250,1727433579,1838567162,1861956514,1986025976,2133664158,2212691221
"06000","California","8","SA4","11","...","  Nonfarm personal income 1/",5096444,4699472,4126186,3279970,3060790,3389799,3777105,4547825,4849549,4875610,5076881,5599149,7012958,9528700,12532675,13741704,14336332,15129473,15817014,17056575,17465068,19549381,22581638,25169455,27223781,28165647,30995719,33977632,36717550,38771228,42433682,44908339,47791079,51519005,55251925,59789787,63997712,69561058,75006922,82091543,90507792,97771956,104343472,114231729,124768685,138752224,154155021,171108022,190143854,217135788,245562389,278373856,314584893,336335426,364532821,405186327,438504667,470984131,507162147,551268758,594529006,636979487,658960159,694861676,710743323,733723643,772683473,821014674,873530185,949768543,1012302698,1116391024,1152982453,1173662772,1232450907,1324061564,1404178367,1514943176,1571496333,1606228039,1549206146,1605099859,1713401175,1823084088,1844036771,1966960685,2115352775,2197256291
"06000","California","8","SA4","12","...","  Farm income 2/",397961,379462,260966,160843,215564,276145,331529,376476,383518,314851,287481,350673,509712,819244,1171356,1225837,1252545,1477978,1287884,1123880,1038281,1129253,1425870,1507032,1378429,1315009,1410015,1488419,1396788,1331388,1405124,1424923,1356388,1419913,1353022,1502249,1448035,1562247,1474829,1695404,1666145,1668724,1662025,2123834,2868001,3569816,3200512,3384767,3443957,3387325,4464727,5478549,4248764,4501298,4142659,4802860,4841743,5287830,6474601,6797325,6654740,6975445,6041554,6525326,7468805,7274056,6899006,7807748,8373577,7903351,8561524,8453014,7982176,8512065,9647641,11809684,11762455,9976446,12355213,10302398,11443182,12034391,14032404,15483074,17919743,19065291,18311383,15434930
"06000","California","8","SA4","20","...","Population (persons) 3/",5531000,5711000,5824000,5894000,5963000,6060000,6175000,6341000,6528000,6656000,6785000,6950000,7269000,7814000,8623000,9261000,9619000,9727000,9912000,10064000,10337000,10677000,11134000,11635000,12251000,12746000,13133000,13713000,14264000,14880000,15467000,15870000,16497000,17072000,17668000,18151000,18585000,18858000,19176000,19394000,19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37332685,37676861,38011074,38335203,38680810,38993940,39250017
"06000","California","8","SA4","30","...","Per capita personal income (dollars) 4/",993,889,753,584,549,605,665,777,802,780,791,856,1035,1324,1589,1616,1621,1707,1726,1806,1790,1937,2156,2293,2335,2313,2468,2586,2672,2695,2834,2920,2979,3101,3204,3377,3521,3772,3988,4320,4676,4966,5210,5653,6116,6722,7306,7955,8662,9656,10752,11926,13128,13732,14538,15864,16767,17573,18491,19606,20576,21494,21824,22644,22964,23535,24595,25885,27147,29031,30474,33095,33671,33901,35234,37551,39521,42334,43692,44162,42224,43317,45849,48369,48570,51344,54718,56374
"06000","California","8","SA4","35","...","  Earnings by place of work",3954248,3713940,3113156,2429695,2381223,2767957,3152932,3731624,4127247,4036340,4212451,4687791,6135299,9031894,12386757,13567975,13898103,14534918,14612899,15288015,15261851,16847021,20164369,22569239,23998881,24320704,26789155,29570696,31441190,32602971,36112403,38018985,40118162,43501715,46561666,50156992,53168231,58537702,62436209,68722327,74596842,78652837,82923696,91785799,101273856,111546517,120788434,135218030,151620482,173858217,198135895,220242675,241216098,255410267,276139806,308687441,335729989,364128449,399651401,437466113,463747587,496059684,512257042,537636254,547328483,563637833,587778009,623807878,669623723,730421067,792289380,882511189,905963223,921921851,967010872,1045749755,1096239417,1160775669,1192383465,1194454934,1149102541,1182344787,1245166969,1317828505,1353565445,1425688101,1518146072,1584871378
"06000","California","8","SA4","36","...","  Less: Contributions for government social insurance 5/",4165,4097,4023,4227,3940,4396,4376,53936,98185,106841,129885,132848,169261,242398,371682,444784,543024,732776,586149,454371,456197,532061,618034,671046,655129,763661,884481,962067,1097068,1112587,1424158,1720096,1831831,2248656,2624627,2730542,2846239,3739949,4099715,4586882,4827173,5017584,5449349,6333131,7973075,9013253,9599500,10977857,12559939,14805558,17663050,19262450,23092685,24994425,27640681,32061047,35322704,38688097,42355341,47729280,51064568,54273221,56411496,58517025,59531314,61692079,63538516,65645276,69727637,75084912,81356074,90069271,94914950,97817094,102878176,112446011,117533982,120861208,122663444,124914063,120967559,121805697,114658159,119297591,139506234,147648940,156514833,163470239
"06000","California","8","SA4","37","...","    Employee and self-employed contributions for government social insurance",3786,3766,3783,3838,3743,4197,4124,7925,37610,41567,44180,47212,61055,100548,177244,232902,252876,196841,180834,164755,142233,188326,219046,249171,268787,326632,374225,414957,490223,511334,609631,747533,794000,883489,1076541,1147914,1237536,1698615,1921761,2134087,2446044,2541798,2732443,3122697,3914710,4443540,4740718,5268060,5992773,6954800,8366363,9028018,11044947,12090375,13268189,15150668,17068687,19008777,21221505,24108686,25910909,27483761,28893512,29993022,30712701,31993237,33264352,34421894,36254621,39102919,42473103,47153058,49335714,50390872,52003543,56116838,59231723,62097475,64052881,66573942,65498076,66275569,56064824,57745638,75918418,80407361,85072092,89379456
"06000","California","8","SA4","38","...","    Employer contributions for government social insurance",379,331,240,389,197,199,252,46011,60575,65274,85705,85636,108206,141850,194438,211882,290148,535935,405315,289616,313964,343735,398988,421875,386342,437029,510256,547110,606845,601253,814527,972563,1037831,1365167,1548086,1582628,1608703,2041334,2177954,2452795,2381129,2475786,2716906,3210434,4058365,4569713,4858782,5709797,6567166,7850758,9296687,10234432,12047738,12904050,14372492,16910379,18254017,19679320,21133836,23620594,25153659,26789460,27517984,28524003,28818613,29698842,30274164,31223382,33473016,35981993,38882971,42916213,45579236,47426222,50874633,56329173,58302259,58763733,58610563,58340121,55469483,55530128,58593335,61551953,63587816,67241579,71442741,74090783
"06000","California","8","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-6202,-19253,-9081,-32702,-37499,-39357,-65054,-72486,-75913,-75113,-3415,-4434,-4775,-5377,-5668,-5703,-6878,-8220,-10753,-12340,-14231,-142108,-108367,-118595,-121283,-104877,-102222,14342,117598,-22089,-22442,624,-72559,292509,301901,306766,250019,199382,160253,82243,42801,23372,-35287,-25284,-32212,35084,48705,37361,27970,-57256,-59488,-68807,-240981,-226412,1903225,2138882,2516848,1851453,1111473,-330667,-1767362,-1718584,-1855582,-2024418,-2109155,-2175639,-2325310,-2578375,-2760376
