"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"92000","Mideast","2","SA4","10","...","Personal income (thousands of dollars)",27420581,25567479,22222130,17385783,16068859,17858209,19257388,21930957,23007093,21459966,22691948,24312028,28360070,33923762,40006600,43044319,44541727,48203157,51245114,54600648,54681556,59788958,65797350,69649514,74312536,75238090,80011672,85943721,91012423,92879156,98282212,102576494,106829702,112938235,118009661,126392057,135184844,145683782,156842029,172049691,185263037,200277292,214940041,232423292,250879869,272391219,295144056,317191840,344780915,378807014,416647965,462431325,513575735,554161549,593173216,652854069,699219800,744898637,796334957,871731816,941653514,998789468,1017712189,1078194076,1112960022,1151638261,1212298549,1276068722,1347898945,1429575559,1505781712,1628168627,1694427028,1718911998,1767334466,1863941853,1942919484,2070191733,2192252450,2266596092,2216310618,2283241329,2410993963,2526546881,2551787975,2648498835,2762663466,2821294298
"92000","Mideast","2","SA4","11","...","  Nonfarm personal income 1/",26881518,25097750,21810060,17122801,15771176,17540684,18813211,21508448,22500986,21041983,22300973,23906594,27842485,33166907,39101863,42098307,43551970,47024701,50167662,53400579,53724705,58853791,64685548,68585433,73316242,74376371,79243463,85098657,90270093,91891529,97497451,101681240,105929879,112211462,117218376,125597232,134296431,144776206,155880412,171139905,184171718,199227726,213985422,231474063,249514855,271124929,293969204,315942476,343714565,377527529,415159277,461323389,512109727,552737289,592118946,650992592,697247370,742739474,794096258,869596178,939136322,996346021,1015740402,1075630047,1110534751,1149430769,1210640157,1273468046,1346151678,1427355530,1503551342,1625490646,1691700259,1717077838,1764540421,1860409023,1939537015,2067396769,2188954411,2263206876,2213875936,2279970462,2406689175,2521975144,2546380152,2642896463,2759016827,2819142606
"92000","Mideast","2","SA4","12","...","  Farm income 2/",539063,469729,412070,262982,297683,317525,444177,422509,506107,417983,390975,405434,517585,756855,904737,946012,989757,1178456,1077452,1200069,956851,935167,1111802,1064081,996294,861719,768209,845064,742330,987627,784761,895254,899823,726773,791285,794825,888413,907576,961617,909786,1091319,1049566,954619,949229,1365014,1266290,1174852,1249364,1066350,1279485,1488688,1107936,1466008,1424260,1054270,1861477,1972430,2159163,2238699,2135638,2517192,2443447,1971787,2564029,2425271,2207492,1658392,2600676,1747267,2220029,2230370,2677981,2726769,1834160,2794045,3532830,3382469,2794964,3298039,3389216,2434682,3270867,4304788,4571737,5407823,5602372,3646639,2151692
"92000","Mideast","2","SA4","20","...","Population (persons) 3/",28223000,28727000,29078000,29321000,29488000,29665000,29823000,29959000,30013000,30225000,30267000,30325000,30400000,30177000,29767000,29405000,29131000,31239000,32257000,32981000,33623000,33726000,33937000,34466000,35146000,35835000,36323000,36677000,37127000,37721000,38202000,38597000,39133000,39552000,40083000,40555000,41025000,41360000,41617000,41924000,42111000,42516918,42869509,42991563,42836999,42709177,42727721,42667403,42546619,42421484,42358101,42272235,42328543,42382098,42543638,42686518,42793973,42991120,43189888,43435353,43584907,43761704,44070941,44392469,44717161,44969670,45186033,45383860,45579719,45822025,46105834,46386027,46619373,46841190,47034773,47162342,47239239,47334435,47473718,47684886,47943872,48212295,48477069,48689805,48859735,48995329,49083944,49123667
"92000","Mideast","2","SA4","30","...","Per capita personal income (dollars) 4/",972,890,764,593,545,602,646,732,767,710,750,802,933,1124,1344,1464,1529,1543,1589,1656,1626,1773,1939,2021,2114,2100,2203,2343,2451,2462,2573,2658,2730,2855,2944,3117,3295,3522,3769,4104,4399,4711,5014,5406,5857,6378,6908,7434,8104,8930,9836,10939,12133,13075,13943,15294,16339,17327,18438,20070,21605,22823,23093,24288,24889,25609,26829,28117,29572,31198,32659,35100,36346,36697,37575,39522,41129,43735,46178,47533,46227,47358,49735,51891,52227,54056,56284,57432
"92000","Mideast","2","SA4","35","...","  Earnings by place of work",19632824,18166926,15404794,11690929,11000987,12726606,13980925,16092243,17629775,16535034,17548478,19191316,23251118,29057088,35249026,37978872,38626050,40904384,43357381,46969918,46505627,50177391,57131211,60439366,64291610,64188891,68225547,73317924,77371541,77899303,82798922,86663606,89520907,94552107,98381808,104837940,111712591,121951797,130392858,142277311,154658159,164920230,175095685,189746966,206015623,220571391,232739302,251158290,273802344,303348720,334145410,362503482,394813397,416965707,446566581,492419050,530966610,570341915,619195752,681865637,723197011,764970717,769914147,820379200,846752699,875268473,912109985,957335617,1016556452,1084119037,1158678471,1253344087,1311961325,1331024954,1365755545,1443747894,1497942355,1579302336,1654342317,1692368330,1650303329,1702034495,1770429515,1843936131,1885411040,1951301184,2027420140,2071404507
"92000","Mideast","2","SA4","36","...","  Less: Contributions for government social insurance 5/",28216,28426,28059,28133,25672,26380,26058,125424,463827,514399,569840,617543,755426,920613,1137551,1193833,1283821,1738163,1598574,1300303,1312695,1599608,1932048,1897665,1970744,2213454,2471085,2696342,3025845,3048846,3680339,4355014,4582163,5118124,5643624,5693310,5939694,7890909,8613963,9400314,11072149,11657905,12772414,14535218,18195054,20160077,20837235,22890348,24857740,28208020,32253956,35163698,40993062,43999028,47849358,54382837,59563909,64797930,69478871,77653276,81571576,84116081,86916901,91293163,94558202,99383742,102991137,106055989,110905648,116433978,122349488,130695759,136828914,140461813,144486396,152286541,159739343,168306027,177056744,183307159,179830504,184432332,170523943,174829222,203386542,211940043,221114485,226749468
"92000","Mideast","2","SA4","37","...","    Employee and self-employed contributions for government social insurance",26368,26806,26906,26288,24752,25460,24908,27685,144301,140408,152286,168437,200662,259089,360016,448572,464107,413765,446886,417151,396863,551387,663646,715408,736914,883114,995374,1072462,1253844,1255554,1490792,1790919,1839927,1950873,2260499,2361079,2463008,3506605,4018077,4457140,5121661,5416674,5915500,6571685,8198310,9138854,9518630,10150240,10962633,12313631,14211098,15697642,18530010,20053939,21637954,24061261,27323302,30098542,32674120,36859384,39431722,40720575,42407911,44303267,45812999,48242384,50559952,52356852,55004493,58095762,61609768,65613529,68738256,70750747,72811008,76822086,80956836,85982669,90991133,94293372,92841364,94744482,77072059,78483131,104257997,108711262,113633553,117674721
"92000","Mideast","2","SA4","38","...","    Employer contributions for government social insurance",1848,1620,1153,1845,920,920,1150,97739,319526,373991,417554,449106,554764,661524,777535,745261,819714,1324398,1151688,883152,915832,1048221,1268402,1182257,1233830,1330340,1475711,1623880,1772001,1793292,2189547,2564095,2742236,3167251,3383125,3332231,3476686,4384304,4595886,4943174,5950488,6241231,6856914,7963533,9996744,11021223,11318605,12740108,13895107,15894389,18042858,19466056,22463052,23945089,26211404,30321576,32240607,34699388,36804751,40793892,42139854,43395506,44508990,46989896,48745203,51141358,52431185,53699137,55901155,58338216,60739720,65082230,68090658,69711066,71675388,75464455,78782507,82323358,86065611,89013787,86989140,89687850,93451884,96346091,99128545,103228781,107480932,109074747
"92000","Mideast","2","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-154712,-195027,-243309,-295942,-364138,-419297,-444172,-509246,-580874,-657791,-593336,-633577,-761209,-790865,-804101,-840556,-901501,-932216,-1011010,-1182693,-1301087,-1737677,-1661844,-1759034,-1944700,-2080085,-2296514,-2641561,-2963181,-3355528,-3931594,-4581951,-5392071,-5867844,-6064033,-6160722,-6568545,-6951252,-6861487,-7207146,-7980152,-8365847,-8624271,-9010800,-10680749,-10448354,-10163939,-10956911,-11411070,-11768072,-13017686,-13290088,-11996861,-11592779,-7624973,-7048399,-11683379,-16805130,-22733075,-29810378,-27042907,-25513119,-29486301,-32540862,-34432219,-32989119,-35821484,-36573799,-38962812
