"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"44000","Rhode Island","1","SA4","10","...","Personal income (thousands of dollars)",602476,544947,488762,394597,383297,410510,443813,494542,514567,474097,512775,551042,712664,925089,1081614,1109701,1109190,1110954,1167340,1155954,1132658,1258797,1394342,1471099,1573294,1576852,1679609,1748757,1793961,1883774,1983321,2015359,2109804,2268754,2364987,2518581,2720107,2972210,3222029,3520540,3738588,4085172,4325615,4709168,5025485,5263286,5700406,6224331,6808542,7472408,8304223,9335325,10402978,11168804,12049253,13280099,14283447,15348279,16479434,18173181,19796408,20307648,20434051,21390795,22307228,22867101,24111072,24982118,26452272,28275413,29541596,31806725,33489344,34889728,36717553,38423751,39434531,41573771,43256752,44285471,43131954,45023318,46640595,48601350,48771792,50451415,52525608,53272444
"44000","Rhode Island","1","SA4","11","...","  Nonfarm personal income 1/",595654,539111,483859,390751,379540,405341,437924,489540,509556,470238,508916,547266,705963,917269,1072536,1100762,1099200,1100857,1156405,1143702,1121410,1249183,1382818,1458955,1562593,1567623,1670644,1740439,1787158,1876161,1977080,2007915,2102821,2261576,2358082,2510816,2711772,2963178,3215311,3512503,3730669,4076035,4317592,4701577,5019482,5254805,5691884,6215532,6800795,7463739,8297099,9327925,10394578,11141923,12012742,13248144,14242269,15305541,16439323,18131996,19764726,20277683,20403000,21362181,22278211,22842857,24087406,24959593,26437661,28261347,29527483,31791380,33472475,34868730,36695638,38399953,39411482,41552917,43235565,44272151,43118150,45009618,46629882,48584195,48754618,50434917,52509310,53257276
"44000","Rhode Island","1","SA4","12","...","  Farm income 2/",6822,5836,4903,3846,3757,5169,5889,5002,5011,3859,3859,3776,6701,7820,9078,8939,9990,10097,10935,12252,11248,9614,11524,12144,10701,9229,8965,8318,6803,7613,6241,7444,6983,7178,6905,7765,8335,9032,6718,8037,7919,9137,8023,7591,6003,8481,8522,8799,7747,8669,7124,7400,8400,26881,36511,31955,41178,42738,40111,41185,31682,29965,31051,28614,29017,24244,23666,22525,14611,14066,14113,15345,16869,20998,21915,23798,23049,20854,21187,13320,13804,13700,10713,17155,17174,16498,16298,15168
"44000","Rhode Island","1","SA4","20","...","Population (persons) 3/",684000,686000,681000,677000,675000,675000,678000,686000,694000,694000,701000,719000,744000,778000,868000,846000,842000,790000,784000,787000,801000,786000,784000,802000,815000,816000,823000,840000,851000,858000,857000,855000,858000,871000,876000,885000,893000,899000,909000,922000,932000,950561,963974,976365,978010,953503,946339,950321,955128,957237,956643,948773,953012,954170,956382,961895,968956,977340,989605,996407,1000666,1005995,1010649,1012581,1015112,1015960,1017002,1020893,1025353,1031155,1040402,1050268,1057142,1065995,1071342,1074579,1067916,1063096,1057315,1055003,1053646,1053337,1052451,1052901,1053033,1054480,1055607,1056426
"44000","Rhode Island","1","SA4","30","...","Per capita personal income (dollars) 4/",881,794,718,583,568,608,655,721,741,683,731,766,958,1189,1246,1312,1317,1406,1489,1469,1414,1602,1778,1834,1930,1932,2041,2082,2108,2196,2314,2357,2459,2605,2700,2846,3046,3306,3545,3818,4011,4298,4487,4823,5138,5520,6024,6550,7128,7806,8681,9839,10916,11705,12599,13806,14741,15704,16653,18239,19783,20187,20219,21125,21975,22508,23708,24471,25798,27421,28394,30284,31679,32730,34272,35757,36927,39106,40912,41977,40936,42744,44316,46159,46316,47845,49759,50427
"44000","Rhode Island","1","SA4","35","...","  Earnings by place of work",444909,392379,336242,259280,260343,290996,325650,357720,394126,362184,392748,424948,590172,815339,978340,1001029,982419,952585,963687,1013636,968780,1090574,1231600,1304565,1371111,1345051,1408001,1467554,1469385,1495670,1591122,1624560,1678178,1798266,1854969,1980046,2133829,2357202,2526673,2761212,2962278,3179625,3338301,3671332,3902112,3972939,4133610,4624224,5084159,5647604,6287862,6843231,7367206,7732272,8379859,9260069,10058523,10921704,11834663,13045588,13776914,14116709,13866412,14727263,15260036,15790349,16512624,17004282,17924065,19389267,20542920,22147598,23185808,24354646,25777721,27168511,28055173,29532727,29995071,30146831,29079416,30577479,31190183,32386351,32985282,34189595,35417518,36129519
"44000","Rhode Island","1","SA4","36","...","  Less: Contributions for government social insurance 5/",472,464,436,451,422,432,422,423,13043,14149,15803,17398,25101,32021,39060,44069,52540,60015,47886,37939,36528,48418,54666,55926,57096,61037,66544,70082,76690,75406,85996,95836,97927,107865,117525,121988,132925,162297,174685,200122,230531,245164,267123,306502,381353,410332,415953,473330,520794,596923,684915,745329,851196,902087,987978,1135693,1220213,1330144,1430190,1594655,1660990,1790032,1808852,1922707,2011315,2109308,2182319,2228895,2334174,2471469,2588791,2755989,2866388,2963967,3120213,3287091,3405148,3590472,3701202,3751851,3694280,3790228,3505532,3584948,4123054,4299790,4488151,4592140
"44000","Rhode Island","1","SA4","37","...","    Employee and self-employed contributions for government social insurance",429,426,409,408,401,411,395,412,4398,4812,5093,5323,7913,11324,19226,23442,23349,16644,14042,17117,13959,18100,20381,21477,21903,24143,26560,27924,31676,31330,36412,41621,42575,45718,51182,54331,60382,77218,84442,96934,107559,113878,123065,136935,174046,189113,193077,211156,230823,260332,301489,333415,379757,410685,446733,500668,552740,612584,670468,756990,808305,881399,911507,971328,1011695,1063463,1105252,1133753,1192991,1272295,1343901,1434471,1510830,1578435,1661660,1757416,1809990,1915098,1996470,2031678,1984080,2018281,1678587,1698876,2181860,2275827,2370781,2435812
"44000","Rhode Island","1","SA4","38","...","    Employer contributions for government social insurance",43,38,27,43,21,21,27,11,8645,9337,10710,12075,17188,20697,19834,20627,29191,43371,33844,20822,22569,30318,34285,34449,35193,36894,39984,42158,45014,44076,49584,54215,55352,62147,66343,67657,72543,85079,90243,103188,122972,131286,144058,169567,207307,221219,222876,262174,289971,336591,383426,411914,471439,491402,541245,635025,667473,717560,759722,837665,852685,908633,897345,951379,999620,1045845,1077067,1095142,1141183,1199174,1244890,1321518,1355558,1385532,1458553,1529675,1595158,1675374,1704732,1720173,1710200,1771947,1826945,1886072,1941194,2023963,2117370,2156328
"44000","Rhode Island","1","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-45682,-48929,-46354,-44603,-37839,-31404,-24586,-13500,-4041,6277,43322,50383,53585,56994,62322,66916,73026,81997,95544,104905,115785,63284,64313,58909,53429,69355,88285,82491,88317,103482,101806,110325,123922,154243,207655,263372,331951,391881,417380,484915,559386,625813,671555,697002,718916,761640,830869,860563,930391,997039,1075569,1177524,1338115,1314301,1299429,1321380,1362039,1345189,1288554,1350271,1260912,1188732,999463,1201664,1375882,1413966,1170042,1443201,1455419
