"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"95000","Southeast","5","SA4","10","...","Personal income (thousands of dollars)",9864225,8477167,7446005,5615623,5733786,6926169,7625343,8788062,9564340,8881240,9580731,10447496,13872830,19301009,23857785,26241857,27153075,27844807,29109199,32651279,32276668,36143919,41525566,44443554,46563757,46609097,50594674,54746544,57801711,60503413,64761282,67089689,70752176,75496719,80549556,86981242,94562527,103717168,112424052,124490739,138941326,152513470,168280550,189052896,214605429,239133335,262142313,290858891,322755735,366893447,411993497,464065619,524660525,562473435,607216888,674332275,726846141,774420542,826632289,898737368,978126156,1039642513,1087708873,1168823918,1235395303,1309931704,1394805064,1479935672,1570491534,1687840437,1772130068,1899680707,1988459313,2040822900,2127668458,2278077142,2437752631,2618199312,2760150189,2856698462,2769842417,2859182022,3017052452,3136007274,3148451483,3320968980,3501150321,3591918052
"95000","Southeast","5","SA4","11","...","  Nonfarm personal income 1/",7994692,7332139,6364356,4948251,4830776,5763175,6197606,7342258,7757960,7510704,8202823,9120200,12111717,16668415,20738911,22765714,23614922,23759489,25078288,27993920,28654126,32362390,36968846,40279957,42665858,43282197,46772511,51323101,54931112,56924925,61305712,63754397,66995384,71980435,76806163,83378145,91082064,100031236,108755164,120952971,134915132,148498690,164058510,184131364,207381589,232536063,256232021,284601211,317106642,360083576,405277925,460014115,518151181,555816225,602412338,666042938,719513454,767573807,818459729,887996009,966866800,1028935548,1075458551,1155798157,1222781438,1296116204,1382573928,1465937530,1556817146,1675095265,1759226044,1885452007,1972408202,2030713816,2114629974,2261494723,2420243814,2605348308,2748390006,2844981941,2758207193,2848437969,3006561389,3120768496,3125629772,3302547277,3485795595,3581098984
"95000","Southeast","5","SA4","12","...","  Farm income 2/",1869533,1145028,1081649,667372,903010,1162994,1427737,1445804,1806380,1370536,1377908,1327296,1761113,2632594,3118874,3476143,3538153,4085318,4030911,4657359,3622542,3781529,4556720,4163597,3897899,3326900,3822163,3423443,2870599,3578488,3455570,3335292,3756792,3516284,3743393,3603097,3480463,3685932,3668888,3537768,4026194,4014780,4222040,4921532,7223840,6597272,5910292,6257680,5649093,6809871,6715572,4051504,6509344,6657210,4804550,8289337,7332687,6846735,8172560,10741359,11259356,10706965,12250322,13025761,12613865,13815500,12231136,13998142,13674388,12745172,12904024,14228700,16051111,10109084,13038484,16582419,17508817,12851004,11760183,11716521,11635224,10744053,10491063,15238778,22821711,18421703,15354726,10819068
"95000","Southeast","5","SA4","20","...","Population (persons) 3/",27152000,27312000,27463000,27665000,27903000,28190000,28418000,28628000,28923000,29350000,29843000,30277000,31016000,31595000,31778000,31296000,30820000,31751000,32169000,32275000,32803000,33860000,34421000,34661000,34681000,34830000,35399000,36071000,36874000,37435000,38115000,38885000,39544000,40179000,40742000,41349000,41857000,42257000,42611000,43042000,43440000,43973515,45013167,46019010,46991755,47954591,48787678,49513969,50311832,51113001,51976687,52881196,53627371,54248696,54856066,55514620,56198797,56861115,57536401,58120493,58733381,59516122,60500666,61508138,62530549,63574211,64601937,65611342,66655300,67626581,68569381,69497232,70317959,71151666,71961591,73019229,74148386,75065947,76122849,77057840,77814936,78565618,79257134,79968491,80592691,81312813,82092717,82883735
"95000","Southeast","5","SA4","30","...","Per capita personal income (dollars) 4/",363,310,271,203,205,246,268,307,331,303,321,345,447,611,751,839,881,877,905,1012,984,1067,1206,1282,1343,1338,1429,1518,1568,1616,1699,1725,1789,1879,1977,2104,2259,2454,2638,2892,3198,3468,3738,4108,4567,4987,5373,5874,6415,7178,7927,8776,9783,10368,11069,12147,12933,13620,14367,15463,16654,17468,17978,19003,19757,20605,21591,22556,23561,24958,25844,27335,28278,28683,29567,31198,32877,34879,36259,37072,35595,36392,38067,39216,39066,40842,42649,43337
"95000","Southeast","5","SA4","35","...","  Earnings by place of work",8266938,6980901,5939479,4412115,4681886,5802316,6471673,7275198,8297052,7613117,8208896,9015221,12354811,17652990,22212864,24494000,25052533,24661862,25342178,28179611,27304755,30119777,35821781,38402820,40008328,39439513,42789658,46144828,48368547,50007757,53646414,55322247,57637741,61508624,65773311,71102107,77136945,85817639,92561378,102520514,113755464,122295771,133976699,151389420,172505575,188873692,200259062,224515856,250305910,285667047,319153778,348520468,386467458,406049165,436773030,488443364,526099713,562381814,607720727,663258474,706058184,749136717,781192949,843212300,891654472,946447460,999404747,1058584087,1125859266,1219643610,1299091109,1391880941,1452980874,1495288941,1563960377,1670041631,1771051159,1876479405,1938462186,1971136474,1903701949,1942516332,2002294484,2089119358,2132442866,2228388320,2335629749,2405368977
"95000","Southeast","5","SA4","36","...","  Less: Contributions for government social insurance 5/",9637,9222,8490,8904,7261,7848,7698,8109,163564,176769,200671,214574,278551,398062,575406,695486,920402,1150955,865095,684431,711000,764679,918007,979563,1008437,1162069,1305920,1438092,1680755,1739841,2107325,2446845,2512681,2805507,3286864,3443836,3677442,4914336,5667575,6409601,7214317,7778744,8837478,10454465,13506097,15478905,16286323,18675128,20914020,24374540,28418406,31419925,37261171,39941367,43697927,49933607,54899468,59996670,64248885,72102385,77510309,83396499,87897585,94074148,100057796,107407968,113546319,118968351,126227845,135207179,143370055,151848931,158517459,163463634,170427501,181863822,193150387,206595053,215100538,220559913,216193543,220776704,204148246,211279504,244641594,255340985,267480816,276279649
"95000","Southeast","5","SA4","37","...","    Employee and self-employed contributions for government social insurance",7880,7686,7387,7135,6372,6957,6579,7660,53662,49316,54005,60170,82180,142943,298243,360621,366596,262769,261287,253380,240771,326984,393516,426242,447162,525958,595018,654547,778826,809701,955791,1134864,1163422,1259269,1499398,1604944,1722983,2386562,2837230,3172150,3602538,3888497,4380879,5118782,6620482,7610549,7992111,8929501,9950704,11519837,13528747,15155826,18156386,19657676,21297849,23884897,27104098,29811698,32183163,36381142,39778138,42596856,45130176,48129155,51279021,55367895,58974537,61687605,65530861,70030773,74518195,78737417,82527022,85582317,88813733,94651380,101259696,109110321,114637675,117885209,115638454,117826414,96366847,99411091,130487311,136984792,144054107,150428475
"95000","Southeast","5","SA4","38","...","    Employer contributions for government social insurance",1757,1536,1103,1769,889,891,1119,449,109902,127453,146666,154404,196371,255119,277163,334865,553806,888186,603808,431051,470229,437695,524491,553321,561275,636111,710902,783545,901929,930140,1151534,1311981,1349259,1546238,1787466,1838892,1954459,2527774,2830345,3237451,3611779,3890247,4456599,5335683,6885615,7868356,8294212,9745627,10963316,12854703,14889659,16264099,19104785,20283691,22400078,26048710,27795370,30184972,32065722,35721243,37732171,40799643,42767409,45944993,48778775,52040073,54571782,57280746,60696984,65176406,68851860,73111514,75990437,77881317,81613768,87212442,91890691,97484732,100462863,102674704,100555089,102950290,107781399,111868413,114154283,118356193,123426709,125851174
"95000","Southeast","5","SA4","42","...","  Plus: Adjustment for residence 6/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",179523,214807,251408,292785,347809,380298,382163,423572,457622,494656,497924,538602,588613,615849,675935,736931,801089,898940,999887,1159801,1257747,1171145,1058786,1048654,1117664,1197431,1298971,1570544,1773792,1990861,2344522,2705574,3247399,3562831,3764400,3795432,4057543,4239026,4439774,4635061,5105659,5484974,6130342,6615970,7052781,7335100,7235853,7498135,7168012,7983864,8006891,9818272,8278357,8600965,5487904,5096171,7771068,10501600,15119813,19059728,19369602,18464166,20244713,22867854,22834882,22774722,25025859,25485697,26683675
