"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"91000","New England","1","SA5H 1/","10","...","Personal income (thousands of dollars)",7120409,6583251,5883604,4710482,4407441,4870473,5223763,5867259,6087582,5590333,6021674,6489846,7920636,9764301,11213519,11535607,11644094,12542976,13291643,14045986,13858009,15314130,17038426,18096078,19252169,19542538,20941987,22390931,23642429
"91000","New England","1","SA5H 1/","20","...","Population (persons) 2/",8130000,8175000,8193000,8220000,8254000,8296000,8361000,8391000,8409000,8427000,8438000,8449000,8586000,8627000,8534000,8588000,8515000,8909000,9059000,9232000,9379000,9316000,9289000,9358000,9628000,9833000,9871000,9928000,10030000
"91000","New England","1","SA5H 1/","30","...","Per capita personal income (dollars) 3/",876,805,718,573,534,587,625,699,724,663,714,768,923,1132,1314,1343,1367,1408,1467,1521,1478,1644,1834,1934,2000,1987,2122,2255,2357
"91000","New England","1","SA5H 1/","35","...","  Total earnings",5235632,4740337,4081861,3140363,3012513,3466360,3820275,4261585,4635832,4265310,4610307,5014099,6451223,8282886,9753101,10033287,9950689,10376635,10961116,11666801,11381614,12425905,14324957,15083703,16018886,15980275,17038332,18321212,19198874
"91000","New England","1","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",5562,5508,5335,5320,4776,5009,4930,34912,120419,127757,149161,159772,207298,237189,275841,298557,328858,410781,357537,298291,321261,397590,513112,541503,544321,590075,643226,678316,759173
"91000","New England","1","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",5043,5055,5012,4805,4519,4753,4611,5023,41104,36047,34383,37932,49333,67613,96575,122177,121945,104151,105981,109079,102465,142334,170951,182774,188620,227293,256233,274811,323018
"91000","New England","1","SA5H 1/","38","...","    Employer contributions for government social insurance",519,453,323,515,257,256,319,29889,79315,91710,114778,121840,157965,169576,179266,176380,206913,306630,251556,189212,218796,255256,342161,358729,355701,362782,386993,403505,436155
"91000","New England","1","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",39721,46721,65443,89355,111836,140402,162858,192547,229252,263649
"91000","New England","1","SA5H 1/","45","...","  Equals: Net earnings by place of residence",5230070,4734829,4076526,3135043,3007737,3461351,3815345,4226673,4515413,4137553,4461146,4854327,6243925,8045697,9477260,9734730,9621831,9965854,10603579,11408231,11107074,12093758,13901200,14654036,15614967,15553058,16587653,17872148,18703350
"91000","New England","1","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",1797007,1752008,1624259,1429774,1251471,1275453,1267381,1404151,1416812,1241197,1359670,1414539,1471554,1517269,1542676,1557016,1581638,1733264,1850245,1941411,1921383,2284728,2322825,2583403,2719366,2936023,3201895,3312249,3524252
"91000","New England","1","SA5H 1/","47","...","  Plus: Personal current transfer receipts",93332,96414,182819,145665,148233,133669,141037,236435,155357,211583,200858,220980,205157,201335,193583,243861,440625,843858,837819,696344,829552,935644,814401,858639,917836,1053457,1152439,1206534,1414827
"91000","New England","1","SA5H 1/","50","...","  Wages and salaries",4408421,4014261,3520595,2761508,2642531,2993691,3261932,3576490,3883972,3545134,3828803,4149003,5313174,6815717,8028304,8259606,8053292,8201689,8942861,9550528,9234762,10110370,11635294,12239356,13083430,12999978,13746636,14862901,15475964
"91000","New England","1","SA5H 1/","60","...","  Supplements to wages and salaries",75952,74924,71340,64341,56812,61048,74029,114348,167599,185820,212370,233608,327006,414551,456969,484991,527752,631868,585075,559833,623711,747097,969161,1057876,1110680,1145800,1223341,1338450,1478251
"91000","New England","1","SA5H 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",75433,74471,71017,63826,56555,60792,73710,84459,88284,94110,97592,111768,169041,244975,277703,308611,320839,325238,333519,370621,404915,491841,627000,699147,754979,783018,836348,934945,1042096
"91000","New England","1","SA5H 1/","62","...","    Employer contributions for government social insurance",519,453,323,515,257,256,319,29889,79315,91710,114778,121840,157965,169576,179266,176380,206913,306630,251556,189212,218796,255256,342161,358729,355701,362782,386993,403505,436155
"91000","New England","1","SA5H 1/","70","...","  Proprietors' income 8/",751259,651152,489926,314514,313170,411621,484314,570747,584261,534356,569134,631488,811043,1052618,1267828,1288690,1369645,1543078,1433180,1556440,1523141,1568438,1720502,1786471,1824776,1834497,2068355,2119861,2244659
"91000","New England","1","SA5H 1/","71","...","    Farm proprietors' income",126113,127289,80714,53470,71214,75337,96187,111824,108411,85143,87558,74685,101929,168421,232666,194539,226997,267454,247020,276111,237176,181505,219062,255354,228659,161028,220418,179135,162450
"91000","New England","1","SA5H 1/","72","...","    Nonfarm proprietors' income",625146,523863,409212,261044,241956,336284,388127,458923,475850,449213,481576,556803,709114,884197,1035162,1094151,1142648,1275624,1186160,1280329,1285965,1386933,1501440,1531117,1596117,1673469,1847937,1940726,2082209
"91000","New England","1","SA5H 1/","81","[01-02]","  Farm earnings",188872,187567,131328,94219,104888,111945,136309,155057,156487,133408,136520,126630,163873,244011,320295,288256,328947,373117,362103,406426,359234,306200,349800,370562,334614,256012,320632,286953,282481
