"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"34000","New Jersey","2","SA5H 1/","10","...","Personal income (thousands of dollars)",3671655,3459566,3052084,2440290,2168371,2361370,2576749,2918411,3077215,2886208,3124048,3461742,4121177,5110452,6115011,6570746,6630068,6974552,7354926,7956481,8012247,8864545,10132762,10981271,11826872,12041232,12788219,13887275,14796272
"34000","New Jersey","2","SA5H 1/","20","...","Population (persons) 2/",3989000,4068000,4120000,4120000,4107000,4089000,4085000,4084000,4088000,4100000,4129000,4175000,4255000,4314000,4206000,4171000,4122000,4505000,4628000,4774000,4889000,4872000,5006000,5125000,5229000,5360000,5502000,5615000,5737000
"34000","New Jersey","2","SA5H 1/","30","...","Per capita personal income (dollars) 3/",920,850,741,592,528,577,631,715,753,704,757,829,969,1185,1454,1575,1608,1548,1589,1667,1639,1819,2024,2143,2262,2246,2324,2473,2579
"34000","New Jersey","2","SA5H 1/","35","...","  Total earnings",2777304,2555324,2176788,1687390,1525764,1748915,1909302,2197494,2430566,2289584,2488568,2830158,3534569,4552638,5551530,5962600,5904309,6126766,6438364,6537142,6426014,7038165,8266054,8921888,9579382,9651166,10244661,11027684,11724772
"34000","New Jersey","2","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",3056,3062,2969,2916,2592,2766,2667,2806,57651,68618,86534,94391,122335,140523,177139,202726,213111,269614,239991,233346,181352,229955,283487,303506,320081,370859,414648,448682,513868
"34000","New Jersey","2","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",2795,2833,2806,2657,2463,2638,2507,2742,16931,24388,26593,30092,38469,51138,68516,84705,84703,76434,78353,82561,73421,101049,120167,130161,134114,159926,182803,198361,231457
"34000","New Jersey","2","SA5H 1/","38","...","    Employer contributions for government social insurance",261,229,163,259,129,128,160,64,40720,44230,59941,64299,83866,89385,108623,118021,128408,193180,161638,150785,107931,128906,163320,173345,185967,210933,231845,250321,282411
"34000","New Jersey","2","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",517423,547447,598460,685023,738034,810490,830152,893095,978468,1044898
"34000","New Jersey","2","SA5H 1/","45","...","  Equals: Net earnings by place of residence",2774248,2552262,2173819,1684474,1523172,1746149,1906635,2194688,2372915,2220966,2402034,2735767,3412234,4412115,5374391,5759874,5691198,5857152,6198373,6821219,6792109,7406670,8667590,9356416,10069791,10110459,10723108,11557470,12255802
"34000","New Jersey","2","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",858231,867034,800257,695429,582656,542467,585927,617550,638776,594677,638723,642901,624891,608619,663844,715008,738066,749212,832776,866217,902975,1053429,1127717,1266199,1355122,1442298,1519763,1724906,1822494
