"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957"
"94000","Plains","4","SA5H 1/","10","...","Personal income (thousands of dollars)",7497479,6715876,5597400,4222516,3762566,4193903,5487207,5630675,6453388,5905580,6164114,6473279,7930370,10660805,12667685,13217207,14042579,15658781,16952943,19853400,18339091,20715794,22675920,23994155,24356797,25343422,25892981,27240977,29173088
"94000","Plains","4","SA5H 1/","20","...","Population (persons) 2/",13260000,13335000,13446000,13518000,13567000,13593000,13630000,13601000,13544000,13492000,13505000,13498000,13292000,13126000,12768000,12446000,12394000,13180000,13446000,13604000,13850000,14103000,14167000,14175000,14268000,14453000,14730000,14905000,14979000
"94000","Plains","4","SA5H 1/","30","...","Per capita personal income (dollars) 3/",565,504,416,312,277,309,403,414,476,438,456,480,597,812,992,1062,1133,1188,1261,1459,1324,1469,1601,1693,1707,1754,1758,1828,1948
"94000","Plains","4","SA5H 1/","35","...","  Total earnings",6180391,5479133,4384056,3273246,2965640,3348881,4603871,4492109,5509999,5003354,5175905,5420324,6823473,9430285,11409213,11872648,12427984,13479676,14573729,17091407,15420920,17332779,19409842,20479993,20621086,21336940,21646770,22805240,24404995
"94000","Plains","4","SA5H 1/","36","...","  Less: Contributions for government social insurance 4/",5903,5696,5327,5396,4548,4692,4615,4676,110696,125388,118540,118108,135764,160949,216361,257126,314042,373393,340788,319522,340742,364919,429993,450184,468225,542590,614681,699475,801526
"94000","Plains","4","SA5H 1/","37","...","    Employee and self-employed contributions for government social insurance",5028,4932,4784,4533,4119,4266,4084,4464,30632,28290,29813,33039,37967,51387,82401,101471,108547,96863,111375,126815,127567,167929,201197,225836,236495,270502,303466,358975,415059
"94000","Plains","4","SA5H 1/","38","...","    Employer contributions for government social insurance",875,764,543,863,429,426,531,212,80064,97098,88727,85069,97797,109562,133960,155655,205495,276530,229413,192707,213175,196990,228796,224348,231730,272088,311215,340500,386467
"94000","Plains","4","SA5H 1/","42","...","  Plus: Adjustment for residence 5/","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)","(NA)",-23849,-24978,-31809,-41184,-50303,-60653,-66881,-77877,-89550,-99658
"94000","Plains","4","SA5H 1/","45","...","  Equals: Net earnings by place of residence",6174488,5473437,4378729,3267850,2961092,3344189,4599256,4487433,5399303,4877966,5057365,5302216,6687709,9269336,11192852,11615522,12113942,13106283,14232941,16748036,15055200,16936051,18938665,19979506,20092208,20727469,20954212,22016215,23503811
"94000","Plains","4","SA5H 1/","46","...","  Plus: Dividends, interest, and rent 6/",1188921,1109812,965465,782638,650597,694387,717440,821802,849621,812811,875730,928644,998907,1153058,1241770,1316219,1430893,1640220,1808074,2256092,2306045,2606758,2768612,3012390,3196658,3425516,3603915,3784370,3976050
