"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"25000","Massachusetts","1","SA5N 1/","10","...","Personal income (thousands of dollars)",206398097,220155896,245201225,255544975,255764186,262071401,274807343,287134553,309652139,324259926,338218622,335086775,348325560,365190182,380785092,383509900,400244845,426359872,437551353
"25000","Massachusetts","1","SA5N 1/","20","...","Population (persons) 2/",6271838,6317345,6361104,6397634,6417206,6422565,6412281,6403290,6410084,6431559,6468967,6517613,6565524,6611923,6658008,6706786,6749911,6784240,6811779
"25000","Massachusetts","1","SA5N 1/","30","...","Per capita personal income (dollars) 3/",32909,34849,38547,39944,39856,40805,42856,44842,48307,50417,52283,51412,53054,55232,57192,57182,59296,62846,64235
"25000","Massachusetts","1","SA5N 1/","35","...","  Earnings by place of work",160831889,175349046,196785029,203633092,202502767,205372215,218454825,224912099,237653549,248924038,256941164,254996959,266742939,275228170,284211001,289398397,299917102,318526580,328164366
"25000","Massachusetts","1","SA5N 1/","36","...","  Less: Contributions for government social insurance 4/",17059665,18308020,20252599,20769058,20727978,20942509,22730342,23793659,24647933,25854574,26700198,26325831,26844352,25098895,25937016,30044873,31556581,32841893,34044511
"25000","Massachusetts","1","SA5N 1/","37","...","    Employee and self-employed contributions for government social insurance",8654267,9336163,10310956,10555035,10630982,10773136,11344536,11906933,12467130,13198582,13673318,13443134,13676524,11224222,11590486,15452079,16320302,17285967,17977291
"25000","Massachusetts","1","SA5N 1/","38","...","    Employer contributions for government social insurance",8405398,8971857,9941643,10214023,10096996,10169373,11385806,11886726,12180803,12655992,13026880,12882697,13167828,13874673,14346530,14592794,15236279,15555926,16067220
"25000","Massachusetts","1","SA5N 1/","42","...","  Plus: Adjustment for residence 5/",-3607017,-4191426,-5057576,-5089239,-4472651,-3877598,-5131483,-5138617,-5225404,-6053943,-5971698,-5418770,-5676006,-6305122,-6898501,-6681791,-6220890,-7104543,-7300965
"25000","Massachusetts","1","SA5N 1/","45","...","  Equals: Net earnings by place of residence",140165207,152849600,171474854,177774795,177302138,180552108,190593000,195979823,207780212,217015521,224269268,223252358,234222581,243824153,251375484,252671733,262139631,278580144,286818890
"25000","Massachusetts","1","SA5N 1/","46","...","  Plus: Dividends, interest, and rent 6/",40681011,40848468,45842157,47284660,45391510,46570034,47847207,52078323,60970382,64622141,65221942,58469930,57931582,64892628,72504445,73387624,78875692,84579869,85341194
"25000","Massachusetts","1","SA5N 1/","47","...","  Plus: Personal current transfer receipts",25551879,26457828,27884214,30485520,33070538,34949259,36367136,39076407,40901545,42622264,48727412,53364487,56171397,56473401,56905163,57450543,59229522,63199859,65391269
"25000","Massachusetts","1","SA5N 1/","50","...","  Wages and salaries",121961433,132671526,149369747,151752080,148728167,150545491,158688618,163386967,172745510,184157030,189735975,181891252,187544777,195827015,203782010,209975913,221837152,235419759,242384464
"25000","Massachusetts","1","SA5N 1/","60","...","  Supplements to wages and salaries",23851717,25644914,28561102,29918150,30475813,31472917,34511016,36249943,37553134,39783770,41257059,40667807,43122625,45819792,47434652,47532184,48209300,51518947,52225832
"25000","Massachusetts","1","SA5N 1/","61","...","    Employer contributions for employee pension and insurance funds 7/",15446319,16673057,18619459,19704127,20378817,21303544,23125210,24363217,25372331,27127778,28230179,27785110,29954797,31945119,33088122,32939390,32973021,35963021,36158612
"25000","Massachusetts","1","SA5N 1/","62","...","    Employer contributions for government social insurance",8405398,8971857,9941643,10214023,10096996,10169373,11385806,11886726,12180803,12655992,13026880,12882697,13167828,13874673,14346530,14592794,15236279,15555926,16067220
